#{"t_start": 1705586259.5598247, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-185.255693,136,0.379018,1
-503.425742,289,0.809991,2
-61.961521,123,1.172255,7
-3074.492044,818,1.850989,18
-148.499766,280,2.271946,10
-113.582274,305,2.692836,33
-4713.030685,772,4.492911,7
-1012.818814,914,5.231774,9
-772.120375,544,7.118408,7
-485.604661,617,7.745835,6
109.797854,245,8.154452,20
83.134001,218,8.533817,23
148.935443,342,8.96772,22
28.973373,275,9.3795,26
-1142.706978,549,11.125879,20
-100.037428,99,11.48849,3
207.119351,530,12.061658,57
683.299122,807,12.725877,81
104.254416,232,13.161805,36
80.007068,280,14.802333,19
-26.053059,112,15.168413,12
8.075897,163,15.53915,8
-42.845559,105,15.906924,6
-70.531343,80,16.262232,5
2.703972,135,16.653813,20
66.935326,232,17.108115,23
89.060547,226,17.587899,25
3.975916,150,17.993087,20
-79.669543,67,18.335794,5
767.910343,846,20.292786,91
-92.70094,65,20.747163,2
-84.573701,65,21.213555,3
-79.398319,203,21.873367,12
-94.877836,57,22.291291,2
-14.625058,134,22.87476,15
-84.244625,66,23.322696,2
11.217389,214,23.988402,15
668.631847,701,24.801986,127
718.799466,759,27.539743,115
-106.028197,259,28.158902,12
412.551272,480,28.854221,96
197.539067,307,29.442313,42
263.62816,504,30.246727,51
54.011008,206,32.292426,25
278.981113,402,32.933205,36
-128.308308,187,33.414079,4
190.669111,298,34.01766,51
278.514654,387,34.697511,58
-60.136231,95,35.068241,9
496.003347,1007,37.629576,137
542.518907,587,38.307118,106
152.745486,274,38.796289,37
165.691471,290,39.344794,45
201.883004,316,39.902395,42
243.845264,332,41.899337,53
29.079459,304,42.54715,16
1102.461298,1060,43.665476,196
223.683006,323,44.291134,64
620.529726,633,46.555777,141
249.999809,346,47.193207,58
-79.946435,75,47.635245,5
37.410568,181,48.150776,14
-61.737117,88,48.662378,4
130.903901,259,49.225091,36
625.981556,665,51.792839,120
363.183191,449,52.55289,82
118.028233,241,53.14331,40
93.654627,211,53.692288,33
351.937836,441,54.426739,71
294.188511,408,55.070716,55
291.147329,412,57.298923,75
281.242339,380,57.996922,65
65.917328,212,58.530192,15
267.565726,383,59.099004,48
470.496257,573,59.894858,88
135.478694,276,60.444741,43
-78.114934,70,62.314205,3
476.59273,550,63.152592,94
248.363642,347,63.758527,61
856.396515,933,64.799583,99
837.538063,963,67.249211,190
170.805889,284,67.77085,45
283.243271,408,68.465039,37
-75.729475,74,68.844277,4
215.195687,341,69.41533,46
15.536471,155,71.261248,16
395.732038,468,71.85728,92
652.551789,681,72.454479,138
593.316695,620,72.997513,128
975.017386,940,74.706498,201
951.591633,957,75.405512,186
92.912337,219,75.785527,27
1142.675216,1099,77.772902,203
-67.441518,83,78.205054,5
1730.386673,1579,81.334056,319
990.867191,928,82.444928,223
603.676308,626,84.643385,146
1441.265126,1318,85.983647,292
1954.600096,1755,89.162746,357
947.353919,884,90.167663,213
1658.151182,1517,93.244864,309
136.832702,249,93.785249,39
467.464846,522,95.942144,105
2343.51876,2137,99.24458,373
-62.206764,93,99.685667,7
-67.430091,87,100.137967,8
-84.46076,65,100.640683,2
-42.416305,101,101.129506,8
1898.856935,1691,104.109759,365
-28.079611,121,104.524958,12
61.583901,193,104.988776,28
256.018195,353,105.769145,80
1882.93538,1690,108.69395,344
1148.925397,1081,109.916684,251
211.251315,321,110.606699,52
1894.217274,1715,113.619659,332
1116.373634,1075,116.342972,218
7.895694,144,116.800638,13
1002.241557,990,117.852567,175
1435.094743,1323,120.510144,268
