#{"t_start": 1705592339.9884682, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-694.707634,698,0.63635,12
192.702623,439,1.163293,36
40.983063,269,1.588804,20
-789.86495,403,2.084068,8
-2044.33371,1005,3.89109,5
-431.431834,446,4.373246,20
-546.056805,538,4.903635,4
-473.084952,961,6.677823,52
-27.693242,119,7.001628,11
-64.629596,88,7.308639,7
-52.198899,91,7.62351,9
-559.747995,280,8.059413,15
-112.083655,106,8.382845,5
-7.842244,647,8.93837,32
165.181976,310,10.430882,22
-232.382271,356,10.884435,7
-406.148751,357,11.33299,14
-141.03986,131,11.672544,4
-86.300336,69,11.970441,2
368.565657,617,12.497504,51
83.46967,248,12.875402,31
263.523798,434,14.334236,39
629.014682,1075,15.085166,97
112.180264,252,15.47873,26
-449.203041,582,17.137901,29
298.77648,663,17.729886,57
100.377688,237,18.148958,27
-12.229463,160,18.540633,11
460.085516,536,19.085977,83
263.174452,377,20.618833,51
462.942788,537,21.166389,95
-59.565349,97,21.513811,7
23.977105,314,21.968459,21
352.797702,443,22.487528,72
475.515623,566,24.076922,71
89.938159,220,24.475288,30
1086.244161,1058,25.230154,194
-98.013286,54,25.540001,2
293.349833,398,26.001974,55
-57.861445,85,26.328933,9
155.086506,281,27.943953,45
-56.037015,97,28.271979,8
731.602598,758,28.880869,132
-60.21581,89,29.189834,8
71.145293,200,29.560227,35
-31.988325,119,29.88887,9
110.588724,229,30.307501,31
514.572479,548,31.906678,111
1135.940099,1133,32.701887,164
-60.729372,92,33.013963,9
-85.115336,71,33.311665,4
171.621549,278,33.713166,45
-69.159479,84,34.0323,5
12.950081,264,35.43101,27
711.364246,735,36.067047,140
238.430791,343,36.51055,63
-11.175075,133,36.84383,17
-5.795418,141,37.187236,14
50.550494,425,37.666335,24
134.616211,392,39.152842,52
838.00185,846,39.809655,154
753.725441,761,40.42246,140
493.598314,574,41.992261,89
139.51955,262,42.413907,35
563.931929,621,42.96443,106
410.896521,475,43.459341,95
705.992405,734,45.046508,130
530.511925,583,45.593951,105
1198.641699,1191,47.409355,187
130.247654,249,47.800322,39
454.740623,509,48.307673,109
1189.7894,1131,49.068444,219
1810.784492,1660,51.098506,319
561.313928,627,52.666227,94
692.536182,731,53.262383,133
-48.722236,98,53.574823,7
394.883975,477,54.055459,76
437.882957,504,54.667267,108
-26.127272,126,56.251493,11
1048.157027,993,57.068053,219
421.123918,453,57.567006,103
442.75645,493,58.088087,98
303.448086,408,59.614302,55
8.102122,156,59.989621,10
-81.31543,67,60.295035,3
511.437057,559,60.841886,113
45.84223,188,61.238926,18
1283.885025,1200,63.077397,248
-73.907658,79,63.405791,5
-80.091031,70,63.714462,4
161.013412,287,64.119972,19
108.214559,233,64.519624,33
536.815648,602,65.075408,105
1600.451735,1498,67.129092,274
513.439543,589,67.685235,84
280.926216,363,69.161807,81
254.842242,379,69.636508,52
1349.180338,1295,70.485046,228
513.613258,570,72.075995,103
1753.750646,1649,73.106028,269
405.166956,488,74.607302,79
-65.16498,82,74.936407,6
-25.861082,120,75.277009,10
1239.547379,1177,76.118472,220
-77.44311,77,76.438904,5
-52.912554,100,76.767503,7
892.297761,890,78.447477,158
640.609509,656,79.035448,150
1483.852747,1403,80.963499,251
1067.757797,1010,81.787791,214
229.856948,332,83.316754,54
-59.080472,92,83.65906,7
74.674051,208,84.034423,29
563.309283,592,84.622071,123
2278.151213,2143,87.033067,358
513.589186,571,87.641624,110
500.383854,737,89.356977,93
-85.44263,69,89.700234,3
254.751813,361,90.158026,48
41.610936,184,90.543993,13
-57.940911,93,90.874799,5
-41.873205,106,91.209461,12
717.607147,744,91.845145,136
-64.540229,79,92.174266,5
1802.923662,1666,94.241918,299
