#{"t_start": 1705589203.3960834, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-50.023638,119,0.429036,7
-294.945096,114,0.894623,0
302.870498,464,1.659487,31
29.761987,236,2.223699,17
-280.533596,308,2.860307,8
-390.515247,434,3.709315,16
-3751.928134,1860,6.944501,30
-712.846919,514,7.701143,2
-159.549458,1104,10.104675,58
-83.305959,66,10.596904,4
-83.434302,68,11.032589,4
-1023.489457,823,11.950827,9
-1490.695569,908,14.597635,7
-108.675463,145,15.108528,8
335.767251,705,16.035388,49
-60.396625,106,16.475802,6
309.494011,409,18.888734,65
-1653.778057,1573,20.555489,88
-82.568479,73,20.992862,4
576.112592,639,23.520275,89
-83.510035,67,23.973307,5
-83.140159,69,24.416215,4
167.460395,294,24.990478,34
305.576913,378,25.608723,83
34.718488,181,26.076858,11
49.95457,472,26.809176,17
170.724074,408,28.956821,54
30.936462,180,29.462508,16
204.044389,328,30.134074,38
266.002564,352,30.748762,67
-81.488061,74,31.223165,5
-38.222344,125,31.72736,8
31.764468,181,32.262304,14
329.491423,413,32.933742,72
-59.330547,92,33.343258,6
-317.705921,292,35.442378,10
-83.068868,66,35.844489,3
-83.787504,63,36.263028,2
853.943935,1070,37.490523,110
147.681926,346,38.136477,35
-85.058914,66,38.575465,4
119.315064,263,40.828799,17
-127.459912,118,41.340722,4
-1030.585241,705,42.184025,11
347.670287,510,42.945727,64
-64.123332,87,43.41783,7
-81.564782,69,43.843613,5
374.64503,926,46.553163,87
158.598812,450,47.198665,26
-6.602486,136,47.657362,7
237.586545,365,48.360682,34
8.47924,365,49.110335,20
-85.288301,72,49.494318,4
1227.106889,1236,52.064444,159
220.405849,351,52.699856,28
184.835863,502,53.439501,26
2.476286,158,53.880802,11
88.818238,241,55.825419,21
120.928125,261,56.414233,23
359.077077,453,57.107493,70
192.49018,294,57.627705,46
124.361447,259,58.124289,31
-82.498646,69,58.50982,3
-62.281774,82,58.955087,6
311.036225,404,59.653962,66
172.098553,324,61.69306,20
-564.448514,493,62.27507,6
177.589267,275,62.776197,40
121.22672,243,63.257148,36
376.55563,689,64.08641,74
55.486831,185,66.044216,24
145.171931,349,66.704948,19
969.743352,969,67.849209,161
-116.988715,309,68.557474,9
-53.147658,107,69.062509,8
665.644721,866,71.512981,124
3.214374,402,72.291501,20
-57.53032,95,72.775222,7
803.144321,814,73.812792,143
-53.089283,86,75.562188,7
-92.799519,61,75.977708,4
27.48563,166,76.518181,21
-59.382904,95,76.967058,5
129.907428,256,77.531787,30
682.275482,760,78.445596,123
351.505649,440,79.156723,62
-88.59668,60,79.619433,3
-18.852192,188,81.393783,9
44.470233,185,81.937797,15
23.047847,159,82.437404,18
-64.358947,108,82.940561,5
-8.778377,140,83.444521,7
284.190046,403,84.13664,45
-49.439955,91,84.661516,7
137.861966,292,85.279466,16
-79.607543,75,85.78049,5
134.413137,265,86.377282,34
-84.726753,62,86.765646,2
-74.226338,75,87.239656,5
734.089567,767,89.375943,114
209.764638,357,89.94009,42
38.898994,187,90.463204,20
13.499539,145,90.983602,14
-60.331303,84,91.386119,7
-123.198679,112,91.796407,4
186.612266,313,92.50516,33
-9.557065,141,93.082836,9
27.938069,563,95.292559,21
357.447339,556,96.125142,51
-151.268045,1601,99.387688,126
-88.54775,67,99.846406,3
410.446447,463,100.639992,97
240.055758,563,101.456698,73
104.13966,245,102.025489,26
362.120419,461,104.439867,67
288.908464,393,105.070235,49
-243.864064,834,106.041149,32
34.853,293,106.691111,27
-67.298398,79,107.152674,6
30.602649,170,109.245931,11
