#{"t_start": 1705529871.5966103, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
159.102686,284,0.655,23
-70.984203,503,1.436003,20
320.23726,705,2.328001,43
-36981.452054,2733,6.615002,29
112.577599,384,7.324,27
-184.398613,333,7.992486,6
-217.874529,125,8.537488,0
-93.873433,67,9.05249,3
-42.946074,168,9.618488,3
28.821964,219,10.239222,15
-148.658689,260,10.885222,6
-43.287633,101,11.474886,9
-552.643322,399,13.182883,5
240.108268,586,14.010885,33
-36.665271,115,14.543884,10
-224.917704,1212,16.671885,112
-36.044733,142,17.235888,11
-105.387328,127,17.776887,7
-316.55,168,18.367883,0
-96.340902,58,18.862883,1
-19.258354,273,19.498885,5
210.532528,339,20.156886,30
-47.954453,95,20.676883,10
-92.206094,57,21.177886,3
-110.955515,796,23.112884,50
-11.389957,660,23.965883,65
285.242141,747,24.856884,74
-187.305153,287,25.483884,19
-75.113774,111,26.014884,4
-80.600523,428,27.747885,13
-110.682786,268,28.385884,21
-129.477073,133,28.928885,6
-91.932928,116,29.460884,4
145.349994,368,30.152884,19
66.203806,207,30.729883,9
329.589461,433,31.444886,55
-282.818105,268,32.100884,10
-65.987198,79,33.684401,6
-15.303472,134,34.2394,11
-277.290065,218,34.8564,4
-18.436924,185,35.430401,21
35.24752,181,36.0134,13
-89.43541,60,36.514403,2
-1.350811,138,37.0784,14
118.263269,447,37.812401,45
-238.042262,269,38.4424,12
-62.24272,85,38.954401,6
-78.70348,75,39.4614,4
-94.8654,57,39.957401,2
-314.482049,161,40.5854,5
-211.838615,167,42.126401,5
103.749876,229,42.7364,29
-89.602709,64,43.2494,2
-159.134233,111,43.778402,0
308.531086,538,44.562401,60
-15.626433,211,45.1494,9
-278.278272,260,45.764403,8
-95.531834,126,46.301402,7
14.441642,145,46.8464,22
-96.841908,114,47.3794,5
-69.15063,162,48.893399,12
-91.686574,56,49.3964,2
169.548895,279,50.0234,42
56.951645,184,50.5904,22
163.702086,416,51.305401,57
124.960208,432,52.043399,66
-84.098384,61,52.554401,2
261.953955,538,53.3584,60
-86.537579,63,54.871404,2
284.844631,381,55.596403,56
37.89693,174,56.169404,21
-85.459396,117,56.7084,7
-96.109268,62,57.2124,3
-200.456517,694,58.0924,92
-57.60077,163,58.665402,14
-2.700239,164,59.2274,9
-66.929247,83,59.745404,5
-239.180797,376,61.665401,9
22.435225,171,62.245402,11
-165.950868,230,62.851404,8
-89.117769,60,63.3614,4
-93.661923,56,63.8794,1
-88.515709,62,64.395403,3
118.947145,244,65.013402,33
-87.540351,71,65.5254,3
-122.818625,683,66.4074,31
-85.065465,65,66.924401,3
-79.388538,74,67.436402,4
-492.364441,310,69.211399,5
-89.176497,67,69.726402,3
-77.084171,68,70.2394,5
-99.610786,128,70.7984,6
-54.876221,135,71.349401,9
-75.268623,191,71.930401,9
70.363445,332,72.620402,24
40.199256,160,73.187401,6
-50.332053,100,73.7314,6
-88.322826,60,74.239421,4
0.602185,122,74.786421,15
-83.419216,78,75.332421,6
-108.547529,96,75.873423,4
257.15478,418,77.607421,66
1171.145991,1179,78.764424,174
3.761556,161,79.330424,9
-17.864219,125,79.884421,11
-68.37253,76,80.39942,5
-160.722769,153,80.97042,2
-89.095313,60,81.477421,3
197.320661,328,83.100421,31
234.231579,323,83.779421,48
-133.479524,124,84.33742,4
-59.814095,78,84.864421,7
-122.783933,204,85.45942,17
82.748089,294,86.114421,35
-106.502555,55,86.621421,0
-54.875661,94,87.151421,7
-46.544422,96,87.67842,10
48.613657,176,88.25242,26
-98.31357,52,88.74842,1
65.945609,241,89.349423,24
-50.651295,94,89.876425,7
-208.711176,162,91.436421,7
23.123138,243,92.06742,24
-153.839656,106,92.598002,4
-1016.739429,407,93.318017,2
131.107953,242,93.927017,50
67.861602,237,94.540023,26
-83.827819,66,95.044016,3
-92.503007,56,95.538017,1
-184.63927,108,96.073917,0
210.725359,323,96.730291,35
-109.300831,158,97.292291,8
-300.031186,142,98.87329,0
20.275341,153,99.439292,17
-77.269175,118,99.979292,5
-170.879544,159,100.587291,5
-283.875598,139,101.169291,0
19.078789,159,101.725291,10
-28.901766,111,102.261291,10
-7.279831,232,102.885292,29
-91.684983,54,103.389292,3
107.225402,236,103.997291,21
18.124792,154,104.556291,18
-188.743639,109,105.100291,0
246.162572,339,106.691291,57
-94.455208,55,107.203291,2
-8.299987,153,107.753292,6
-29.554904,249,108.366292,10
-50.328741,94,108.890292,7
-96.558268,54,109.394292,1
-10.393521,127,109.935291,11
22.6498,250,110.553291,30
-93.24666,61,111.056293,3
-99.867266,55,111.558291,2
116.108972,226,112.158291,43
1.901476,172,112.720291,12
-83.929663,65,113.223292,2
401.860304,469,114.888293,86
12.909448,149,115.446292,14
-20.626154,117,115.977292,12
58.577243,192,116.548292,21
-92.932766,54,117.042291,2
-109.197359,67,117.545293,0
181.181431,292,118.175291,43
-37.03134,107,118.699291,10
117.543956,234,119.296292,33
-100.075124,50,119.796293,2
-195.210772,134,120.364292,1
-89.101462,60,120.865291,3
-206.432552,109,121.400294,0
20.518799,245,122.035293,31
74.203794,196,122.611292,28
-97.011851,49,124.12129,2
3.231411,142,124.680292,13
-14.941451,112,125.209292,10
53.183087,183,125.779292,23
-71.463535,112,126.312292,6
-38.857155,105,126.837292,9
68.714643,190,127.406293,25
-45.269833,92,127.923293,7
-42.452024,101,128.445291,8
-51.421825,93,128.971292,7
-414.356887,307,129.676293,7
-93.908607,57,130.178292,2
-91.698111,61,130.680292,3
-68.024601,185,131.266292,17
30.692748,161,131.837291,17
-29.634539,109,132.369292,10
-95.35415,57,133.868291,3
80.419176,286,134.510293,35
-93.440341,55,135.005291,1
-62.360374,141,135.574291,12
145.007761,269,136.216292,30
-97.088743,49,136.725291,2
-70.500093,72,137.234296,5
-32.724924,112,137.772292,11
59.195663,187,138.357296,21
25.862662,157,138.927291,17
-37.826084,106,139.453291,9
853.814364,852,141.411291,154
57.704697,188,141.998291,19
-101.054721,278,142.644292,31
-94.961587,53,143.144291,1
-35.660693,108,143.674292,10
5.297366,143,144.227293,12
-1815.295077,619,145.369291,1
-41.007659,103,145.892291,9
53.225924,179,146.463292,22
39.494797,167,147.979294,22
-10.968053,130,148.542291,10
-96.26654,54,149.041291,1
-93.925119,54,149.547293,1
-90.855554,62,150.055291,3
-88.420178,195,150.659297,12
-35.933917,103,151.201293,10
-99.23747,50,151.701293,0
-173.586007,111,152.234292,2
-96.200615,51,152.729292,2
299.131144,417,153.429292,69
-84.338372,127,153.969291,8
-51.374726,93,154.487291,7
-45.555334,82,155.003291,0
47.514181,181,155.575292,24
-93.86623,56,156.075291,1
-150.307994,193,156.685291,10
37.115323,298,158.393293,29
-90.501987,147,158.957294,3
-83.445876,71,159.474293,6
19.321801,204,160.071294,8
-70.982065,68,160.585292,0
27.035629,158,161.150292,17
40.749427,175,161.715294,19
-144.521576,151,162.273292,0
-797.436977,415,163.230293,0
-110.167831,127,163.790292,7
311.004546,404,165.504291,63
-122.212869,65,166.013293,0
502.269575,571,166.824291,83
862.222356,875,167.784291,143
-94.423517,54,168.280292,1
-85.388632,68,168.786293,4
-37.664023,206,169.373292,11
-100.821603,80,170.908292,3
-93.593597,55,171.613292,1
-28.449433,112,172.147293,11
-7.747995,133,172.701292,13
361.859513,441,173.434292,72
35.741407,167,174.004292,24
29.532877,172,174.578292,13
185.755825,282,175.213695,54
-80.260237,70,175.725697,3
-37.481635,108,176.269695,10
-192.656724,182,176.848697,7
-67.481089,70,177.367695,6
-64.471467,84,177.885695,5
-82.425839,109,178.414696,5
-25.294028,117,179.931696,11
-43.363723,100,180.468696,8
-88.279943,71,180.979698,4
-90.850815,58,181.485696,2
-101.89656,159,182.087695,11
-53.385146,500,182.851695,31
165.529205,402,183.574695,52
-91.692968,62,184.073695,4
-44.506791,89,184.592695,8
-188.010623,416,185.294695,14
82.795997,196,186.843694,34
-14.969772,147,187.410696,8
11.009787,151,187.974696,11
48.543537,185,188.5667,19
-50.532711,94,189.101695,7
30.056932,168,189.689697,17
-174.042826,183,190.329695,9
114.399355,229,190.938696,37
-9.803202,122,191.506697,15
224.794269,337,192.174698,44
55.122506,326,192.885696,44
298.881928,366,194.565695,75
-195.782459,106,195.106695,0
187.774737,301,195.757697,34
-96.497938,52,196.303536,1
54.881459,178,196.91004,25
-22.352701,115,197.50104,14
-92.374624,59,198.035037,2
-82.394633,63,198.546037,3
-125.360819,134,199.116037,6
