#{"t_start": 1705685154.966104, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1645.345506,1001,0.766335,0
-1673.482824,1001,1.505967,0
-1604.809063,1001,3.248946,0
-1588.97854,1001,3.951516,0
-1578.127933,1001,5.679649,0
-1496.67603,1001,6.591145,0
-1440.73284,1001,9.144324,0
-1420.446717,1001,10.389411,0
-899.714221,1001,12.793988,1
-1248.061746,1001,13.853401,0
-707.008137,1021,16.276135,2
-410.681786,1001,17.24888,3
-2.660213,1024,19.918206,6
19.196527,1010,20.974532,7
473.982055,1069,23.427753,11
653.186986,1006,24.62012,12
609.999896,1015,27.420655,11
580.259441,1090,28.662285,14
793.719164,1064,31.188989,16
780.449689,1111,32.398747,17
869.246093,1046,35.214732,19
1089.455244,1238,37.875889,24
966.250917,1115,39.001676,23
884.090618,1001,41.76371,21
1193.078489,1247,43.035319,32
1438.038279,1476,46.011177,38
2528.247375,2608,49.670711,69
2569.171864,2574,53.130034,74
968.334526,1017,55.843594,32
2837.068206,2854,58.964972,88
1014.5591,1047,60.728211,39
2299.660145,2290,63.114437,78
5531.057184,5520,68.987442,189
2998.868962,3476,71.831274,132
8358.421996,8710,80.951256,341
5898.599516,5844,88.800174,228
6804.358789,6779,100.662192,293
8306.028779,8348,113.350552,392
8650.38443,9601,128.145361,464
3021.736533,5648,135.556844,250
9741.769333,9596,149.458126,521
5928.947243,6356,159.567904,381
7672.965834,7736,172.397571,476
6671.082634,6906,182.85615,436
5899.879423,5678,191.842302,387
11422.78516,11442,209.765671,738
8136.684433,7778,219.434905,524
8397.227202,10080,230.370094,605
4906.712298,4733,235.772414,339
9576.762328,9302,244.005682,628
2956.335793,3118,247.573518,217
2032.364377,2285,249.848272,125
8065.805981,9277,257.991534,568
7245.445987,7049,265.202279,479
6213.390007,7410,271.557208,465
5352.498595,6461,278.510115,421
3777.029119,3851,281.385871,270
10387.966508,12077,299.549332,745
4735.063868,4581,306.474119,317
9347.632361,8897,314.939252,616
5055.217271,6375,321.100579,413
8628.922015,10027,331.243921,646
2327.971311,2488,335.231444,192
2011.678609,2892,341.205182,169
6171.782177,7726,350.546533,497
10022.320135,10340,360.330886,690
3630.982023,3549,364.097692,270
8219.329086,8209,372.112561,592
6363.296415,6059,378.103585,468
1935.965455,2111,380.391824,149
8812.066881,8530,388.488522,629
6138.802282,5895,394.545113,449
7299.330346,6935,404.395602,528
5505.415744,5826,409.359456,429
4955.344148,5918,415.555816,415
5647.367744,5377,421.35369,432
4863.813632,6434,427.953797,456
5629.420261,5352,433.598381,439
7565.289348,7643,440.189921,590
3021.522525,2932,443.819293,253
5974.689146,5863,449.737746,459
8638.469963,8331,457.928246,643
5463.483347,5495,462.843328,434
7889.693563,7472,470.692192,579
7982.542093,7641,478.627729,585
8919.598261,8702,486.951043,653
7512.24692,8630,495.231021,633
6668.50891,7570,502.984059,574
7144.19956,7237,510.398224,559
2656.06458,4307,514.722407,295
6191.567115,5913,520.642546,500
6515.471884,6180,528.38753,499
5139.780651,4916,532.837104,417
5406.46432,5304,538.371937,406
5402.955339,5545,542.956286,435
10974.43905,11175,554.011352,769
5035.680628,6699,560.208123,456
2262.874887,4552,564.597894,297
7781.268612,7618,572.25338,583
5934.690291,7229,578.825543,509
6576.810103,6399,586.08036,515
7174.233355,9165,594.301376,648
4841.734778,7243,601.813058,503
3498.488059,3488,604.599751,302
5068.052081,6198,610.632042,463
5290.144194,6266,617.395119,466
6167.987547,6743,628.894195,532
4094.935857,4040,635.066081,350
5140.844998,5381,642.345085,461
4898.643017,4777,650.627514,407
7266.558912,7179,659.460101,569
4985.128805,4806,663.889948,416
