#{"t_start": 1705675761.0537436, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
24.663306,156,0.52296,16
469.420949,514,1.028353,103
-37.465596,101,1.344559,10
-38.747937,100,1.68291,10
-95.96441,52,1.981725,1
337.32044,401,2.428427,84
28.281604,159,2.773117,17
401.495174,469,3.254018,80
173.814885,296,4.687964,30
-44.612548,99,5.007711,8
-45.775304,98,5.324312,7
53.443865,180,5.673311,21
150.355654,259,6.044981,39
144.987423,254,6.444336,39
-96.999957,51,6.744614,1
-25.735636,112,7.079773,10
-96.992855,51,7.380863,1
-44.634501,99,7.72014,8
-96.930871,51,8.034752,1
153.000831,267,8.431018,34
-96.994872,51,8.716025,1
-96.998659,51,8.999346,1
226.6058,323,10.560479,51
24.681135,156,10.918407,16
78.338391,207,11.303788,19
109.412748,228,11.68685,29
-24.5719,113,12.003083,10
184.051985,292,12.387675,40
24.693252,156,12.714355,16
25.915587,157,13.051915,17
-44.684812,99,13.374142,8
56.735798,185,13.716132,19
-39.924895,99,14.022057,10
-96.926743,51,14.320246,1
-37.372861,101,14.637504,10
24.773526,156,15.960182,17
-44.613579,99,16.273727,8
34.841138,166,16.618973,17
191.652891,287,17.006441,53
-96.932842,51,17.304034,1
-44.692211,99,17.615526,8
-38.707198,100,17.938803,10
-24.595605,113,18.251787,10
-40.913621,102,18.586413,8
163.909792,282,18.994635,31
34.519965,164,19.363149,18
-44.63606,99,19.681203,8
54.400187,182,20.062286,20
23.612779,155,20.420053,16
-44.683357,99,20.737667,8
134.937475,247,22.116637,36
-40.274058,99,22.435084,9
258.503476,345,22.865462,61
-40.585624,98,23.173846,10
-45.776376,98,23.490483,7
-38.649332,100,23.814111,10
25.939473,157,24.159649,17
-96.987945,51,24.464476,1
-38.693521,100,24.793481,10
-38.655799,100,25.156629,10
25.874978,157,25.519938,17
145.128211,255,25.904542,38
-96.927978,51,26.202316,1
-40.316401,99,26.536701,9
-45.780243,98,27.840586,7
65.161992,190,28.200715,23
45.161318,174,28.562027,19
-96.990353,51,28.8563,1
-42.099764,101,29.259716,8
27.042017,158,29.7078,17
-96.925584,51,30.130051,1
-38.665684,100,30.531902,10
114.673116,233,31.114525,29
-39.089437,100,31.538486,9
-37.424474,101,31.975558,10
-96.926613,51,32.355393,1
-36.239347,102,32.803075,10
261.958412,359,33.513873,51
-35.860822,102,33.917823,11
-38.146693,101,34.364316,9
-96.929544,51,34.82268,1
127.543763,240,36.541501,35
-40.110991,102,37.036608,9
55.516959,182,37.540663,21
324.144109,402,38.215803,70
134.627974,246,38.807389,36
-44.623278,99,39.307711,8
81.100135,206,39.795897,23
-96.926253,51,40.192588,1
231.307995,321,40.79279,58
-44.672843,99,41.296117,8
267.223684,364,43.875528,51
46.669263,174,44.495213,21
-95.963436,52,44.915138,1
765.856682,751,45.878977,163
696.682999,702,46.769905,143
163.12129,277,48.634704,34
18.083768,154,49.154401,15
89.564225,209,49.688337,29
-92.242996,56,50.123393,2
-43.441047,100,50.560001,8
28.180758,159,50.984897,17
-44.668167,99,51.391312,8
-29.67623,111,51.849422,11
-44.607141,99,52.277611,8
-44.611556,99,52.682169,8
-44.678069,99,53.138372,8
126.805481,241,53.616367,34
19.431918,155,54.187124,16
90.825271,217,54.782969,25
-39.138663,100,56.569676,9
49.055112,177,57.052643,20
23.655351,155,57.522647,16
-37.431959,101,57.971699,10
-36.196188,106,58.401311,9
-44.60533,99,58.895203,8
-43.441604,100,59.382568,8
68.364446,195,59.902167,22
59.924634,186,60.496203,23
-36.17251,102,60.993634,11
-37.437357,101,61.526846,10
-38.623054,100,61.997384,10
25.981105,157,62.488464,17
91.408276,215,62.957677,24
-33.896338,104,63.47878,11
296.51508,391,65.564249,54
-44.690797,99,65.99115,8
310.982313,382,66.667413,77
-2.005799,136,67.116788,13
24.674305,156,67.584816,16
-7.349746,132,68.084831,12
225.23898,322,68.722801,51
303.25168,395,69.358824,60
-39.09356,100,69.757003,9
-31.830569,109,71.840917,11
-44.611951,99,72.30702,8
112.922552,230,72.839134,31
-44.607606,99,73.322034,8
-40.237432,99,73.741094,9
25.906434,157,74.225822,17
-44.609532,99,74.737655,8
15.846468,152,75.282262,15
-44.610717,99,75.745386,8
24.823367,156,76.238504,17
-36.196843,102,76.644629,10
19.172627,155,77.165475,15
152.295423,260,77.774675,41
-44.609839,99,78.26833,8
-44.688752,99,78.66644,8
-44.612666,99,79.062773,8
27.037173,158,81.16175,17
352.990198,439,81.879126,63
-44.691427,99,82.31872,8
-44.676166,99,82.761754,8
23.628469,155,83.290271,16
19.434889,155,83.787375,16
-43.21734,99,84.139036,9
-45.773344,98,84.618474,7
136.897601,251,85.25135,34
217.718337,333,85.973492,36
-38.734278,100,86.413275,10
-44.683867,99,88.133941,8
-40.907538,102,88.59454,8
214.957988,315,89.167496,48
363.095444,422,89.859086,90
25.979521,157,90.320571,17
-33.845873,104,90.745575,11
300.705828,379,91.443586,73
-39.718409,103,91.957621,9
-37.447405,101,92.356047,10
-33.831504,108,92.816058,9
25.835444,157,93.287887,17
-39.112792,100,94.889124,9
130.676899,242,95.48207,37
242.526215,349,96.101645,45
-44.698349,99,96.607242,8
26.00696,157,97.167934,17
97.637233,219,97.697001,26
-44.609738,99,98.146963,8
-39.110479,100,98.56905,9
1044.414295,958,101.314237,234
99.925143,222,101.888294,26
88.91395,210,102.541896,27
101.88682,223,103.099957,27
-96.996483,51,103.537915,1
-95.961447,52,103.978874,1
-39.38025,99,104.452797,10
-25.678274,112,104.971051,10
24.611949,156,105.461616,16
-44.688013,99,105.899987,8
-34.580774,107,106.419726,10
-37.494968,101,106.945925,10
170.999986,273,107.556494,46
193.215396,294,109.950268,47
22.449311,154,110.486935,16
-96.996763,51,110.902636,1
24.742904,156,111.408696,17
-37.398837,101,111.937171,10
24.630533,156,112.393121,16
-44.610666,99,112.773129,8
-44.692896,99,113.291589,8
376.13205,448,114.044962,76
25.754912,157,114.623988,16
159.649387,275,115.192151,32
15.663186,152,115.652587,15
-96.996167,51,116.124782,1
328.215811,397,118.567441,79
-39.101341,100,118.996692,9
25.976971,157,119.533143,17
515.467781,552,120.310774,111
59.026935,185,120.862023,22
63.812039,188,121.325215,24
25.792828,157,121.751109,16
-96.983405,51,122.232534,1
538.275583,560,124.573224,130
-44.690671,99,125.012924,8
-45.823618,98,125.44933,7
97.338854,219,125.933758,26
-44.697865,99,126.397508,8
115.50775,234,126.867518,33
136.210341,250,127.432895,34
75.209239,198,127.991971,25
-39.718078,103,128.443136,9
-44.680291,99,128.901233,8
25.904921,157,129.347248,17
174.037821,286,131.524303,37
539.052592,567,132.340271,120
-96.994024,51,132.6853,1
-39.108726,100,133.070947,9
103.330664,224,133.543977,31
-36.885108,101,134.070208,11
24.503287,156,134.585149,16
-96.989892,51,135.050156,1
-40.287483,99,135.494114,9
580.091998,600,136.107788,128
-44.629509,99,137.57889,8
-44.687354,99,137.954579,8
31.713989,166,138.3537,17
-38.064999,100,138.715061,11
-43.295927,96,139.047487,9
42.204895,171,139.423674,19
-44.687961,99,139.759648,8
22.959846,158,140.158883,16
28.334064,159,140.551578,17
229.452291,329,141.01048,48
-33.367366,104,141.346606,11
-44.621007,99,141.674566,8
24.790073,156,142.064305,16
-44.631153,99,142.415639,8
24.780398,156,143.9322,17
24.725162,156,144.318092,16
155.359014,271,144.770478,35
-39.109815,100,145.129243,9
130.694262,241,145.593338,38
-39.724735,103,145.95816,9
-44.686691,99,146.394473,8
-44.607983,99,146.766355,8
-39.725453,103,147.124001,9
-96.999943,51,147.465399,1
275.995177,366,147.958594,58
292.345413,377,148.450572,64
26.043317,157,149.909582,17
-43.375272,96,150.246579,9
-33.218545,108,150.599614,11
54.120455,182,150.98647,23
-33.189901,108,151.328337,11
55.900933,177,151.717038,28
265.325984,350,152.19637,68
-44.605922,99,152.562974,8
490.683261,529,153.101583,111
111.000966,231,153.526142,31
24.672974,156,155.009274,16
-44.604546,99,155.346081,8
345.262231,414,155.836549,79
151.528911,258,156.250208,41
-39.122746,100,156.593482,9
275.279654,368,157.047868,55
-34.552843,103,157.389675,11
-45.818316,98,157.838609,7
38.21866,167,158.313633,19
-44.611736,99,158.682046,8
23.611373,155,159.279095,16
360.094707,428,161.307729,80
87.539389,209,161.902521,26
24.726033,156,162.401977,16
24.661349,156,162.88828,16
-40.258822,99,163.316943,9
22.443799,154,163.786762,16
250.518187,345,164.414931,54
-44.610848,99,164.865962,8
