#{"t_start": 1713322880.695314, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-729.369836,1201,1.198025,0,1
-447.756468,1201,3.445134,0,1
-517.922879,1201,4.636675,0,1
-444.451665,1201,6.795687,0,1
-513.42173,1201,7.987688,0,1
-178.16669,1201,10.210686,0,1
-334.158603,1201,12.354686,0,1
-10.712327,1201,13.527699,0,1
652.652746,1201,15.713713,4,1
701.889071,1201,16.898749,5,1
887.80116,1201,19.105854,7,1
796.480667,1201,21.269054,7,1
1283.707745,1201,22.463065,11,1
2582.227096,2254,25.267623,24,1
1513.077602,1201,27.471681,15,1
1558.880784,1201,28.644205,17,1
1606.988445,1201,30.836232,20,1
1572.822355,1201,33.045256,21,1
1617.607217,1201,34.215279,23,1
1631.614319,1201,36.390855,23,1
1665.341255,1201,37.556884,26,1
1628.629856,1201,39.764965,26,1
1651.760586,1201,41.922036,28,1
1678.222405,1201,43.109045,32,1
1656.050945,1201,45.375091,30,1
27306.968638,18744,66.076149,549,4
30198.556333,19995,88.568342,837,4
14495.329569,9402,98.685297,498,1
24063.098399,17082,118.497408,859,9
18817.849724,12218,131.23577,707,6
14965.850472,9734,142.471642,580,4
18416.625349,12018,156.141332,712,9
16912.571245,10977,168.121697,708,4
18163.428182,11828,181.655828,772,14
17167.469628,11078,194.694145,763,8
17030.777012,10965,206.718732,795,11
15483.573433,10977,218.744357,745,12
21205.057138,13495,234.363477,1000,19
16045.231504,11396,247.565186,803,16
18520.433294,11827,259.989223,879,12
19086.684709,12142,273.664413,937,19
19935.204799,12620,287.72758,1000,17
10142.010761,6465,296.064883,546,8
14378.997887,9227,305.976091,739,12
15728.847372,9998,317.37143,818,14
6377.870051,4089,322.25746,368,3
9401.717032,5999,329.341085,522,6
7417.359879,4731,334.601968,446,1
10961.029137,6967,343.165732,625,7
15392.987458,9732,353.443608,862,16
7060.201584,4493,359.587036,431,7
11425.444425,8281,369.006566,688,10
9789.027978,6206,376.094537,580,13
6876.441672,4405,381.188549,397,6
6653.391929,4240,386.14174,418,5
10835.535228,6790,393.588795,619,16
8905.991851,5629,400.447344,549,10
10689.272825,6722,407.936214,660,22
8180.661285,5167,414.421656,538,8
6998.772039,4440,419.546668,462,5
7534.712679,4764,424.861684,493,11
11016.479782,7016,433.514214,700,18
7299.761726,4591,438.716988,493,11
8004.772146,5030,444.153998,533,16
5405.933737,3514,448.73962,360,5
7310.811809,4657,453.926815,504,11
5794.621113,3663,458.526925,423,5
7289.619541,4586,463.713938,528,7
8302.218512,5193,470.262333,608,13
6538.233768,4104,475.104853,489,9
6698.81792,4192,480.0844,506,11
6945.497101,4360,485.177793,508,6
6921.630982,4154,490.118355,462,7
6693.056088,4198,495.099355,494,9
9581.812478,5947,502.068038,675,22
9961.367567,6212,509.286583,677,17
5158.834928,3239,513.651685,395,6
6586.77359,4142,518.557959,486,8
6136.82928,3838,523.279973,454,16
6340.226997,3941,527.095124,476,12
6672.490604,4179,531.968739,499,8
7998.566589,4973,538.374585,603,10
19239.409604,2750,541.447576,118,1
4807.346573,3952,546.257268,180,3
6678.244835,4164,551.186377,526,11
2236.137198,1508,553.554375,108,0
3189.11974,2801,556.693387,126,0
9453.650317,2734,560.813944,94,3
4089.284798,3070,564.13651,130,7
5816.235245,4468,569.300611,187,2
4022.678149,3488,573.853609,139,4
1839.293987,1319,576.09762,96,0
4957.518081,3846,580.908708,192,5
1883.687361,1355,582.17127,79,0
2306.89913,1633,584.593622,110,0
