#{"t_start": 1714060898.2955036, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-1125.267658,1201,3.853994,0,1
-1118.817358,1201,8.085042,0,1
-1106.745062,1201,11.326602,0,1
-1137.291271,1201,15.710581,0,1
-1134.563933,1201,19.000666,0,1
-1110.172657,1201,23.280306,0,1
-1133.563678,1201,27.601385,0,1
-1134.355576,1201,30.786407,0,1
-1141.290804,1201,34.982685,0,1
-1147.355449,1201,38.177686,0,1
-1113.957381,1201,42.384688,0,1
-1105.338151,1201,46.587881,0,1
-1049.790887,1201,49.760248,0,1
-1309.88472,1201,53.99325,0,1
-1040.771543,1201,57.161075,0,1
-1025.035717,1201,61.375712,0,1
-1089.745376,1201,64.539753,0,1
-707.600485,1201,68.703073,0,1
-1057.780503,1201,72.902251,0,1
-748.914955,1201,76.022643,0,1
17.989749,1201,80.147462,4,1
-122.671881,1201,83.285756,3,1
119.839837,1201,87.434603,5,1
258.081649,1201,91.592605,5,1
314.037852,1201,94.741603,7,1
525.596309,1201,98.919842,11,1
349.214408,1201,102.172899,10,1
341.945224,1201,106.599708,10,1
1130.771951,2270,116.652419,23,2
841.723641,1201,121.094123,18,2
741.424357,1201,124.356177,15,1
878.87322,1201,128.526357,20,1
845.544224,1201,131.682368,18,1
971.295886,1201,135.913078,22,1
987.626602,1201,140.166099,23,1
1043.098929,1201,143.32855,25,1
1021.712023,1201,147.553597,23,1
1000.123542,1201,150.732083,23,1
1015.952706,1201,155.077399,23,1
998.973258,1201,158.313384,28,1
1049.87165,1201,162.742465,28,1
1059.284569,1201,167.088118,27,1
1067.681533,1201,170.286242,28,1
979.40567,1201,174.458174,26,1
1070.419487,1201,177.6021,27,1
1079.530865,1201,181.784146,28,1
1085.186229,1201,185.980492,29,1
1051.847837,1201,189.117686,30,1
1068.991886,1201,193.325837,31,1
1074.347743,1201,196.475613,32,1
1043.049873,1201,200.681756,29,1
1076.791342,1201,204.831337,32,1
1081.878441,1201,208.000054,32,1
2885.319036,3325,227.683931,71,1
19948.472133,21091,869.611548,499,5
28974.703147,28978,2074.42975,1000,7
13412.056574,13445,2338.926509,612,6
20215.382533,20708,2959.495167,1000,19
11629.803359,12447,3191.968184,611,4
14742.895754,14272,3499.823069,777,5
16804.010903,16238,3895.720462,883,4
13406.727193,13362,4157.147977,756,8
10643.890707,11447,4348.672434,651,2
10854.000767,12233,4566.153008,715,5
10138.386053,11405,4755.479625,712,10
15458.651225,15081,5082.675814,1000,15
5482.842643,5240,5125.667034,382,1
16132.595936,15459,5468.79394,1000,21
5645.524493,6907,5541.490945,427,3
10970.076776,10472,5702.782465,767,15
11299.235346,12265,5921.45071,823,7
5765.57354,7138,5999.647558,478,3
10780.4454,11737,6200.970297,810,11
13956.941053,13804,6475.57585,972,18
8486.764875,8003,6571.990313,622,10
9608.972151,9005,6693.310714,744,16
7822.648632,8975,6812.813159,659,13
5049.484213,4786,6850.637066,403,5
9502.345245,9061,6974.226211,749,19
9422.918687,9936,7121.084191,790,14
8284.295852,7946,7216.812455,685,19
7681.631686,7173,7295.613277,648,9
6102.805276,5736,7347.871448,507,6
7331.342805,8753,7462.450269,693,15
4680.780092,4406,7494.216047,415,3
7558.815754,7118,7572.496862,641,10
7785.389822,7343,7654.293192,660,7
6337.19569,5930,7709.529745,546,17
8021.959739,7494,7796.811419,666,9
8975.629345,8462,7906.075938,773,10
7098.764939,6715,7976.293963,625,13
6695.685052,6235,8037.917523,599,18
4777.247834,4473,8072.470737,442,5
4011.419714,3772,8096.311848,378,3
6642.688622,6166,8157.389865,614,12
3286.864985,3108,8175.534616,316,1
5690.628311,5308,8222.482757,520,7
3396.37326,5505,8271.356939,442,6
9264.912128,8617,8386.163634,785,10
8375.69822,7901,8481.814633,721,20
5774.752118,5385,8528.252137,528,7
10347.124977,9686,8673.439695,881,33
4689.536362,4383,8704.883931,444,9
6456.597681,6007,8761.387385,587,12
5942.421763,5536,8810.756178,544,4
7708.490955,7155,8892.401575,692,15
5726.451484,5336,8937.138327,528,4
6875.410817,6370,9002.487303,643,11
7814.649362,7223,9083.240521,729,9
5731.509592,5311,9129.25485,558,8
5073.17506,4726,9166.676669,486,11
4177.194138,3897,9192.367746,418,7
5268.545902,4896,9230.647487,510,7
3567.635081,3334,9250.809618,372,3
6499.464668,6177,9311.676223,616,13
4742.141021,4409,9343.505391,472,6
7361.919485,6822,9414.505327,695,15
4841.378263,4499,9448.235943,481,9
4978.341537,4737,9484.042562,489,5
3106.247837,2917,9498.81074,327,1
5785.012051,5375,9544.829978,549,11
5122.282364,4817,9581.781269,504,4
5909.844798,5471,9629.276162,578,6
9915.206149,9154,9754.558383,899,24
5010.053915,4819,9791.560505,490,5
7321.348066,6787,9862.976827,673,20
7033.152153,7468,9948.105785,650,15
10052.481538,9304,10076.136298,887,25
3577.771618,3342,10095.839976,374,6
5392.686575,4993,10135.34652,538,8
5491.423956,5094,10177.199917,537,4
5756.606835,5342,10222.785475,553,10
4965.673256,4674,10257.891986,493,7
4517.464118,4386,10289.142594,452,7
4346.899394,5678,10339.853925,478,9
5656.386501,5246,10382.95045,546,6
5516.936613,5119,10425.173516,538,6
4247.345678,4098,10452.914665,432,2
5106.158612,4915,10491.18461,485,5
6330.8833,7091,10568.581499,616,9
4484.337684,4245,10598.067408,439,6
5342.214845,4957,10637.034552,524,9
5993.525355,5546,10685.794815,585,4
6823.250489,6330,10747.666289,632,18
5257.688529,5023,10787.468894,516,6
4509.807678,4251,10817.110269,457,5
3456.277104,3245,10835.883088,350,5
5958.722865,5525,10884.774579,572,9
7111.708724,6587,10951.382136,663,14
4195.595475,3905,10976.969854,429,6
5819.219863,6183,11036.244096,547,33
9028.286418,8336,11140.411844,831,16
8231.502575,7652,11229.311056,766,15
7088.484788,8099,11327.917657,700,14
6092.830119,5632,11377.024353,601,12
6759.843709,6243,11437.225622,656,12
5301.840607,4916,11476.68047,524,10
5780.547062,5352,11521.289613,567,12
4672.774648,4451,11554.427191,445,11
2598.844586,2453,11565.5594,285,2
4735.688663,4394,11597.060661,480,4
5412.672283,5012,11636.747725,538,11
4701.336044,4367,11668.781917,473,4
5728.253566,5297,11712.69154,570,8
6488.667741,5994,11768.785874,634,9
5242.582192,4854,11806.292892,527,11
4634.045639,4295,11837.580817,478,6
4812.991574,4464,11869.82369,488,8
5210.466311,4878,11907.706618,517,14
5106.914456,4727,11943.459257,519,8
7036.231005,6499,12009.441526,675,10
7469.771972,6912,12082.175347,696,12
4948.008633,4602,12116.271909,485,5
7175.545722,6642,12183.684687,672,7
9160.149201,8466,12291.96955,834,18
5378.790378,4991,12331.429423,526,6
6912.366171,6393,12394.460197,657,8
5731.0322,5316,12439.621889,552,4
6167.220629,5705,12490.794188,600,7
8928.465729,8252,12593.750696,814,11
6131.171107,5684,12643.620671,585,11
1855.696754,2851,12658.924885,126,0
6209.183102,5744,12710.828399,603,10
5274.932037,4895,12748.823056,517,3
6510.593748,6037,12805.524,612,10
7263.033829,6729,12874.648695,671,21
