#{"t_start": 1713328390.8060434, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
31.861616,548,0.814028,17,1
205.640548,180,1.383028,9,1
-3169.52138,765,2.323027,8,5
-203.749269,350,3.002036,0,3
211.27848,207,4.597037,25,1
80.346618,237,5.229036,10,1
323.102282,336,5.904039,25,2
185.007892,360,6.579036,11,3
36.581225,206,7.166036,9,1
411.437775,349,7.848037,19,1
373.910764,322,8.510038,43,2
-142.338774,75,9.045047,0,1
200.363367,426,10.785048,42,4
-27.440801,70,11.29306,5,0
116.262041,187,11.868093,7,1
787.329732,517,12.632093,98,5
992.968804,795,13.57913,73,2
82.588217,151,14.134132,15,0
41.771555,114,15.673255,6,0
-0.188504,85,16.210252,6,0
692.115405,495,16.964254,70,1
0.326656,84,17.475254,7,0
231.001507,218,18.065252,29,0
-32.994809,67,18.558254,4,0
854.207778,602,19.392252,75,4
9.737412,90,19.908255,9,1
466.829233,366,21.600252,53,1
107.648761,223,22.229266,6,0
237.079553,187,22.803265,11,1
-19.117283,71,23.311266,4,0
783.679786,514,24.090278,110,2
833.926389,595,24.913307,70,5
889.787913,654,26.787308,62,5
71.630918,132,27.345396,5,1
666.765125,443,28.078394,105,5
1716.457566,1090,29.201602,204,8
766.315748,522,30.974389,86,6
1827.42151,1103,32.117909,238,9
-13.951636,76,32.622941,5,0
1712.736861,1072,34.756052,246,11
2367.482685,1533,37.17812,270,16
1680.4807,1064,38.320122,176,8
2813.356821,1708,40.842132,333,13
4.54121,86,41.354134,7,0
1711.318419,1002,42.438147,241,6
279.416206,247,44.048707,36,1
93.122606,148,44.620843,16,0
2374.113942,1379,45.924865,321,9
2607.494074,1423,48.315948,346,19
27.433382,206,48.904971,8,0
-20.669958,69,49.401971,4,0
1923.918415,1120,51.574982,276,8
13.305501,90,52.108504,9,1
873.313266,560,52.913501,129,4
1795.400399,1029,54.007514,238,7
1298.332316,830,56.008964,177,8
1624.059868,949,57.054328,241,8
1502.046908,892,59.15433,210,7
29.198755,114,59.70833,9,0
2076.617252,1181,60.897348,311,12
-20.714539,74,61.40335,4,0
-31.544791,65,61.897348,4,0
1326.549033,807,63.882874,195,7
2315.842096,1289,65.155907,298,12
1765.696497,1063,67.290958,251,10
2037.29751,1169,69.475971,274,13
2468.428048,1478,70.851487,279,14
2758.608262,1633,73.330521,304,15
157.017214,196,73.918521,10,0
1284.905929,845,75.906521,130,3
2156.827825,1301,77.177521,299,12
248.192668,445,77.917529,30,2
1895.409148,1119,80.127105,271,9
4395.637921,2578,83.235119,485,29
1310.641871,769,85.211148,196,7
1073.007489,698,86.103712,148,4
1221.945275,814,87.050746,147,5
3477.775309,1950,89.753845,402,25
1016.191582,877,91.778744,144,9
2465.889493,1353,93.091369,356,18
3074.212342,1769,95.657887,343,17
920.595549,615,97.50289,105,2
1759.159274,1036,98.61189,261,13
2807.399676,1592,101.039889,384,17
2185.446304,1271,102.301902,326,14
1412.394868,801,104.270408,237,8
2197.189213,1230,105.485415,324,15
2998.055392,1549,107.901417,436,20
-38.405499,62,108.400426,3,0
857.519575,560,110.229425,122,3
170.206498,191,110.830426,12,1
2461.312815,1434,112.155436,299,14
1331.29686,801,114.153018,201,7
2092.742447,1232,115.376894,315,12
-38.165656,62,115.889894,2,0
2682.14243,1512,118.283019,389,17
2614.595338,1505,120.704551,337,19
1994.861946,1197,121.886553,318,14
3300.277114,1881,124.530554,420,19
3853.428616,2338,127.472564,441,30
4543.526798,2394,131.486324,485,27
2440.05688,1349,132.784365,378,17
3416.513495,1887,135.421024,444,28
3426.975452,1902,138.084439,405,24
-17.08528,76,138.584439,5,0
270.577334,249,139.192439,32,2
2257.366249,1242,141.463439,380,13
814.028416,522,142.253441,113,3
3048.203904,1703,144.798779,425,18
4093.43702,2187,147.638899,501,33
2563.820479,1476,150.067442,404,18
3073.977005,1665,152.554966,421,24
1824.917065,1094,153.706967,282,8
2252.319334,1213,155.962966,327,19
2214.106967,1201,157.164965,330,13
3370.208094,1850,159.785986,447,24
875.352902,608,161.592993,136,4
2409.69802,1297,162.864001,368,17
2369.092643,1337,165.1716,396,12
1494.596639,911,166.192594,228,9
2150.981255,1189,168.38561,341,14
3720.976584,2005,171.102562,503,23
2936.250758,1589,173.591645,446,13
2589.476827,1466,174.961675,399,19
2977.786785,1601,177.41107,421,17
1256.375952,784,178.344588,177,8
4908.569793,2764,182.558588,571,34
3704.752872,1978,185.249599,501,22
492.640518,360,185.922601,74,3
3574.392284,1922,188.589754,501,28
3799.488754,2136,191.377845,530,33
2645.909905,1424,193.784878,395,21
2864.909673,1560,195.216394,425,21
3178.220193,1645,197.711397,466,25
4540.474099,2588,200.806393,540,34
36.991381,111,202.356404,11,0
3447.902262,1966,204.03845,437,25
33.132606,106,205.572452,9,0
4097.875818,2182,208.380388,546,30
3216.478358,1790,209.952911,442,24
3945.452171,2146,213.761911,573,31
1066.144281,655,214.65191,147,4
3333.247999,1795,217.259938,492,23
1268.923125,787,218.19097,210,9
4387.771702,2220,221.176084,629,33
