#{"t_start": 1714151349.9674144, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-2454.182627,975,2.378,3,2
109.748821,212,3.035011,35,1
-1255.893171,817,4.907032,3,8
58.498181,211,6.575029,6,1
-423.752919,492,7.67104,0,8
-7.644261,251,8.37805,10,0
-984.775134,1122,11.231932,9,17
151.063193,240,12.886942,31,4
-70.824301,236,13.567943,2,1
-42.644342,139,14.14095,5,0
-201.29176,131,14.71395,0,0
-195.165414,526,15.87196,1,10
-130.60962,124,16.42996,0,1
-301.94307,212,17.082326,1,3
-151.361207,165,17.693336,1,0
93.221387,217,18.353344,10,0
-95.687075,136,19.915352,1,0
-31.696403,491,21.034387,28,6
-7496.11048,1013,23.528444,15,15
-5.282027,173,24.134453,8,1
155.888288,260,24.841472,30,3
-29.087854,134,26.397988,4,0
-49.782454,74,26.91851,5,0
19.528163,144,27.497512,10,0
-67.879273,63,28.012026,2,0
-58.328102,74,28.54654,6,0
21.243105,137,29.117541,12,1
-111.587763,553,30.34496,4,8
93.378566,186,31.027476,25,2
-91.390085,107,31.573991,0,0
161.044982,274,32.30599,22,2
286.837192,585,34.595543,40,8
205.711401,309,35.38255,31,1
-1584.269073,609,36.721591,27,4
-289.365909,550,37.939591,27,3
319.265861,481,39.99659,55,3
-48.332844,85,40.520591,6,0
109.167887,204,41.168592,37,3
15.61294,142,41.750591,14,1
-58.733942,67,42.267591,5,0
-54.57954,81,42.7966,6,0
273.852228,347,43.6396,65,4
323.588242,390,44.547237,68,3
-58.513333,71,45.06626,3,0
-48.329237,85,45.593263,4,0
17.700628,283,46.334289,13,1
-24.371784,108,46.883317,8,0
-64.782659,65,48.360317,3,0
302.722737,406,49.331326,37,2
-15.547831,111,49.888363,9,0
-397.311656,416,50.840374,17,1
317.622281,393,51.75639,57,2
11.53952,130,52.32339,14,1
-73.616894,58,52.826918,2,0
17.858492,137,53.394916,11,2
-37.493381,115,53.939429,5,1
-45.843019,83,54.472428,7,0
-55.885536,75,54.984949,4,0
-21.489515,106,55.523947,10,0
120.06358,456,57.534985,32,2
-52.45188,76,58.058318,6,0
76.285118,194,58.692319,16,0
-38.826448,90,59.216318,8,0
97.383488,207,59.863318,23,2
191.13105,294,60.624318,32,4
-110.865278,246,61.34832,2,0
78.285493,197,61.985317,18,2
181.276738,342,63.783317,33,2
437.604591,690,65.323317,61,5
-29.256891,94,65.853194,10,0
-6.717506,127,66.408194,4,0
2.895749,124,66.961193,11,0
-5.523854,175,67.575202,15,1
179.922931,258,68.277202,54,2
-56.210846,74,68.78472,5,0
-125.250004,147,69.37372,0,0
149.451167,260,70.080236,19,0
370.861747,427,72.057265,78,3
332.230377,382,72.95378,87,3
230.57728,303,73.719297,39,1
-104.18465,137,74.293296,4,1
120.662762,238,74.970297,17,1
159.748109,265,75.686296,43,2
130.969331,287,76.443296,38,2
238.953019,327,78.235296,46,2
441.892268,467,79.280299,110,3
-41.065379,88,79.798299,5,0
216.042972,304,80.564296,49,1
558.887614,616,81.917927,113,3
191.556956,294,82.675936,34,2
301.241682,363,84.54097,72,1
491.639228,521,85.690005,107,7
-15.512131,109,86.240003,11,0
50.463487,170,86.835013,13,0
5.53026,127,87.396012,13,0
371.515501,413,88.341525,96,3
-51.151641,82,88.864047,6,0
655.384652,629,91.256082,162,3
591.619906,589,92.547081,138,6
609.382205,611,93.889083,135,6
666.363643,642,96.280122,159,3
899.948026,831,98.178177,206,6
449.212039,479,99.238209,106,4
731.129293,700,101.771367,170,4
492.600985,504,102.890401,128,3
564.476224,555,104.11544,145,3
842.66806,798,105.916752,194,7
135.198041,234,107.608751,39,2
734.672426,690,109.134796,183,8
-20.285007,101,109.664821,9,0
609.591886,605,110.985868,142,3
772.485969,742,113.64193,179,5
617.648302,605,114.972956,150,2
754.689404,688,116.494098,200,7
1337.021665,1186,120.560009,284,15
