#{"t_start": 1718482019.3949618, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-848.0,1201,3.138043,0,1
-776.5,1201,7.263667,0,1
-630.0,1201,10.373816,0,1
-542.0,1201,14.467963,0,1
-442.5,1201,17.599082,3,1
-308.5,1201,21.851148,7,1
-207.0,1201,26.052249,12,2
-251.0,2295,35.959027,24,1
-71.5,1201,39.078387,18,1
19.5,1201,43.18558,20,1
7.5,1201,46.301643,20,1
128.0,1201,50.430232,24,1
104.5,1201,54.593829,24,1
141.0,1201,57.713896,28,1
129.5,1201,61.800114,28,1
190.5,1201,64.91821,31,1
5625.0,21329,702.114146,585,2
6190.0,12382,922.613415,547,6
6306.0,12748,1155.875521,624,3
5333.0,10593,1318.990632,546,4
6436.5,11355,1506.214155,583,9
5875.0,11745,1705.829756,603,2
6210.0,12606,1934.026286,621,2
6747.5,13261,2185.742312,700,8
9647.5,19433,2718.513413,952,5
4745.0,9688,2854.969904,491,1
7791.0,15675,3204.513721,754,4
10790.0,21329,3848.907199,985,11
5825.5,11506,4043.6817,536,5
7388.5,14562,4348.228343,745,8
5381.0,10797,4518.769906,541,3
4873.5,9846,4661.094776,540,3
8537.0,16901,5075.786316,850,7
7525.0,12184,5297.811014,601,19
4948.0,9760,5441.324832,578,1
5846.0,11703,5648.61492,620,6
4810.5,9690,5794.456567,553,4
7206.5,14169,6092.661884,726,7
6817.0,13601,6367.436132,740,7
9318.0,18717,6877.150836,919,6
5994.5,12109,7091.952961,601,3
6874.5,13273,7352.991588,669,6
11349.5,20295,7950.095749,1000,18
7314.5,14407,8263.762403,677,9
6843.5,13843,8571.384366,712,3
6914.5,13581,8868.773836,746,1
9175.5,16008,9278.299611,824,14
9166.5,17859,9778.492056,1000,11
9019.5,17711,10276.142452,968,10
6060.5,12298,10525.31697,682,3
5789.0,11286,10735.219056,638,7
5534.0,10331,10912.020983,575,4
9341.5,18469,11452.430725,1000,6
5302.5,10655,11633.348836,551,4
9355.0,18405,12167.532818,1000,14
5539.0,10944,12366.335062,588,6
7363.5,14394,12701.126853,765,8
6758.0,13711,13007.694796,745,1
7113.5,14323,13335.108595,767,6
5795.0,11755,13548.87508,671,4
3800.5,7531,13646.72949,413,5
5840.0,11788,13874.287863,646,2
8240.0,16570,14313.543905,901,5
7972.0,15637,14706.32156,818,10
6621.0,13208,14989.743086,777,4
7564.0,15108,15357.53974,823,6
8786.0,17146,15824.645761,1000,10
5810.0,11561,16042.263798,616,6
9386.0,13714,16332.039436,748,21
8598.0,17099,16757.612434,933,8
10990.0,18655,17253.79564,996,8
4896.0,9915,17397.979439,525,2
4902.5,9868,17540.914648,568,2
8013.5,15911,17899.464186,914,3
4710.5,9430,18030.646532,505,4
8543.5,16995,18443.793504,1000,7
7709.0,15413,18785.326759,942,3
3924.0,7974,18880.894831,496,2
9158.5,17877,19336.878267,1000,9
9514.5,18382,19815.955754,1000,10
8554.0,17195,20237.085381,885,4
7361.0,14646,20544.991441,818,5
5008.0,10066,20693.89182,533,3
9563.5,18567,21183.675065,1000,6
6838.0,13569,21449.388664,731,6
5061.5,10153,21600.572188,506,3
