#{"t_start": 1714155886.9461262, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-260.5,1201,3.140547,0,1
-195.0,1201,7.253124,0,1
-117.0,1201,10.455179,0,1
1.0,1201,14.582761,0,1
84.5,1201,17.692797,0,1
270.5,1201,21.820862,6,1
236.5,1201,25.939933,4,1
380.0,1201,29.045968,11,1
449.0,1201,33.165968,13,1
1009.0,2391,43.739388,27,1
531.0,1201,47.85196,17,1
606.0,1201,50.983502,20,1
694.5,1201,55.114503,22,1
696.5,1201,58.228511,25,1
756.0,1201,62.340233,28,1
806.0,1201,65.455758,30,1
16643.0,20232,636.39328,566,3
15366.5,15677,983.881678,656,2
12494.5,12627,1211.625499,595,3
12475.0,12610,1438.678188,567,4
11912.0,12064,1647.33521,550,3
11836.0,11954,1852.239085,573,3
12980.5,13104,2096.981539,650,3
11206.5,11318,2282.388528,631,8
16166.0,16267,2656.278046,886,15
17193.5,17196,3072.454408,1000,16
11853.5,11956,3278.145905,688,6
15987.5,16096,3644.058939,893,11
14921.0,15028,3964.473598,837,6
8076.0,8189,4072.047087,414,2
17270.5,17398,4572.266283,900,6
12251.5,12362,4802.93355,677,3
17492.0,17608,5258.660058,960,6
15419.5,15546,5617.918048,841,16
17015.0,17123,6054.900694,939,14
13345.0,13464,6333.869796,770,12
11038.5,11156,6529.607661,715,6
13583.5,13695,6823.866123,846,11
15033.5,15040,7180.741193,1000,20
13315.0,13416,7466.884157,847,15
5989.5,6092,7530.74773,440,3
15255.0,15356,7898.442714,975,18
13914.0,14018,8202.837829,978,31
12797.0,12898,8464.559852,974,20
9321.0,9422,8606.11068,760,15
9905.0,10006,8768.358913,776,12
14053.0,14054,9078.063339,1000,16
12080.5,12183,9312.033586,913,19
9091.0,9192,9448.901944,692,8
13350.5,13453,9733.945989,902,23
13868.0,13869,10035.608849,1000,9
13920.0,13921,10340.293692,1000,19
7331.0,7432,10432.365113,566,4
11380.0,11481,10643.953837,766,8
9323.0,9424,10788.080487,678,13
9375.0,9476,10935.6975,643,7
14384.0,14485,11263.69681,978,13
7717.0,7818,11365.138721,622,5
12228.0,12329,11605.255922,836,13
14288.0,14289,11926.975472,1000,8
10358.0,10459,12103.671083,729,13
13716.0,13817,12403.757626,853,15
7292.0,7393,12494.601151,554,7
12394.0,12495,12741.229088,935,16
6942.0,7043,12826.143469,559,11
13377.0,13478,13113.424321,978,20
7425.0,7526,13207.378549,592,6
10628.0,10729,13390.706104,774,10
10612.0,10713,13575.420846,790,7
7447.0,7548,13669.865639,565,3
11631.0,11732,13889.803172,784,20
13938.0,13939,14193.139023,1000,20
10709.0,10810,14380.17262,779,11
7548.0,7649,14477.880252,575,7
14122.0,14123,14790.560455,1000,14
10709.5,10815,14977.688653,725,6
15021.5,15026,15330.638587,1000,20
11864.5,11973,15557.164868,759,9
9228.5,9334,15698.878167,679,4
14784.5,14787,16038.916704,1000,8
13400.0,13510,16324.149234,834,16
16197.5,16215,16733.720878,1000,11
10563.0,10691,16916.908228,667,4
10873.0,10980,17109.569147,639,5
10480.0,10590,17290.568405,658,5
15988.0,15997,17689.038753,1000,6
9749.0,9856,17846.965188,564,3
11520.0,11624,18063.88548,710,6
14159.5,14268,18382.055568,919,11
10316.0,10423,18557.007144,633,4
15558.0,15573,18933.727997,1000,13
14031.5,14137,19246.491159,845,10
11566.5,11669,19462.878456,714,12
9760.0,9861,19619.731944,699,8
8347.0,8448,19736.832631,612,5
