#{"t_start": 1706285260.8875127, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2010.909883,1201,1.212999,19
-4480.847646,1136,3.359,16
-1317.655302,1023,4.430001,3
-189.263044,279,5.054999,3
-920.672067,543,6.855001,2
9.139321,212,7.463,11
-22.721797,122,7.999999,17
-306.4378,215,8.585999,0
-41.936839,121,9.119001,4
-75.153437,186,9.689,6
-264.549988,117,10.24,0
-717.971825,496,10.994999,0
-1006.608428,1201,13.138003,2
-43.742161,132,13.673998,2
47.915819,213,14.257999,12
-722.382126,561,15.045,0
-728.721385,1201,17.185,3
-558.70512,363,17.859999,0
-631.72099,1201,19.99806,4
-347.679983,167,20.594059,0
-454.437095,1201,21.759059,3
71.756201,209,22.34006,27
-120.020679,58,22.83606,0
-282.367036,259,24.437062,1
-14.833048,142,24.994059,8
-20.119149,132,25.532059,6
-99.039451,48,26.023062,0
-120.645032,61,26.521059,0
-143.01222,75,27.024059,0
-124.959479,64,27.52606,0
-102.759559,53,28.017061,0
-45.601197,123,28.544059,4
-111.914808,63,29.043059,0
-502.426283,241,29.649061,0
4.718521,148,30.193059,12
-56.427498,113,30.714059,2
-277.638125,140,31.265059,0
-114.46714,54,31.764059,0
-1.271577,148,32.312062,10
-272.081027,132,32.872059,0
-234.153289,108,33.51106,0
135.514877,250,35.106059,49
-125.671273,306,35.779059,14
-69.140231,105,36.304062,0
9.918302,159,36.849059,14
-192.531277,94,37.38306,0
-266.063788,126,37.94606,0
-154.572093,111,38.461061,1
7.753033,159,39.01606,12
-127.863484,58,39.516061,0
-269.640648,857,41.45206,3
-110.281542,51,41.96506,0
-33.106232,126,42.493062,6
-134.201905,71,42.98706,0
-6.050716,143,43.528062,13
-53.01922,97,44.047059,10
39.640479,186,44.61406,17
89.051973,233,45.207061,30
-124.862329,61,45.710062,0
138.965816,256,46.32006,41
-118.60671,59,46.819061,0
10.893879,156,47.369062,17
-66.540562,166,47.92506,6
-17.487426,138,48.466059,8
-122.112869,68,48.96806,0
-27.666082,145,50.464061,5
47.101526,188,51.04506,17
-59.640202,93,51.559061,7
-117.273244,63,52.05606,0
-65.490032,86,52.55706,6
-103.114442,52,53.04006,0
-668.757335,1091,54.13307,4
-45.944093,103,54.643069,11
-12.163285,136,55.178075,16
-154.731426,83,55.68507,0
-7.248716,98,56.194071,1
-75.861083,101,57.678069,2
-137.084413,74,58.201072,0
-235.83809,89,58.743078,0
68.089224,206,59.31808,18
-104.189472,49,59.796077,0
-108.544289,53,60.282078,0
209.09129,330,60.922079,37
-1.430254,156,61.467079,15
-122.335457,71,61.95508,0
-101.207073,49,62.436079,0
-99.622288,47,62.923079,0
163.564887,271,63.53408,50
58.486244,192,64.09408,28
-123.675657,56,64.58708,0
-101.631862,56,65.07308,0
-21.433194,198,65.642078,14
53.032015,196,67.181079,17
-68.713913,83,67.692078,6
8.439874,165,68.244079,11
-20.642049,140,68.780078,7
-98.558372,47,69.265079,0
-52.124979,96,69.774085,8
-110.122326,55,70.263078,0
-58.768191,92,70.769079,7
-7.957598,142,71.310078,10
-111.632406,68,71.803079,0
78.213017,212,72.38208,26
-203.913076,96,72.906078,0
95.484709,220,73.492079,39
266.32688,362,74.158078,68
-7.332162,137,74.690078,14
-148.565084,74,76.158079,0
52.227916,205,76.75108,11
5.409738,154,77.301078,7
-153.316729,80,77.816078,0
6.425947,152,78.355079,8
-117.423484,63,78.845079,0
-118.356829,69,79.333081,0
222.479771,323,79.974081,57
98.597809,245,80.57508,15
135.16667,265,81.184078,30
-132.906528,75,81.686078,0
-62.301992,93,82.200081,7
-44.622246,102,82.72108,9
-146.762416,75,83.248079,0
95.096415,237,84.805079,33
-24.772096,167,85.364079,7
-111.072452,56,85.859079,0
427.661378,494,86.605078,90
21.43319,174,87.163079,11
-169.476628,88,87.673099,0
-52.973294,129,88.206099,7
117.365897,242,88.809101,27
-109.206556,55,89.313099,0
94.770296,223,89.916103,32
-69.78769,84,90.4311,6
141.225468,268,92.061101,45
-102.42035,50,92.564099,0
-142.419592,81,93.067102,0
-52.22281,104,93.586099,10
141.958394,263,94.193101,39
389.209472,449,94.909098,96
-189.579465,108,95.433099,0
163.279055,278,96.049109,44
12.173139,160,96.607109,13
-98.172493,50,97.09311,0
117.321573,241,97.698111,40
-161.948076,85,98.219109,0
-97.727573,47,98.71311,0
-12.523668,135,100.233112,8
30.454429,174,100.811118,12
-5.700283,148,101.35012,12
-12.003377,135,101.884119,17
-128.906042,66,102.371117,0
70.681348,197,102.938117,30
238.731314,335,103.586118,68
-24.384099,122,104.111119,12
95.379613,226,104.705119,35
47.524445,189,105.28212,14
-29.022464,127,105.822117,14
128.140535,254,106.432119,28
60.979761,199,107.981119,20
102.880674,229,108.579118,30
64.557064,202,109.150118,16
-151.748758,72,109.65412,0
126.159078,252,110.256119,34
43.097349,183,110.81412,16
48.282895,189,111.382118,19
-131.717741,71,111.876118,0
-12.3736,183,112.446118,11
-114.514035,57,112.946117,0
208.273339,307,113.585118,59
94.688811,227,115.172118,21
110.261654,230,115.774119,38
-54.744589,122,116.301117,6
209.199033,309,116.937118,58
193.756647,308,117.566119,52
49.459227,193,118.135118,20
35.125559,171,118.691118,22
265.802432,354,119.35112,74
128.762203,256,120.930118,39
154.544235,281,121.569121,33
106.051219,234,122.165118,30
177.156251,295,122.794118,36
9.606097,159,123.332119,12
57.971903,199,123.904117,19
345.894089,418,124.600118,96
544.530266,574,126.349118,126
98.053786,230,126.942118,22
85.741897,224,127.52812,24
167.409377,282,128.144117,43
66.138491,203,128.716117,19
34.560486,186,129.281117,19
-454.766237,201,129.873118,4
-53.183745,101,130.38612,8
-106.18775,54,130.875118,0
296.547198,383,131.558117,69
86.950492,229,133.133119,28
99.519408,232,133.842119,27
302.735938,392,134.52512,67
239.837143,349,135.183118,49
-12.798199,147,135.732121,10
195.731508,322,136.378119,46
221.556092,324,137.024117,57
-50.456103,129,138.518121,7
345.172678,426,139.240119,79
338.490749,414,139.93912,78
499.098236,543,140.704119,118
275.067095,365,141.377118,68
241.865638,331,142.992119,67
24.505311,166,143.55412,14
93.52063,220,144.140118,29
-71.586329,77,144.643118,5
150.957095,255,145.249118,54
-58.532027,97,145.75512,9
702.914815,727,146.637118,130
77.338619,207,147.216117,26
100.138793,231,147.80712,23
178.587824,287,149.410118,47
410.684561,462,150.133118,103
404.064291,478,150.865118,82
107.743285,229,151.454118,35
209.775828,323,152.100118,45
165.726614,286,152.72012,50
162.70201,277,154.298118,39
164.176728,274,154.92112,44
335.964948,425,155.628117,71
1.737017,143,156.16612,15
138.093127,268,156.78112,36
211.356276,318,157.427117,51
230.227644,343,158.079117,52
52.664645,192,159.638911,25
101.565698,230,160.239909,27
256.192151,359,160.904908,55
50.908505,187,161.47291,20
-73.229585,78,161.971911,5
328.497971,446,162.684909,46
-145.379412,79,163.190909,0
208.939728,325,163.840909,46
-16.182962,127,164.372911,11
163.74223,277,165.977911,47
208.884122,312,166.628909,47
97.217028,218,167.20191,29
111.187763,241,167.798909,20
86.525392,217,168.37991,23
44.657176,248,168.978909,17
169.745579,305,169.611908,45
343.996866,444,171.313101,54
29.780434,170,171.878101,18
360.730206,424,172.583103,89
-28.810376,109,173.099101,12
121.976514,251,173.705101,31
300.241225,393,174.390101,59
98.703393,232,174.991693,27
-62.008445,100,175.502693,0
328.715335,411,177.194692,74
354.680708,440,177.906692,73
-102.579657,49,178.392693,0
133.231053,260,178.998703,29
501.356859,568,179.780704,93
434.391385,473,180.515705,119
273.716929,358,182.165704,70
500.461595,573,182.960703,102
140.31644,258,183.564702,40
299.552599,390,184.242704,67
182.666392,293,184.868702,41
265.15692,356,186.500702,63
171.612766,283,187.133704,46
-11.01216,142,187.672704,9
410.828748,477,188.406702,88
281.556739,382,189.087703,76
282.402239,372,189.752702,68
432.701941,503,191.512705,86
240.758493,339,192.172703,60
102.175619,230,192.757703,34
156.020807,269,193.368704,41
472.376738,519,194.122702,107
279.075501,379,194.795716,58
335.678272,412,196.490716,80
168.464992,290,197.117717,39
133.990855,275,197.730716,33
43.491576,183,198.285716,20
18.628121,199,198.846717,12
212.02761,321,199.489716,55
-30.113351,113,200.007716,11
61.702375,196,200.579715,22
344.840378,434,202.278728,73
280.41706,374,202.955728,62
331.05507,431,203.657729,60
250.892416,353,204.322728,56
162.910083,284,204.944728,37
114.776245,238,205.539728,39
71.387827,206,207.093743,19
153.344105,277,207.733742,34
181.996469,289,208.361742,51
459.65805,520,209.124742,96
305.635326,384,209.802742,73
659.891945,682,211.648755,132
-6.796134,133,212.195764,14
280.946963,374,212.869763,61
176.13104,287,213.491763,47
515.633408,559,214.275764,115
139.923845,257,214.883763,37
374.659173,447,216.597945,82
293.854557,381,217.276945,63
217.291661,325,217.918947,46
309.90264,393,218.599944,71
102.627892,231,219.191947,25
-60.059081,206,219.771945,11
-9.837976,142,220.306945,7
477.451438,578,222.078658,67
339.565219,427,222.78166,70
567.525681,585,223.577661,138
231.335279,329,224.223658,54
571.609876,625,226.03166,108
-41.341396,101,226.546657,7
318.288371,402,227.241681,76
122.775465,242,227.84468,35
298.647059,385,228.525683,63
59.563874,194,229.09568,15
122.683702,252,229.694678,27
422.16015,490,231.417694,90
275.335629,364,232.087696,67
-52.903991,110,232.608782,11
87.789628,221,233.189693,23
440.583772,517,233.942695,83
503.137004,556,235.716046,101
374.47917,454,236.447044,90
415.559989,475,237.181043,95
280.057844,374,237.864044,62
159.05504,281,238.486046,37
4.352763,145,239.028045,15
-96.400466,46,239.520046,0
508.981673,551,241.279048,116
-18.7294,151,241.825045,8
-62.064582,135,242.354045,4
349.035461,461,243.083043,64
489.23343,542,243.849045,101
277.739926,381,245.492053,51
218.792194,334,246.167053,47
531.486566,721,247.049055,99
-62.787046,83,247.552053,6
107.976807,252,248.158054,22
-107.970514,141,248.692063,5
142.793274,269,249.305066,34
50.725561,185,249.875063,15
220.850592,334,251.526064,41
46.003308,190,252.094068,16
255.440366,363,252.759065,46
-70.342588,74,253.359063,5
348.316912,430,254.065063,68
-44.247988,111,254.589066,9
240.865747,347,255.259065,48
263.898974,370,256.929064,50
181.933714,295,257.569075,43
428.936168,480,258.303073,105
423.530062,495,259.050072,88
410.402942,472,259.783072,94
-110.899176,114,260.302074,4
173.149104,286,261.927073,45
499.797075,572,262.726084,98
-43.533973,107,263.242084,9
305.545979,399,263.936084,60
510.909393,555,264.717085,114
432.991187,516,266.495085,79
420.95142,503,267.257084,76
395.652365,476,267.985086,75
204.500358,313,268.622083,47
430.579578,499,270.319085,96
182.374771,300,270.978086,42
220.500029,326,271.620086,50
458.956047,519,272.379094,96
322.784337,400,273.067096,81
245.522817,350,273.732095,51
384.267658,458,275.459096,80
176.899301,294,276.087094,43
168.442882,284,276.708096,40
104.791988,237,277.301095,22
342.502211,430,278.009095,66
387.869202,461,279.704096,87
110.554635,239,280.334097,27
524.161165,584,281.133095,98
498.096959,562,281.916096,96
219.6599,325,282.567104,49
155.070283,272,283.178104,37
515.72163,568,284.988103,101
312.367984,406,285.675105,66
275.045055,367,286.341106,62
