#{"t_start": 1706279493.4389098, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-537.448359,820,1.517434,15
-1351.450636,479,2.274435,8
-67.004899,130,2.822433,7
-97.498838,182,3.398434,2
-127.957202,342,4.074435,14
-346.302297,480,5.903434,25
-1009.443857,392,6.612433,3
71.885251,211,7.199435,19
-423.243799,239,7.810435,4
-187.236547,384,8.495433,14
173.091755,397,9.179437,28
61.574177,201,10.762435,24
-86.344047,61,11.266435,2
-6.846291,405,11.971433,12
204.109849,322,12.626433,40
-579.400088,323,13.270436,11
324.796477,438,13.984443,57
105.102147,450,15.663442,21
482.370985,693,16.542441,38
370.160311,496,17.292441,61
-84.064048,66,17.796441,4
-8.985764,121,18.327441,14
-93.718306,489,19.070444,42
-88.004906,66,19.562444,4
369.791374,470,21.287443,55
164.840967,485,22.028442,53
-89.389288,58,22.525453,2
9.939649,148,23.061451,22
722.222973,1106,25.147451,103
-58.606082,189,25.731452,8
29.91603,183,26.298451,21
-6.922249,140,26.84145,13
-79.840737,76,27.339451,4
82.102488,227,27.922451,18
-6.052636,141,28.465451,14
121.016159,249,29.070451,35
200.972946,676,30.912451,47
44.576112,182,31.487452,18
587.177965,622,32.302451,125
148.173534,285,32.933451,29
578.513915,697,33.789453,101
542.248494,597,35.598031,94
330.306302,841,36.552031,71
384.355367,545,37.329033,89
682.234605,1019,39.396031,132
50.317122,184,39.970031,19
53.909284,367,40.648031,42
407.88919,505,41.403031,71
-104.15453,147,41.956033,10
-63.406496,87,42.46203,5
448.624963,514,44.241041,88
-169.554582,381,44.915042,21
-84.050439,72,45.41304,6
200.899457,309,46.044566,58
130.331243,235,46.635566,32
617.454941,671,48.473566,94
579.787722,643,49.318568,92
183.730758,303,49.957567,40
274.996758,384,50.651407,60
399.717699,477,51.390406,70
67.11416,355,53.042406,39
-51.020087,98,53.566407,7
-79.843458,69,54.064407,3
113.172497,238,54.660406,35
-46.614005,118,55.180407,9
437.346775,518,55.931407,77
11.064857,212,56.511409,15
-53.480547,95,57.026414,7
21.351051,597,58.819409,60
891.923076,910,59.823406,141
889.398741,860,60.783408,177
1035.969332,980,62.821407,214
488.500093,615,63.651409,90
-45.779501,101,64.176406,9
581.789259,638,66.014407,87
767.389205,816,66.976407,102
265.737103,356,67.642406,59
1383.761767,1391,69.904409,193
571.991316,660,70.745407,79
567.053307,621,71.562407,107
723.512276,701,73.434406,161
266.546716,369,74.117407,61
1304.950513,1390,76.396407,212
963.175494,936,77.40841,180
-45.799078,105,77.921407,9
579.860754,638,78.771407,99
389.446402,494,80.554408,75
41.560699,187,81.139409,11
918.64962,928,82.158408,154
658.37593,692,84.003407,118
368.447826,434,84.741409,92
1097.00328,1059,85.831407,200
-32.070352,115,86.366408,14
1399.865464,1338,88.605406,226
669.62698,687,89.476407,132
960.183468,936,91.499408,188
