#{"t_start": 1705686289.057525, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1889.941638,1001,0.809574,4
136.531879,611,1.402768,36
-915.140032,378,1.871386,2
-10.3493,129,3.306812,3
-2219.670362,628,3.916767,6
-701.325215,219,4.359998,0
-123.342093,243,4.782982,6
-528.381097,581,5.352245,8
-278.818276,156,5.717285,1
-242.758041,259,7.175516,3
-2178.375242,698,7.796902,8
-1599.656142,565,8.320677,8
-175.334037,313,8.722943,11
-773.825727,435,10.179072,0
-1160.606297,491,10.711197,10
-2227.076265,997,11.506462,9
-99.842268,286,11.987765,16
-353.757041,343,13.420268,11
-1534.571726,1001,14.179235,2
-87.374948,111,14.536548,4
62.169745,196,14.911668,22
-65.45329,186,15.286736,11
-440.58219,205,15.701266,0
189.858533,338,17.1747,17
-148.452419,212,17.569955,3
70.524882,218,17.978497,15
-46.07401,102,18.323482,8
-587.625189,553,18.884267,8
-171.179767,362,19.34224,19
40.645599,188,19.696434,14
-566.362343,323,21.162992,0
-1317.286338,608,21.73895,10
57.058767,186,22.12356,30
-161.508737,190,22.499548,3
87.717988,229,22.885547,26
-71.187779,806,24.548497,34
-115.499885,128,24.907269,6
-204.307979,108,25.253555,0
73.759232,213,25.66705,24
-289.284212,362,26.130437,17
205.924997,298,26.579195,22
-9.513882,134,26.926683,18
-213.361432,180,27.300679,4
-257.109472,137,27.671395,0
391.801967,532,29.30874,80
-165.330278,195,29.692692,4
594.298616,653,30.264307,109
431.955255,505,30.763334,87
-30.300011,404,31.216266,33
257.931403,356,32.669942,58
-98.03898,52,32.95831,2
242.871779,354,33.379617,43
-1429.390949,517,33.896578,5
-67.635827,91,34.204187,7
-49.528622,107,34.514427,10
-394.676908,332,34.936434,8
-78.87567,77,35.253561,6
-55.382869,94,35.589828,7
560.670327,612,37.23367,112
-94.045186,57,37.55366,3
-69.403425,83,37.883527,5
422.697624,501,38.432407,84
491.339616,567,39.009267,84
-98.194385,56,39.322617,2
-89.560075,60,39.649328,2
-89.916646,66,39.969328,3
719.32563,747,41.570196,134
