#{"t_start": 1706203337.0656407, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2681.603707,1201,1.706,4
-153.954374,313,2.354999,35
-265.254603,106,2.884999,0
-50.162654,378,3.581001,19
-175.581548,766,5.58,30
349.409441,454,6.319999,47
-158.775911,166,6.892,8
18.635262,430,7.614555,28
-84.365975,68,8.124556,3
661.062166,725,10.091555,98
-65.60614,136,10.645557,6
-237.278105,281,11.276556,11
45.100008,692,12.153556,60
306.03104,669,14.036557,61
362.548584,470,14.788557,56
-67.522529,86,15.30056,6
562.340908,672,16.163555,108
103.850613,379,16.852558,34
572.511889,624,18.717558,115
623.852167,673,19.585556,120
-37.141016,387,20.285558,32
663.259796,700,22.180555,124
-53.195867,94,22.718555,8
-66.941313,88,23.229557,9
755.699289,807,24.169558,110
392.892578,512,24.933555,44
542.475628,630,26.764557,89
221.941154,325,27.434557,53
178.978628,296,28.074557,46
215.758359,322,28.727558,49
295.829526,393,29.428558,49
-253.24789,320,30.084559,13
159.762609,300,31.723556,19
-58.238434,93,32.261556,7
-391.605551,257,32.879556,4
-79.241462,71,33.387558,5
-91.203563,68,33.889556,4
347.152044,421,34.604555,69
-39.963788,115,35.136559,9
-75.841731,81,35.659557,6
1218.337924,1181,37.831557,207
77.448527,212,38.426558,21
69.289597,206,39.014555,21
168.770151,282,39.646557,39
-50.39785,102,40.177638,7
-342.184189,943,42.234557,103
-79.055888,70,42.753558,3
400.309468,746,43.655555,61
-79.592096,71,44.155557,3
403.033258,478,44.89763,87
-85.499069,66,45.400558,2
1152.236699,1758,47.882555,198
82.43672,250,48.493556,16
-38.518645,111,49.021558,12
-75.551069,77,49.537557,5
107.364189,286,50.192556,27
820.326812,821,52.206556,159
786.431422,788,53.140557,158
-65.165215,85,53.657557,8
335.499889,419,54.365555,75
875.726823,870,56.388556,151
-46.194017,105,56.927558,9
217.48184,322,57.590557,54
1015.919515,1006,59.661555,186
-70.412493,77,60.184556,5
396.300727,478,60.937562,81
1211.726555,1189,62.096558,184
418.998968,485,63.834558,92
1794.584794,1810,66.422559,227
1406.520293,1328,67.713557,238
123.564066,261,68.331555,44
451.015829,522,70.127555,97
266.12662,365,70.830556,61
539.868939,628,71.677559,86
1140.483396,1200,73.879557,201
770.938576,793,74.817555,152
582.459492,641,75.677559,99
1329.005304,1258,77.987208,219
744.844681,759,78.914209,147
1184.465558,1133,81.13321,205
555.520413,632,81.990209,92
-21.442153,137,82.538209,14
509.881165,600,84.41321,83
397.162632,479,85.195208,74
1081.580723,1021,86.28521,217
1679.94925,1564,88.693208,275
1262.659051,1218,90.887209,215
1768.625735,1614,92.318208,319
631.017402,655,94.223795,144
2463.390234,2518,97.232578,350
2281.482191,2089,99.950474,348
3327.086954,3288,104.36847,444
2861.0264,2560,107.410472,465
1705.718812,1619,109.858472,263
1515.134961,1390,111.158471,295
884.825351,885,113.164471,164
997.890368,936,114.185472,228
1361.993798,2293,117.060472,299
805.745151,800,118.996471,167
759.029131,750,119.903472,170
-8.019649,134,120.44847,20
1153.317826,1087,122.641472,237
748.115763,741,123.575475,165
809.513132,789,124.526473,176
725.299024,732,126.532058,157
1176.752311,1075,127.643055,251
1124.087137,1030,129.801059,261
276.157955,367,130.496056,73
262.048716,357,131.183056,61
330.792761,428,131.912057,63
1738.741662,1583,134.361059,301
1483.766202,1337,136.650054,318
887.609879,876,137.626057,171
-78.70902,75,138.137055,4
1381.26242,1281,140.390056,262
1129.551983,1084,141.509056,216
1689.641235,1522,143.918055,325
-10.074995,247,144.528056,13
1721.695177,1554,146.943055,332
2607.293141,2929,151.166056,482
937.99493,891,152.19606,206
69.030798,202,152.776057,27
2171.916558,1906,155.405055,426
1824.853791,1636,157.945059,355
2797.894213,2657,161.091057,444
2062.316431,1836,163.714056,388
1717.043594,1540,166.093132,352
2678.491764,2375,169.020055,469
-35.83418,110,169.552057,9
111.548446,250,170.168056,25
-71.63967,77,170.658055,3
2672.805172,2446,173.597862,480
309.83891,387,174.290033,83
1985.316459,2022,176.988853,380
1259.789919,1145,179.16884,279
310.320617,403,179.872843,61
506.32946,540,180.657179,129
642.839358,963,182.847466,175
940.502614,924,183.876467,192
1664.53165,1734,186.482466,297
2525.943215,2670,190.990166,372
1997.323413,2263,193.925165,356
2591.771028,2507,197.116168,441
2191.973556,2150,200.088168,380
1948.916652,1780,202.796166,329
1558.697726,1933,205.483611,314
2268.354257,2088,208.320613,340
1188.485418,3032,211.665732,424
2232.712703,2015,214.369728,379
