#{"t_start": 1706292489.2808216, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-332.704075,508,0.772001,16
-28.461488,172,1.333,9
-318.830254,458,2.051999,28
-10.457893,164,2.595,7
11.150269,291,3.218,12
-1169.661598,741,5.084,9
-1530.665697,572,5.876,6
255.514393,561,6.653,60
-239.567633,95,7.178,0
-2902.1284,728,9.002,28
426.88055,930,10.017,38
478.901969,540,10.788999,74
-96.8168,307,11.42,8
-54.360805,208,12.951002,5
235.619327,396,13.663,43
636.863169,787,14.572,69
503.888523,762,16.424001,44
311.391987,401,17.133,55
424.501586,497,17.884,66
924.168668,1032,18.942,101
255.080215,338,20.557,51
365.888316,893,21.543999,93
623.499829,661,22.388999,99
892.646164,900,24.339,128
-67.156199,63,24.828999,4
362.071532,551,25.613,34
-22.750261,144,26.158002,8
506.269082,531,26.948,115
681.168014,831,28.887,88
208.623663,404,29.578,46
-55.64447,74,30.074,3
726.518533,741,30.965,122
462.546996,507,32.69,92
652.476159,700,33.557,89
629.837057,648,34.394,123
1288.416197,1229,36.533,197
428.891432,487,37.278,81
773.347178,868,39.191,119
858.955491,835,40.135,164
879.583033,902,41.116003,115
793.077174,828,43.019,144
978.952086,913,44.011,204
625.635393,632,45.781004,134
549.559228,590,46.587,99
430.494797,491,47.335,76
643.729876,661,48.171,119
1665.485616,1557,50.491,246
1406.573797,1279,52.661999,265
96.368916,207,53.247,23
354.489926,412,53.948999,83
461.619087,492,54.696,105
810.785303,783,56.589,167
196.243561,293,57.215,44
514.637397,542,57.976,109
1058.260298,976,60.005,223
498.233146,525,60.766,110
13.813078,163,61.313,16
575.924468,587,62.114001,129
1057.699391,1000,64.127,196
278.516944,345,64.789,63
533.757026,569,65.674,105
1221.939822,1160,67.793,201
1563.888125,1469,70.067,305
1298.832089,1244,71.283,191
1976.410698,1829,73.778,296
1427.102866,1287,75.918,276
2276.482158,2106,78.592,324
2505.866405,2494,81.495,401
1635.715541,2079,84.143,300
2838.550733,2566,87.073,416
2450.915232,2172,89.763,414
1132.269433,1032,91.779999,236
-14.361611,134,92.313002,12
2019.575646,1827,94.817,342
2024.729242,1803,97.269,360
281.963591,358,97.942,67
1539.727121,1453,99.239,274
2315.030657,2113,101.907,430
2649.106798,2341,105.682,442
1204.733451,1098,106.791,243
-54.378239,75,107.284,5
2037.76583,1805,109.758,371
744.269339,706,110.623,181
-51.003739,77,111.122,5
1995.347806,1790,113.617,347
502.258901,509,115.327999,132
1210.733696,1123,116.457999,228
1470.665454,1559,118.748,286
-23.874777,103,119.26,8
1601.182511,1424,121.518002,320
1289.904944,1169,122.66,264
1467.845917,1334,124.845999,277
468.672481,482,125.58,124
578.328817,581,126.359999,137
1625.311076,1440,128.603,322
2731.126836,2657,131.54,420
3190.746211,2836,135.601,502
767.894853,717,136.477,192
1299.325635,1160,138.519002,273
1839.115675,1605,139.922,373
1618.439322,1512,142.214,336
1405.487256,1239,144.351,306
2668.057214,2436,147.201,454
159.096414,261,147.802001,36
1740.700251,1532,150.136,348
