#{"t_start": 1708546980.890252, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2265.069836,1201,1.249416,0
-2048.153142,1201,3.478431,0
-2050.354286,1201,4.640256,0
-2069.664215,1201,6.815473,0
-2273.252209,1201,8.000071,0
-2005.335483,1201,10.355071,0
-2104.54295,1201,12.618545,0
-2037.828168,1201,13.817783,0
-1842.413846,1201,16.053832,0
-2074.667599,1201,17.230832,0
-1969.27666,1201,19.403402,0
-1883.946995,1201,21.596383,0
-915.025894,1201,22.79346,2
-939.714137,1201,24.985459,2
-463.175891,1201,26.142374,5
70.35444,1201,28.313584,8
184.099677,1201,29.472736,9
385.221869,1201,31.710476,11
386.183251,1201,34.011528,12
10.075651,1201,35.184282,10
277.317998,1201,37.392944,13
-161.188046,1201,38.571778,12
68.912703,1201,41.047312,13
-131.364873,1201,43.35657,11
-276.14745,1201,44.562122,12
-26.149385,1201,46.828974,13
193.68694,1201,48.066854,14
107.856576,1201,50.35317,16
-58.932184,1201,52.546066,14
60.975064,1201,53.730529,16
-98.140393,1201,56.051304,12
394.223185,1201,57.233304,15
468.625097,1201,59.460581,19
507.525043,1201,60.706927,18
759.257338,1201,63.093913,20
540.895839,1201,65.338336,17
674.703148,1201,66.507335,22
953.756369,1201,68.682383,23
981.80704,1201,69.909648,26
920.376629,1201,72.193233,24
897.513231,1201,74.435282,24
1034.118185,1201,75.612993,29
1058.675819,1201,77.891979,29
859.105233,1201,79.222653,24
1020.868232,1201,81.514354,31
984.00242,1201,82.701921,30
1051.76347,1201,84.948357,31
1035.222761,1201,87.117344,30
1038.00473,1201,88.305981,29
1034.623266,1201,90.507766,31
1045.508154,1201,91.673594,29
1025.382221,1201,93.872439,28
1056.517057,1201,96.08932,31
1041.769588,1201,97.29457,33
1063.427214,1201,99.588658,31
1041.471483,1201,100.787091,32
1060.529193,1201,103.121848,34
1066.134441,1201,105.361407,34
1004.602229,1201,106.597134,31
1050.533329,1201,108.84372,29
1053.081565,1201,110.024552,31
1055.988185,1201,112.223191,32
1059.582817,1201,113.425478,30
1058.136394,1201,115.693144,33
1043.85757,1201,117.880254,32
1064.865373,1201,119.065207,33
1065.940565,1201,121.32242,32
1029.178116,1201,122.519351,32
1064.09514,1201,124.767377,34
1067.328106,1201,126.929259,35
1009.451344,1201,128.106333,30
1060.305293,1201,130.403414,32
1066.382668,1201,131.590422,32
1051.842046,1201,133.785423,33
1048.231724,1201,134.985008,31
1067.619064,1201,137.250967,34
1052.837484,1201,139.602341,34
1067.132668,1201,140.776194,35
1044.214922,1201,143.056446,33
