#{"t_start": 1709046578.002701, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2102.147015,1201,1.584,0
-2085.370693,1201,3.732998,0
-2087.288527,1201,4.897163,0
-2043.31447,1201,7.08815,0
-2022.454653,1201,8.259152,0
-1654.409728,1201,10.478152,0
-1840.081287,1201,12.700152,0
-1599.21842,1201,13.886154,0
-1068.58651,1201,16.096154,2
-713.668247,1201,17.25315,3
-242.088945,1201,19.431151,6
-640.475258,1201,21.578149,5
-46.335321,1201,22.739151,8
227.050439,1201,24.890152,10
-246.241951,1201,26.045151,10
429.247341,1201,28.202152,12
477.357909,1201,29.361152,13
691.651741,2046,31.97915,22
724.683321,1201,34.139151,18
733.455343,1201,36.30715,19
866.291736,1201,37.457152,21
1023.299357,1201,39.622155,24
984.732365,1201,40.796154,25
979.131361,1201,42.975154,23
921.077768,1201,45.122149,23
883.988579,1201,46.305151,25
952.213195,1201,48.449152,25
987.68996,1201,49.603149,29
990.462076,1201,51.75015,28
987.215754,1201,53.890149,27
995.067701,1201,55.06115,30
1047.880726,1201,57.221154,31
1063.892383,1201,58.37215,33
1919.310219,2353,61.169708,51
14087.512221,14565,78.026238,362
17199.150041,17878,96.834085,590
11811.245805,13939,112.314103,554
16236.605439,18019,132.028658,846
10356.049237,9983,143.31569,542
12553.171911,14222,159.052696,728
14823.332689,17647,177.679836,898
13113.964042,14842,194.664823,801
11137.054277,10793,206.446383,650
15138.226612,16327,224.37394,971
7172.961542,9863,235.502941,600
9810.820888,11874,247.798497,744
15200.323887,14596,264.655508,1000
14488.295884,13562,278.793023,1000
9881.20385,9317,289.50754,727
11157.884151,10498,300.940122,825
7412.030397,6973,308.338144,602
5431.510486,5275,314.836145,465
6157.283815,5952,321.683159,544
9621.419462,8984,331.283171,799
6731.792785,6448,338.424168,585
9234.594294,8606,347.834169,792
6261.78862,5832,354.609169,593
5969.177011,5547,361.238182,586
5542.666255,5149,367.568181,555
5834.022686,5380,373.09472,615
-2.679324,145,373.648721,12
-19.002337,130,374.191719,10
19.785445,165,374.745719,14
-1.372612,148,375.289723,12
-2.736911,146,376.808718,13
1305.588524,2908,379.95972,130
12.240302,158,380.511719,14
-12.381025,136,381.053719,11
-8.650069,141,381.597719,12
-3.8121,144,382.134718,12
0.58326,149,382.682721,13
2315.397352,4256,387.590719,201
3246.563913,4585,393.671721,226
2237.807841,3684,397.22472,142
1559.966133,2931,401.365719,128
-8.702285,143,401.913719,12
2491.605107,5126,407.34472,196
-22.936834,130,407.88372,11
