#{"t_start": 1709060639.4292223, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-227.5,1201,1.210004,0
-154.0,1201,3.487,0
-97.5,1201,4.720001,0
2.5,1201,6.949,1
110.5,1201,8.156552,2
295.5,1201,10.434581,5
350.5,1201,12.699997,9
868.0,2378,15.652998,22
514.5,1201,16.847997,17
566.0,1201,19.130996,19
582.5,1201,21.309996,19
675.5,1201,22.497999,24
711.0,1201,24.762521,26
768.5,1201,25.945548,29
781.5,1201,28.160006,29
790.0,1201,29.329999,30
3183.5,5047,35.861438,111
3423.5,4991,41.654644,130
25392.0,30546,75.96765,908
21697.5,22002,101.506264,875
8523.5,8647,111.787378,433
20413.0,20450,135.267344,1000
20883.0,21017,158.954985,983
12347.5,12462,174.438812,598
18179.0,18304,195.644588,908
15481.5,15602,213.025652,760
13586.0,13696,229.216554,764
9948.5,10063,240.946048,547
19162.0,19174,262.340469,1000
15993.5,16096,280.836457,837
8956.0,9060,290.895461,528
19046.5,19149,313.18925,991
16321.5,16424,331.770821,880
13564.0,13665,346.797017,798
14464.0,14565,364.189168,826
12485.0,12586,378.490848,727
9372.0,9473,389.664914,529
17770.0,17871,411.390521,963
13590.0,13691,427.538694,788
12316.0,12417,441.480542,702
13042.0,13144,455.899512,711
9511.0,9612,469.293187,581
9418.0,9519,481.488239,570
9822.0,9923,492.428626,585
17506.0,17607,513.377847,965
8611.0,8712,523.370752,495
11694.0,11795,537.506622,600
14040.0,14141,554.475566,713
6864.0,6965,562.310738,418
8829.0,8930,573.604481,478
10445.0,10546,586.028091,624
18058.0,18059,606.603446,1000
15446.0,15547,623.853111,850
13466.0,13567,640.562299,766
16143.0,16244,659.488475,909
10111.0,10212,671.71582,589
16077.0,16178,689.9932,914
9584.0,9685,700.465151,544
16982.0,17083,720.46584,944
12559.0,12660,734.779826,704
16212.0,16213,754.375627,1000
12910.0,13011,768.982276,747
14441.0,14542,785.751064,890
12824.0,12925,801.104111,735
15364.0,15465,817.884052,849
10101.0,10202,829.525778,562
13480.0,13581,845.314738,772
16814.0,16815,864.103524,1000
8438.0,8539,873.851782,538
10701.0,10802,886.013403,645
11339.0,11440,899.476315,675
10555.0,10656,911.714226,597
15233.0,15334,929.848826,814
16189.0,16290,948.314061,929
13299.0,13400,963.690272,794
13241.0,13342,979.555803,766
16430.0,16531,998.959229,946
10098.0,10199,1011.060898,641
17606.0,17607,1031.242501,1000
7008.0,7109,1040.427917,432
14037.0,14138,1057.409503,844
15234.0,15335,1074.36122,907
13397.0,13498,1090.293329,825
15263.0,15264,1107.125962,1000
13550.0,13651,1122.881107,871
14398.0,14399,1138.994795,1000
11986.0,12087,1152.756121,777
