#{"t_start": 1709053708.210927, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1124.922021,1201,1.182001,0
-1106.633233,1201,3.318001,0
-1119.901546,1201,4.479002,0
-1076.355559,1201,6.642004,0
-1100.675537,1201,7.806,0
-1061.019707,1201,9.961001,0
-1053.420089,1201,12.121,0
-840.131194,1201,13.279002,0
-1195.690219,1201,15.406548,0
-949.982671,1201,16.554547,0
-525.087906,1201,18.717547,1
-994.95913,1201,20.847546,0
-522.359466,1201,22.005548,2
-717.456658,1201,24.125546,2
0.435231,1201,25.272546,4
-12.895387,1201,27.413582,4
67.236162,1201,28.555579,6
361.542473,1201,30.734579,8
626.326478,1201,32.885576,11
1475.144327,2246,35.647577,25
983.014026,1201,36.798581,19
900.624604,1201,38.943578,18
970.651471,1201,40.102579,20
995.255271,1201,42.216577,23
969.460149,1201,44.337577,22
1025.878323,1201,45.491578,24
1051.05052,1201,47.672577,28
1044.768312,1201,48.836579,27
934.459512,1201,50.973579,23
1016.151065,1201,53.107579,25
1067.434224,1201,54.274578,28
1074.946419,1201,56.426578,30
1044.718167,1201,57.575577,31
17166.985349,19063,78.951748,435
14397.303321,14310,94.748746,487
23763.508434,23455,119.626281,1000
11860.078391,11545,132.763282,553
12730.542094,13638,147.008282,680
17231.170763,16516,165.175297,1000
15482.714897,14739,182.91788,1000
14592.142338,13632,197.671344,1000
14357.638064,13401,213.320344,1000
8431.409191,7925,222.502366,646
7915.849994,7420,230.220368,634
10652.130708,10776,242.7689,843
9246.061023,8744,252.174931,762
7229.32897,6754,259.50293,615
7460.991239,7041,267.964968,636
7065.910361,6716,275.27498,619
9953.898541,9624,286.190977,864
5951.272049,5627,291.957981,540
6716.502905,6252,299.149982,603
6761.381626,6337,307.09398,625
4464.890456,4170,311.914977,432
4573.945951,4240,316.70698,471
5732.939806,5293,322.134979,577
3042.530162,2853,326.16698,327
6057.680851,5633,331.802978,562
5463.007634,5064,338.05998,536
5383.082609,4985,343.335978,535
2837.702262,2826,347.35098,301
6192.867992,5728,353.026981,602
4849.983875,4502,358.957977,485
