#{"t_start": 1709066479.9163206, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
246.5,1201,1.219001,0
285.4,1201,3.498002,0
301.3,1201,4.695001,0
343.5,1201,6.928003,0
414.7,1201,8.117001,0
539.9,1201,10.332002,5
577.3,1201,12.502,7
623.6,1201,13.678,12
636.2,1201,15.938,12
1341.7,2256,18.794,27
736.1,1201,19.983001,19
826.8,1201,22.225002,23
819.9,1201,24.421,24
859.2,1201,25.610003,29
880.8,1201,27.846096,29
888.9,1201,29.016097,31
906.0,1201,31.207097,32
2945.4,4042,36.074098,92
27707.9,31683,71.188348,908
21098.1,21275,95.713357,875
13246.3,13355,110.578355,599
11823.9,11937,124.281355,586
21006.7,21122,147.978759,982
12543.6,12649,163.224761,598
16736.6,16842,182.218932,857
13835.6,13941,198.245421,723
13487.0,13588,212.932475,701
13363.9,13466,228.700479,712
7282.9,7385,237.589474,423
16667.8,16771,256.379477,872
13642.8,13746,271.45345,687
20195.8,20300,294.468847,991
19129.7,19234,317.053147,978
12375.0,12476,331.116979,643
16229.8,16333,349.888709,825
11633.0,11734,363.326707,601
9898.0,9999,373.937634,530
18372.0,18473,394.76488,963
13758.0,13859,411.0279,743
10706.0,10807,423.289852,600
8561.0,8662,434.177821,554
13270.0,13371,448.94311,736
12088.0,12189,462.885049,724
18530.0,18531,483.921051,1000
17848.0,17849,504.553051,1000
8169.0,8270,514.39205,496
8608.0,8709,524.358887,528
13632.0,13734,540.467469,758
17085.0,17186,559.59447,955
10861.0,10962,572.668468,673
16913.0,16914,591.336468,1000
15481.0,15582,609.119467,925
17033.0,17035,627.907468,1000
16726.0,16727,646.671468,1000
15655.0,15756,664.840467,909
13578.0,13679,679.58651,785
12880.0,12981,694.889512,793
10403.0,10504,706.61551,675
16364.0,16365,725.47451,1000
11972.0,12073,739.33251,704
15838.0,15839,756.704032,1000
17201.0,17202,777.498196,1000
16260.0,16261,796.256656,1000
12691.0,12792,810.832693,735
13877.0,13978,826.93171,849
9307.0,9408,837.285438,562
15871.0,15872,855.859809,1000
15565.0,15566,873.955819,1000
13778.0,13880,889.876817,815
12235.0,12337,903.681817,760
16856.0,16957,922.492818,961
15708.0,15709,940.52359,1000
15539.0,15640,958.002396,928
15074.0,15175,976.802593,929
14345.0,14446,993.933876,858
12583.0,12684,1008.968518,766
16051.0,16053,1028.39458,1000
7345.0,7446,1036.537605,442
14227.0,14328,1052.864738,862
11033.0,11134,1066.053042,712
14090.0,14191,1082.852652,845
13842.0,13943,1099.23264,844
13472.0,13573,1114.052227,825
7240.0,7341,1123.302231,441
15350.0,15351,1140.046227,1000
