#{"t_start": 1708725472.5092993, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2059.904049,1201,0.775995,0
-2081.702295,1201,2.517995,0
-2055.319893,1201,3.284998,0
-2090.114665,1201,5.063995,0
-2080.275277,1201,5.834995,0
-2052.132803,1201,7.583995,0
-2087.782004,1201,9.341995,0
-2108.974581,1201,10.126995,0
-2082.898179,1201,11.916995,0
-2059.65653,1201,12.700995,0
-1980.076079,1201,14.476995,0
-2018.290146,1201,16.215995,0
-1964.637596,1201,16.991995,1
-2086.279807,1201,18.731995,0
-1906.736762,1201,19.479995,0
-1869.027981,1201,21.219995,0
-1525.910777,1201,21.984995,0
-1620.370033,1201,23.795995,0
-1484.315058,1201,25.586995,1
-1252.292292,1201,26.349995,1
-120.047982,1201,28.059997,7
-79.370854,1201,28.803995,7
227.547633,1201,30.543995,10
159.570127,1201,32.271995,9
-57.42939,1201,33.032995,9
-177.050304,2340,35.442995,19
-319.130513,1201,37.187995,10
-196.221885,1201,37.933996,10
96.69459,1201,39.637995,12
470.473948,1201,41.377995,16
272.532037,1201,42.125995,14
375.615231,1201,43.860995,17
293.126427,1201,44.612995,15
772.12908,1201,46.375995,19
850.610202,1201,48.110995,22
766.020056,1201,48.869995,20
882.449794,1201,50.638995,22
914.910108,1201,51.382995,23
837.768931,1201,53.156996,23
727.0519,1201,54.868995,21
1020.199914,1201,55.649995,26
1034.098896,1201,57.414995,25
1016.995998,1201,58.164995,25
981.336047,1201,59.904995,26
1032.612172,1201,60.654997,28
1025.824162,1201,62.403995,29
1061.009554,1201,64.140995,30
1029.300597,1201,64.899995,31
1049.750001,1201,66.672995,30
987.880528,1201,67.423995,30
1029.259746,1201,69.166995,30
1057.258292,1201,70.870995,30
3586.575373,4366,75.420995,92
5705.415696,6853,82.366998,150
6357.624235,7560,90.743995,192
9967.576488,10667,101.931994,300
8273.380166,10160,112.867995,292
6784.359785,7269,120.094995,242
8310.547629,8370,129.946995,300
6906.538575,7654,137.414995,300
7282.707246,7166,145.574996,300
4284.582631,6781,152.490995,234
6856.392104,6835,159.448995,300
6651.920364,7004,167.539995,300
6401.857084,6716,174.403118,300
3941.117612,6415,181.099117,257
6065.969466,6113,187.642118,300
302.720962,3605,191.776117,137
4062.975747,4221,196.196117,221
6085.16089,5945,202.640118,300
5631.601955,5683,208.935118,300
5782.412893,5550,214.143117,300
5668.904258,5635,220.380118,300
5490.026006,5853,226.770118,300
5694.350783,5460,232.959118,300
5651.280405,5598,238.185118,300
3127.747674,6324,245.848201,274
5612.292572,5496,251.020199,300
5462.573396,5643,257.330199,300
3708.206519,3718,261.523199,217
2301.663183,6604,268.325198,277
5229.856351,5735,274.634198,300
5440.361811,5208,279.639198,300
5398.773986,5337,285.716199,300
5523.650178,5327,291.708199,300
5436.075085,5400,296.819199,300
1657.920718,1707,298.848199,114
3055.695348,3258,302.722199,200
2654.691739,3489,305.759199,200
4786.545558,4836,311.597771,300
4981.53896,4800,316.377771,300
2495.582512,2485,318.824771,174
4070.686467,4029,323.118772,262
4835.287107,4601,327.780773,300
3241.711758,3191,331.699771,216
4922.325308,4688,336.371772,300
4184.573034,4411,340.893772,288
3962.098171,4008,345.218772,272
4496.295964,4262,349.692772,300
3832.773008,3735,353.845772,261
2135.063363,2142,356.117772,160
4528.351156,4296,360.616771,300
4563.443108,4516,366.212771,300
4579.29336,4343,370.715771,300
4150.648127,4086,375.109772,300
4360.225263,4192,379.494771,300
4350.647336,4163,383.902772,300
4319.286487,4337,388.407772,300
4265.327164,4031,392.747772,300
1766.879737,1915,394.885772,146
4600.327982,4366,399.419771,300
4442.606237,4311,403.893771,297
2363.367596,2362,406.249772,165
4752.259671,4516,410.895772,300
2437.179041,2568,414.380772,196
4441.647564,4215,418.806772,300
4268.551383,4058,423.132772,300
4318.306546,4089,427.491772,300
2468.092229,2614,430.050771,195
4427.322275,4399,434.625772,300
4316.311319,4080,438.955772,300
4165.264391,3929,443.231771,300
1988.490534,1981,445.391772,171
4354.332141,4118,449.745772,300
1876.200518,3856,453.997772,231
4249.253344,4015,458.288771,300
4151.278484,3915,462.548772,300
3840.198912,3709,466.683776,294
1894.914657,1892,468.781772,168
1710.30062,1721,469.821772,155
4041.159184,3807,474.028776,300
4104.149771,3870,478.228771,300
1670.799342,1845,480.328772,148
2344.241572,2313,482.741772,197
2453.491627,2542,485.192771,204
-198.01213,2936,488.983772,160
2107.796786,2092,491.252772,181
3984.184034,3750,495.439772,300
3956.313279,3973,499.758772,300
2483.023392,2488,502.202772,199
4052.19311,3818,506.413772,300
1491.818991,1526,507.336771,131
4052.303359,3816,511.475772,300
3315.607143,3523,515.527771,261
3086.953896,3014,519.280776,238
3863.096057,3908,522.588771,300
3642.247566,3536,526.684771,269
4057.219825,3923,530.966771,300
2022.667349,2008,533.165771,178
3400.679355,3310,537.087772,254
3910.212214,3674,540.179772,300
4142.204463,3908,544.427772,300
3212.494177,3124,548.263772,254
3964.135794,3730,552.453772,300
1979.345046,1970,554.591772,171
4082.207234,3848,558.783771,300
2099.830426,4266,563.306771,270
1928.969446,1926,565.435772,164
1413.043226,1579,566.386771,140
3053.869582,2976,570.100771,239
3910.221913,3674,574.234772,300
2188.293719,2262,576.569772,196
3823.212776,3585,579.641772,300
4108.213476,3870,583.857772,300
3716.185727,3478,587.872772,300
2857.308212,2777,590.473772,242
1033.105518,3730,594.648772,249
3754.204077,3516,598.638772,300
3375.911702,3478,602.615772,281
2815.83606,2741,605.194772,236
3628.163207,3390,609.162776,300
3729.106923,3491,612.164772,300
1225.83805,3835,616.380771,234
3641.178896,3403,620.339772,300
3656.612901,3420,624.307772,300
1860.989019,1852,625.424772,170
2219.047289,2184,628.696772,196
3821.197656,3585,631.808772,300
2089.858665,2057,634.118772,196
3868.652782,3632,638.244772,300
3547.767676,3537,642.255772,275
3965.714176,3729,646.384772,300
1783.415191,4009,650.736773,243
3888.179869,3650,653.857771,300
2246.205653,2214,656.186771,194
2713.053968,5030,662.029771,297
3159.906353,3234,664.883772,264
1398.29715,1426,666.763771,134
3574.173967,3338,670.729772,300
2728.395361,2780,673.357771,238
2340.14611,2422,675.769772,201
3917.197363,3681,679.886772,300
3863.686169,3788,684.077774,300
3762.142743,3524,688.056772,300
2747.995978,2681,690.630772,228
3961.187835,3723,694.726772,300
3661.193219,3423,697.694771,300
1802.936936,1799,699.761772,165
3486.393931,3519,703.758773,300
1784.539017,1779,705.833772,168
3799.180118,3561,709.879772,300
2397.234476,2351,712.275772,208
2219.755325,2187,714.552772,194
1577.789935,1591,716.512772,148
3166.398514,3070,719.292772,258
3971.431133,3838,723.468771,299
3790.207874,3554,727.527771,300
4032.234798,3794,731.702772,300
3853.669981,3684,734.858771,300
3514.285695,3595,738.917771,294
2000.549677,2152,741.183772,180
3705.511158,3621,745.258772,300
3900.191366,3664,749.388771,300
3237.810422,3290,752.313772,281
3866.196294,3630,756.402771,300
2039.644682,2012,758.588772,189
1984.9365,2013,760.785772,178
3743.238329,3507,764.853773,300
2384.766937,2384,767.250772,216
3596.207732,3358,771.208772,300
1940.73323,2121,773.463772,186
2636.261164,2681,776.003772,223
1938.974272,1916,778.165772,184
1428.051866,1449,780.036773,140
2773.341692,2684,782.639771,251
3647.01506,3410,786.605771,300
3509.22604,3271,789.484771,300
1906.982614,1881,791.592772,189
3389.962247,3432,795.578771,300
2443.296287,2579,798.092772,218
1794.531066,1914,800.265772,186
2447.256331,2377,802.652774,232
3309.11593,3073,806.442772,300
3490.657825,3268,809.333774,300
3224.256438,3182,813.143772,295
1789.253354,4026,817.450772,264
1632.023096,1763,819.468771,163
1834.775699,1820,821.526772,176
3458.135006,3220,824.424772,300
3612.124007,3374,828.385772,300
3812.124092,3576,832.401772,300
3655.276119,3496,835.421771,300
2678.433222,2604,837.935771,238
2121.349283,2077,841.116772,208
3490.09326,3254,844.016772,300
2385.095732,2319,846.385772,227
3384.597223,3230,850.252773,300
1873.232155,1855,852.352772,180
3560.121637,3324,855.295771,300
1543.219728,1548,857.233773,159
3529.184901,3291,861.105772,300
1215.553888,3838,865.320772,271
2514.133429,2445,867.784772,233
3443.190491,3205,870.669772,300
1713.475394,1704,872.674772,173
3580.1102,3344,876.597772,300
2985.515406,3051,879.361771,276
3496.163072,3258,883.216772,300
3515.168254,3277,886.092772,300
3553.106133,3315,890.056772,300
3493.17346,3255,893.990772,300
3814.169828,3589,897.034773,300
3720.144438,3482,900.988772,300
3551.19602,3319,904.906773,300
3605.061447,3523,907.935771,300
3662.160265,3424,911.872772,300
3578.157198,3340,915.777771,300
3259.440132,3207,918.660774,274
3872.625287,3636,922.765771,300
3660.207957,3422,926.731771,300
3551.04216,3598,930.737772,300
3435.565603,3232,933.634773,300
1421.1798,1439,935.503772,146
3695.136378,3457,939.619771,300
3662.024981,3426,942.616772,300
3457.145024,3219,946.499771,300
3643.092535,3407,949.481771,300
3325.392605,3236,953.366772,297
1761.270182,1751,955.397772,174
3099.93276,3259,958.288771,283
3425.034136,3189,962.121774,300
2537.392528,2460,964.559772,241
3164.916579,3042,968.306772,288
3251.468265,3325,971.230772,300
3126.273356,3164,974.992771,300
2114.737698,2085,977.237772,197
3415.05353,3179,980.106772,300
2385.938869,2318,983.438772,231
1961.959555,1933,985.584772,190
3375.113488,3137,988.449771,300
3693.080003,3457,992.467772,300
3531.061983,3293,995.364772,300
2444.870084,2370,997.866277,236
3027.584978,2905,1001.557276,287
3477.097289,3239,1004.438275,300
1997.741253,1961,1006.599276,198
3057.589366,3239,1010.490276,300
3325.096662,3087,1014.255276,300
2514.914028,2433,1016.682276,243
3299.02867,3101,1019.473276,300
3108.175056,2869,1023.144275,300
280.509914,2191,1025.440276,87
1910.759454,2078,1027.675275,113
2360.189641,2280,1030.016275,242
675.299895,967,1030.628276,59
2721.94481,2621,1034.129278,262
3197.110894,2959,1036.843276,300
2688.811879,2586,1039.324276,264
2234.722433,2171,1041.653275,225
692.765691,928,1043.270276,65
2685.672837,2579,1045.753275,268
1503.363525,1526,1047.646276,161
2307.72481,3408,1050.637275,132
163.469794,1631,1052.646276,36
949.848226,1046,1054.329276,63
-64.222099,2014,1056.540276,64
1248.052518,1407,1057.407275,84
575.246385,1677,1059.421276,46
885.522776,991,1061.059276,54
13.24191,159,1061.213275,14
1847.141551,1906,1063.349276,103
1135.286162,1223,1064.103276,72
799.573067,1188,1065.799276,57
1313.026508,1539,1067.754277,87
1962.443547,2010,1069.962276,114
-619.101165,1666,1070.976276,35
632.375171,752,1072.475276,40
771.719034,1186,1073.218276,58
