#{"t_start": 1707848208.3639364, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2116.692188,1201,0.770998,0
-2172.190394,1201,2.515998,0
-2045.271042,1201,3.265,0
-2063.316779,1201,4.995998,0
-2309.158,1201,5.741998,0
-2168.529116,1201,7.495998,0
-2019.607599,1201,9.267998,0
-2464.498775,1201,10.040998,0
-1846.407666,1201,11.822999,0
-2448.756816,1201,12.574001,1
-1708.499161,1201,14.319999,1
-1190.005581,1201,16.010999,2
-363.350531,1201,16.766998,6
-216.759133,1201,18.503998,6
223.945149,1201,19.238999,10
232.390585,1201,20.969,11
181.104507,1201,21.706998,10
21.900613,1201,23.449998,9
-409.697198,1201,25.161999,9
594.433413,1201,25.907998,19
78.152041,1201,27.617001,14
-224.069931,1201,28.377002,11
-34.276484,1201,30.086998,14
-32.981103,1201,31.833999,14
-235.611447,1201,32.598001,14
468.549059,1201,34.334998,20
-565.01616,1201,35.072999,10
-253.20743,1201,36.795999,11
-316.283857,1201,38.520001,12
725.489393,1201,39.282998,19
472.036372,1201,41.028,19
680.320456,1201,41.768998,19
895.490535,1201,43.492999,23
722.363825,1201,44.237998,22
940.985727,1201,45.984998,23
912.277615,1201,47.720999,27
867.658299,1201,48.469999,24
968.366728,1201,50.238999,25
915.870039,1201,50.979999,27
889.559162,1201,52.711998,25
854.561944,1201,54.442999,25
949.901918,1201,55.209999,28
954.562045,1201,56.952001,26
1047.360028,1201,57.698998,31
1018.485377,1201,59.435998,31
1062.676965,1201,60.182999,34
830.236504,1201,61.912998,30
989.77116,1201,63.656998,29
1040.364847,1201,64.398998,33
952.403065,1201,66.135998,33
910.871982,1201,66.877999,30
960.047682,1201,68.638998,35
1052.484049,1201,70.336999,37
1060.044868,1201,71.102,38
1070.902858,1201,72.832,39
1070.287203,1201,73.576998,38
1056.356271,1201,75.341998,35
1073.044791,1201,77.044999,40
965.941509,1201,77.807999,42
1072.052014,1201,79.543998,42
1076.194258,1201,80.300999,42
2153.319451,2447,82.802,71
1071.363846,1201,84.601998,42
1035.900675,1201,86.313998,42
1070.524545,1201,87.062998,40
1059.100166,1201,88.788001,40
1063.90582,1201,89.536,39
1055.875633,1201,91.275999,41
1068.487153,1201,92.992999,38
1063.314308,1201,93.756999,41
1076.637974,1201,95.515999,43
2241.67072,2420,97.957999,69
1927.94423,2427,100.380998,68
1042.106646,1201,102.120999,42
2159.618326,2327,104.495998,73
1575.484468,2389,106.916998,74
2075.282839,2343,109.289999,76
2089.71276,2301,111.669998,76
2278.042847,2417,114.101001,77
1817.478899,2297,117.440999,74
2227.767522,2326,119.822998,77
2126.819619,2309,122.175998,83
2149.597318,2259,124.546,78
1647.535356,2270,126.862998,80
1792.453423,2280,129.220998,75
2112.390335,2304,131.574998,78
2196.860006,2320,133.957999,80
2236.674011,2327,137.303998,81
1668.221473,2262,139.646998,75
2101.856146,2285,142.000998,73
2139.846205,2329,144.363,79
1991.69817,2311,146.717999,70
2134.781812,2335,149.120001,74
1835.930687,2264,151.449998,79
2100.676335,2250,153.757998,76
1958.712355,2193,156.047999,74
2041.381074,2182,159.325997,78
2080.545273,2182,161.631999,78
2052.440032,2162,163.93,79
2033.752657,2228,166.266999,75
2110.402089,2227,168.599998,76
2111.812779,2335,171.002001,76
2135.649147,2263,173.325997,77
2145.74004,2366,175.718998,75
2248.484325,2347,178.106998,75
1074.529512,1201,179.831,43
1057.67065,1201,181.549,41
1049.388151,1201,182.311999,43
824.518641,1201,184.041002,41
2194.741431,2359,186.416999,75
2167.641817,2297,188.784998,77
2116.374424,2351,191.200999,75
2160.967646,2311,193.534999,74
1718.004077,2275,195.874001,72
2122.404598,2380,199.237001,75
2152.141635,2272,201.622998,75
2225.461648,2314,204.007999,77
2114.726146,2282,206.373998,73
2060.985169,2358,208.748998,75
2183.178602,2334,211.144999,78
2155.173733,2295,213.499,75
1974.856142,2383,215.928999,75
2145.020664,2291,219.298,74
2125.295287,2214,221.632998,78
2124.75983,2273,223.972998,78
1240.3014,1388,224.818001,57
2096.010712,2242,228.111,77
1715.630227,1862,229.249998,70
2190.941478,2282,232.59,80
2155.337923,2246,234.935998,77
2179.822124,2271,237.25,77
2059.08228,2272,239.570998,79
2077.768227,2223,241.884999,80
1524.719776,2216,244.171998,76
2078.944957,2212,246.507998,82
1931.149174,2133,248.769,81
2064.169574,2151,251.020998,80
2064.046719,2190,253.320998,82
2041.853917,2127,255.579998,82
1889.550664,2124,257.830998,80
2016.425699,2118,260.061998,82
1989.499238,2080,262.305001,83
1979.096556,2062,264.534,89
1940.539835,2035,266.742998,85
1972.794166,2055,269.011999,85
1857.090003,2051,271.231998,83
1876.762655,2039,273.432998,84
1943.321049,2141,275.7,86
1622.96913,2100,277.921997,85
2007.279188,2090,281.138,84
1925.180276,2139,283.420999,82
2025.559457,2107,285.675,84
2021.564871,2121,287.958998,88
1958.597348,2097,290.232,85
1898.962133,2103,292.464999,88
1889.200856,2098,294.707998,87
2014.604598,2130,296.989,86
2035.587076,2114,299.256999,87
1982.229483,2061,301.463998,86
1997.213985,2087,303.701999,84
1998.004482,2128,305.979998,86
1988.074492,2106,308.245998,83
2023.914003,2126,310.507998,85
1979.235869,2056,312.716,88
