#{"t_start": 1707860540.8937442, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-205.0,1201,0.779998,0
-180.0,1201,2.528999,0
-65.5,1201,3.290998,0
-36.5,1201,5.073,0
-3.5,1201,5.837001,0
245.0,1201,7.646998,6
276.0,1201,9.412999,8
398.0,1201,10.188998,12
412.0,1201,11.987999,11
423.0,1201,12.750999,11
540.5,1201,14.694002,15
605.0,1201,16.478998,21
698.5,1201,17.261001,26
668.0,1201,19.068997,23
676.0,1201,19.835999,24
721.5,1201,21.619002,25
754.0,1201,22.388999,28
714.5,1201,24.161,29
760.0,1201,25.947001,30
801.5,1201,26.737997,28
825.0,1201,28.553998,33
791.5,1201,29.316001,33
860.5,1201,31.084999,34
824.5,1201,32.858999,33
780.5,1201,33.641999,36
881.0,1201,35.421,37
828.5,1201,36.179999,36
898.5,1201,37.958998,40
899.0,1201,39.713,39
925.5,1201,40.487999,41
898.0,1201,42.259999,39
904.0,1201,43.033999,42
1624.5,2413,45.498042,64
1766.0,2352,48.97704,73
1727.5,2315,51.467041,71
1752.5,2299,53.868041,77
1823.0,2244,56.286041,83
1838.5,2214,58.712042,84
1777.5,2124,61.03504,80
1780.5,2179,63.37704,82
1734.0,2050,65.643043,85
1775.0,2045,67.889041,88
1766.5,2026,70.10604,87
1780.5,2023,72.305039,90
2625.5,3239,76.21304,119
1775.5,1998,78.41904,92
2780.0,3260,81.41104,124
1835.5,2014,83.655041,90
1825.0,2023,85.899039,93
1782.0,1994,88.145041,90
1338.0,1472,90.071039,79
2686.5,3133,92.997042,126
1771.5,1972,95.29604,91
1739.0,1910,97.520056,92
2673.0,2990,101.333055,129
2627.5,2901,104.102691,136
2704.5,2947,107.926691,133
2726.5,2931,110.785691,138
2721.0,2965,114.868576,138
1752.5,1888,116.058577,103
2692.5,2885,120.057136,136
2164.0,2313,122.49067,119
2782.5,2936,125.25367,136
1495.0,1605,127.250669,95
1337.0,1441,129.145671,88
3764.5,3950,133.539671,187
2666.5,2801,136.218669,143
2860.5,3022,140.17767,136
2733.0,2878,142.98967,142
2806.5,2956,146.879956,136
2665.0,2824,149.697969,144
2763.0,2888,152.62897,141
3811.5,3968,157.196222,190
1548.0,1661,159.367634,97
4692.5,4853,164.431411,239
1812.5,1918,166.689494,81
4676.5,4812,172.609526,229
3832.0,3958,176.974525,189
2760.0,2879,179.697524,139
2113.5,2225,182.086524,126
2151.0,2255,184.463525,121
3556.0,3666,188.641524,197
3538.0,3653,192.761523,189
2838.0,2945,195.518524,148
3741.5,3847,199.93862,160
1942.0,2046,202.207621,113
1848.0,1949,204.447619,114
2826.5,2932,208.218619,101
2017.5,2120,210.496619,122
1644.5,1747,211.570621,106
2396.0,2500,215.063619,149
3262.0,3369,218.078619,178
3471.0,3583,222.407347,197
2654.0,2755,225.074344,115
3031.5,3140,228.966408,175
4548.5,4654,233.77664,215
2621.5,2724,237.463638,98
3648.0,3752,240.673638,206
5071.0,5178,246.798944,272
5047.5,5150,251.971112,227
1792.0,1893,254.159114,105
4558.0,4659,260.060112,203
2738.0,2839,262.765113,156
2643.5,2746,265.417113,131
3588.0,3692,269.622114,190
4080.5,4185,274.092113,210
3677.5,3783,278.354113,173
3422.5,3525,282.406111,189
2786.5,2892,285.121112,121
1432.0,1533,287.043112,86
3898.0,4013,291.386112,191
3952.5,4061,295.821111,172
2829.5,2932,298.567112,137
2817.5,2920,302.290112,123
2774.0,2875,305.040113,113
5077.5,5183,311.25869,231
1965.0,2066,313.53269,112
3987.0,4088,318.138693,182
3547.0,3651,321.56769,191
2165.0,2266,325.03869,127
4501.0,4605,329.78669,221
3652.5,3755,334.06669,190
5467.5,5570,339.445693,283
3580.5,3683,343.690339,164
2717.5,2820,346.360338,97
840.0,941,347.991338,59
4914.0,5015,352.976338,241
4740.0,4841,358.988339,195
2808.0,2909,361.79134,161
2231.0,2332,364.19734,124
2591.0,2692,367.822341,129
2693.0,2794,370.53834,142
2727.5,2830,373.250341,127
3702.5,3805,377.594339,187
3743.0,3847,381.888339,168
3559.0,3660,386.13334,159
2680.0,2781,388.81234,107
2236.5,2342,391.212339,130
2093.5,2196,393.523341,125
3265.5,3368,397.52334,176
2381.5,2484,400.02434,141
2120.0,2221,402.362342,117
3752.0,3853,406.598342,208
2689.5,2792,410.298339,140
1462.0,1563,411.258338,88
3749.0,3853,415.588339,193
1793.0,1894,417.787339,67
2394.5,2497,420.283339,121
2865.5,2971,424.083338,106
3601.5,3707,428.28734,175
3772.0,3876,432.622339,189
4867.0,4971,437.798133,229
3829.5,3936,442.237146,189
3464.5,3567,446.455418,185
2223.0,2324,448.960421,132
1748.0,1849,451.132657,80
2664.0,2765,453.789658,137
3213.0,3314,457.886659,172
2521.0,2622,460.484671,139
2566.0,2667,463.148674,141
5935.5,6038,469.745649,247
3583.5,3686,473.999649,187
5918.5,5921,480.552648,301
2618.0,2719,483.252652,130
3720.0,3821,487.569648,188
