#{"t_start": 1708707202.9159958, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-231.0,1201,1.373675,0
-164.5,1201,3.188674,0
-113.0,1201,3.980674,0
-20.0,1201,5.784677,0
77.0,1201,6.570675,2
277.0,1201,8.363674,5
339.0,1201,10.181673,8
915.5,2330,12.717674,23
1004.0,2206,15.136676,30
1666.5,3027,18.056674,52
3582.5,5822,24.743675,108
7836.5,11275,37.869674,252
4124.5,4780,42.960686,163
8409.0,9043,52.701722,300
7376.5,7548,61.509756,300
4670.5,4805,66.616756,220
6180.5,6201,73.469756,300
6152.5,6179,80.400756,300
5481.5,5493,86.809756,300
5751.5,5763,93.476756,300
2986.0,3087,96.403756,185
5325.0,5332,102.676991,300
2986.0,3087,106.580991,188
4850.5,4854,111.582992,300
5169.0,5173,116.790992,300
5059.0,5060,122.993991,300
5000.5,5003,128.23799,300
4520.5,4626,134.423994,217
5093.0,5094,139.688113,300
4704.0,4708,144.633115,300
4235.0,4339,150.376112,266
4724.5,4727,155.408113,300
4858.0,4862,160.501117,300
4930.5,4936,166.617113,300
5653.5,5761,172.203113,283
5164.0,5176,178.379115,300
5738.0,5842,185.049113,275
3982.5,4088,189.658124,190
4843.0,4847,194.678113,300
3460.5,3566,199.099115,155
3666.0,3770,203.603113,227
5225.0,5235,208.949633,300
5132.5,5235,215.498684,256
2976.0,3077,218.490685,211
4614.0,4618,224.452008,300
3395.0,3499,227.697013,168
4791.5,4794,234.324115,300
4849.0,4853,239.843628,300
3832.5,3944,244.531629,181
3418.5,3523,248.838751,167
4698.5,4701,253.881748,300
4243.0,4347,258.697033,271
3089.0,3190,262.868942,144
4780.5,4786,268.18998,300
4818.5,4824,273.309983,300
4655.0,4656,279.462979,300
4615.0,4616,284.461979,300
4761.0,4762,289.470994,300
4519.0,4520,294.257993,300
2374.0,2475,297.801511,168
4757.0,4758,302.825328,300
4098.0,4199,307.414328,275
2717.0,2818,310.248369,129
4585.0,4586,316.206367,300
3652.0,3753,319.676371,247
2959.0,3060,323.742369,206
4485.0,4486,328.602368,300
4585.0,4586,333.555367,300
4279.0,4380,339.678366,274
4838.0,4839,345.093368,300
4937.5,4940,350.390368,300
4741.5,4744,356.754366,300
4876.0,4878,361.944367,300
4825.0,4826,367.153984,300
4696.0,4697,373.230983,300
4525.0,4526,378.110199,300
4588.5,4591,382.9992,300
5033.0,5034,389.189199,300
3694.5,3797,392.581201,187
4691.0,4692,398.674199,300
5192.0,5193,404.011007,300
4830.0,4831,409.977006,300
5511.0,5612,415.638993,283
4753.0,4754,421.786983,300
4861.0,4862,426.944979,300
4669.0,4670,431.90698,300
4794.0,4795,437.904978,300
4085.0,4186,442.513979,205
4909.0,4910,447.620978,300
4869.0,4870,452.728039,300
5073.5,5076,458.821037,300
5181.0,5282,465.088037,269
5052.5,5055,470.22904,300
5076.0,5077,475.361038,300
4901.0,4902,481.483039,300
2773.0,2874,484.329104,172
4902.0,5003,490.59642,246
4951.5,4954,495.651419,300
4847.0,4948,501.64852,242
4905.5,5008,506.753524,237
4992.5,4995,511.854523,300
5097.0,5098,517.987524,300
3247.0,3348,522.09152,144
4630.0,4731,527.101521,224
5052.5,5055,532.251524,300
5029.5,5032,538.506525,300
4999.0,5000,543.680532,300
4920.5,4923,549.776063,300
5060.0,5061,554.9642,300
4878.5,4881,561.094197,300
5021.0,5022,566.426198,300
5096.0,5097,571.919423,300
5026.0,5027,578.246423,300
4894.0,4995,583.466876,238
4867.0,4968,589.694876,251
4744.0,4745,594.762876,300
3086.0,3187,598.839876,201
4866.0,4967,604.020876,245
3886.0,3987,608.498876,177
6079.5,6182,615.31488,299
4909.0,4910,620.242876,300
4912.0,4913,626.277876,300
6091.0,6192,633.194876,295
2964.0,3065,636.153876,185
2595.0,2696,639.943875,175
4881.5,4984,645.105876,296
4093.0,4194,649.823879,244
5295.5,5298,656.142876,300
5061.0,5062,661.321877,300
5189.0,5193,667.553877,300
5190.5,5193,672.750876,300
5471.0,5475,679.153876,300
6355.0,6459,686.156876,296
6217.0,6318,693.168876,298
3631.0,3732,697.544584,163
5254.0,5255,703.843584,300
4990.0,4994,709.299585,300
5328.0,5329,715.960583,300
5355.0,5356,721.430584,300
5064.0,5065,727.855585,300
3959.0,4060,732.540584,187
5438.0,5439,738.092701,300
5164.0,5165,744.668704,300
5332.5,5335,750.29792,300
5298.0,5299,756.913919,300
5993.0,6094,763.96492,275
5386.5,5389,770.386919,300
3358.0,3459,773.616919,152
6534.0,6635,781.772921,298
3096.5,3199,784.886922,179
5625.0,5626,791.673919,300
5893.0,5895,798.610919,300
5701.0,5802,805.55592,263
5559.0,5560,811.184922,300
3303.0,3404,815.481919,202
4042.0,4143,820.167919,225
5459.0,5460,826.833626,300
4063.0,4164,831.725626,181
5097.0,5098,837.178628,300
4854.0,4955,843.515625,224
5187.0,5188,849.087628,300
5148.0,5149,855.481626,300
