#{"t_start": 1707919282.6493666, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1197.025078,1201,0.806012,0
-1107.940143,1201,2.611964,0
-1049.314543,1201,3.388962,0
-1193.63713,1201,5.212592,0
-1216.387899,1201,6.006636,0
-1098.639283,1201,7.875264,0
-1043.5068,1201,9.740265,0
-881.636405,1201,10.661265,0
-988.143968,1201,12.489265,0
-936.381913,1201,13.254264,1
-130.084549,1201,15.088265,3
-492.682767,1201,17.174426,2
151.147037,1201,18.055426,6
218.103301,1201,19.909424,6
307.976012,1201,20.678422,8
313.485665,1201,22.467424,8
498.595086,1201,23.226422,11
620.135438,1201,25.076423,15
724.201927,1201,26.899421,15
859.634139,1201,27.677423,19
824.739056,1201,29.523423,18
1016.193041,1201,30.309423,22
901.066106,1201,32.077421,20
1015.244092,1201,33.852424,21
802.892513,1201,34.630426,20
832.995547,1201,36.455424,20
1020.484135,1201,37.242423,24
1057.802997,1201,39.003424,25
972.841174,1201,40.781423,23
985.196596,1201,41.578422,26
1030.332559,1201,43.368425,28
1048.630074,1201,44.135423,30
1058.582832,1201,45.935424,31
1067.596322,1201,46.741072,34
1078.047814,1201,48.675069,33
1073.157844,1201,50.497068,33
1066.645809,1201,51.28507,34
1027.46824,1201,53.165581,30
1068.315979,1201,53.952383,30
1086.549811,1201,55.770383,34
1028.623677,1201,57.554656,34
1064.19658,1201,58.343655,30
1032.202759,1201,60.152657,35
1093.6762,1201,60.934176,36
1072.733674,1201,62.723179,35
1034.831087,1201,63.520177,35
1100.979693,1201,65.351178,41
1098.277589,1201,67.234158,39
1079.932478,1201,68.035623,37
1079.150472,1201,69.955642,37
1063.405967,1201,70.740643,37
1043.978021,1201,72.528642,39
1082.057505,1201,74.326644,34
1056.072242,1201,75.111642,37
1076.971689,1201,76.907641,38
1055.686539,1201,77.688643,38
1053.708801,1201,79.547457,41
1077.544149,1201,81.345514,41
1056.19431,1201,82.130089,38
1098.153924,1201,83.913577,41
1054.924523,1201,84.683024,41
1076.633947,1201,86.50946,41
1029.811896,1201,87.29646,42
1084.625057,1201,89.22717,41
2251.232528,2412,91.85165,77
2143.67213,2432,94.602551,78
2154.335633,2405,98.207549,75
2094.007623,2197,100.61255,84
2185.706596,2334,103.116548,75
2114.021569,2206,105.515548,77
2129.009211,2289,107.968549,83
1488.518293,2202,110.37455,74
2015.633092,2188,112.792551,73
1772.987987,2151,115.190551,84
1985.308251,2133,117.545548,80
2046.120721,2134,120.00055,85
1974.596719,2046,122.362551,86
1892.084015,2033,124.740553,81
1992.976172,2057,127.129554,87
1796.470878,2235,129.623554,88
1717.325718,2091,132.023557,76
3086.929348,3263,136.382555,126
1644.686134,1917,138.671555,84
1998.985247,2089,141.116556,90
1788.506185,1966,143.454558,85
1941.070209,2019,146.155084,89
1929.99194,2004,148.601337,91
2424.141397,2503,151.326337,112
1947.793749,2042,153.720294,89
1929.36067,1989,156.108297,92
1891.485725,1955,158.619296,91
2983.296797,3136,162.826197,123
1925.729463,1975,164.123206,90
1857.333145,1953,166.43392,88
1907.669894,1983,168.753277,89
1768.419779,1950,171.095232,92
2997.685028,3048,175.106231,137
1637.146527,1900,177.372238,87
1823.782581,1908,179.63824,92
1915.17844,1965,181.933377,90
3062.64813,3170,184.940378,128
1865.234022,1950,187.246379,98
1644.563934,1923,189.553377,82
1807.984244,1906,191.860956,89
1697.169275,1921,194.176126,88
2931.568825,2982,197.090128,129
3013.064202,3053,201.109991,132
2841.617867,3133,204.254005,125
2863.038517,2996,208.545002,133
2824.658464,2899,211.469036,133
2676.764661,2956,215.416037,126
2997.358915,3093,218.400037,131
2869.388188,2876,222.271044,142
2928.342511,3000,225.190046,140
2862.023079,2876,229.057045,138
2269.032782,2311,231.568061,117
2873.783279,2882,234.420063,141
2746.583355,2849,237.23107,139
2669.955566,2800,241.106955,142
3816.535159,3874,245.591865,182
2666.601929,2734,248.331862,139
3620.150961,3990,252.87586,179
3939.718124,3948,257.391861,185
2180.228603,2884,260.235861,123
3201.432199,4056,264.92504,162
3701.827091,3764,269.356039,190
896.020774,2766,273.206039,103
3627.588167,3681,276.55004,187
3618.576877,3721,280.919041,187
3794.307724,3747,285.279039,188
2368.367207,3823,289.776038,156
1158.283253,1891,291.99004,89
4971.015876,5068,297.282038,240
3799.71191,4312,302.06504,195
3395.575226,3902,306.533041,182
1842.463953,1874,308.783039,107
2969.006032,3885,313.366039,160
3619.100592,3858,317.896567,184
3961.011133,3918,322.552538,191
3668.740181,3938,327.103624,177
2574.867687,2810,329.893637,133
2818.316294,2880,333.709636,140
3846.781957,3934,337.170635,190
2175.323797,2767,341.019637,131
3674.541743,3823,345.470636,183
2602.280389,3889,349.950638,158
3610.738955,3738,353.352657,183
3711.083593,3847,357.826653,193
2534.939353,2779,361.661818,139
761.553789,1866,363.870832,82
3250.932009,3803,367.280855,178
1334.950364,2659,371.175599,106
3491.378031,3890,375.859157,187
3258.710122,3768,379.389266,182
3244.357588,3387,383.609267,179
2330.525271,2532,386.224277,138
5447.996048,5740,392.845275,281
4166.832278,4826,398.956018,222
2483.481833,3796,402.38003,161
2089.480222,2814,406.262031,131
2006.260115,2841,409.090173,128
4448.035073,4866,414.136172,232
1838.682798,1990,416.430565,122
3603.854622,3742,420.887934,196
863.785006,2692,424.6784,101
3649.221613,3704,428.064923,211
2948.186705,3496,432.351989,177
2368.325674,2410,434.893998,146
2499.864859,3668,439.25101,167
1973.118699,2603,441.909019,137
3071.853519,3416,446.097033,191
3404.250674,3427,450.274032,204
4877.741603,5087,455.474736,280
4023.892879,3924,459.947751,240
1822.451057,2459,462.51377,132
4431.255249,6071,469.305338,298
4396.904819,5214,475.796081,273
3499.352261,3570,480.082811,217
2590.234757,2714,482.92347,181
1838.493134,3210,485.986382,164
2810.367814,4269,491.792791,202
1893.101593,3162,494.846126,170
1809.50404,1819,497.052126,130
5003.268582,5060,502.192524,301
3751.802563,5245,508.535532,250
3698.534292,3813,513.037555,228
2889.450074,4152,517.772554,212
2103.897039,2088,520.120522,154
2953.417343,2983,523.008476,191
4621.25869,5198,529.360503,282
3561.259377,3554,533.620468,222
2373.992977,2574,536.286469,154
2439.125971,2404,538.89634,174
4706.904177,4871,543.948567,293
3425.504561,4189,548.589582,218
2737.434848,2697,552.35763,179
-95.656237,192,768.840199,12
-38.195018,91,768.961243,8
534.008121,606,769.37815,65
292.858086,381,769.66715,52
-52.864796,77,769.779151,7
439.339431,510,771.170149,68
556.175908,699,771.66815,30
85.197737,199,771.851124,24
25.734353,152,772.008124,11
1761.112929,1772,774.139122,145
2308.981985,2329,776.613123,185
756.91636,877,778.274219,86
250.973904,368,778.601218,20
32.09893,267,778.828218,14
429.979023,505,779.193218,63
1138.816201,1244,781.057585,104
10.830671,134,781.206585,16
465.360876,558,781.605623,48
103.934012,219,781.800601,22
419.100976,561,782.197602,29
1683.052708,1888,784.434382,141
551.201742,624,785.936831,66
1396.288073,1762,787.039101,115
70.544766,187,788.241202,22
-402.054298,1201,789.03522,18
