#{"t_start": 1708742088.962925, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1107.504049,1201,0.796,0
-1126.903238,1201,2.532003,0
-1110.166989,1201,3.295,0
-1151.770609,1201,5.063,0
-1136.672044,1201,5.841,0
-1098.562575,1201,7.619,0
-1134.335834,1201,9.397,0
-1109.585054,1201,10.189,0
-1123.459493,1201,11.981,0
-1123.796768,1201,12.782001,0
-1093.831149,1201,14.55,0
-1067.059404,1201,16.328004,0
-1104.584572,1201,17.126,0
-1290.758319,1201,18.946,0
-1213.122478,1201,19.721,0
-1007.868312,1201,21.513,0
-825.089838,1201,22.274,0
-926.882325,1201,24.054,0
-879.343195,1201,25.846,0
-555.36027,1201,26.605,0
-177.912423,1201,28.344,3
-187.841121,1201,29.099,3
186.015982,1201,30.833,5
238.468563,1201,32.586999,6
387.343878,1201,33.354,8
274.108746,1201,35.107,8
266.450031,1201,35.866,9
261.042841,1201,37.614,10
299.526246,1201,39.315,11
299.97201,2354,41.75,16
694.725443,1201,42.507,13
132.681284,1201,44.247,10
170.027803,1201,45.001,10
148.600585,1201,46.754,10
514.487719,1201,48.498,15
338.308943,1201,49.251,11
177.658701,1201,51.017,10
472.554998,1201,51.779001,14
49.725465,1201,53.577001,10
-137.408198,1201,55.316,10
172.955002,1201,56.095,11
400.056301,1201,57.848,12
154.621186,1201,58.602,9
94.525926,1201,60.354,11
572.56295,1201,61.114,15
-311.914275,1201,62.844001,10
106.386822,1201,64.599,11
-26.430289,1201,65.355,10
-1.226847,1201,67.109,11
736.819922,1201,67.87,20
-56.350587,1201,69.633001,11
108.276101,1201,71.357004,12
-5.861376,1201,72.127,11
687.046521,1201,73.871,19
-197.695078,1201,74.632,10
498.602401,1201,76.391,19
101.225899,1201,77.145,10
84.42919,1201,78.9,11
373.807429,1201,80.646,11
573.853811,1201,81.405,16
320.793048,1201,83.159,15
600.746329,1201,83.915,18
778.567799,1201,85.661,19
648.800212,1201,87.386003,15
981.909183,1201,88.155,22
986.04083,1201,89.912,23
993.875584,1201,90.672,24
1029.348851,1201,92.385,25
1043.353261,1201,94.109003,26
1022.133846,1201,94.881,26
982.8416,1201,96.656,26
999.986873,1201,97.416,23
1062.008443,1201,99.182,28
1071.09704,1201,99.939,27
1033.382743,1201,101.706,28
1025.2014,1201,103.481,27
1080.261469,1201,104.249001,31
1082.639517,1201,106.032,29
1075.893568,1201,106.791,33
975.288066,1201,108.546,28
1078.665783,1201,110.309999,33
1073.091648,1201,111.076,27
1083.071028,1201,112.848,30
1068.04964,1201,113.607,29
1082.226203,1201,115.354,32
1067.539244,1201,116.115,31
1067.184094,1201,117.88,30
1076.835452,1201,119.619001,26
1053.694266,1201,120.377001,32
1065.042624,1201,122.108,29
1077.641126,1201,122.867,30
1027.493685,1201,124.65,28
1033.650603,1201,126.389001,30
1022.35434,1201,127.159,28
5662.296061,6440,133.956,132
7729.901916,9487,144.526,214
6382.512097,6470,151.312,207
5722.563708,5710,157.677001,206
7956.210563,8099,166.387,300
5297.905705,6627,173.293,228
4271.924371,4956,179.206,192
