#{"t_start": 1707923849.725975, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
228.6,1201,0.787997,0
266.5,1201,2.625998,0
302.5,1201,3.397998,0
373.7,1201,5.210999,0
427.8,1201,5.970999,0
535.3,1201,7.761,4
514.4,1201,9.539999,4
608.8,1201,10.312998,12
638.7,1201,12.099998,14
641.1,1201,12.875,10
708.7,1201,14.650997,16
710.2,1201,16.500074,15
721.6,1201,17.291071,16
787.5,1201,19.051071,22
773.5,1201,19.823358,22
825.0,1201,21.612948,28
856.4,1201,22.378948,29
898.3,1201,24.150948,33
892.9,1201,25.930947,33
936.7,1201,26.700948,39
945.8,1201,28.489946,40
2006.8,2429,31.011949,79
1969.9,2303,33.463948,83
1956.8,2313,35.901949,81
1999.6,2300,38.310946,88
1886.5,2120,40.629948,84
2992.1,3347,44.674525,130
2440.0,2686,47.281537,120
2990.1,3228,51.265539,128
2812.8,3013,54.097539,142
2047.0,2198,56.441539,116
1809.3,1949,58.658537,86
5111.3,5327,65.068539,208
2659.6,2795,67.776537,146
1748.7,1884,69.965538,101
3998.8,4211,74.521539,183
3795.0,3968,78.92054,169
3739.2,3897,83.273539,186
3021.5,3149,87.209538,167
3849.1,3990,91.609536,188
3770.4,3917,95.99954,156
4924.5,5072,101.074538,197
7108.1,7269,109.432537,299
2293.9,2407,111.929537,131
1929.2,2038,114.19054,108
2416.6,2533,116.770538,128
3525.9,3660,121.087537,166
3815.2,3935,125.498539,174
4850.2,4991,130.525536,196
3698.6,3815,134.889537,191
3685.0,3797,139.202536,161
3541.3,3650,143.433538,171
4572.6,4678,148.281537,237
3493.8,3597,152.460537,153
5505.3,5614,157.809539,270
3435.9,3538,161.98054,206
3163.7,3268,165.945537,182
2388.8,2492,168.45454,151
4101.7,4206,172.976539,222
191752.7,192014,382.230537,295
-37.0,64,382.33354,5
-33.0,68,382.437537,4
-35.0,66,382.539536,4
293.0,394,382.834537,28
285.0,386,383.120537,34
94.0,195,383.299539,12
122.0,223,384.469537,18
-35.0,66,384.576537,5
347.0,448,384.911539,13
322.0,423,385.219539,16
123.0,224,385.415538,16
420.0,521,385.780539,23
-25.0,76,385.890538,5
719.0,820,387.444537,36
1512.9,1615,389.40354,162
-24.0,77,389.525537,6
-29.0,72,389.632537,4
-25.0,76,389.742539,6
-35.0,66,389.846537,5
-32.0,69,389.950537,5
52.0,153,390.101537,11
-35.0,66,390.20354,5
-36.1,66,390.306539,5
173.0,274,390.529539,21
816.9,919,391.127538,44
711.0,812,392.655537,91
92.0,193,392.830536,15
1100.0,1201,394.569539,21
94.0,195,394.760539,14
-29.0,72,394.866539,5
-24.0,77,394.975539,5
264.9,367,395.253538,21
-25.0,76,395.359537,5
321.0,422,395.670537,27
107.0,208,395.855537,16
209.0,310,396.099539,20
868.0,969,397.712537,48
-32.0,69,397.818537,5
566.0,667,398.271539,25
-33.0,68,398.374538,5
562.0,663,399.830539,36
901.8,1004,400.477536,20
304.9,407,400.779536,19
-35.0,66,400.882539,4
145.0,246,401.088538,18
229.0,330,402.353539,22
291.0,392,402.661537,24
-26.0,75,402.771538,5
89.0,190,402.948536,15
-35.0,66,403.049537,5
822.9,925,403.646536,62
141.0,242,403.850537,16
126.0,227,405.023538,15
-35.0,66,405.141537,5
-32.0,69,405.245537,4
314.8,417,405.548537,35
162.0,263,405.766538,17
244.0,345,406.031537,24
49.0,150,406.180537,11
109.0,210,406.365538,16
187.0,288,406.598537,17
117.0,218,407.781537,15
134.0,235,407.988537,16
-25.0,76,408.097538,5
396.0,497,408.45054,27
1100.0,1201,410.198538,25
279.0,380,410.509537,24
-30.0,71,410.615537,4
590.0,691,411.078537,29
396.0,497,411.430538,20
-32.0,69,411.535537,5
161.0,262,412.728537,18
240.0,341,413.002538,23
-35.0,66,413.105538,4
1100.0,1201,413.867537,21
131.0,232,414.066537,16
98.0,199,415.238538,14
-28.0,73,415.358537,5
-31.0,70,415.468539,5
-31.0,70,415.573538,5
483.0,584,415.979537,24
665.0,766,416.492537,39
-34.0,67,416.596537,4
289.0,390,417.868538,22
-25.0,76,417.997537,6
116.0,217,418.191536,16
125.0,226,418.387537,17
-31.0,70,418.491537,5
390.0,491,418.839536,30
228.0,329,419.095539,23
-32.0,69,419.200537,5
97.0,198,419.382536,15
-34.0,67,419.48554,5
-33.0,68,419.590538,4
104.0,205,419.773539,18
1100.0,1201,421.563539,37
79.0,180,421.731536,19
152.0,253,421.942537,17
-31.0,70,422.047536,5
-28.0,73,422.153539,6
-36.0,65,422.255538,4
-35.0,66,422.359537,5
-36.0,65,422.462536,4
179.0,280,423.666537,12
249.0,350,423.943541,21
180.0,281,424.170537,18
113.0,214,424.359538,13
573.0,674,424.81754,39
352.0,453,426.145539,19
238.0,339,426.418536,24
-33.0,68,426.52254,4
164.0,265,426.744538,18
155.0,256,426.955536,20
-31.0,70,427.058537,5
723.8,826,427.601538,37
-36.0,65,427.70354,4
-28.0,73,428.806538,5
458.0,559,429.209537,30
-33.0,68,429.312536,5
-36.1,66,429.416539,4
1100.0,1201,430.17354,24
353.0,454,431.500537,20
71.0,172,431.666538,14
483.0,584,432.071537,24
141.0,242,432.272539,18
-20.0,81,432.384538,5
640.0,741,433.888536,42
518.8,621,434.328539,58
-31.0,70,434.434539,5
462.0,563,434.82354,37
746.0,847,436.376537,15
-34.0,67,436.488537,5
1100.0,1201,437.248537,41
-31.0,70,437.35354,5
349.0,450,437.680539,25
80.0,181,438.851537,14
-24.0,77,438.986537,7
417.9,520,439.354537,36
-34.2,68,439.458538,5
325.0,426,439.772537,14
74.0,175,439.939536,14
140.0,241,440.142537,19
980.0,1081,441.81354,39
1100.0,1201,442.575536,19
276.0,377,443.879539,24
634.9,737,444.382539,28
47.0,148,444.532536,11
143.0,244,444.737537,17
307.0,408,445.038539,28
-32.0,69,445.14354,5
391.0,492,446.495537,39
319.0,420,446.81354,25
-35.0,66,446.917539,4
620.0,721,447.40354,43
308.0,409,447.70754,24
455.9,558,449.130537,28
-24.0,77,449.241537,5
1101.9,1204,449.996539,125
337.0,438,450.31854,30
257.0,358,451.58354,14
277.0,378,451.869539,24
-34.0,67,451.971537,5
-30.1,72,452.076538,5
-33.0,68,452.179537,5
283.0,384,452.465537,24
1466.9,1569,454.455537,55
202.0,303,454.697536,18
288.0,389,454.990539,26
-27.0,74,455.096538,6
119.0,220,455.289537,17
-32.0,69,455.393539,5
359.0,460,456.707538,24
-30.0,71,456.814537,5
45.0,146,456.966538,12
133.0,234,457.168537,16
368.0,469,457.506537,23
128.0,229,457.703538,20
188.0,290,457.935537,21
91.0,192,458.112537,15
-35.0,66,458.215537,4
998.0,1099,459.946538,27
883.0,984,460.580536,31
-34.0,67,461.668539,4
164.0,265,461.899538,22
-33.0,68,462.00354,4
512.0,613,462.425539,31
-29.0,72,462.532539,5
245.0,346,462.794539,12
-29.0,72,462.900536,5
425.9,528,463.269539,28
588.0,689,464.771539,31
-24.0,77,464.880537,6
1100.0,1201,465.64254,28
266.0,367,466.936537,29
240.0,341,467.20354,13
-34.1,68,467.307537,5
-36.0,65,467.410537,4
463.0,564,467.802538,26
733.8,836,469.343537,53
-31.0,70,469.454539,5
284.0,385,469.748539,12
172.0,273,469.972538,11
301.0,402,470.270537,16
174.0,275,470.494536,18
817.0,918,472.131538,42
-33.0,68,472.238537,4
289.0,390,472.528537,21
-31.0,70,472.634537,5
285.0,386,472.922538,18
-27.0,74,473.030536,5
-15.0,86,473.145537,7
-26.0,75,473.253538,5
400.0,501,473.612539,29
619.8,722,475.134537,30
471.0,572,475.534537,28
141.8,244,475.740537,19
1098.9,1201,477.503538,17
1909.9,2012,479.745539,202
377.9,480,480.090539,31
198.0,299,480.329539,19
387.8,491,480.680539,26
260.0,361,481.974538,26
-21.0,80,482.09054,6
66.0,167,482.251539,13
696.8,799,482.782537,38
100.0,201,482.964539,15
303.0,404,483.263539,17
1098.9,1201,485.011539,31
-35.0,66,485.115538,5
202.9,305,485.359537,21
510.9,613,485.781539,18
315.0,416,487.080537,25
223.0,324,487.33854,23
187.0,288,487.574538,17
-28.0,73,487.682539,4
-34.0,67,487.785537,5
-29.0,72,487.891537,6
502.0,603,488.303539,27
671.0,772,489.873539,42
-32.0,69,489.977537,4
66.0,167,490.140537,12
-31.0,70,490.246536,5
-24.0,77,490.356537,5
370.0,471,490.698537,32
541.0,642,491.133537,18
215.0,316,492.423541,22
869.8,973,493.064537,40
-20.0,81,493.176537,5
-24.0,77,493.285537,5
1100.0,1201,495.061537,24
-27.0,74,495.168537,5
-30.0,71,495.273539,4
1100.0,1201,496.032537,27
381.0,482,497.385538,41
712.8,815,497.928539,40
84.0,185,498.101539,16
382.0,483,498.452537,29
106.0,207,498.63654,15
-33.0,68,499.737537,4
72.0,173,499.923538,14
370.0,471,500.265538,31
364.0,465,500.60254,12
366.0,467,500.940536,28
252.0,353,501.214539,25
86.0,187,502.376538,15
91.0,192,502.573539,16
435.9,538,502.950538,36
315.0,416,503.258539,21
-11.0,90,503.375538,7
217.0,318,503.626536,23
207.0,308,503.871537,18
-32.0,69,503.975537,5
392.8,496,505.330539,26
459.0,560,505.721537,35
893.0,994,506.360539,132
271.0,372,507.693537,24
317.0,418,508.006537,25
512.9,615,508.427539,21
57.0,158,508.584537,14
463.9,566,509.989537,27
480.9,583,510.418537,33
493.8,596,510.826537,67
235.8,338,511.090539,20
1593.9,1696,513.152538,50
195.7,299,513.399537,23
553.0,654,514.842539,33
225.0,326,515.107537,20
286.0,387,515.397537,21
155.0,256,515.614537,21
391.8,494,515.967537,26
858.8,962,517.599539,51
386.8,490,517.953538,25
586.0,687,518.420537,32
434.0,535,519.801538,29
50.0,151,519.960537,13
373.0,474,520.305539,28
166.0,267,520.524539,28
843.3,949,521.141538,45
417.8,521,522.527537,37
530.9,633,522.965537,35
177.0,278,523.193539,18
720.0,821,524.738539,37
359.9,462,525.087537,24
81.0,182,525.257537,17
364.0,465,525.593537,30
429.7,533,525.971536,32
330.9,433,527.271539,28
541.8,645,527.718539,39
216.0,317,527.968537,21
50.9,153,528.121536,11
767.5,874,529.708538,25
562.9,665,530.171539,36
429.8,532,530.54854,30
342.9,445,530.874538,27
148.0,249,531.086536,21
235.0,336,532.363539,25
-15.0,86,532.479537,7
791.8,894,533.069536,41
461.0,562,533.463538,30
437.8,540,534.850538,29
544.9,647,535.298537,34
569.8,673,535.755537,25
551.0,652,537.216538,35
208.0,309,537.462538,23
335.7,439,537.782538,15
345.0,446,538.107537,29
994.0,1095,539.865539,51
51.8,154,540.020537,14
335.0,436,540.341537,29
312.8,416,540.650537,28
-7.0,94,540.769537,7
103.0,204,540.953537,16
350.8,453,542.310539,33
257.7,361,542.588538,24
172.0,273,542.813539,21
351.9,454,543.140537,29
35.0,136,543.283537,11
295.0,396,543.578537,21
521.9,625,545.006537,38
1098.9,1201,545.771539,24
682.0,783,547.293537,31
263.0,364,547.573539,29
583.9,686,548.045537,15
1098.9,1201,549.787537,26
1904.3,2011,552.026537,190
276.8,380,552.317538,27
452.7,556,552.705539,35
1479.6,1584,554.707537,48
262.8,366,554.988537,21
270.9,373,555.272538,27
192.8,296,556.485538,22
405.0,506,556.882538,24
368.0,469,557.220539,23
157.0,258,557.437539,21
141.0,242,557.645537,17
476.0,577,559.023539,35
1843.0,1944,560.248537,49
469.0,570,561.670537,27
115.0,216,561.861539,16
1083.9,1186,562.623537,55
154.9,257,563.837076,19
338.8,441,564.188075,22
481.0,582,564.591074,33
412.9,515,564.953076,24
84.0,185,565.125077,15
529.0,630,566.538075,37
210.0,311,566.784075,21
556.0,657,567.234077,38
299.0,400,567.536075,29
330.0,431,568.858076,26
456.0,557,569.264077,23
277.9,380,569.562078,25
311.0,412,569.870075,21
343.0,444,570.196077,13
1097.8,1201,571.960078,30
133.0,234,572.160075,17
600.8,704,572.633077,46
631.6,736,574.149075,26
791.0,892,574.730077,64
654.9,757,576.255075,14
764.7,869,576.828075,41
418.0,519,577.191075,23
196.9,299,577.433076,22
46.0,147,578.591076,13
110.0,211,578.801075,16
-13.0,88,578.917075,7
99.9,202,579.099076,16
