#{"t_start": 1708737386.48482, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
221.4,1201,0.91,0
285.7,1201,3.130002,0
312.1,1201,4.027001,0
357.6,1201,6.307002,0
376.8,1201,7.159,0
417.3,1201,9.359003,0
428.3,1201,11.634,1
517.4,1201,12.491004,5
615.4,1201,14.792001,9
641.1,1201,15.714003,9
1341.9,2383,20.286,25
737.0,1201,21.200002,18
737.5,1201,23.427002,19
753.9,1201,24.284,21
789.4,1201,26.526,24
805.6,1201,27.42,24
835.7,1201,29.661002,27
870.9,1201,31.894,28
903.0,1201,32.751004,31
901.6,1201,34.914988,31
4909.4,6008,42.271976,174
7668.0,8272,52.043508,300
6886.5,7171,59.999298,300
6629.7,6758,68.861907,300
6029.8,6064,76.580237,300
5786.7,5813,83.25075,300
6043.4,6073,90.944573,300
5823.9,5837,98.546664,300
3931.5,4038,103.930601,155
5503.6,5509,111.765309,300
5272.6,5378,118.194192,248
5081.3,5090,125.774337,300
5343.3,5462,133.524578,292
4966.6,5083,139.648342,272
5496.7,5501,147.37698,300
5536.2,5546,155.169142,300
3353.8,3457,158.916154,205
6001.6,6107,166.508727,287
5334.3,5343,173.326082,300
4895.1,5006,178.77519,255
3815.2,3925,183.541121,202
5881.8,5896,190.693613,300
4947.6,5053,196.188309,214
5582.2,5592,203.135155,300
3031.8,3135,207.403971,179
3667.7,3772,212.121046,173
5635.8,5739,217.976854,255
5185.9,5188,224.630116,300
5244.9,5247,230.207603,300
5053.0,5054,236.821424,300
5004.9,5007,242.855848,300
4953.9,4956,250.176851,300
5052.0,5053,256.201849,300
4804.0,4805,263.468848,300
4894.0,4895,269.488897,300
4711.0,4712,275.313447,300
5220.0,5221,282.849379,300
3726.0,3827,288.138381,175
3441.0,3542,292.011381,168
5863.0,5964,300.16538,276
5046.0,5147,307.626379,294
5144.0,5145,313.683943,300
2960.0,3061,318.075592,194
4303.0,4404,323.233861,205
5095.0,5096,329.886349,300
5293.0,5294,335.467735,300
5116.0,5117,342.119092,300
5411.9,5414,347.788149,300
5220.0,5221,354.885347,300
5126.9,5129,361.14289,300
5220.0,5221,368.684655,300
5168.0,5169,374.769186,300
5198.9,5201,382.357087,300
4869.0,4970,388.446087,274
5508.0,5509,396.275088,300
5470.0,5471,404.049088,300
5629.0,5630,410.605573,300
3347.0,3448,415.644572,196
5013.9,5116,423.285573,274
4816.0,4917,429.245138,221
6254.9,6357,437.640547,274
5506.0,5507,445.496546,300
5758.0,5759,453.496546,300
3012.0,3113,457.034548,178
5738.9,5741,464.953549,300
4712.8,4816,470.890545,202
5918.0,5919,478.429835,300
6807.8,6911,488.3091,285
5824.0,5925,496.11999,245
5818.9,5821,502.681989,300
4758.9,4861,509.903057,201
2519.0,2620,513.063057,151
5952.8,5956,520.977387,300
5140.8,5244,527.13139,226
5793.8,5897,535.123387,261
5341.0,5342,542.787388,300
5912.0,5913,550.863386,300
4126.0,4227,556.335387,180
5210.0,5311,562.573387,237
5751.0,5752,570.482387,300
6016.9,6119,578.476385,278
5995.0,5996,586.246631,300
4301.0,4402,591.809916,192
6190.0,6291,600.316968,267
4264.0,4365,607.365866,209
4184.0,4285,612.981834,190
2994.0,3095,616.544437,175
5613.0,5614,624.376437,300
5732.0,5733,632.395437,300
6558.0,6659,640.91944,291
6016.0,6017,648.981028,300
5701.0,5702,656.695359,300
3200.0,3301,660.324314,180
6077.0,6078,668.450144,300
5788.0,5789,676.349439,300
5799.0,5800,684.25316,300
5234.0,5335,691.89916,272
5983.0,5984,698.676163,300
5006.0,5107,706.18516,263
4896.0,4997,712.115643,201
5999.0,6000,719.490052,300
2988.0,3089,723.907001,161
6116.9,6119,731.167468,300
6216.0,6217,738.485114,300
7004.0,7105,746.279489,276
6614.9,6617,755.02105,300
5205.0,5306,760.635481,194
6363.0,6364,768.095669,300
4348.0,4449,773.146545,219
5520.9,5623,780.123311,258
6986.9,7089,789.118348,284
2686.0,2787,792.010576,140
3752.9,3855,796.781806,151
6836.8,6840,804.913663,300
6618.0,6619,813.362502,300
7177.8,7181,823.533363,300
7454.8,7458,833.47122,300
6975.0,6976,842.651534,300
6494.9,6597,851.113533,243
4763.0,4864,858.726533,182
6697.0,6798,867.430534,267
3411.0,3512,872.671533,169
5561.8,5665,879.154534,250
6983.0,6984,889.228533,300
3236.0,3337,892.842533,151
3427.0,3528,897.974533,164
6973.9,6976,907.967535,300
3907.8,4011,913.284281,182
6539.8,6643,921.74481,238
5269.7,5374,928.068395,193
6730.9,6833,938.346962,245
7175.9,7278,947.446162,272
3850.0,3951,952.979162,170
3561.9,3664,958.210162,123
3553.0,3654,963.33016,169
4373.8,4477,969.014161,201
7397.8,7401,979.432161,300
6163.6,6269,987.66116,204
5611.0,5712,994.104194,205
6781.8,6885,1004.008193,241
7563.5,7570,1013.144193,300
5000.9,5103,1020.845402,218
3907.9,4010,1026.359401,179
6957.0,6958,1035.158401,300
5090.9,5193,1042.723399,230
6706.0,6707,1051.489487,300
5140.0,5241,1059.234896,205
6768.9,6771,1067.927464,300
3533.0,3634,1073.103462,169
6185.0,6286,1081.466011,218
5498.0,5599,1088.543602,200
3133.0,3234,1091.749901,154
5895.9,5998,1099.088621,218
6798.0,6799,1107.659481,300
2826.0,2927,1112.318479,139
2867.9,2970,1115.656477,147
4430.8,4534,1122.610478,204
2507.0,2608,1125.798062,128
2841.0,2942,1129.163063,144
5805.6,5911,1137.173069,218
6881.9,6884,1146.021063,300
3333.9,3436,1151.118518,163
6992.7,6997,1161.358518,300
6482.0,6483,1169.926517,300
6685.9,6688,1178.531836,300
3269.9,3372,1183.568834,165
3785.0,3886,1188.704685,149
7457.0,7558,1197.828146,296
2742.0,2843,1202.523147,145
5449.0,5550,1208.916147,214
6494.9,6497,1218.627145,300
4146.0,4247,1224.105147,169
4532.0,4633,1229.934145,175
4379.0,4480,1235.780147,192
6503.0,6504,1244.449147,300
5070.0,5171,1251.997145,256
4337.0,4438,1257.719146,191
5349.0,5450,1265.481146,216
6570.0,6671,1273.8971,283
6254.0,6255,1282.285508,300
5528.0,5629,1290.06823,229
4462.0,4563,1295.950027,190
6660.0,6661,1304.449696,300
