#{"t_start": 1712787930.7585132, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
199.2,1201,1.214,9
7.9,528,1.990998,12
128.2,769,3.985998,15
-13.5,244,4.593,35
-65.0,96,5.101998,8
-69.6,81,5.609999,6
28.7,392,6.30401,45
-67.5,93,6.821012,6
50.8,458,7.550009,24
103.3,531,9.344058,101
11.1,255,9.95706,16
-57.6,94,10.466061,8
-12.4,221,11.060082,26
71.1,443,11.78108,72
725.0,1856,14.326711,366
182.6,578,15.133359,34
-68.0,59,15.62636,2
-17.6,181,16.188931,24
-5.8,167,17.718583,20
-66.1,67,18.247418,4
320.2,714,19.140419,166
-67.8,67,19.644417,4
-64.4,73,20.149417,4
-66.3,59,20.643421,3
14.4,168,21.207416,21
-69.7,56,21.706418,2
-62.3,63,22.208416,4
-3.5,147,22.756416,14
-61.2,73,23.266416,5
4.3,151,23.877418,17
-63.5,64,24.41564,3
-69.6,54,24.929402,2
-7.6,163,25.491399,19
-62.7,60,25.989381,1
134.9,419,27.843926,32
-5.4,138,28.396437,15
-58.8,71,28.897437,4
135.0,418,29.607438,54
73.9,300,30.251437,57
23.5,206,30.834437,28
37.4,219,31.430438,41
14.1,193,32.020437,28
-60.6,75,32.527437,5
-5.0,160,34.100453,10
41.5,245,34.732454,39
-64.2,59,35.240451,3
-45.9,101,35.764453,12
633.4,1232,36.978353,330
98.6,345,38.727406,75
-30.5,113,39.298729,11
56.6,241,39.920731,47
-0.2,147,40.47773,17
-3.8,148,41.036731,13
-21.5,131,41.584729,12
57.5,218,42.19273,30
-60.5,65,42.70573,4
-59.5,61,43.215731,3
67.0,264,43.84573,36
-66.3,60,44.345731,3
-59.5,65,44.85073,3
-63.1,54,45.34773,2
-60.1,57,45.85773,2
1133.6,1847,48.524323,548
-60.2,57,49.034325,2
94.2,301,49.70033,54
-62.1,55,50.199359,1
-64.3,56,50.699383,2
-61.2,57,51.232383,2
-52.0,73,52.788385,3
50.6,208,53.403657,33
-24.5,103,53.923657,9
1080.4,1641,55.359658,508
-33.5,96,56.884662,8
-25.2,101,57.43866,10
202.2,401,58.146661,95
-26.7,105,58.668658,11
-7.5,128,59.211659,13
35.1,182,59.819658,21
57.8,218,60.417659,32
-52.5,64,60.926662,2
93.0,249,61.535658,45
40.2,178,62.117191,25
321.6,555,63.927777,114
-1.7,136,64.480162,13
-57.2,60,64.986162,3
194.9,393,65.693162,75
-11.5,128,66.242163,13
92.2,285,66.887161,56
-57.2,61,67.386875,3
-58.8,56,67.876875,2
140.4,318,68.525882,49
78.3,262,69.148161,43
75.4,251,70.74414,37
-61.5,60,71.255991,2
33.6,178,71.830992,23
24.4,174,72.399672,19
-68.2,54,72.899672,1
-24.6,112,73.431098,9
-59.0,57,73.9341,2
-28.7,101,74.466736,9
21.5,162,75.029735,21
-5.5,130,75.579315,12
-56.3,54,76.081478,1
-65.1,53,76.585479,2
-56.7,58,77.098971,2
-60.6,53,77.60497,1
1.0,141,78.162974,15
-55.2,62,78.678974,2
-63.8,52,79.18549,2
-59.1,52,79.69149,1
-60.4,60,80.19149,3
-49.6,72,80.705493,6
188.7,429,82.457489,88
-57.8,56,82.985489,2
-54.5,51,83.483491,1
-34.8,99,84.01749,10
-18.9,122,84.55449,12
-20.8,104,85.08849,9
51.1,206,85.68049,29
-56.3,71,86.19549,4
119.3,303,86.85349,61
-62.0,55,87.35249,2
-59.3,59,87.86149,3
-29.8,95,88.379527,7
-67.3,51,88.892529,2
-54.4,65,89.400566,3
31.2,169,89.978567,16
33.9,178,90.549605,23
391.1,674,92.51664,189
-1.2,142,93.065643,17
56.8,225,93.65973,30
-58.5,61,94.16873,2
-64.6,55,94.663731,3
-61.0,55,95.174731,2
45.7,206,95.776731,22
-62.4,57,96.289735,2
11.3,150,96.857734,17
-67.3,59,97.611732,3
-62.7,65,98.12773,3
-31.4,96,98.668731,8
17.5,179,99.249731,23
-52.2,73,99.799734,5
-59.1,57,100.313731,3
-62.3,57,100.817731,2
-60.9,54,101.333731,2
-20.0,104,102.942427,9
30.0,181,103.541422,21
-26.9,97,104.066145,7
36.3,187,104.655146,18
-10.5,139,105.226659,13
-56.0,59,105.743171,2
-60.5,59,106.267172,3
0.6,150,106.845172,2
92.6,295,107.511172,1
-59.2,59,108.023171,3
54.1,205,108.628195,25
-56.4,63,109.145195,4
77.3,253,109.791828,35
-55.4,64,110.319392,2
-62.0,55,110.851393,1
-60.0,56,111.363393,1
87.7,235,113.03139,35
38.2,177,113.639444,22
-61.9,53,114.152444,2
-22.3,97,114.692445,9
-24.6,106,115.237383,1
29.4,168,115.82338,23
-58.4,60,116.344893,2
1.2,131,116.912893,15
-59.6,61,117.428401,3
-54.4,65,117.972401,3
30.0,171,118.575917,23
-15.8,110,119.139453,9
-60.4,53,119.669445,1
152.7,347,120.423443,76
-4.2,128,121.023444,12
-60.7,60,121.560445,3
-59.6,61,123.241445,2
26.2,158,123.865446,17
-55.3,55,124.392446,1
-62.7,54,124.919445,2
0.6,129,125.493445,12
-19.5,93,126.043445,7
136.6,308,126.731445,56
1.6,135,127.315445,11
322.1,533,128.145445,113
-56.5,55,128.670446,1
-51.1,58,129.196445,3
-20.0,94,129.744445,7
60.8,203,130.359446,22
-56.2,53,130.885446,1
208.3,366,132.772547,45
-51.9,55,133.303576,2
37.1,154,133.892577,17
-5.7,101,134.453601,8
-13.8,109,135.019601,10
3.1,129,135.625123,15
-6.3,120,136.200214,11
140.3,299,136.892214,53
-5.3,114,137.461736,10
5.5,133,138.049734,12
254.7,420,138.82316,94
-51.8,55,139.352161,2
43.6,171,141.078157,22
-52.3,58,141.63116,2
-53.8,62,142.170264,3
34.7,159,142.780264,20
-53.0,57,143.312265,2
-53.0,55,143.839264,1
-55.1,54,144.36875,1
-54.5,51,144.88875,1
111.3,240,145.53075,35
28.6,147,146.142277,17
-15.1,94,146.696276,8
403.2,638,147.620277,5
223.8,372,149.549274,70
49.0,166,150.165277,23
48.6,178,150.761277,19
-55.9,52,151.282277,1
-16.7,97,151.831277,9
166.8,301,152.503277,58
-54.0,53,153.021277,1
105.3,231,153.651789,32
-58.4,53,154.171303,2
-10.6,112,154.727303,9
-55.0,53,155.245303,1
-9.2,108,155.797303,10
-18.6,94,156.341303,7
-17.3,94,156.892304,8
-52.3,51,157.410303,1
-59.1,52,157.929303,1
45.0,167,158.516415,20
-2.6,115,159.077414,15
112.6,238,160.740496,34
-56.2,53,161.271498,1
-56.7,51,161.788497,1
-55.5,50,162.298523,1
-18.8,95,162.841523,8
-13.7,93,163.394523,7
-55.9,52,163.912523,1
78.1,202,164.520523,22
114.4,234,165.14304,37
-0.9,113,165.69504,10
83.5,210,166.310089,35
-58.5,53,166.826089,1
-55.9,52,167.338088,1
98.3,219,167.957088,27
-0.7,120,168.518604,11
-54.9,52,169.033604,1
-55.9,52,169.546604,1
-55.1,53,170.060604,1
54.6,173,171.666188,22
-6.8,100,172.221189,8
-2.6,104,172.771192,9
19.8,136,173.337199,15
60.1,176,173.932199,21
-4.1,105,174.481199,9
97.9,230,175.107199,31
42.3,156,175.688199,17
39.4,152,176.262199,17
-3.0,98,176.805199,8
-53.9,54,177.3222,2
-53.5,51,177.8412,1
-12.9,94,178.3892,7
-16.9,92,178.9392,8
79.7,197,179.5492,21
-53.8,53,180.0692,1
420.7,586,182.003285,20
37.4,151,182.584285,17
-2.0,106,183.139285,10
-54.1,54,183.659285,2
57.0,175,184.256317,21
-54.0,55,184.775317,2
-11.7,100,185.323318,10
0.5,105,185.874317,9
-13.8,93,186.417318,7
-16.5,96,186.961317,2
-10.1,100,187.517346,8
-3.1,106,188.073346,9
-56.3,53,188.593346,1
-52.5,52,189.111346,1
-13.0,96,189.655346,9
-58.4,54,190.181345,2
-16.2,94,190.735346,7
-54.8,52,191.257346,1
-51.4,52,191.778346,1
-1.1,109,193.459343,10
-53.1,49,193.998346,1
