#{"t_start": 1712779742.8832557, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1552.599826,1201,1.195001,2
38.275899,167,1.74901,6
-2701.358239,937,3.78501,4
-247.778904,191,4.361008,1
-73.655806,374,5.037009,9
-328.718594,271,5.667008,0
-1998.128738,1201,7.833009,4
-144.519868,108,8.361007,0
-502.097178,324,9.019008,3
-4147.384973,924,10.038568,30
-808.427504,408,10.794578,0
122.505857,756,12.697688,50
109.739085,221,13.295687,16
492.55116,530,14.080687,96
25.756827,157,14.645467,7
-960.013496,714,16.55947,13
-92.726246,121,17.098486,3
374.23699,554,17.882004,46
1240.145653,1239,20.085005,137
1166.994088,1352,21.363005,162
278.244133,468,22.099003,58
116.895459,306,23.745023,19
41.293103,163,24.307019,14
-43.702083,85,24.819019,7
-109.080634,343,25.478537,8
59.821939,290,26.120542,30
2.189481,129,26.654553,11
-1.894933,129,27.187553,10
-4.253091,142,27.733597,8
-4.882805,148,28.279806,6
28.916553,327,28.935806,17
667.397566,664,30.791374,126
108.962735,218,31.386375,30
1147.595321,1224,33.579938,192
318.235358,436,34.318939,47
-59.896306,72,34.82094,5
782.091555,755,35.725943,166
-43.58318,85,36.231938,3
-9.917402,117,36.757939,10
60.881937,176,37.318939,24
368.333712,420,39.019938,87
613.378511,629,39.871938,120
445.956492,478,40.609165,102
177.39363,293,41.242176,25
152.350124,266,41.858186,27
177.455811,264,42.472195,42
293.539374,360,44.135238,73
168.018102,288,44.769757,20
1094.941448,1042,45.849771,194
246.780601,330,46.503783,49
356.922307,415,48.230809,76
78.46819,273,48.852811,25
81.095568,197,49.427818,18
624.4455,614,50.246833,150
604.088574,605,51.067839,136
-51.769834,80,52.527868,6
-56.216831,75,53.049867,5
889.649624,807,53.995408,216
253.670309,327,54.648992,64
849.145023,804,55.583004,182
29.140538,152,57.136023,13
889.733129,846,58.115037,177
118.466664,231,58.710556,25
-61.924188,69,59.210556,3
26.871653,214,59.794075,16
1089.048564,1004,61.838074,211
-35.452375,96,62.356072,8
967.881006,873,63.335073,229
-34.00529,94,63.849072,6
-92.610998,145,64.400072,4
560.940635,571,66.204088,123
-53.708211,75,66.720086,4
422.389303,502,67.482087,69
965.432276,897,68.476814,207
149.665834,272,69.10764,21
-35.388588,95,69.629642,9
213.875165,312,71.346655,36
301.097187,432,72.07017,35
155.396744,257,72.68969,33
881.159309,837,73.65169,176
469.892342,529,75.41469,81
602.419121,617,76.248688,116
737.67812,746,77.158692,129
236.832568,341,77.825688,38
443.864128,512,79.586704,72
1270.644924,1136,80.744267,276
688.772318,683,82.611282,145
604.703429,712,83.506336,115
346.241135,406,84.208338,77
442.603926,485,84.957652,94
-63.127757,68,85.457651,4
707.763104,839,87.438651,122
438.899661,496,88.198651,79
269.899674,397,88.894651,53
