#{"t_start": 1712769105.0765955, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-211.5,1201,1.178999,0
-183.0,1201,3.341999,0
-65.5,1201,4.502998,0
-33.0,1201,6.66301,0
-7.0,1201,7.81201,0
231.5,1201,10.032546,5
266.5,1201,12.180591,6
379.0,1201,13.344391,12
376.5,1201,15.536393,12
398.5,1201,16.690393,10
975.0,2248,19.438406,26
648.5,1201,21.573961,23
644.0,1201,23.704527,21
687.0,1201,24.862567,25
738.0,1201,27.03419,26
773.0,1201,28.188189,29
802.0,1201,30.321189,29
827.0,1201,32.470191,30
26158.0,30910,66.057746,1000
20324.0,20396,88.304854,1000
17853.5,17895,107.188815,1000
16841.0,16857,126.369606,1000
15873.5,15876,142.996574,1000
16323.0,16333,160.922967,1000
15887.5,15890,178.53364,1000
16160.5,16166,196.431357,1000
15797.5,15806,213.99343,1000
14451.0,14455,229.890197,1000
14531.0,14532,245.725998,1000
14963.5,14966,261.893542,1000
14658.0,14662,277.761525,1000
14554.0,14558,293.613533,1000
14315.0,14316,309.329851,1000
13562.0,13563,324.51221,1000
12972.0,12973,338.442858,1000
12448.0,12449,352.016491,1000
11870.0,11971,365.478196,935
12351.0,12352,379.070731,1000
11294.0,11395,392.119459,957
11609.0,11610,405.232829,1000
11602.0,11603,417.339297,1000
11636.0,11637,430.54105,1000
11892.0,11893,443.760175,1000
12033.0,12034,457.099343,1000
12128.0,12129,470.57805,1000
12323.0,12324,484.09221,1000
12409.0,12410,497.634963,1000
12210.0,12211,511.077622,1000
12520.0,12521,524.83004,1000
12703.0,12704,538.664333,1000
12131.0,12232,552.109748,992
12114.0,12115,565.560097,1000
11920.0,11921,578.844413,1000
11514.0,11615,590.952428,943
12144.0,12145,604.430115,1000
12126.0,12127,617.839739,1000
12126.0,12127,631.268765,1000
11921.0,12022,644.649205,968
11843.5,11946,658.050766,964
12178.0,12179,671.741111,1000
12589.0,12590,685.440965,1000
12721.0,12722,699.247298,1000
12448.0,12449,712.847728,1000
12210.0,12211,726.41033,1000
11676.0,11677,739.526426,1000
11294.0,11295,751.473638,1000
11091.0,11092,764.436103,1000
11321.0,11322,776.437362,1000
11635.0,11636,789.639046,1000
11599.0,11600,802.802955,1000
11410.0,11411,814.859322,1000
11613.0,11614,828.077623,1000
11877.0,11878,841.304376,1000
11669.0,11670,853.442148,1000
11594.0,11595,866.686715,1000
11710.0,11711,879.865847,1000
12089.0,12090,893.36356,1000
12014.0,12015,905.723901,1000
11822.0,11823,919.005994,1000
12139.0,12140,932.49011,1000
12575.0,12576,946.221085,1000
12174.0,12175,959.658322,1000
11817.0,11918,973.102915,930
11721.0,11722,986.333093,1000
11824.0,11825,999.656105,1000
10914.0,11015,1011.465746,980
11360.0,11361,1023.476028,1000
10819.0,10920,1036.182919,958
11798.0,11799,1049.319116,1000
12108.0,12109,1061.847214,1000
12378.0,12379,1076.374121,1000
12894.0,12895,1090.347933,1000
13077.0,13078,1104.275151,1000
