#{"t_start": 1705587537.8650982, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-50.023638,119,0.335013,7
-2642.310691,808,0.976124,9
-998.289435,387,1.434891,3
-1839.857794,669,2.034429,5
-2792.229678,1512,4.020337,20
-1601.563125,478,4.514688,7
-622.155919,280,5.924407,6
-1055.053436,471,6.411301,5
-240.981186,787,7.044088,34
12.446884,345,7.481837,26
-1109.340354,752,9.113683,18
-355.490991,213,9.4987,0
-3958.70766,1231,10.366626,6
-10426.27562,3835,14.384124,2
-296.704472,266,14.788224,1
-299.450783,242,16.200418,1
-323.457034,169,16.556728,0
-355.086205,262,16.988074,5
-302.129661,163,17.351067,0
-1587.237726,1400,19.264458,4
-1430.638397,831,19.97506,2
-1420.331154,489,20.510115,2
-1518.581647,932,22.199486,4
-832.65914,549,22.738286,1
-101.794238,49,23.044451,0
-1038.532251,646,23.629366,1
-52.662749,86,23.968451,7
-190.520771,121,24.313823,1
-2408.20693,816,26.01763,1
-505.368702,295,26.455592,0
-1706.119155,504,26.957708,11
-287.394606,132,27.338391,0
-245.709406,124,27.711416,0
-992.666834,866,29.390587,16
-1034.652856,721,30.042017,4
-518.278033,233,30.496268,1
-13.645767,140,30.841312,4
-492.461607,264,31.246478,0
-205.361246,101,31.584085,0
-358.476275,196,31.95578,0
-352.379095,236,33.348505,2
-42.598404,249,33.788613,16
-213.545739,120,34.19769,0
-370.215291,207,34.671179,1
-1446.254622,512,35.187716,3
-10263.209656,1606,37.231534,7
-134.550187,69,37.543561,0
-62.101934,100,37.871569,3
-16.492091,190,38.226311,3
-499.602498,250,38.634687,4
-25.804659,605,40.199377,41
-523.031898,705,40.816743,9
417.000033,823,41.470867,71
-235.971147,441,41.955081,6
-1131.367389,1308,43.828123,45
-722.474321,387,44.386367,7
-337.155605,325,44.823959,7
24.057009,373,46.262753,34
52.712872,275,46.663133,9
-313.370991,248,47.071975,1
-189.138594,130,47.411943,5
-406.319913,2127,49.637041,174
593.357541,681,50.213698,94
-49.904382,90,50.535974,9
166.814167,329,51.930234,32
-59.61789,81,52.250059,8
312.513748,448,52.720332,32
-63.505831,78,53.027046,6
136.44591,259,53.419775,29
-26.210597,112,53.753387,7
-58.672919,111,54.110928,7
130.966849,232,54.51352,40
538.220228,1684,56.513745,128
18.661151,283,56.929747,27
61.31692,262,57.325977,23
242.666828,429,57.794387,47
73.374579,297,59.188904,17
123.865794,235,59.587679,38
414.360533,498,60.088809,72
378.047495,515,60.602726,47
570.327885,644,62.142451,87
-62.507352,90,62.480794,6
-33.256624,110,62.819794,7
151.888755,570,63.351633,40
134.364648,244,63.740151,45
120.549644,282,64.150142,23
101.038212,312,64.584787,20
148.523109,262,64.987042,33
-81.661193,69,65.298785,5
-101.634316,302,66.711055,10
157.512858,267,67.104765,45
-157.733775,172,67.463004,6
-48.703746,102,67.793812,11
-29.636489,123,68.138978,8
-122.055714,374,68.586133,22
-88.777704,98,68.909791,5
243.508775,537,69.44174,26
-82.857268,72,69.769518,5
-84.372095,103,71.062884,4
-114.346792,257,71.488636,13
237.018485,347,71.921171,45
380.974813,554,72.435019,58
96.176382,230,72.817055,20
-84.746113,103,73.136248,5
-12.509086,130,73.473748,10
-80.646223,78,73.798857,5
297.108191,405,75.286667,43
-59.226189,80,75.611229,6
-6.524921,139,75.950234,14
35.076185,178,76.313127,18
-299.95705,252,76.715305,3
-17.08845,133,77.05472,10
42.515666,375,77.49721,14
-40.830101,366,77.933207,10
-7599.525461,1379,79.835634,72
-268.043822,236,80.23477,1
-117.536791,58,80.545594,0
-76.450405,77,80.856521,4
258.763221,376,81.302722,55
91.707957,218,81.672761,25
120.375722,250,83.032601,19
201.18013,340,83.4666,27
117.874894,240,83.851181,37
-84.636565,123,84.200253,6
38.256899,1084,84.999681,84
-21.646048,136,86.310392,8
-58.241103,115,86.638197,8
-74.120693,80,86.953194,6
174.247368,468,87.494072,34
57.248636,183,87.849537,28
-89.46489,58,88.147253,2
186.393362,304,88.540769,30
-68.508571,77,88.84466,6
49.720992,191,89.206805,23
410.025846,513,89.745713,60
-60.036633,93,91.040945,8
-38.116025,104,91.358224,11
87.80128,214,91.731707,28
-82.757256,61,92.020589,4
300.891494,504,92.528421,41
-41.781699,129,92.849416,10
174.444676,330,93.263529,34
1118.294912,1431,95.19602,158
203.990056,322,95.61658,35
-95.043774,134,95.949718,6
204.815669,447,96.408514,46
-77.564035,75,96.719797,5
107.27343,362,98.137138,48
-50.58533,91,98.449133,9
-111.76913,137,98.797926,7
-81.794238,67,99.091744,4
-84.814623,66,99.386747,4
473.640467,561,99.932657,73
-27.385171,116,100.253457,14
-223.676436,226,100.619388,7
622.805558,660,101.177344,112
63.095199,417,102.617869,28
230.675811,356,103.061643,36
-96.617864,53,103.35265,2
-67.258837,80,103.655303,6
-91.836683,60,103.945298,3
-213.207971,175,104.294737,3
-111.518132,132,104.634469,5
-75.204865,80,104.964179,8
125.732144,255,105.340395,34
-85.846316,202,105.716605,18
1078.249489,1144,107.466626,151
35.360613,270,107.848593,18
-48.952289,87,108.16951,8
-76.31075,78,108.468392,5
-54.199152,92,108.779564,5
-69.848934,77,109.093812,5
-89.950736,61,109.392987,2
-23.034016,129,109.737975,18
49.888931,180,110.104819,17
-86.433086,65,110.405531,2
-138.376359,119,110.754906,1
-13.946678,322,112.185405,23
-16.662934,134,112.519779,8
-12.198941,145,112.862944,5
638.511245,1236,113.670227,116
38.539828,175,114.0083,26
-147.585516,149,115.402595,5
-73.124876,216,115.777357,7
-33.525619,122,116.10554,10
337.695881,465,116.587604,31
300.198243,427,117.043944,69
814.684587,1461,118.922822,170
-87.839789,65,119.233035,3
-33.688996,104,119.553841,10
17.866433,213,119.929876,12
17.731818,269,120.329785,28
-142.468933,99,120.651425,2
235.33135,338,121.077192,53
-370.633388,191,121.454914,0
-51.592511,127,122.774412,9
-145.180518,127,123.105245,3
-82.219396,68,123.39976,5
42.108562,180,123.755909,12
-23.997661,118,124.075358,12
226.533087,361,124.506208,42
65.463276,206,124.875229,16
511.013962,883,125.557235,75
386.071688,537,127.029414,62
20.21678,201,127.378736,17
-494.288262,238,127.853332,0
59.801731,180,128.201707,21
-55.954702,117,128.522885,7
42.880035,173,128.859807,23
-72.00557,114,129.183544,6
133.115707,251,129.566706,36
-86.785947,63,129.870902,4
-71.999391,68,130.18392,5
-93.878913,59,130.488032,3
307.830072,399,131.932393,58
286.242052,453,132.40104,68
-92.406386,59,132.693422,3
-14.709002,131,133.026107,14
492.338708,729,133.630935,67
-60.054043,79,133.933906,6
-147.622334,85,134.226046,0
365.795856,495,135.721247,65
-69.178411,74,136.030335,5
86.272987,255,136.411105,16
-92.914756,96,136.738769,3
234.818927,348,137.163486,48
21.987367,123,137.481675,14
-82.161646,74,137.803661,7
-81.49119,69,138.104085,3
-95.987378,52,138.401096,2
104.24809,344,138.852345,22
-56.754219,241,139.221018,10
-44.758942,104,140.573944,8
-198.914287,110,140.914316,0
-277.696026,335,141.329944,7
-70.486491,76,141.631762,5
-86.801287,66,141.942928,3
-100.956083,76,142.253492,0
-190.845053,227,142.618992,6
448.155179,577,143.151708,80
362.439493,431,143.611922,79
-93.081666,64,143.910664,3
-25.377054,115,145.250229,11
222.648361,465,145.728422,40
108.306912,252,146.10961,25
1059.596764,1017,146.814899,195
80.900319,306,148.199289,17
194.462221,391,148.651652,55
264.991233,941,149.383835,110
153.160941,459,149.871371,59
367.067572,507,151.395058,85
-68.736226,85,151.689107,8
-80.039136,72,151.990636,3
-85.400089,70,152.305794,4
-84.022588,69,152.60165,5
-65.202887,105,152.926616,5
-93.245566,57,153.219706,1
69.438422,433,153.683238,24
172.307678,281,154.067998,33
-79.705621,142,154.399028,9
-72.098441,122,154.717819,7
756.245551,804,156.362881,102
-69.087385,115,156.684515,7
-92.904071,168,157.033206,7
74.522674,206,157.402071,18
64.471791,182,157.746766,26
-58.523824,152,158.079913,11
794.371683,813,159.706253,150
338.099234,412,160.160961,74
-66.11567,71,160.477128,6
249.525405,342,160.901743,61
-78.236819,65,161.202886,4
73.212742,202,161.572432,23
-105.187773,125,161.888749,5
-72.303835,72,162.189273,4
-90.200938,62,162.50472,3
37.451155,319,162.916584,25
969.65309,980,164.61521,139
-85.203446,62,164.907216,2
76.767971,202,165.268317,27
23.470333,154,165.625654,15
-33.3508,92,165.948336,10
-83.96543,67,166.305549,2
2405.110962,2272,168.513635,356
389.14287,484,168.995424,82
-92.76111,60,169.292691,3
-99.160792,57,170.588607,2
-86.957199,57,170.896571,3
-158.520325,104,171.237876,4
59.643551,227,171.603276,31
-59.947415,115,171.9412,8
-54.854453,88,172.267018,9
519.475635,566,172.831489,99
-71.504136,70,173.154418,4
-58.053499,131,173.503083,8
-63.723598,99,173.821822,4
45.149387,175,174.16963,24
-78.074416,106,174.484148,5
-96.606614,53,174.777123,2
-92.139142,61,175.080813,4
-6.270872,133,175.422263,16
13.518307,144,176.783917,17
90.477536,307,177.195176,31
380.894206,434,177.644153,91
-66.255162,144,177.977234,10
-87.581422,129,178.330021,8
93.908285,220,178.692676,23
46.395256,180,179.046388,19
737.822201,730,180.652802,156
-112.32919,127,181.01598,7
37.321557,170,181.374405,12
-90.516128,60,181.667303,3
875.325395,900,182.31888,158
71.646583,267,182.699789,29
-79.974261,121,183.026176,7
-108.402001,125,183.348609,4
-85.369108,59,184.634341,3
-73.310335,77,184.935373,5
-112.77108,116,185.294126,5
-99.760064,125,185.637175,4
-120.014004,62,185.946228,0
63.739299,301,186.366971,25
-199.367167,101,186.706508,0
305.638178,478,187.187542,73
39.497293,240,187.569696,19
-135.874255,85,187.87795,0
-87.143242,60,188.173863,3
461.885238,519,189.665259,95
-160.899943,80,189.987716,0
-125.64425,65,190.286932,0
-75.427936,125,190.628366,7
-423.891567,442,191.115961,5
-65.061438,76,191.427279,6
4.914716,102,191.744281,11
-113.924485,133,192.103265,5
136.251919,389,192.592435,28
-78.171361,156,192.934059,12
13.967028,115,193.25946,8
-25.812958,116,193.577998,9
54.224578,183,194.891699,23
-33.861798,129,195.213395,1
-122.637278,121,195.525619,3
-308.416151,295,195.950115,7
-117.400172,108,196.285269,0
1140.719131,1114,197.044098,187
-66.445492,77,197.341227,6
428.44547,682,198.872926,94
-168.919448,104,199.1757,0
580.145723,628,199.739801,102
179.8979,372,200.216537,65
-114.613578,61,200.540462,0
-97.015503,53,200.855527,2
794.243739,807,202.668483,137
78.900667,199,203.024411,27
-82.705788,115,203.349667,6
-141.220959,163,203.708988,5
-63.194189,78,204.002849,5
-71.365622,69,204.301846,5
-100.907586,117,204.622417,0
55.058343,242,205.008297,26
216.814651,409,205.4933,41
-37.576486,138,205.85728,9
18.73563,125,207.397236,7
-134.631182,148,207.78155,5
180.907553,439,208.313395,55
-86.371225,64,208.638551,2
-102.504422,153,209.047947,10
-59.818554,77,209.363169,7
-82.511369,61,209.679592,3
313.912596,525,210.229999,57
512.556005,560,211.929813,107
-118.824448,66,212.232261,0
-96.777794,53,212.534794,2
105.157999,328,213.002726,41
245.50682,426,213.48333,69
169.645279,265,213.879698,44
81.172405,234,214.267539,36
-88.829436,62,214.584133,3
-15.306286,119,214.927603,11
797.5179,799,216.717327,151
-82.400533,89,217.028216,4
-58.928653,140,217.366211,10
-0.48544,267,217.766904,23
-78.042257,69,218.076792,3
896.612647,904,218.772063,146
267.846408,463,220.336036,60
491.73758,550,220.886174,106
-23.369702,166,221.257031,14
254.248978,432,221.733773,58
-70.214545,69,222.052444,5
428.782413,488,222.56656,94
263.025455,355,224.062245,58
-95.694803,52,224.367251,2
-25.155809,116,224.703673,9
-80.148711,123,225.022167,6
-45.084217,170,225.369169,4
-352.511676,174,225.751068,0
231.204985,441,226.271924,60
-81.214317,121,226.611989,6
-108.332652,145,226.977723,9
864.784312,942,228.730895,108
70.721573,208,229.108721,10
-194.470403,333,229.565558,11
938.433308,1043,231.436278,151
-3.515144,266,231.929804,24
139.742954,342,232.39168,41
-67.814395,358,232.843775,16
-82.078696,130,233.197238,8
529.503638,708,233.825494,108
-88.625826,61,234.145316,2
-62.05341,115,235.534976,4
-98.947916,70,235.852234,0
-114.363999,71,236.171129,0
72.447317,204,236.568347,18
336.604593,444,237.083293,65
42.826067,181,237.446173,18
-131.269706,158,237.818158,8
-144.213009,76,238.1561,0
-72.442512,119,238.492039,8
152.730169,330,238.934384,45
-83.795945,69,239.25163,2
-82.786247,69,239.560753,3
-69.045802,79,239.879462,5
1745.665817,1600,241.992855,293
-48.123729,160,242.373446,14
-148.600961,136,242.718784,0
811.593403,867,244.427664,147
359.901119,436,244.905512,74
325.502013,490,245.428498,84
-50.51632,227,245.831796,10
-45.077673,110,246.176929,6
-64.508348,116,246.536029,7
-52.286721,123,246.907371,8
-159.48186,140,248.53003,6
-134.850389,126,248.893482,2
345.115137,501,249.441233,90
11.025628,139,249.894982,19
122.165653,276,250.356299,32
90.818777,302,250.811722,40
310.729914,505,251.397828,55
-105.403249,59,251.744266,0
-86.903396,66,253.14149,3
-78.433364,67,253.44948,4
-78.308572,94,253.776629,4
-91.107764,62,254.090074,3
446.756052,566,254.64011,70
-73.711037,69,254.956525,4
-2.831956,138,255.303225,13
-8.930189,235,255.720772,26
-97.759576,56,256.044211,2
535.193591,652,256.669341,81
-92.003575,61,258.052726,3
-148.060983,239,258.493749,17
261.619389,327,258.921974,48
532.334999,1020,259.667433,137
