#{"t_start": 1706036742.8200786, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-185.255693,136,0.558998,1
-503.425742,289,1.172998,2
-61.961521,123,1.696998,7
-3074.492044,818,2.601998,18
-148.499766,280,3.206998,10
-113.582274,305,3.836,33
-4713.030685,772,5.725998,7
-1012.818814,914,6.713999,9
-772.120375,544,8.443998,7
-485.604661,617,9.283998,6
109.797854,245,9.877998,20
83.134001,218,10.454998,23
148.935443,342,11.099998,22
28.973373,275,11.704998,26
-1142.706978,549,13.426999,20
-100.037428,99,13.945998,3
207.119351,530,14.700998,57
683.299122,807,15.604998,81
104.254416,232,16.187998,36
80.007068,280,17.750998,19
-26.053059,112,18.276999,12
8.075897,163,18.828998,8
-42.845559,105,19.340998,6
-70.531343,80,19.835998,5
2.703972,135,20.365998,20
66.935326,232,20.944998,23
90.056134,227,21.521998,25
527.83544,584,22.304998,98
-83.625721,64,22.795998,3
-67.689199,93,23.297998,7
363.007155,467,24.972998,53
154.125163,251,25.568998,42
295.084776,424,26.263998,46
178.945927,338,26.908998,37
314.03331,478,27.633998,35
277.408243,403,29.280999,38
117.504929,246,29.878998,31
187.534518,285,30.491998,56
465.754951,572,31.261998,113
-81.490537,76,31.766998,5
332.49364,412,32.450998,72
-72.410469,164,32.993998,13
399.804214,492,34.702998,67
-62.744112,86,35.216998,7
-84.367611,73,35.707998,5
32.184423,173,36.259998,16
-78.067998,72,36.758998,4
79.104242,721,37.845998,80
93.886255,219,38.419998,32
251.809797,374,40.035998,39
-79.025206,70,40.561998,5
265.725924,381,41.230998,57
-35.872987,105,41.745998,9
-74.237407,81,42.243999,5
-21.289321,120,42.768998,12
86.831854,241,43.354998,28
6.509523,164,43.902998,19
-34.716318,111,44.415998,10
-70.492379,81,44.913998,4
-44.289216,115,45.435,7
-57.752651,96,45.940998,8
377.478396,451,47.626998,76
103.578561,221,48.227998,34
501.780009,581,49.018998,73
163.70205,288,49.641998,51
116.714452,243,50.231998,38
309.588018,393,50.912998,72
-27.677537,124,51.440998,12
435.523324,520,53.169998,69
-89.941474,60,53.660998,2
738.48549,756,54.538998,139
67.706297,204,55.109998,19
64.591446,200,55.671998,18
339.051337,422,56.359998,66
357.470936,451,58.040998,87
279.083013,365,58.710998,71
201.014903,322,59.342998,44
107.975858,237,59.928998,24
210.67317,320,60.561998,49
445.755805,520,62.272998,105
