#{"t_start": 1706122075.0223086, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1669.043377,1001,1.046001,0
-1726.47353,1001,2.054,0
-1622.236795,1001,4.068,0
-1566.898233,1001,5.099999,0
-1674.66537,1001,7.106149,0
-1586.01639,1001,8.129228,0
-1633.119955,1001,10.180787,0
-1339.979701,1001,11.176782,0
-525.681099,1001,13.178783,3
-707.227617,1001,14.187783,2
-684.184587,1001,16.237293,2
-282.635808,1001,17.270293,5
289.315113,1002,19.269686,8
268.136867,1001,20.296686,8
441.282613,1033,22.372984,10
655.988223,1010,23.553983,13
598.164347,1021,25.717053,11
588.686528,1013,26.750053,13
600.552942,1001,28.833052,14
358.45003,1053,29.895053,13
688.488837,1001,32.086053,16
828.133146,1038,33.137053,19
936.940358,1053,35.267052,21
1181.407675,1290,36.468052,27
1066.826951,1179,38.625052,21
1035.183163,1095,40.740046,23
1112.933951,1160,41.886045,26
1073.216252,1155,44.097045,27
903.551126,1041,45.133045,23
962.518609,1015,47.150045,26
946.900212,1006,48.188046,25
1128.907346,1196,50.333093,32
1003.041446,1047,51.362092,29
1183.716615,1239,53.521106,40
2774.462701,2865,56.571105,83
2633.11089,2669,60.584381,88
2219.219067,2213,63.26738,83
2232.705863,2265,66.029379,85
2397.143606,2402,68.896873,86
2104.520591,2188,71.690873,85
2163.682568,2143,74.501645,87
3618.578042,3563,79.094645,137
3508.394577,3440,83.484646,138
3473.323463,3419,86.927645,136
3457.032165,3388,91.420645,135
3093.318486,3031,94.674645,136
4368.321185,4260,99.717644,185
7101.6362,6971,108.395687,282
4057.647762,5054,113.878481,216
7517.843559,7289,122.294091,335
5707.738053,5690,129.328094,280
8386.488593,8564,138.890258,391
11688.588906,12635,152.437108,568
7346.864614,7291,160.694939,380
8161.211425,9023,170.320435,465
9854.758478,11340,182.228527,558
10294.715083,10230,193.725544,538
7868.146983,7506,202.762546,439
4800.90146,4774,208.055191,281
10724.255368,10354,220.709189,616
5870.52246,7022,228.21119,412
9570.039426,11446,241.252326,646
8979.787365,8910,250.869328,589
4408.914097,4266,255.869325,306
9900.479929,10584,266.948326,668
5437.11572,5385,273.258326,363
4612.669396,4634,278.172325,330
7693.33222,8787,287.447262,558
8232.517646,10206,298.301262,600
3162.553452,4331,303.05727,268
5609.19408,5616,309.443269,406
5591.197554,5360,315.73227,398
5438.664183,5224,320.913272,380
5912.050413,6617,328.782272,440
9487.875199,9997,338.480272,638
9171.101949,9173,348.72627,590
5414.628753,7465,357.096271,445
7999.579191,8417,365.95427,523
5528.695972,5402,371.25927,362
2824.930019,3526,375.54427,233
9663.345804,10265,386.39827,579
15113.275462,15061,401.77127,818
8771.055721,8856,411.84127,532
10304.428169,12089,424.637272,658
10864.84668,11724,436.36327,665
5064.148805,4899,442.40027,332
10041.648115,10675,453.454269,632
9067.81631,9569,463.93327,574
5219.620478,6740,470.96427,409
7621.308728,7490,479.29927,492
6950.667592,8729,488.404269,552
6182.979636,6058,495.067269,444
4681.332357,6142,501.716269,416
3082.776182,3290,504.89327,222
5769.739676,6011,511.466269,440
4013.783223,4071,516.06127,313
6145.6599,6818,524.152272,471
3245.546751,3284,527.34627,265
6385.538638,6083,533.946269,468
5691.525117,5426,540.24127,429
7753.748407,7357,547.555273,564
7483.81958,9579,557.986288,648
6127.406819,5995,564.529288,479
8223.999748,7992,573.147287,624
5040.528072,6236,579.889288,463
4995.156355,6225,586.61229,463
5938.037613,5696,593.026288,489
6335.333644,7104,600.192288,543
7496.017472,7109,608.335287,596
3056.018607,3152,611.458288,282
1303.124513,1337,613.619288,128
4890.098352,4641,618.46829,410
4301.023335,4096,623.029288,366
6845.638383,6456,629.831287,553
5628.221127,5333,636.012289,457
9154.350889,9468,646.356292,731
6937.455425,6605,653.25429,569
5367.699127,5777,659.68829,488
6715.161125,7228,666.938288,579
6921.802494,6634,673.869287,572
2215.639968,2162,676.449287,219
7147.96344,6726,684.388288,583
5120.568165,4877,689.413287,429
6718.60519,6615,696.293288,549
757.511467,2680,700.115288,144
6779.750371,8251,708.887288,598
6107.468493,5812,715.293288,485
2264.34385,2214,717.923288,214
10254.813659,9956,727.60129,780
6907.152333,8249,737.359288,617
4332.056725,4118,741.964288,375
5367.085025,5071,747.098288,460
6793.883275,6405,753.909288,556
2559.395505,2488,756.658291,235
8305.830535,8088,765.297287,657
3647.886236,3591,769.703288,320
5137.063834,4883,774.667288,415
3031.957121,3119,778.763288,275
8554.712599,8027,787.37729,691
6129.663403,8200,796.09029,604
1638.101018,1643,798.397288,159
3046.880687,2938,801.37829,272
6576.202904,6373,808.113287,522
4457.016158,4687,813.967288,395
3878.816403,3827,817.454288,343
2466.627012,2412,821.117288,216
5874.892744,5563,826.486288,475
5506.618249,5288,832.723288,457
3205.706082,3090,835.795287,277
6696.197141,6333,842.549288,531
6476.310924,6714,850.494287,558
4314.776689,4109,855.101288,367
7340.087432,7466,862.458288,593
4680.664516,4490,868.220288,402
3370.141046,3440,871.464288,303
4975.531155,4842,877.433287,407
7036.978338,6649,884.364287,551
