#{"t_start": 1706118350.543362, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
63.99199,189,1.179,23
-38.108204,100,1.716001,11
-97.002951,51,2.215001,1
1007.91794,934,3.264422,222
206.953498,306,3.919421,49
212.295117,320,4.572423,40
-44.679614,99,5.108422,8
-40.469115,98,6.693755,10
-44.675188,99,7.256755,8
24.615472,156,7.822764,16
83.108932,206,8.418332,25
25.870746,157,8.970332,17
-45.773062,98,9.487333,7
-44.626364,99,10.006332,8
27.033487,158,10.558332,17
-44.63045,99,11.076332,8
-44.610503,99,11.596333,8
25.989777,157,12.157332,17
26.859637,158,12.710332,17
24.696579,156,13.260332,16
252.178086,342,13.940333,58
-44.608006,99,15.510437,8
238.405734,335,16.195485,51
41.489056,171,16.761485,22
-44.61224,99,17.289485,8
-39.720018,103,17.808487,9
-28.553762,109,18.331485,10
-36.282887,102,18.850487,10
-40.243786,99,19.364485,9
-44.61769,99,19.880485,8
517.684976,558,20.663485,111
-39.114717,100,21.186485,9
274.803253,362,22.877104,61
-44.686215,99,23.410112,8
23.601827,155,23.967112,16
24.698136,156,24.520113,16
28.512809,161,25.075112,19
23.587646,155,25.622113,16
-39.713894,103,26.145112,9
-37.880126,101,26.658114,9
-44.688676,99,27.172112,8
-39.720435,103,27.689114,9
-29.210944,111,28.205112,11
-45.78228,98,28.72012,7
-44.579917,99,29.23312,8
-44.691013,99,29.752119,8
-44.606753,99,30.26912,8
-44.694645,99,30.783119,8
24.785491,156,32.31912,17
222.017735,321,32.981119,49
-45.825663,98,33.49512,7
117.000251,231,34.08812,34
229.810654,324,34.742119,54
-37.374307,101,35.26712,10
-44.682604,99,35.787119,8
-96.994398,51,36.288121,1
54.361368,181,36.85612,21
24.47515,156,37.41312,16
-44.611826,99,37.93812,8
-44.578216,99,38.46612,8
23.23306,155,39.02312,16
284.525846,375,40.681121,57
-44.628563,99,41.211119,8
-45.785835,98,41.725119,7
491.668762,516,42.480119,124
-38.724182,100,42.99212,10
-44.687219,99,43.514119,8
-97.004663,51,44.002119,1
235.974707,335,44.654122,49
21.13151,153,45.204119,16
-44.632145,99,45.718119,8
23.55689,155,46.26512,16
-97.002605,51,46.75012,1
292.802659,392,48.41612,49
-96.929252,51,48.902119,1
-45.739058,98,49.42412,8
25.666194,157,49.973119,16
123.425538,307,50.60712,20
-38.706333,100,51.12612,10
21.158344,153,51.67912,16
-96.932351,51,52.168122,1
-44.582243,99,52.685121,8
-45.775405,98,53.20112,7
182.093935,285,53.82312,45
-45.787741,98,54.34912,7
-96.929154,51,54.84312,1
221.631161,318,56.454121,51
-45.78631,98,56.986122,7
-45.737044,98,57.510121,8
-44.619964,99,58.02412,8
-44.688938,99,58.54112,8
123.285172,240,59.125119,31
15.86038,152,59.671122,15
-44.692827,99,60.185119,8
-45.78321,98,60.701119,7
-40.911922,102,61.21712,8
-96.925443,51,61.70312,1
-44.616904,99,62.221121,8
126.197146,236,62.810121,39
95.672224,218,63.39612,25
-45.727549,98,63.91912,8
-45.733673,98,65.393122,8
-44.682887,99,65.931119,8
-45.741519,98,66.447119,8
-45.778104,98,66.96212,7
-45.782058,98,67.476119,7
-45.780769,98,67.99212,7
-44.688823,99,68.507121,8
-96.928838,51,68.99212,1
-44.625905,99,69.507119,8
22.456704,154,70.050122,16
-96.930421,51,70.53712,1
-44.684325,99,71.05112,8
-38.693769,100,71.563119,10
-40.911798,102,72.077121,8
247.796388,341,72.727119,55
-44.613936,99,73.241119,8
-44.61373,99,73.75512,8
-45.735013,98,74.267119,8
-96.923909,51,74.758119,1
-44.685413,99,75.27312,8
23.607791,155,76.781119,16
-44.689918,99,77.31712,8
-44.690963,99,77.83312,8
-45.82509,98,78.352122,7
-45.818035,98,78.931119,7
22.382316,154,79.48512,16
24.511303,156,80.04212,16
-39.052984,100,80.561119,9
-45.822747,98,81.09012,7
-96.936227,51,81.584121,1
-44.612854,99,82.114128,8
22.398494,154,82.663128,16
-44.632525,99,83.180128,8
-27.469965,110,83.711128,11
70.039547,196,84.286128,22
-44.605709,99,84.80913,8
-44.613544,99,85.359128,8
-45.826981,98,86.886149,7
-44.693842,99,87.44215,8
-44.689961,99,87.97115,8
201.573321,310,88.62415,39
27.121013,158,89.20815,17
110.539333,230,89.828151,28
96.423618,214,90.455848,31
-96.933688,51,90.964647,1
22.442026,154,91.521648,16
-44.685947,99,92.043647,8
25.992633,157,92.593647,17
-44.688219,99,93.111648,8
26.027719,157,93.658647,17
-44.611988,99,94.179647,8
-45.775406,98,94.699647,7
-44.686567,99,96.177647,8
-40.270141,99,96.701648,9
-44.608068,99,97.221647,8
-44.698539,99,97.731648,8
-44.605947,99,98.246647,8
-44.614209,99,98.760647,8
-44.687097,99,99.274647,8
128.779429,240,99.868647,37
-44.606571,99,100.382646,8
-44.61166,99,100.895647,8
-40.91337,102,101.407647,8
-43.455752,100,101.923647,8
210.25506,313,102.551647,46
205.003514,307,103.178648,47
-40.91389,102,103.690647,8
-96.932296,51,105.144648,1
-44.628346,99,105.693646,8
-44.613594,99,106.217647,8
-39.092623,100,106.74565,9
28.278051,159,107.301647,17
-96.932237,51,107.801267,1
-44.630502,99,108.339267,8
-45.828111,98,108.864264,7
134.170429,252,109.479266,30
-96.925192,51,109.978266,1
-36.249407,102,110.508265,10
-44.608235,99,111.037265,8
261.733689,354,111.708264,56
23.632843,155,112.271266,16
24.730021,156,112.831265,16
109.856065,229,114.420266,29
671.909924,694,115.301266,127
25.833238,157,115.856264,17
107.399517,227,116.457265,28
-43.448167,100,116.980264,8
156.882475,269,117.598264,36
-44.623265,99,118.130265,8
-45.785839,98,118.656265,7
137.132736,256,119.294266,29
-44.688352,99,121.055254,8
-44.692639,99,121.617253,8
36.496083,165,122.180253,19
35.491782,165,122.746254,18
-44.692082,99,123.266253,8
-45.778311,98,123.786253,7
19.960883,152,124.329255,16
108.384356,227,124.920255,29
98.292181,219,125.507253,27
