#{"t_start": 1706040099.3892062, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-50.023638,119,0.573,7
-294.945096,114,1.107,0
302.870498,464,1.855999,31
29.761987,236,2.456999,17
-280.533596,308,3.119999,8
-390.515247,434,3.868,16
-2288.325183,1001,6.071556,1
-1984.872045,836,7.041556,26
-373.981741,190,7.649556,0
-572.403953,327,8.325557,0
-1562.940605,924,10.386556,1
-2224.957555,779,11.323556,23
-1768.58999,1001,13.659943,1
-402.785293,178,14.277943,1
523.383193,742,15.209943,78
-49.749055,122,15.750943,7
-437.667232,1097,17.998053,44
691.846389,750,18.915051,94
55.542899,239,19.526053,13
454.153847,533,21.392051,91
280.760345,538,22.201053,55
-80.137042,67,22.706051,4
-110.518979,283,23.347342,13
-388.398581,278,23.993354,5
-53.904805,89,24.523365,8
225.357981,531,25.299365,59
-418.00941,173,27.048364,3
-48.885099,112,27.633366,6
129.793635,259,28.283376,26
-62.395577,84,28.835374,7
2427.84931,2909,32.557374,272
493.151061,578,33.386463,83
-94.078822,63,33.901464,2
307.599192,941,36.013464,60
13.444562,216,36.610465,9
-89.331741,60,37.117463,3
118.504716,250,37.737464,20
-36.284615,97,38.265463,11
690.833881,830,40.257464,63
341.130511,698,41.136463,73
-90.375123,62,41.644464,3
-74.8616,79,42.148463,5
230.973206,358,42.821463,42
-88.610775,61,43.320466,2
-39.027463,110,43.848465,7
-61.721338,90,44.366463,7
-95.891464,65,44.879463,3
1369.82762,1514,47.334463,173
473.852126,599,48.157103,48
-410.856941,393,50.038685,22
-87.572288,66,50.548631,3
-52.067971,102,51.087631,10
421.805752,1059,52.192326,81
-39.608066,110,52.744039,6
864.083805,920,54.916968,101
-32.890526,110,55.44845,10
-181.779604,75,55.983449,0
111.665507,226,56.578449,26
-72.03238,78,57.080448,4
287.509699,451,57.799451,60
287.264825,400,58.484448,54
-41.835234,96,59.000448,9
3.329286,147,59.543449,12
170.745773,638,61.37345,37
1085.414778,1507,63.737587,190
1213.84426,1249,64.98449,131
-107.474445,351,65.669487,13
542.074979,625,67.696487,67
129.840492,278,68.355488,27
368.88318,473,69.128488,48
-87.002633,72,69.635487,4
283.603676,510,70.403488,45
13.339516,200,70.982449,16
-92.690063,59,71.480487,3
-218.645332,204,73.394489,3
-30.956643,230,74.016487,13
265.701954,368,74.684487,50
161.747672,301,75.320489,32
635.118563,746,76.216487,107
-85.363502,71,76.718487,3
-92.603186,54,77.206506,3
676.193761,792,79.159431,75
270.978838,373,79.842456,61
77.197336,211,80.450466,20
106.634044,235,81.126466,25
-78.575147,71,81.668362,3
12.624394,167,82.32649,10
-51.02059,103,82.970489,9
-83.89623,69,83.538489,3
-82.14736,67,84.125489,5
-58.192143,92,84.774493,9
-78.914769,80,85.34549,5
653.432494,767,87.442488,73
-93.313767,57,87.957576,3
222.274369,339,88.640574,36
-83.371971,68,89.151574,2
-92.442751,64,89.672577,3
-93.248756,56,90.183576,2
703.275121,744,91.188576,115
1798.481281,1698,93.752748,252
752.734782,1049,95.902847,100
430.924452,520,96.673849,76
-31.415018,112,97.196847,15
339.564991,478,97.960847,48
-75.996888,78,98.478847,6
-76.551122,74,98.987877,4
528.237022,614,100.899423,63
1014.479087,1043,102.022425,145
326.576639,438,102.755424,58
-86.848782,64,104.253424,4
-34.069671,133,104.819423,7
384.668466,525,105.586423,39
-396.672659,229,106.215424,3
-63.018934,85,106.722423,6
-83.224554,73,107.221423,4
797.006254,835,108.155424,113
-26.891853,119,108.682423,14
1118.917385,1155,110.773423,139
481.391289,571,111.570424,75
-90.817671,176,112.135424,9
48.51803,180,113.733423,18
-88.329705,64,114.250425,3
-91.532612,63,114.745424,3
61.895085,206,115.324424,21
-94.377815,66,115.824424,4
-467.253965,289,116.449423,2
-89.710654,63,116.952426,3
-154.779611,330,117.600304,11
-87.810721,67,118.104305,3
636.906058,700,118.978304,89
402.229582,495,120.756344,68
-82.569654,69,121.267278,3
-58.80346,83,121.783278,7
587.025279,677,122.645306,65
950.767427,1002,124.665321,114
1662.827705,3227,128.040323,285
-98.629708,72,128.544323,4
213.392905,332,129.197324,33
-80.868559,70,129.690323,3
-83.11089,71,130.202322,5
-71.634257,76,130.714323,5
325.677475,398,132.406322,76
-77.279928,70,132.930323,4
499.117521,574,133.736325,81
-87.920258,63,134.236322,3
-91.819387,273,134.854324,14
88.137484,225,135.447322,29
1182.362792,1646,137.877323,186
-96.948005,53,138.376323,2
-84.706602,65,138.880334,4
-47.732134,108,139.411211,12
1270.966233,1274,141.747079,151
298.58865,408,142.462345,47
1072.022297,1094,143.565343,138
1107.77865,1115,145.760344,148
79.687447,218,146.354344,33
-83.707912,67,146.866344,2
447.448399,545,147.652344,62
-153.419602,123,148.197344,4
372.645848,482,149.981344,51
-83.598026,68,150.475343,4
1375.61049,1460,151.798208,155
226.416637,325,153.513206,54
-92.805676,64,154.022205,3
-94.532883,55,154.529206,2
-89.227856,75,155.029205,3
2433.655194,2551,157.955205,227
18.247261,158,158.510205,14
-91.797133,65,159.003205,3
-86.624394,57,159.500206,3
-99.511481,57,159.993205,1
-60.187312,84,160.507205,6
-356.134518,445,161.223205,16
-62.355529,87,161.728205,6
-83.969382,68,162.226205,4
-93.621908,54,162.713205,2
-80.932291,60,164.182205,3
-70.62347,84,164.729207,7
-84.834288,63,165.233205,4
741.901027,1063,166.327205,77
208.464747,916,168.483206,72
-34.34125,117,169.103205,3
174.387256,294,169.768205,34
-63.597713,79,170.289205,6
-73.256789,81,170.801205,6
505.91181,599,171.662206,85
-92.540335,60,172.159205,3
156.749078,288,172.827205,31
-92.798164,57,173.336205,2
-86.804862,69,173.849206,4
1036.306288,1091,176.039205,119
127.262974,356,176.718205,39
-10.572249,132,177.275207,13
1004.549336,1311,179.629206,84
-66.092015,81,180.154205,7
-84.992193,67,180.662205,4
-22.317599,115,181.212205,12
100.338019,225,181.812205,31
379.075326,475,182.554205,59
-58.467558,144,183.102236,5
-85.134256,71,183.616235,5
-74.803082,70,184.118236,5
-68.235916,82,184.634236,5
-55.759278,88,185.153235,6
27.622049,162,186.812236,18
116.439691,246,187.454236,36
-88.639074,65,187.968239,4
-84.929291,64,188.475235,3
1247.430892,1257,189.681235,144
-87.172546,60,190.178236,4
-65.371181,84,190.688236,6
-660.171735,358,192.345237,2
-91.368995,58,192.850235,2
-95.613968,52,193.347235,2
-89.531696,62,193.842235,2
-90.210272,58,194.333236,3
-94.567689,56,194.827235,3
-95.465481,53,195.315237,1
50.682635,199,195.889236,13
-32.401309,107,196.408236,10
-86.953557,69,196.903235,4
41.615319,171,197.453235,20
-95.676679,54,197.940235,1
-93.425965,62,198.433236,3
-90.341867,58,198.929235,1
-77.228772,74,199.431235,5
-93.83304,56,199.931235,2
35.460122,174,200.501237,15
-94.514982,61,201.004235,2
-52.143361,101,201.522235,8
1811.130549,1727,204.004235,238
-89.071238,62,204.501236,2
132.514784,272,205.118236,26
41.588516,176,205.676237,17
-86.938998,66,206.176236,4
-84.44057,64,206.673236,3
-87.150283,67,208.151236,3
-76.206486,76,208.679235,5
-73.134172,67,209.174236,5
-94.580414,57,209.661235,2
-76.327118,69,210.155235,5
779.472193,843,211.112235,97
-88.771424,64,211.597235,3
249.498925,370,212.269235,31
1345.898157,1334,214.503236,163
37.178013,301,215.138238,25
-97.615668,62,215.664235,2
514.232846,570,216.465235,94
-84.212766,70,216.964235,3
-91.41778,57,217.467235,1
-94.734048,70,217.983235,4
-14.32112,128,219.607235,13
-163.307017,1283,220.862236,90
-92.04979,57,221.377236,3
162.054518,285,222.008236,29
-85.105514,68,222.510236,5
-49.25594,95,223.031237,7
-99.401324,52,223.525235,2
1405.103257,1624,226.028959,151
-77.52368,68,226.531958,4
-20.221001,117,227.067958,10
-34.453903,104,227.59496,11
-96.848181,53,228.094958,2
397.319756,492,229.899962,58
6.778591,144,230.449957,14
-83.300912,68,230.957958,2
-80.027107,71,231.808958,5
729.056747,1090,232.912957,114
-8.623882,138,233.481958,11
-82.349605,71,233.995958,5
-91.082976,62,234.49596,3
-9.558556,128,236.097961,12
51.754172,181,236.703958,22
-90.723593,61,237.211958,2
-96.52477,52,237.700958,1
-89.539849,58,238.198958,2
-85.933759,60,238.695958,3
-89.950584,62,239.195958,4
-92.508728,57,239.703958,2
-32.436669,106,240.227957,11
-39.25675,101,240.750958,9
-90.404967,62,241.249958,3
-89.833346,59,241.752958,2
-93.713671,55,242.249957,3
173.156061,292,242.87996,35
502.292489,578,243.679958,82
-92.460182,59,244.176958,3
-92.121969,58,244.668957,4
-88.923615,66,245.166958,3
866.94104,922,247.191959,136
-89.059083,62,247.691958,3
1525.923145,1825,250.206958,183
-59.468305,91,250.721958,9
754.971103,811,251.651418,94
-82.976449,68,252.153425,4
1516.840429,1482,254.491757,191
-91.141637,60,254.981758,3
-99.78246,52,255.479757,2
-90.409883,58,255.977757,3
7.645267,145,256.525758,16
-36.170125,108,257.047758,10
-28.237263,277,257.665758,10
-91.732095,66,258.163757,4
-73.174383,75,258.670758,6
-93.206762,67,259.169758,4
-88.678908,61,260.636757,4
-88.943546,64,261.148757,3
-14.184792,128,261.679766,12
21.13663,155,262.225765,19
-97.365102,53,262.715766,1
836.173049,840,263.664766,146
1714.914215,1649,266.064765,218
-94.470815,54,266.553766,1
-9.400959,133,267.084766,11
-84.449249,69,267.582765,4
133.87936,260,268.193765,28
-97.179486,56,268.691765,3
-98.526097,66,269.185765,4
-90.291892,62,269.674765,3
-90.690452,62,270.169765,3
-87.878048,63,270.664766,3
2358.695827,2397,273.522766,277
-76.281977,74,274.974765,5
490.193984,569,275.784768,75
-90.28917,64,276.279766,4
-76.934752,72,276.782765,5
-82.952087,69,277.281765,6
-86.397525,63,277.778765,2
8.004219,158,278.332765,10
-73.63132,82,278.836766,8
1411.334889,1516,281.152766,150
61.83474,282,281.779766,15
364.068884,433,282.483765,89
659.599561,864,284.416764,91
563.387009,702,285.300766,94
189.886789,317,285.943765,31
-207.788329,498,286.691768,22
35.542196,216,287.299766,18
1368.599463,1341,289.590765,190
-748.449529,501,290.439766,20
-45.535431,114,290.96278,10
-66.554566,86,291.474765,7
465.977088,534,293.269765,94
-14.983018,130,293.829765,14
248.28095,348,294.501765,64
