#{"t_start": 1706038153.4357715, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-50.023638,119,0.567998,7
-2642.310691,808,1.508,9
-998.289435,387,2.193997,3
-1839.857794,669,3.050574,5
-2338.722844,1001,5.065573,0
67.038715,453,5.785704,44
-740.77892,600,6.60534,14
-433.163059,958,8.597341,40
-1297.680303,820,9.540338,22
-807.305843,399,11.237339,6
-292.919727,379,11.952339,11
-281.566781,135,12.494407,0
-226.119531,122,13.032407,0
-228.622679,129,13.574407,0
-42.033638,110,14.098408,3
-77.155897,78,14.606407,5
-1730.387992,1001,15.663419,1
-497.558317,157,17.259421,0
-307.843748,90,17.796418,0
-611.906676,388,18.503418,6
-61.7157,90,19.018418,9
-2673.64459,1001,20.124418,6
-2264.03269,1001,22.180419,10
-7967.476997,1001,23.290419,11
-662.594435,1055,25.363418,90
-856.561458,842,26.373418,34
-248.812689,1032,28.539622,115
43.137683,232,29.162215,15
-732.315303,409,29.878132,7
-19.738179,249,30.506132,15
-1318.161744,345,31.279133,4
-559.868212,609,33.225146,16
407.384951,482,33.960145,80
-150.802057,91,34.484145,0
462.512853,770,35.396699,134
-686.382084,1424,37.709699,148
20.33231,420,38.411698,34
367.571766,707,40.288698,102
38.552756,174,40.875076,19
1.782064,237,41.482077,12
178.004722,545,42.272076,51
-1033.250683,1442,44.686077,206
52.074869,397,45.370077,25
-82.946014,73,45.871077,4
-130.362086,113,46.392077,4
239.515025,497,47.138077,42
692.151983,731,49.011076,131
665.795028,733,49.899077,101
187.965628,658,50.728087,69
-6.044159,125,51.257088,18
-40.075919,110,51.779087,10
328.058864,403,53.494089,78
-476.184265,439,54.22309,9
-265.205242,95,54.783087,0
185.764067,268,55.398444,33
406.249397,602,56.212892,86
-9.880714,141,56.750891,8
1390.925944,1284,58.940891,249
619.493249,656,59.780893,121
892.376668,891,61.711891,167
303.233725,450,62.434891,77
270.438168,376,63.108891,49
-6.602125,492,63.854892,52
537.159791,674,65.744891,76
270.508857,376,66.431891,56
24.015657,181,66.997891,24
-1040.437541,430,67.707891,9
508.597711,549,68.481891,121
50.948704,214,70.07389,14
145.192116,260,70.701893,50
166.208019,302,71.347892,32
94.31258,246,71.949894,34
299.636781,494,72.713123,53
130.209186,250,73.325124,27
70.704586,210,73.907123,22
-78.084532,80,74.405123,6
341.074736,456,76.159356,49
-77.233662,84,76.672356,5
939.311856,920,77.685825,186
-11.072409,136,78.241177,16
123.841216,340,78.96049,43
268.274781,532,80.771404,60
-277.651165,360,81.453756,9
-90.197399,64,81.959083,4
56.795604,209,82.551831,31
112.596704,242,83.148981,34
362.037694,437,83.87887,94
542.28251,590,85.697869,108
20.696479,171,86.274869,9
371.139027,457,87.000869,78
61.415485,207,87.580868,14
370.192475,429,88.301867,88
209.171278,343,88.970137,37
-83.705979,70,89.489805,5
321.10481,409,91.274737,71
107.392069,247,91.897432,26
301.101804,601,92.714722,77
147.782594,372,93.391876,24
129.116193,255,94.002878,31
614.144564,648,95.866093,124
325.417308,410,96.568826,79
105.646771,364,97.241845,49
441.913087,538,98.015845,69
8.678277,154,98.574845,12
770.859604,823,100.520845,105
1113.1936,1119,101.623844,216
318.196746,420,103.279846,59
344.977559,456,104.035845,48
528.413018,589,104.825845,107
-75.187097,77,105.326847,6
-78.003065,76,105.823845,4
579.642879,617,106.652847,119
501.690822,569,108.734937,98
-79.32565,75,109.263484,4
678.643728,681,110.125862,160
621.303385,663,110.984861,126
762.727427,819,112.903746,110
1165.732271,1100,113.994281,226
513.180666,597,115.76301,76
533.776909,593,116.570525,107
-52.935115,98,117.088546,8
1152.653911,1071,118.165544,212
-87.841136,70,118.679544,4
752.09756,771,120.631545,133
65.399401,204,121.23257,24
500.850294,575,122.025569,84
-59.345996,93,122.536569,7
429.224048,516,124.25757,68
503.503168,601,125.084569,74
-77.22984,77,125.61157,5
345.393968,459,126.366569,52
-67.252973,88,126.885571,6
-63.701515,91,127.399569,5
338.196169,451,128.115569,48
501.283193,594,130.01661,67
22.316166,736,130.933608,35
584.920871,621,131.760608,119
474.490513,585,133.533609,67
299.67097,399,134.237609,66
464.630112,670,135.073608,87
284.193595,393,135.749609,49
40.255144,350,137.375608,18
-84.26325,190,137.975609,17
26.103476,170,138.55961,14
419.849754,515,139.353609,66
490.669641,609,140.284636,44
634.43533,679,142.572608,136
397.254319,480,143.325317,64
520.054682,586,144.127317,97
865.447664,893,146.115705,119
530.617021,634,146.970073,59
549.650906,618,147.800493,97
355.997154,471,148.550493,42
256.839915,780,150.455492,67
576.961527,690,151.307493,112
-81.44483,233,151.892494,8
472.098628,544,152.650493,87
-55.197815,95,154.168494,6
-89.121546,62,154.706493,3
151.063329,430,155.456493,44
313.861044,399,156.182496,74
-13.758992,133,156.729497,19
-66.693669,87,157.240493,6
-81.519864,69,157.740493,4
257.356245,374,158.432493,34
324.998894,395,159.122493,61
-67.338013,151,160.713781,5
-82.965943,67,161.236029,4
181.34104,285,161.86867,62
345.301041,437,162.58167,86
75.579131,212,163.16667,24
544.133136,627,163.98667,73
337.437105,439,165.66967,59
-89.753746,63,166.17567,3
-49.850331,89,166.68367,8
-92.045536,59,167.17567,3
-447.358131,376,167.847669,10
-82.782116,71,168.34567,4
-45.327028,114,168.865672,11
-66.288098,87,169.37067,6
205.236075,331,170.01667,24
73.790942,207,170.87067,31
-92.009483,61,171.370672,2
-89.92971,65,171.87467,3
355.896855,434,173.664692,89
-84.018029,70,174.200692,4
-78.876049,71,174.700692,4
448.707749,500,175.448443,111
-308.451533,354,176.109458,10
15.765524,162,176.662458,11
-27.6543,289,177.289459,16
-77.762615,75,177.786458,4
-85.33777,71,178.283458,3
-86.519188,67,178.782459,4
173.168206,413,180.46146,58
-19.347245,316,181.126458,14
417.759444,619,181.934458,85
-94.705656,62,182.428458,3
-89.361984,64,182.925458,2
-88.380718,70,183.423458,4
-75.493347,80,183.933458,6
546.62143,599,184.734458,104
-83.844265,70,185.229459,5
224.066205,327,186.860459,41
-90.259648,62,187.358459,2
461.668324,566,188.137458,84
24.541818,169,188.692483,17
-65.45625,81,189.194482,5
239.323358,347,189.849483,41
35.598763,176,190.406483,24
-1383.312124,628,192.193483,12
-72.475435,83,192.710483,4
87.66163,225,193.299483,30
-442.403703,353,193.959483,5
750.816353,791,194.881482,118
334.91358,449,196.567485,70
702.807317,957,197.599483,104
247.01139,355,198.261482,52
-42.294412,98,198.774482,5
-68.828558,82,199.281484,6
453.689443,652,201.127483,87
-538.490571,360,201.801482,7
363.296694,453,202.515482,74
770.972593,764,203.404483,160
264.642287,378,205.036483,48
290.708214,618,205.867483,54
32.220894,180,206.438483,11
541.41065,633,207.278482,72
654.923815,704,209.235484,141
377.062469,447,209.980485,92
36.339485,184,210.552484,14
67.078783,568,211.359483,23
-69.752553,84,211.870483,5
489.060092,537,212.648484,107
241.579781,374,214.371483,37
418.082636,502,215.122483,78
-22.408485,125,215.663482,8
-5.500518,138,216.201483,15
173.91172,303,216.832482,26
733.78123,904,218.859483,114
314.056975,454,219.603482,19
17.163539,160,220.169483,21
501.378193,576,220.962483,83
-88.93069,63,221.458482,2
1103.064324,1002,223.525483,254
-77.596399,75,224.035483,4
302.237073,396,224.746482,59
437.964011,506,225.509919,99
471.414601,537,226.287167,102
1117.353447,1144,228.497167,169
-87.993886,64,228.999167,4
-79.680084,73,229.537167,4
175.581416,287,230.165167,46
506.893284,569,230.951167,105
-75.348691,76,232.450167,4
592.971748,664,233.310167,86
106.364134,239,233.900167,24
-90.241747,63,234.394167,3
-412.326349,350,235.049167,5
225.582929,362,235.707167,29
8.783042,150,236.254169,12
388.117791,498,237.958167,68
831.6798,861,238.910167,133
326.047804,437,239.618167,41
-41.087248,325,240.265167,17
324.519299,757,242.138167,62
429.814105,855,243.080167,56
409.938968,596,244.822169,54
726.713334,783,245.783168,114
173.034655,301,246.422167,34
169.698782,300,247.059167,26
76.991357,403,247.755167,23
1595.48409,1591,250.151167,225
466.443753,532,250.929167,82
108.286231,534,252.674167,57
115.303382,258,253.278167,25
241.88486,329,253.923167,53
669.633459,704,254.805167,122
-92.377625,61,255.299167,2
70.134798,205,255.873168,19
-78.493917,73,256.381167,4
237.913505,356,258.036167,40
159.96099,270,258.651167,40
-80.433315,78,259.151206,5
720.025618,824,260.076167,134
-306.347448,399,260.757168,8
-86.033862,66,261.247168,4
-91.5004,60,261.733167,2
-782.406265,902,263.687167,56
-90.115024,60,264.183168,3
370.279624,452,264.899167,81
-72.801973,78,265.395167,5
794.347448,806,267.275168,148
-73.960385,77,267.779167,3
203.578508,342,268.430169,25
67.014363,200,269.003167,24
-8.553364,140,269.541167,12
252.468103,355,270.206169,46
-61.940981,93,270.716167,5
-95.351058,62,271.205167,3
-692.535389,607,273.033167,49
65.485783,203,273.630167,22
-51.664156,98,274.144167,6
172.439294,289,274.767168,43
741.21885,1053,275.822168,179
474.215147,535,277.571167,100
464.408426,517,278.335168,108
284.961419,482,279.071168,52
131.708125,255,279.672167,35
-66.8664,96,280.185167,5
64.803319,205,280.758167,19
269.939078,403,282.431167,24
378.869854,461,283.172167,76
51.557682,199,283.738167,11
409.214086,511,284.497167,60
-90.049314,62,284.989167,2
-1658.174155,1001,287.014167,12
304.202361,396,287.703167,69
153.701637,272,288.313167,42
-3.058525,241,288.906168,11
800.809373,778,289.804167,185
216.239621,327,291.426168,51
260.930201,377,292.110167,47
-79.897612,72,292.606167,3
108.561166,242,293.202167,28
261.101647,351,293.857167,60
-90.557353,62,294.353167,3
433.788865,501,295.096167,89
-1128.063136,697,296.931168,6
796.227233,785,297.836167,162
187.173778,324,298.475167,22
-759.940187,509,300.185168,8
-524.337253,324,300.837168,2
143.424257,283,301.455167,20
-68.740855,86,301.959167,5
200.747827,312,302.589167,47
408.971227,479,303.312167,88
-89.648528,62,303.805167,3
257.133467,376,304.475167,55
207.703534,314,306.076168,41
-78.559641,71,306.578167,4
280.181217,371,307.240167,69
655.136526,676,308.075168,140
-64.83729,90,308.583167,5
152.717548,264,309.191167,37
-1956.865023,791,311.129168,7
158.451731,278,311.747168,38
-629.586757,466,312.466167,4
283.299522,388,313.140167,55
-50.872583,106,313.661167,5
426.791218,494,315.384167,92
384.721503,470,316.140167,76
797.819942,835,317.069169,126
148.418366,277,317.678167,30
-178.125335,417,319.327168,13
700.549366,893,320.304167,115
759.400768,1167,322.385168,106
225.110242,359,323.066167,54
187.483272,304,323.698167,44
-39.701402,109,324.217168,7
-329.427408,486,324.953167,10
-62.788157,90,325.463167,4
-19.099427,130,326.001167,5
-145.199486,266,326.617167,5
-74.912647,80,327.134167,5
-391.590254,557,328.870167,4
325.816273,425,329.565401,61
88.460239,375,330.24339,15
-2.866255,260,330.84839,10
254.171096,364,331.800392,46
-116.702661,368,333.451847,5
470.033693,525,334.224847,98
140.861137,266,334.837847,36
212.61269,329,335.495846,39
344.693489,447,336.206846,53
-268.623776,876,338.145846,9
487.236285,692,339.004846,75
308.693255,413,339.699846,54
347.187044,446,341.390848,62
-61.267739,94,341.918846,6
-265.977991,432,342.622846,6
134.042794,269,343.233846,21
40.333092,678,344.074847,42
279.561457,380,344.750846,61
1.220183,149,346.248846,14
233.365565,345,346.927846,45
-3014.039293,1001,347.954847,61
222.495419,343,348.613846,37
284.775751,410,350.289846,37
214.679533,324,350.952847,50
-13.363393,135,351.486846,9
431.183702,514,352.240847,79
275.159876,391,352.920846,43
394.109277,481,353.653847,73
240.776192,344,355.267848,55
-292.021228,1001,356.299846,8
476.893401,559,357.073846,75
211.21651,319,358.666847,52
482.823291,556,359.453847,89
699.899391,688,360.300846,174
292.268878,400,360.985847,54
246.272315,385,362.637849,18
653.435516,693,363.515846,119
512.424619,576,364.303848,98
140.569631,624,365.118848,17
-82.377037,74,365.616846,3
222.057654,335,367.251846,46
301.989463,752,368.150847,15
756.022592,780,369.055846,133
216.275948,327,370.689845,39
397.564106,487,371.432847,70
-82.642302,72,371.930846,3
460.274709,528,372.685846,91
461.991012,543,373.458847,81
307.316467,406,375.107846,61
-191.337648,500,375.869846,8
124.581481,250,376.465847,34
263.611336,608,377.26685,56
424.50262,505,378.008846,77
365.218572,451,379.684846,82
253.695716,370,380.363847,43
470.853583,530,381.126847,99
-51.823498,99,381.643849,5
454.698815,524,382.406846,87
760.060936,787,384.304847,134
308.44282,853,385.268846,78
614.102289,694,387.183849,81
-7.999992,138,387.745847,13
311.379627,523,388.522121,61
-140.929995,436,389.246121,5
85.034453,298,389.889121,19
678.938934,668,391.698123,170
69.43193,211,392.28512,17
331.673647,428,392.99912,56
355.516032,444,393.716121,71
27.925733,282,394.336121,13
427.047745,496,395.087123,86
-63.919644,87,396.599123,4
121.616068,254,397.233121,24
71.320237,221,397.852388,9
226.380573,333,398.532398,53
402.783469,499,399.300398,64
410.126021,503,400.062395,57
786.92871,805,402.058395,143
551.869622,583,402.876395,125
645.44287,684,403.816396,117
-565.965337,533,405.668396,8
-162.811219,332,406.351396,8
657.019452,775,407.292396,129
629.196199,663,409.195398,126
-78.0564,79,409.745396,4
306.263935,407,410.4654,58
41.369858,187,411.050861,10
-120.725255,464,411.782861,12
-399.842353,852,413.793863,14
189.369712,306,414.511862,40
-238.563055,334,415.181862,7
654.945182,672,416.059862,139
-79.012844,72,416.581863,2
823.735528,778,418.615593,203
-1365.819081,1001,419.715592,6
-338.416728,602,420.615595,50
650.001283,700,422.527592,111
783.987968,817,423.468593,125
362.743545,431,424.174592,95
323.816998,419,425.844592,60
758.510599,819,426.808592,141
588.43012,649,427.647593,98
-86.873031,66,428.148593,3
170.964665,295,428.780592,34
113.4218,538,430.577595,34
1344.343737,1257,431.768592,250
-88.479393,65,432.267593,2
-292.285569,991,434.328592,83
391.842275,477,435.069595,77
592.333071,662,435.916592,77
273.232504,385,437.587592,55
450.446623,525,438.365594,87
375.446878,482,439.115592,55
580.899083,674,439.989592,68
551.59247,607,441.870651,100
535.953277,598,442.710651,95
485.185525,579,443.526653,66
426.02935,547,445.27265,44
335.37272,452,446.016651,50
482.84043,564,446.799651,89
404.292933,487,447.544008,77
314.511691,410,448.242923,62
12.204314,309,449.861274,15
-78.610226,78,450.392272,3
82.320292,247,451.000273,13
331.255754,426,451.716272,64
860.137466,887,452.707273,135
593.370559,644,454.611274,111
392.722494,493,455.360272,58
476.160271,558,456.144272,74
393.288705,485,456.883272,68
522.570282,675,458.75273,94
1092.137994,1712,461.291732,218
-628.87066,576,462.10973,4
239.104212,355,462.858401,44
434.906091,986,465.000238,74
700.321944,745,465.925237,115
326.607588,428,466.638238,58
437.021422,499,467.395139,98
580.105545,683,469.266422,82
176.715247,297,469.911424,37
272.382155,382,470.599421,48
-73.802906,82,471.112422,4
51.008108,307,471.760422,11
782.1309,791,473.692815,151
208.24214,325,474.355316,43
323.573823,431,475.075319,52
392.693956,496,475.843317,57
-153.276383,384,476.536317,9
-136.109142,339,478.199319,8
231.051741,349,479.009813,43
1123.164633,1041,480.128813,243
-234.891898,342,480.795815,5
501.046849,572,482.697813,89
476.748764,549,483.498817,89
406.334983,505,484.263813,59
377.575115,485,485.016812,54
164.476577,288,486.67938,33
-75.372902,78,487.215379,4
756.64556,787,488.161378,127
69.34035,214,488.768377,13
363.309092,469,489.516377,56
-65.637804,361,491.240379,15
540.930894,602,492.098378,100
238.32992,349,492.775022,49
304.587693,410,493.516022,52
653.396473,719,495.441025,91
242.058741,1055,496.559021,128
601.884566,663,497.416718,97
-192.098241,297,499.098722,5
642.116933,685,499.990722,115
-77.935326,260,500.617723,9
-208.104152,287,501.253745,4
-70.336537,82,501.774745,3
661.817078,691,503.630747,128
-77.458501,77,504.170745,3
-89.464417,65,504.677768,3
-173.423197,289,505.318769,3
-120.748135,297,505.953687,5
402.123413,504,506.716929,56
-188.606215,389,507.398928,9
-89.090098,66,507.896928,3
-302.173177,497,509.655937,5
-89.006842,64,510.159937,3
-64.400351,86,510.673938,3
-551.294314,708,511.538936,7
197.363792,365,512.210945,24
471.322565,546,512.986954,85
-513.668873,446,514.984961,3
539.921029,585,515.79096,115
-101.732704,1011,516.846876,8
40.056681,186,518.419163,13
-44.726605,104,518.984162,4
-45.870219,398,519.67323,9
-780.494239,803,520.595232,7
241.994293,354,521.26923,45
78.774948,228,521.861232,10
476.57018,562,523.65223,81
519.477194,565,524.44123,110
-88.272651,68,524.94023,4
451.786912,521,525.701231,92
188.893862,317,526.352115,29
657.330039,680,528.250113,131
394.178841,472,529.002114,78
330.303391,419,529.720113,71
281.387992,387,530.423114,51
98.866701,834,532.422116,76
174.57702,804,533.380113,24
-15.908511,133,533.921113,9
261.500793,370,534.601114,49
222.080747,343,536.248114,43
458.64158,1246,537.451114,201
169.988938,295,538.074113,34
-118.920852,274,538.690113,7
-580.264988,1001,540.703113,5
544.543651,605,541.512113,97
-680.200818,1015,543.557986,6
426.791749,504,544.306986,84
337.509171,424,545.01479,74
357.866361,445,545.750185,70
13.755325,561,547.661186,7
134.957975,263,548.316184,30
929.208274,941,549.376184,148
424.166328,518,551.216194,67
366.71441,453,552.023504,72
439.905763,521,552.804505,75
479.404697,545,553.587489,92
268.085849,368,554.264492,53
529.433824,572,556.189812,118
270.671068,369,556.896814,64
541.500586,588,557.723812,109
138.655193,271,558.371812,22
698.117519,712,560.337813,146
718.855725,746,561.262814,129
450.728085,544,562.058813,66
695.03237,1001,564.182964,28
25.808592,396,564.877974,13
63.394426,306,565.522973,11
182.792415,308,566.164973,36
248.387765,363,566.836258,45
-191.766764,1001,568.883259,12
385.367176,467,569.621259,75
187.812633,719,571.504261,9
586.594117,637,572.354258,109
265.838267,359,573.029258,57
390.187305,482,573.780258,70
246.785558,357,574.461258,51
288.698626,388,576.204868,60
901.044273,1088,577.314073,20
-19.89814,129,577.861071,7
559.811501,616,579.686181,107
310.627346,403,580.416182,68
100.116685,406,581.132182,20
952.368275,937,582.145193,171
721.995308,705,584.062174,176
130.258418,611,584.887175,7
783.723069,1108,587.019771,8
