#{"t_start": 1705500216.1232781, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t
-754.734667,1007,0.697992
50.855075,198,1.037472
-1213.204303,634,1.550476
-2344.000441,462,3.066854
-369.434705,203,3.426854
-2895.195549,815,4.040653
-2940.56181,1297,5.742629
-441.632207,135,6.07975
-12456.194646,2064,8.192987
-3.407124,168,8.53399
104.756802,1005,9.229773
-177.711798,122,9.549814
817.684594,948,11.089244
206.613382,332,11.487185
1209.021399,1176,13.184464
-3.763871,141,13.52142
1333.916142,1301,14.314236
528.92672,617,15.77769
863.637349,906,16.416333
496.183395,549,16.910131
684.925294,746,18.494501
520.054738,599,19.024902
234.828748,349,19.453947
992.803131,976,21.056083
-56.970149,99,21.382086
11.821771,154,21.71977
781.728525,817,22.349668
1032.654735,1004,23.986356
1078.916935,1091,24.749157
1700.013858,1600,26.661746
1168.984557,1176,28.411553
755.449488,760,29.026087
887.256947,878,29.70507
158.47232,279,31.041691
1182.524301,1131,31.798743
687.069211,701,32.361812
-77.710362,72,32.671731
835.468926,826,34.216471
2112.308351,1895,36.219319
2488.169169,2259,38.410733
1560.082093,1453,40.218407
-66.95869,85,40.549411
1880.251884,1764,41.562792
1742.275354,1585,43.483473
-34.760655,112,43.813029
2143.616831,1953,45.826719
5785.858466,5394,51.096324
3959.962183,4171,55.015041
894.302728,909,55.683094
1385.32479,1292,57.42845
1318.319508,6723,63.398644
2663.882813,2504,66.613883
1624.939375,1532,67.553455
3424.25866,3378,71.130354
1694.597352,1555,73.011826
2717.884288,3613,75.740924
-218.078231,3517,79.410156
-34.838642,1687,81.28926
81.354673,268,81.685263
-4846.079513,10941,91.308861
540.418951,1700,93.212717
658.823881,668,94.716614
-2281.176547,8556,102.409996
691.334355,3510,106.190631
2756.558654,3730,108.963796
2301.590099,3496,112.559141
-1166.750602,8311,120.15735
236.848108,330,120.588391
814.154451,819,122.13849
4316.984365,4790,126.333516
805.10621,805,126.976327
-1577.849121,5331,132.331351
9.781479,157,132.673351
1875.008093,1732,134.625289
545.116396,610,135.182896
3622.888048,4346,139.162076
862.566488,865,140.766624
145.517352,273,141.159157
699.260273,694,141.745114
2651.454999,2466,144.000698
2913.936972,3950,147.858454
4100.541876,3944,151.74429
1000.420674,1330,153.494311
3375.479386,3120,155.974407
2164.408059,1992,160.828315
10.548234,149,165.287738
2423.89397,2251,172.231684
2640.291787,2400,179.219089
1134.306642,1057,181.417714
2144.217419,1952,186.286587
2242.823005,2004,188.36197
2322.13882,2077,190.539861
28.884907,165,190.872899
1056.394746,992,192.640078
1276.078024,1170,193.396958
1679.112603,1521,195.278338
520.607123,570,195.788082
4088.447534,3886,199.459723
4486.431786,4001,203.372869
2762.859869,2585,206.673228
2670.772225,2387,208.862895
-55.197621,92,209.179896
-80.593129,81,209.488847
1906.785449,1735,211.391708
2881.519991,2606,213.643481
202.54967,3702,217.358256
1858.440317,1638,218.400689
3775.14252,3404,221.952326
3995.783211,3556,225.549032
1452.991593,1329,227.384633
4740.976996,4319,231.39981
1944.368112,1746,232.426221
3383.471636,3169,236.072722
1963.94043,1732,238.024773
470.696116,529,238.527771
2910.488342,2603,240.919593
-34.188022,112,241.259888
3789.594304,3371,245.123767
-60519.452247,40083,286.534481
-54.971879,91,286.863521
-8979.804765,7319,293.260077
2034.265702,5021,298.619213
2763.310363,5302,303.136653
-22.665028,119,303.485707
544.949032,574,304.939549
1649.879129,2332,307.173566
450.256327,510,307.672509
453.091491,503,308.214693
1086.297205,1028,309.874077
-53.391344,93,310.200077
1770.201294,1597,312.124346
2510.537315,2241,314.279094
1330.903707,1208,315.075671
591.333312,626,316.731632
1865.410654,1682,317.742316
1206.137194,1130,319.461378
2682.682212,3020,322.02066
1258.12285,1176,323.702497
