#{"t_start": 1705525046.0802026, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-21.145705,120,0.560002,9
-419.209702,235,1.165001,0
-1136.847313,836,2.107005,8
-556.207025,324,2.765001,1
-2928.883056,1911,5.379003,40
-304.732135,753,7.343001,50
151.287739,370,8.048,29
37.312641,310,8.699003,24
-31.068722,112,9.229002,8
20.295206,338,9.893005,15
-54.209155,97,10.424001,6
85.796916,220,11.028004,18
166.387083,301,11.674002,28
85.433522,400,13.399,31
-43.844753,106,13.944001,10
-2256.547558,551,14.729001,16
227.9558,355,15.398001,26
-232.705421,332,16.057001,8
319.614531,499,16.808001,49
81.963443,212,18.412,23
-79.821688,72,18.930001,4
-83.736081,70,19.439001,4
-78.721936,73,19.949002,4
-85.645314,67,20.454,3
-87.84099,59,20.955001,3
-31.957862,119,21.490001,10
610.412639,796,22.404002,91
116.741596,232,23.0,29
-6.051155,133,23.540001,16
757.46979,888,25.428001,82
102.071986,230,26.026003,26
341.905794,582,26.828003,41
-77.56339,74,27.338002,4
26.804177,164,27.896001,21
100.944182,243,28.501001,28
179.733861,322,30.092,55
8.320776,152,30.650001,18
0.155515,149,31.203001,7
883.829727,1784,33.711,177
654.745931,690,34.574002,122
-79.719405,143,35.121001,10
681.660021,748,36.012003,94
280.353135,401,37.65,37
-22.598393,120,38.199002,14
39.92522,188,38.774001,24
601.502694,897,39.746006,86
291.962286,387,40.433,54
-76.764482,77,40.942001,4
127.783385,253,42.482,39
365.564167,438,43.204001,85
27.879059,163,43.763001,15
-81.83981,66,44.265001,4
316.614834,520,45.03,50
-84.673447,69,45.539001,4
-95.580684,56,46.040005,2
-80.610998,62,46.550004,4
245.387506,342,47.222001,51
187.040283,303,48.877003,50
-87.748878,64,49.515001,4
-92.949584,64,50.026001,3
-86.777358,64,50.541002,3
2.076909,149,51.106001,13
180.130562,310,51.751003,32
-91.584128,59,52.254001,3
-94.783577,59,52.758001,2
1112.257767,1129,53.878001,183
-67.715364,84,54.394002,8
-66.120487,102,55.91,4
-1364.312311,651,56.832003,17
-29.286293,122,57.370001,14
-142.200724,768,58.269002,54
-15.094888,209,58.857003,21
676.153682,854,60.767001,136
17.440523,215,61.357001,8
149.12683,299,62.001002,18
37.440004,162,62.569002,17
301.069711,460,63.317004,76
-52.453664,277,63.946002,12
58.782458,201,65.566227,18
-61.489585,90,66.104228,6
143.815788,259,66.722231,38
151.017504,294,67.359229,18
-2604.440229,1357,69.66923,77
78.657673,214,70.29323,21
490.920002,539,71.08223,105
325.539353,432,71.797227,46
-41.584383,105,72.32223,9
-237.93157,250,72.930228,5
223.064275,342,73.591231,38
-62.938447,83,75.052227,7
-85.0418,71,75.589228,4
-2060.383649,898,76.61423,12
-97.418352,238,77.219228,11
-62.515508,92,77.742228,7
-87.761982,66,78.247228,4
149.930356,284,78.873229,23
-4685.123257,1127,80.987228,38
23.354143,175,81.563228,9
-87.513193,62,82.073228,3
1096.432807,2070,84.867683,217
99.542942,216,85.487295,23
240.809445,363,86.161294,43
-81.907265,69,86.681294,3
-69.689633,83,87.212297,6
-70.211019,96,87.754294,5
46.393877,218,89.472292,15
-435.067876,311,90.187294,8
-78.012318,75,90.699293,5
734.272062,1438,92.017296,152
-2662.649164,848,94.007294,12
-76.81121,75,94.517293,5
-1.433488,137,95.075295,15
-453.247744,537,95.949295,26
36.906063,174,96.519294,11
-148.697004,150,97.100294,6
267.568597,695,98.990295,39
153.718427,409,99.699294,31
49.066247,174,100.276294,23
89.567057,234,100.892297,16
-130.020899,317,101.580294,12
-645.264659,905,103.730293,36
-77.813226,68,104.248295,3
413.858782,1108,105.393474,157
1183.835551,1226,107.63647,115
116.934971,557,108.43147,27
-47.296444,116,108.96347,9
-87.468633,61,109.464472,2
417.765686,529,110.23647,57
274.490622,410,111.907471,23
45.621747,178,112.47947,19
201.661861,1075,113.567507,73
515.922551,981,115.580508,113
519.982495,864,116.547507,60
22.580515,167,117.107506,16
-84.676377,67,117.613506,3
633.873364,815,119.490506,102
522.90803,594,120.294509,77
436.236157,681,121.154506,50
32.653002,171,121.712506,15
125.503055,260,123.271507,25
-63.794015,87,123.803506,4
252.078488,502,124.550506,25
93.62805,235,125.149506,18
-56.323314,580,125.946507,22
438.718381,677,127.725505,51
-257.039705,82,128.280508,0
-1087.571377,574,129.080506,5
170.369137,721,129.957506,36
152.124478,420,130.661506,31
437.977952,576,132.405506,60
439.695412,516,133.162506,92
