#{"t_start": 1718478623.488208, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-132.0,211,0.327743,5
-271.5,896,0.677899,14
-136.0,254,1.068898,22
-142.5,174,1.423473,10
-138.5,249,1.730389,13
-225.0,852,2.08939,11
-170.5,438,2.418498,14
-153.0,504,2.748675,17
-258.5,736,3.100157,29
-119.0,215,3.414821,7
-138.5,285,3.73997,7
-192.5,391,4.081571,0
-128.5,224,4.406376,38
-189.5,619,4.745376,28
-211.0,653,5.10739,4
-286.0,908,5.487669,10
-191.0,477,5.828104,2
-123.0,104,6.145229,3
-169.5,442,6.478228,3
-165.0,389,6.811324,17
-172.5,348,7.163374,26
-136.5,213,7.472826,9
-202.5,658,7.795073,33
-179.0,416,8.130231,23
-239.5,846,8.479192,27
-314.0,1201,8.864888,14
-131.0,211,9.184516,15
-202.0,418,9.502908,3
-271.0,975,9.864884,16
-237.5,841,10.235881,3
-226.5,714,10.647894,0
-150.5,198,10.965894,1
-157.5,339,11.283891,18
-225.5,868,11.641896,28
-279.0,1201,12.074892,1
-183.5,611,12.479887,37
-136.0,313,12.809892,4
-120.5,131,13.12389,7
-283.5,1201,13.518885,4
-117.5,76,13.845886,0
-227.0,768,14.199883,15
-149.0,227,14.53889,7
-204.0,785,14.967813,37
-278.0,1141,15.475465,11
-129.5,297,15.799464,16
-156.0,238,16.131063,4
-177.0,390,16.470063,5
-218.0,707,16.841882,20
-250.5,1063,17.217961,13
-205.5,413,17.548173,1
-123.0,142,17.870559,1
-270.0,1201,18.247101,19
-274.0,1201,18.644669,8
-321.5,1165,19.030803,9
-185.0,534,19.379794,35
-128.5,190,19.703297,9
-257.0,1201,20.141632,3
-172.5,286,20.505432,6
-249.5,999,20.893424,4
-257.5,842,21.355769,11
-288.5,1052,21.839653,2
-191.5,969,22.195358,47
-129.0,224,22.54382,9
-206.0,494,22.897697,2
-103.5,121,23.220839,2
-167.0,306,23.552812,12
-149.5,222,23.869383,12
-122.5,213,24.184384,23
-169.5,548,24.519353,35
-116.0,329,24.854418,33
-287.0,1201,25.274486,15
-153.0,363,25.673055,1
-264.0,691,26.078055,5
-227.0,682,26.516121,4
-133.5,176,26.915069,7
-128.5,82,27.23536,0
-156.5,384,27.681736,2
-193.0,476,28.079988,24
-146.5,129,28.401396,0
-256.5,635,28.822324,4
-106.0,117,29.133483,8
-205.5,761,29.50342,31
-177.5,468,29.856916,5
-194.5,471,30.193917,2
-161.5,244,30.527939,3
-180.5,502,30.862954,14
-183.0,449,31.233855,17
-296.5,1201,31.607419,13
-187.0,355,31.958149,32
-196.0,459,32.382339,6
-118.5,122,32.699522,10
-274.5,1201,33.13531,3
-144.5,421,33.75131,41
-153.5,309,34.087837,16
-121.5,125,34.396987,3
-294.5,1110,34.811339,5
-333.0,1201,35.267809,11
-158.5,318,35.621809,4
-189.5,543,35.991864,20
-210.5,470,36.384375,2
-270.0,776,36.773407,1
-144.0,295,37.10703,25
-222.5,821,37.45403,27
-162.0,350,37.79403,4
-257.0,701,38.225017,5
-252.0,1177,38.713815,4
-212.0,947,39.068519,29
-121.5,214,39.395577,15
-236.0,913,39.764206,9
-179.5,298,40.18862,7
-253.5,973,40.631124,18
-160.0,423,40.958938,25
-113.0,157,41.274364,17
-140.0,220,41.593974,7
-266.0,1201,41.99104,11
-137.0,255,42.327747,19
-175.5,374,42.698747,5
-217.0,761,43.091307,3
-149.5,259,43.431706,9
-135.0,194,43.794847,1
-159.0,281,44.136188,10
-121.0,215,44.474361,8
-243.5,1071,44.883458,9
-183.0,607,45.220737,16
-124.0,167,45.551014,4
-271.5,1201,46.063108,5
-161.5,298,46.428774,12
-159.0,259,46.852877,3
