#{"t_start": 1718472034.4135685, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-58.0,203,0.280122,7
264.2,1422,0.621337,27
31.2,562,0.917183,5
175.2,1201,1.248903,20
-1.5,450,1.726813,2
87.0,699,2.032725,40
76.8,801,2.349712,3
-64.6,209,2.622418,18
-56.5,205,2.920643,1
-33.8,307,3.205588,8
49.0,520,3.506276,53
-80.2,126,3.786196,0
209.9,1230,4.099558,18
190.4,1201,4.43939,3
-26.7,356,4.745162,9
-70.9,123,5.026284,6
-47.9,191,5.299855,5
-9.3,362,5.634486,25
71.0,767,5.9618,1
-71.8,157,6.236179,7
-22.5,347,6.532948,9
72.4,715,6.85096,6
32.7,525,7.157729,20
-62.6,161,7.42751,11
-51.5,167,7.712585,2
72.4,653,8.027643,10
147.6,1033,8.365083,28
-49.5,174,8.644541,2
35.6,484,8.967221,13
170.3,1201,9.410805,11
105.4,812,9.716643,19
-14.8,261,10.048718,11
-22.2,245,10.350158,25
-42.7,226,10.656844,2
-11.0,333,10.938744,5
16.6,528,11.258193,5
88.7,808,11.591441,26
9.9,389,11.887876,46
4.8,457,12.181344,22
197.6,1277,12.548105,52
-50.2,177,12.847259,12
0.2,470,13.17276,3
-51.3,258,13.544862,0
65.2,643,13.854254,14
73.8,640,14.155484,39
-42.5,209,14.432621,20
-56.5,163,14.70977,6
23.2,521,15.042249,16
109.4,989,15.521091,0
186.6,1129,15.916525,23
-43.3,239,16.213413,1
68.1,874,16.603794,5
40.7,579,16.935539,6
-31.7,285,17.22563,15
1.3,457,17.554333,19
123.8,844,17.894603,48
158.3,1201,18.40316,2
123.3,1025,18.716832,13
162.5,1083,19.071985,2
-52.6,188,19.35182,6
-62.1,188,19.635365,9
124.9,998,20.028169,12
181.8,1201,20.352201,13
-35.5,235,20.633023,4
-63.4,190,20.92767,2
-16.8,234,21.225217,15
-51.0,232,21.554549,1
-55.8,186,21.854118,15
-73.5,150,22.219158,0
-29.3,336,22.581242,7
-41.4,247,22.954129,1
-25.0,346,23.249616,3
-14.7,356,23.569851,1
158.1,1201,24.065494,24
200.6,1201,24.495497,10
-44.0,142,24.797417,14
172.9,1201,25.155687,4
-48.2,231,25.451658,10
189.9,1201,25.978586,12
-65.7,135,26.264546,7
396.2,2061,26.664427,47
-58.2,203,26.944596,0
62.9,687,27.318958,7
55.5,596,27.617014,22
-23.5,289,27.902166,5
-60.0,233,28.201096,9
45.8,696,28.514529,10
140.3,1027,28.87411,7
-3.4,347,29.172984,18
-19.2,267,29.472546,15
