#{"t_start": 1706377225.035706, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
34.4,508,0.79,16
-65.7,172,1.350001,9
4.7,458,2.076038,28
-68.5,164,2.630039,7
-28.1,291,3.264038,12
228.4,1137,5.384037,30
54.6,468,6.112038,53
-15.1,311,6.744038,23
12.6,405,7.445038,76
-39.3,205,9.018037,16
478.4,1437,10.352038,199
58.4,435,11.070038,38
-72.5,67,11.573038,3
530.7,1354,13.839037,231
-14.9,203,14.423038,21
-16.4,190,14.992038,35
116.0,451,16.71104,44
51.7,247,17.324038,41
-61.5,81,17.831038,5
-57.3,80,18.344038,6
63.0,284,18.973038,49
-54.8,92,19.491038,6
-63.8,67,19.993038,5
46.0,268,20.617038,39
179.8,606,21.434038,33
-57.4,86,21.948038,9
-61.9,77,22.45604,5
434.6,807,24.381038,160
-70.3,73,24.881038,5
-72.6,58,25.369888,3
-68.0,66,25.866888,4
30.1,232,26.460888,33
117.3,361,27.14389,47
444.0,846,29.207239,177
14.1,170,29.781239,14
-75.3,61,30.288239,3
4.6,176,30.860239,15
63.6,272,31.485239,40
79.7,289,32.10624,43
545.6,954,34.297586,163
33.8,219,34.913588,11
-65.3,54,35.404584,2
-64.5,59,35.891584,2
-12.4,125,36.438585,10
-64.1,59,36.948065,2
-33.8,121,37.481063,8
-64.4,57,37.975063,1
-64.2,61,38.469063,2
410.3,750,39.391063,156
-59.6,61,39.895064,1
26.2,190,40.480064,30
-59.6,79,41.001064,3
-66.7,63,42.508945,2
-60.7,63,43.026946,2
59.9,225,43.626947,29
5.2,136,44.195948,15
0.6,151,44.755946,17
163.4,380,45.439946,63
58.4,246,46.038945,24
-28.3,98,46.553946,8
-55.7,51,47.039948,1
1.6,138,47.580946,14
-57.8,58,48.066946,2
148.6,334,48.716946,71
-26.4,100,49.238946,10
117.1,322,50.886946,20
53.6,220,51.481948,21
276.6,575,52.280946,18
-1.4,141,52.826946,16
-57.5,62,53.328947,2
-56.6,64,53.847356,4
-67.5,60,54.349355,3
-64.2,53,54.844356,2
-61.8,53,55.342357,2
665.6,995,57.453953,207
-27.2,99,57.989341,8
38.9,198,58.572763,31
-22.6,107,59.105762,11
40.9,210,59.712762,30
-61.0,54,60.206763,2
36.9,184,60.781763,24
-65.2,61,61.305788,2
884.9,1263,63.623866,318
-58.7,56,64.132865,2
-60.4,59,64.630866,2
-63.1,47,65.126864,2
-24.1,95,65.645865,8
20.5,162,66.205865,15
27.5,177,66.786865,23
-63.1,61,67.28967,2
-40.9,91,67.810718,3
4.5,140,68.362719,15
-15.3,119,68.903726,12
14.5,157,69.468725,17
363.1,586,71.336725,124
-61.0,54,71.825443,1
86.4,265,72.448444,47
-62.8,59,72.951443,3
-59.3,63,73.445446,3
11.0,178,74.017444,10
-59.6,70,74.522443,4
66.9,223,75.121443,36
-16.4,109,75.643443,11
-22.1,107,76.161958,12
90.8,247,76.761958,39
-54.9,76,77.277599,5
162.5,323,78.944021,42
28.9,234,79.580292,8
96.3,262,80.200285,51
-58.9,71,80.698465,4
-60.3,59,81.187853,2
-22.0,110,81.719854,11
-63.3,63,82.216852,3
139.8,321,82.875853,60
-62.2,63,83.376853,3
144.2,332,84.037874,57
-60.3,71,84.542872,4
2.8,147,85.096872,16
-61.8,68,85.601872,4
-9.7,127,86.145873,11
-20.5,106,86.680872,11
-58.1,52,88.166873,1
115.6,331,88.853885,27
-57.0,59,89.358894,3
-58.7,62,89.859839,4
-37.7,110,90.392838,5
26.1,180,90.966838,30
121.5,305,91.613839,33
-58.0,66,92.111839,3
235.4,528,92.927838,23
-56.9,89,93.437838,6
-47.1,85,93.94584,7
50.9,190,95.514838,20
-39.6,101,96.055854,6
16.6,179,96.627854,22
-63.8,50,97.125854,2
51.5,200,97.732854,28
-51.4,69,98.237854,4
9.0,168,98.803855,21
-36.6,90,99.332857,6
-31.6,97,99.855854,8
-55.2,66,100.360855,4
-56.7,64,100.864854,3
-58.0,57,101.531854,2
-64.1,66,102.039854,2
-63.8,64,102.565937,4
-30.5,151,103.122936,13
-55.5,82,103.639937,6
-58.3,73,104.144937,3
72.1,269,104.775936,23
-49.2,97,105.297936,9
-60.0,82,105.806937,6
67.2,301,107.474939,8
48.4,220,108.068937,23
42.7,224,108.666937,32
203.9,401,109.361936,58
-61.7,60,109.858937,3
-46.7,107,110.384936,13
-9.1,163,110.944936,12
170.7,391,111.636937,47
-50.4,95,112.152936,0
162.6,359,113.859937,84
-62.6,71,114.363864,4
-47.1,97,114.879865,9
14.4,164,115.437864,20
418.7,661,116.295864,160
-60.8,82,116.814865,6
-67.4,60,117.309865,2
-64.1,64,117.800184,4
435.5,701,119.704182,152
77.9,257,120.338183,41
86.0,253,120.949183,52
101.0,263,121.571183,45
-48.0,106,122.096183,9
-49.3,84,122.603186,7
-33.8,151,123.150183,13
168.3,350,123.820184,71
264.9,478,124.572185,119
11.5,187,126.165182,24
449.8,752,127.093199,170
-24.5,155,127.652839,12
-39.2,126,128.189841,9
-58.5,83,128.70384,5
-23.5,132,129.246805,12
262.8,515,130.016343,86
-55.0,83,130.525342,4
-50.4,111,132.084532,12
162.2,350,132.77653,75
-55.9,73,133.27853,4
42.0,275,133.901531,31
82.5,262,134.51553,58
291.4,533,135.30653,94
86.4,304,135.94553,39
-15.6,164,137.528531,16
105.2,326,138.217532,51
70.6,303,138.87253,43
84.0,284,139.50353,49
150.7,361,140.18653,52
66.8,255,140.80953,42
107.5,323,141.461532,56
71.9,270,143.106529,54
201.8,446,143.843531,59
53.6,270,144.463531,40
83.0,339,145.124533,63
164.9,397,145.82253,74
118.3,352,146.491433,62
290.5,562,148.30397,120
250.0,489,149.059929,103
97.0,407,149.762929,71
76.8,261,150.381929,45
201.4,423,151.096929,95
204.0,452,152.857931,94
193.9,470,153.598931,64
122.9,371,154.276929,73
249.9,500,155.038929,99
177.7,481,156.801931,96
196.7,501,157.569929,94
330.0,602,158.38893,131
320.8,632,159.229929,109
295.3,611,161.089931,113
117.5,384,161.783929,65
58.0,233,162.379933,43
310.6,597,163.194929,119
196.7,434,164.897928,96
273.4,554,165.723929,107
33.3,231,166.321929,44
370.4,631,167.157929,128
381.5,660,169.00993,145
352.6,625,169.871929,146
242.1,484,170.618929,84
274.2,520,171.392929,96
153.9,433,173.108931,50
174.5,371,173.815929,77
433.5,760,174.73893,153
430.4,752,175.648929,168
727.2,1123,177.831929,274
369.9,685,178.704929,143
249.3,579,180.529928,106
325.9,570,181.342931,151
276.8,507,182.100929,139
170.6,400,182.801929,98
179.0,358,184.475928,91
187.8,467,185.244929,84
312.9,549,186.040931,141
379.2,619,186.87893,148
149.3,367,188.560928,73
463.2,760,189.505929,194
526.2,818,190.465931,204
340.4,679,192.350929,166
473.0,775,193.284931,176
394.6,763,194.228929,197
534.7,836,196.194931,218
431.6,719,197.093929,187
445.8,776,198.028929,201
533.7,945,200.08993,214
505.6,780,201.02193,226
390.2,720,202.947929,193
601.2,907,203.943932,250
99.2,320,204.59593,67
385.4,612,206.413929,156
566.6,979,207.477929,232
316.8,519,208.246929,135
256.9,442,209.972929,124
387.5,669,210.850857,171
393.9,725,211.758857,186
416.4,669,213.631856,155
349.7,568,214.448858,115
495.0,841,215.418858,178
430.2,824,217.368858,216
204.1,381,218.059857,88
211.7,426,218.775857,95
388.9,708,219.655857,186
630.6,1064,221.818858,249
343.1,639,222.672856,163
524.7,900,224.749861,194
411.9,880,225.739857,229
400.6,694,226.614856,174
328.3,557,228.444082,134
597.9,1005,229.509081,233
542.5,860,231.490081,222
594.1,923,232.520081,234
597.3,935,234.532081,227
430.1,824,235.521081,197
543.4,891,236.518081,236
208.3,410,238.23708,102
498.9,971,239.298081,230
255.1,465,240.040081,93
577.8,825,242.03608,228
468.8,749,242.946081,181
731.4,984,243.998081,247
380.9,660,245.891081,154
685.5,1026,246.970082,220
129.0,313,247.619082,66
284.7,508,249.40308,124
442.3,695,250.27208,178
583.0,973,252.336081,210
634.1,1000,253.417081,282
366.9,566,254.215081,147
284.7,516,256.00708,133
513.3,967,257.064081,214
490.9,736,257.972081,177
522.9,841,259.950081,204
479.6,866,260.926081,200
436.2,632,262.763081,160
695.3,1077,263.898081,251
503.9,823,264.857082,182
355.2,605,266.713081,150
180.8,390,267.40608,93
203.7,381,268.10108,91
594.5,806,270.341084,224
429.7,656,271.23208,179
829.4,1394,273.531083,259
544.4,751,274.455081,203
633.3,993,275.522871,251
240.4,532,277.333869,134
634.9,980,278.389868,199
602.4,943,280.439867,228
276.9,540,281.234869,135
686.4,1056,282.328868,240
467.3,770,284.296869,200
754.3,1073,285.404868,284
582.3,886,287.425868,207
361.4,668,288.296869,173
363.7,616,289.121868,158
548.6,921,291.195871,208
356.0,693,292.075868,154
669.7,1045,294.195868,257
590.4,944,295.244869,205
336.0,609,296.068868,152
114.9,279,296.690869,59
652.5,1048,298.816869,211
565.9,879,299.812868,226
604.8,819,301.78587,228
665.1,1004,302.851868,247
421.1,663,304.723868,166
630.2,899,305.735871,188
667.5,861,307.71787,231
317.4,551,308.533868,140
647.6,846,309.497868,242
589.5,854,311.508868,225
429.7,797,312.462868,165
457.8,664,313.320868,185
356.8,706,315.215868,170
326.2,634,316.049868,157
482.5,650,316.904869,164
344.5,590,318.717868,160
463.2,768,319.653869,216
640.7,1064,320.783608,239
356.3,591,322.606608,138
587.5,812,323.558607,223
580.4,796,325.536617,222
718.5,1125,326.691902,275
613.4,1023,328.832901,249
1075.8,1571,330.257902,294
864.4,1290,332.54296,285
261.3,521,333.327261,125
502.5,840,335.345303,187
738.6,1093,336.474302,261
303.2,500,337.232302,117
860.4,1148,339.423313,281
532.3,773,340.347313,197
410.5,656,342.228314,160
652.4,966,343.281312,245
988.6,1370,345.599313,341
506.1,693,346.484312,191
1242.4,1920,349.185321,400
934.2,1332,351.531322,338
876.5,1261,352.793321,307
1286.7,1801,355.381323,404
1474.5,2120,358.158322,456
1291.2,1865,360.766321,456
1257.0,1618,363.272557,140
1056.4,1537,365.723556,376
665.2,1070,366.843556,269
811.7,1199,369.094555,295
550.4,903,370.102556,211
1319.5,1977,372.780558,431
874.7,1307,375.050556,227
847.5,1286,377.348556,303
921.3,1441,378.692556,346
903.1,1398,381.03056,336
934.8,1414,383.370555,343
1281.0,1711,384.887557,382
1002.4,1390,387.240555,359
605.6,1002,389.358555,224
1649.5,2572,392.441558,470
868.8,1222,393.652556,294
130.3,321,395.334555,65
553.1,875,396.337555,220
1185.1,1841,398.946555,399
1103.3,1611,401.406556,333
179.9,357,402.091556,72
1333.0,2168,404.890556,434
1509.8,2232,407.740556,488
937.0,1365,410.054556,370
904.5,1288,411.311556,312
1250.2,1940,413.963146,420
1228.1,1854,416.577146,411
1046.2,1426,418.914146,419
1200.9,1594,421.335147,401
683.2,877,422.329149,252
288.9,415,423.043147,99
201.8,353,423.718146,84
1494.2,2330,427.605145,485
888.1,1336,428.893148,294
330.4,527,430.691145,121
1070.3,1699,432.204146,419
561.3,895,434.248147,212
899.4,1307,435.504147,353
1337.8,2164,438.343147,393
1610.9,2683,442.495146,520
1054.0,1658,445.022149,395
1121.8,1692,446.520147,412
535.2,766,448.508147,199
290.3,568,449.307146,145
530.5,844,450.285146,222
923.7,1306,452.590149,340
897.6,1422,454.948146,349
1176.7,1763,457.540146,414
797.1,1269,458.775146,325
2628.9,3762,463.587146,731
183.6,380,464.282147,89
986.5,1563,466.752146,421
928.7,1237,469.017145,319
186.1,354,469.698147,87
870.5,1147,470.863146,304
571.1,869,472.894146,222
1941.1,2988,476.203146,641
712.6,1070,478.356146,311
443.1,672,479.227147,192
505.6,812,481.210145,190
639.3,907,482.243145,262
1440.9,2389,485.179146,548
495.3,747,487.069145,208
1089.6,1470,488.449147,384
555.1,948,490.545146,250
1344.8,1798,493.101145,423
407.0,629,493.960146,153
997.9,1552,496.410147,383
1238.9,1889,499.054146,455
577.5,877,500.061147,231
946.3,1296,502.332145,352
1046.9,1565,503.755147,406
361.7,529,505.574944,129
747.4,1134,506.720944,275
731.5,1181,508.956945,320
1068.0,1513,511.351944,357
775.5,1109,512.494945,271
559.4,935,514.523945,184
181.4,339,515.206945,79
357.3,661,516.060945,163
1056.7,1697,518.568945,362
391.3,620,519.403946,175
1197.1,1904,522.040946,405
697.8,1129,524.219944,247
905.7,1388,525.537946,316
647.9,898,527.618945,230
1482.7,2222,530.473947,553
1124.9,1681,532.965944,381
1397.4,2054,535.735944,481
832.6,1202,536.925944,329
974.4,1472,539.309945,346
1399.8,2020,542.037945,421
209.3,400,542.737945,89
767.8,1099,544.906945,261
687.3,1108,546.032946,260
324.6,498,546.793945,142
561.3,846,548.806945,203
536.7,768,549.736945,206
387.5,650,551.602948,145
863.1,1248,552.826945,338
934.4,1432,555.183945,390
158.3,348,555.857945,78
268.4,525,556.833946,113
425.5,677,558.719945,151
512.7,783,559.657945,202
863.8,1369,561.964944,378
903.0,1395,563.269945,330
787.7,1095,565.405944,328
995.4,1569,567.852946,424
1288.8,1826,570.491945,464
366.0,574,571.316944,139
785.8,1336,572.588945,349
363.4,619,574.456949,168
1059.4,1566,576.911944,423
1112.9,1651,578.393945,409
849.5,1364,580.732945,345
875.6,1331,583.037945,304
815.0,1435,584.366946,306
706.9,1117,586.494945,285
1257.4,2000,589.170945,465
2664.3,4306,594.276945,689
1279.6,2008,597.009945,452
810.8,1150,599.171945,263
1774.2,2571,602.249945,587
1362.5,1983,604.952945,465
1354.0,1818,607.554945,466
299.8,539,608.340945,125
704.8,1077,609.456945,194
1387.8,1918,612.110947,437
303.8,574,613.962945,114
1821.8,2612,617.056946,592
97.7,276,617.684945,61
1041.4,1413,620.053944,337
676.3,933,621.086945,200
319.2,512,621.854946,140
328.2,532,623.651946,129
473.5,703,624.536946,156
123.1,270,625.162944,59
785.9,1233,627.453945,267
870.9,1218,628.662945,320
894.8,1296,630.936944,285
1130.2,1652,633.423946,436
272.8,449,634.155945,111
200.5,383,634.849945,106
562.0,889,636.878945,253
645.5,910,637.894945,245
764.6,1121,640.041947,278
1227.7,1828,642.614946,441
1010.6,1626,644.089947,412
1060.3,1732,646.614945,414
1103.6,1624,649.061945,401
2121.3,3058,652.416945,602
1475.9,2092,656.194945,471
282.1,487,656.971946,107
1645.0,2181,659.776945,463
1914.8,2738,662.918945,580
429.3,746,664.836944,172
1701.9,2298,667.768059,536
844.0,1084,668.892057,312
1052.6,1608,671.361059,421
854.8,1235,673.574056,341
28.8,185,674.157059,34
163.7,345,674.833057,84
183.0,352,675.505057,84
88.4,253,676.114057,54
36.7,188,676.686057,36
817.0,1182,678.928057,340
88.3,249,679.537059,51
70.9,253,680.152057,56
-61.1,67,680.651057,3
80.4,264,681.270057,45
295.8,559,682.070058,140
1099.6,1634,684.572057,379
417.0,748,686.519057,194
555.8,826,687.492057,187
149.1,297,688.127056,62
120.9,268,688.745057,57
166.4,358,689.418058,79
177.8,380,691.121057,104
406.1,625,691.964057,173
1470.6,2263,694.837058,542
1725.5,2287,697.716059,464
736.9,1126,699.899057,294
1227.8,1819,702.490056,427
69.4,240,703.103057,45
451.3,816,704.056057,179
450.9,664,704.922059,185
1054.5,1703,707.474059,392
826.1,1345,709.757058,341
1691.0,2415,712.712056,534
1210.3,1961,715.401057,454
319.4,496,716.158057,130
1629.6,2629,720.246057,588
1858.1,2814,723.453057,621
2001.0,2862,726.660058,542
463.4,703,728.579059,190
867.5,1197,729.766059,321
230.5,372,730.452057,91
655.5,938,732.518058,249
1868.3,3083,735.896056,594
465.1,718,737.861058,175
151.1,301,738.511057,61
210.2,398,739.214057,103
703.3,968,741.293056,278
1060.7,1552,742.701057,401
784.2,1103,744.854057,299
915.8,1315,747.126057,346
688.2,952,748.178057,269
427.0,735,749.094059,207
1886.7,3070,753.491057,561
511.8,743,754.400057,202
320.4,528,756.180569,121
336.1,506,756.96057,142
592.7,894,757.96957,242
913.5,1351,760.294572,337
431.4,671,761.16657,175
176.1,345,761.834571,82
477.6,725,763.746571,189
145.6,281,764.38257,62
840.9,1199,765.56957,308
1043.6,1493,767.94757,371
208.2,418,768.671571,84
468.3,807,770.641571,189
1142.9,1703,773.14057,451
235.8,449,773.89457,84
608.8,961,774.939571,250
1054.3,1617,777.411572,416
711.0,951,779.477571,256
346.1,534,780.289571,155
388.2,597,781.110571,124
457.5,729,782.02357,204
656.5,932,784.10457,234
412.9,641,784.958571,175
629.1,907,787.022571,259
1106.1,1444,788.36957,329
230.4,470,790.136571,106
823.7,1356,791.44957,341
276.9,481,792.19657,127
872.1,1186,794.41357,306
1284.7,1847,797.031572,432
202.7,342,797.70057,99
605.0,943,799.748571,245
960.0,1371,801.05357,362
808.5,1077,803.211571,308
516.9,715,804.113571,193
251.8,433,804.84057,107
1235.3,1734,807.39857,421
484.1,665,809.248569,180
796.5,1071,810.377571,288
282.8,523,811.15157,121
234.5,425,811.87357,102
1508.4,2343,815.82457,476
339.9,508,816.598571,140
919.3,1340,818.900572,324
1241.9,1820,820.47957,392
324.4,513,822.288571,95
399.8,641,823.14257,162
1608.1,2421,826.10457,479
358.2,542,826.90457,149
1182.8,1721,829.446571,389
536.2,842,831.520571,223
198.0,384,832.226571,83
748.2,1149,833.398256,304
1163.5,1751,835.917256,466
773.4,1108,838.070256,275
939.8,1550,840.681256,361
580.7,919,841.712256,215
1337.8,1893,844.362256,418
708.4,1114,846.504255,277
787.7,1095,847.658257,305
197.6,398,848.361257,87
424.7,643,850.252256,159
1286.9,1882,851.882257,426
569.2,917,853.923257,255
1156.5,1708,856.454258,396
984.1,1465,857.815256,382
480.4,762,859.787257,204
499.4,751,860.709256,184
1429.2,2084,863.456257,493
860.6,1193,865.680256,302
745.3,1003,866.762469,275
424.0,717,868.687468,185
837.0,1257,869.929469,363
895.2,1335,872.30047,307
70.0,260,872.929469,51
597.3,962,874.988471,247
753.0,1030,876.108469,291
419.8,685,876.985468,171
788.8,1102,879.147469,288
1581.8,2250,882.002469,516
392.7,625,882.855469,157
1501.2,2059,885.60747,459
264.9,452,887.354468,114
1041.8,1457,888.727469,399
1294.5,1845,891.325469,394
2041.8,2981,895.654469,530
1654.4,2704,898.796469,580
1516.6,2240,901.664469,491
480.9,722,902.57647,147
1644.4,2605,906.655468,561
1891.0,2899,909.926469,651
485.0,732,910.839469,177
1560.1,2162,913.641469,503
1697.2,2603,917.758469,578
2417.0,3690,922.510467,668
2201.5,3406,926.068469,627
758.4,1262,928.310469,309
975.9,1452,930.703469,286
1148.5,1680,932.219469,382
1770.6,2905,936.51147,574
1232.2,1869,939.138469,451
737.0,1079,940.271468,228
1212.9,1878,942.916469,314
395.0,696,943.80847,134
816.5,1114,945.982469,303
473.9,678,946.870469,170
1140.0,1849,949.477469,429
1098.2,1740,952.054468,379
1041.0,1516,954.484468,432
676.9,1063,955.599469,261
1463.6,2433,959.573467,411
2128.8,3372,963.315562,637
983.2,1367,965.622564,388
1316.5,1927,968.279564,466
1523.4,2284,971.176563,525
360.3,558,971.982563,137
596.0,902,974.010562,228
1193.7,1647,975.498562,406
664.7,945,977.545563,239
951.9,1326,979.842561,338
532.7,798,980.815563,204
859.3,1241,983.036562,336
405.9,598,983.895563,147
1965.8,2993,987.222562,599
276.2,454,987.963565,105
1701.4,2630,992.083563,564
622.2,860,993.073564,226
1117.2,1596,995.556562,334
788.0,1161,997.716562,275
702.6,1109,998.869563,244
997.6,1528,1001.289565,405
523.7,837,1002.265563,215
1097.2,1698,1004.786563,412
1003.5,1584,1007.239563,389
1051.1,1554,1009.656562,381
792.9,1105,1010.810564,311
1062.0,1495,1013.185564,408
866.3,1232,1014.402562,334
940.3,1358,1016.739565,374
617.9,884,1018.738564,213
511.1,878,1019.758562,214
726.3,1090,1021.862561,260
697.5,1079,1023.006563,266
909.7,1285,1025.249564,315
1082.6,1672,1026.734584,407
648.2,971,1028.813565,244
1024.7,1477,1031.209563,380
1255.0,1923,1033.875561,469
1203.1,1736,1035.397563,405
875.4,1250,1037.654562,339
240.8,409,1038.378562,107
1358.8,2117,1041.170562,461
535.6,766,1043.122562,173
750.2,1081,1044.248563,242
951.2,1568,1046.675563,325
559.6,857,1047.661562,240
424.7,654,1049.548562,188
820.0,1192,1050.737563,292
679.4,1050,1052.862562,274
1387.6,2212,1055.665564,421
637.6,1000,1056.744562,265
546.2,792,1058.706562,219
672.2,1098,1059.843563,288
995.1,1537,1062.292564,368
1096.3,1497,1064.721565,385
141.3,283,1065.362563,51
272.4,467,1066.108562,120
939.3,1430,1068.461564,295
954.1,1506,1070.877562,344
940.4,1483,1072.259562,403
808.7,1309,1074.566562,343
387.9,1201,1076.781565,15
966.5,1425,1078.125563,358
278.0,493,1078.896563,132
1121.8,1657,1081.408565,410
1001.0,1499,1083.819563,417
490.0,736,1084.743564,209
1032.0,1496,1087.158563,398
681.2,1040,1089.280562,291
941.2,1505,1090.676786,373
403.9,638,1092.548548,163
1279.7,1990,1095.244548,407
904.9,1320,1096.522547,346
519.5,799,1098.486546,182
734.9,1078,1099.613396,305
1383.7,2064,1102.375394,510
777.0,1082,1104.522393,311
1334.0,1922,1107.182393,445
842.4,1302,1108.438393,325
435.3,656,1110.327393,165
443.3,651,1111.194393,188
1538.5,2275,1114.078393,498
313.9,500,1114.845393,122
261.7,552,1116.655397,134
485.1,766,1117.596394,210
351.0,620,1118.443393,125
517.0,829,1120.50324,200
157.0,362,1121.21124,81
242.9,526,1122.017242,123
422.5,756,1122.96325,157
667.4,1025,1125.192251,260
908.1,1322,1127.547249,321
1584.7,2354,1130.521252,517
1326.7,1934,1133.27325,509
1086.4,1588,1134.733252,384
517.0,828,1136.873249,207
1411.4,2123,1139.74025,485
895.4,1277,1142.071249,320
744.5,1024,1143.19125,290
681.6,1093,1145.398249,297
971.1,1295,1146.696249,348
938.8,1209,1148.998252,317
354.0,660,1149.868254,175
1465.9,2421,1152.847252,475
1080.8,1550,1155.31625,390
1193.3,1827,1157.978249,433
1237.9,1677,1160.53825,422
957.6,1286,1161.80025,302
1142.2,1766,1164.549093,452
858.3,1229,1166.813095,317
1471.4,2022,1169.537093,456
396.7,651,1170.400092,171
1066.4,1574,1172.904758,389
1548.9,2318,1175.829758,534
1401.4,2010,1178.564035,486
1162.9,1651,1181.086035,391
1599.7,2419,1184.173146,527
1254.0,1842,1186.825304,427
1480.8,2165,1189.698858,473
2061.4,3043,1193.105857,571
860.8,1180,1195.44494,307
1086.6,1528,1198.013883,421
2001.5,3163,1201.509908,652
1993.0,3075,1205.971908,562
238.2,460,1206.729912,126
333.2,513,1207.511909,107
1786.0,2471,1211.562855,574
1871.8,2816,1214.789855,620
1145.6,1562,1217.216858,385
2698.3,3693,1221.020618,545
463.5,791,1222.998576,181
2315.8,3939,1227.902577,677
829.3,1206,1229.107576,293
1188.8,1706,1231.680576,397
1241.5,1712,1234.223577,460
2311.7,3760,1239.055576,693
936.7,1437,1241.426276,348
2311.7,3497,1245.077277,663
662.2,1070,1247.213278,274
1023.6,1586,1249.649279,380
774.6,1318,1250.959278,350
627.4,954,1253.035278,241
1470.5,1990,1255.733278,515
1019.3,1461,1257.101278,359
1436.6,2099,1259.875278,504
378.0,594,1261.739278,129
854.4,1184,1262.929278,329
1869.3,2948,1267.257277,700
110.9,285,1267.900278,51
1008.6,1402,1270.21928,374
2108.6,3193,1273.683329,608
273.0,472,1274.443368,101
1234.5,1669,1276.945374,377
180.8,430,1277.674374,37
739.3,1140,1279.884374,255
873.6,1265,1282.134373,311
1897.3,2675,1285.462732,604
442.9,660,1286.341731,183
1315.0,1741,1289.044727,416
1461.6,2106,1291.963727,423
1035.0,1445,1294.620727,378
1317.5,2085,1297.593728,501
1196.2,1857,1300.351562,436
1107.1,1713,1301.899562,383
1812.1,2504,1306.080509,636
1286.9,2021,1308.786509,469
1899.3,2647,1311.921509,569
1173.1,1572,1314.385509,351
1617.1,2242,1317.246511,589
2464.8,4009,1322.211509,713
556.4,1201,1323.423509,21
922.3,1340,1325.759509,391
919.6,1426,1328.121509,342
864.4,1240,1329.350509,336
877.0,1316,1331.646509,293
1308.9,1897,1334.299509,405
624.3,971,1335.357519,269
1968.8,2835,1339.618616,529
969.9,1619,1342.095199,360
737.3,1041,1343.219198,283
712.8,1068,1345.3622,235
973.4,1349,1346.659199,318
1064.4,1584,1349.137198,399
384.8,559,1349.944199,163
1176.6,1809,1352.534198,451
691.6,1006,1354.633198,268
747.4,1056,1355.756197,270
480.1,834,1357.759199,212
1395.1,1953,1360.433198,483
1051.0,1410,1361.773198,394
1934.8,2952,1366.090198,476
1914.7,2894,1369.411198,525
883.0,1267,1371.737198,328
748.4,1231,1372.956198,291
262.3,531,1374.778197,137
100.5,278,1375.432198,43
1674.2,2446,1378.411198,586
2838.3,4014,1383.413203,714
982.1,1443,1385.746197,373
531.8,786,1386.708198,205
1363.3,1986,1389.402199,426
366.0,659,1390.280198,152
814.6,1267,1392.550199,333
900.4,1348,1394.880197,316
1231.5,1836,1396.490198,439
1169.1,1631,1398.969198,378
572.6,880,1400.994198,223
2452.5,3662,1404.734198,687
608.2,943,1406.808198,250
863.4,1160,1407.986198,276
140.7,304,1409.695197,41
388.8,576,1410.535198,136
882.8,1255,1412.826197,277
825.6,1043,1413.948203,284
220.6,420,1414.6722,92
1168.7,1675,1417.280201,443
488.9,735,1418.200198,194
608.0,817,1420.200198,231
916.8,1308,1421.469198,318
1503.5,2166,1424.280199,505
548.7,869,1426.320198,214
877.9,1281,1428.571197,363
660.5,1053,1429.693199,256
1127.5,1706,1432.238198,420
556.9,911,1433.265199,255
1231.2,1902,1435.930199,484
1384.0,1989,1438.648198,489
2906.3,4555,1444.027198,766
1689.0,2144,1447.846197,498
2270.8,3208,1451.3662,713
959.4,1407,1453.708199,401
463.1,654,1454.584198,192
