#{"t_start": 1706314697.3560224, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-256.0,1201,1.232001,19
-257.0,1201,3.451004,7
-94.5,202,4.037002,10
-117.0,409,4.753002,44
-123.5,586,5.580001,41
-102.5,290,6.228001,27
-44.5,409,7.884,49
-87.0,70,8.399001,3
-56.5,332,9.064001,23
-83.0,68,9.568,4
-79.0,87,10.085002,7
-78.0,119,10.619001,10
-77.5,503,11.389001,70
-59.5,626,12.231001,51
-26.0,379,13.864001,50
-7.5,302,14.513001,3
-76.5,97,15.036003,9
-88.0,70,15.543001,6
-87.0,63,16.046001,3
-32.5,284,16.686001,6
-89.5,100,17.216001,7
-87.0,67,17.720001,4
-84.0,81,18.231001,6
-86.0,71,18.736001,4
-84.0,72,19.243001,4
-75.5,76,19.749004,5
9.0,372,20.439001,7
-82.0,72,21.914001,5
-92.0,75,22.442001,4
-70.5,58,22.951001,2
-10.0,203,23.546,27
-64.5,105,24.079001,11
-75.0,61,24.581002,2
0.0,261,25.205002,6
65.0,488,25.971001,54
-79.0,59,26.479001,3
-86.5,76,26.997002,3
-68.0,64,27.509004,4
20.5,343,28.187001,65
-75.5,64,28.697001,3
29.0,320,30.321001,51
-76.5,63,30.836005,3
-52.0,126,31.384001,11
-74.0,72,31.899001,4
25.0,289,32.548002,43
-72.5,59,33.056001,2
-77.0,62,33.563001,3
-52.0,111,34.101001,9
5.5,280,34.744001,51
-69.5,80,35.263001,5
-15.5,228,35.873001,7
-72.5,62,36.386001,3
-44.0,99,36.918001,8
-68.0,59,37.427001,2
17.0,255,38.054001,37
52.0,313,39.671,44
-41.0,123,40.222001,13
-69.0,55,40.729001,1
26.0,226,41.338001,28
30.5,231,41.946001,26
-65.5,76,42.463002,5
-75.0,57,42.971001,1
-41.5,106,43.506002,11
-69.0,58,44.014001,2
71.5,369,44.709003,68
-69.0,51,45.211001,2
-65.0,70,45.725002,3
-71.0,58,46.235001,2
-60.5,53,46.738003,1
53.0,278,48.302001,50
-66.5,59,48.823001,4
-34.0,99,49.356004,9
-70.5,55,49.863001,2
-68.5,47,50.363001,1
60.5,279,51.004001,4
-65.0,61,51.514001,4
-74.0,55,52.018001,3
-64.0,46,52.517001,1
-72.5,58,53.026001,2
19.0,219,53.631001,36
-64.5,54,54.138001,1
-71.0,61,54.649001,2
94.0,325,55.316002,57
13.5,162,55.886001,15
-67.0,70,56.4,5
-62.0,60,56.905001,4
-22.0,147,57.462001,13
114.0,335,59.092001,60
-23.5,107,59.635001,10
163.5,400,60.344001,66
213.5,518,61.131001,111
