#{"t_start": 1709165595.0316288, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-170.0,292,0.670001,0
-282.5,1201,1.850002,5
-214.5,1245,4.082001,30
-123.5,540,4.855999,9
-130.5,295,5.488001,4
-54.5,1222,7.688999,100
-84.5,63,8.185998,2
-19.5,419,8.894,99
-49.5,297,9.531998,41
-62.0,472,10.274001,89
-4.0,391,11.984999,59
-77.0,104,12.505003,8
-82.5,86,13.012001,6
-75.0,71,13.510001,4
-68.5,67,14.006999,4
-81.0,78,14.508999,6
-86.0,62,15.0,2
-78.0,57,15.494998,2
-82.0,54,15.982,2
52.0,505,16.734998,120
-40.0,167,17.297002,17
19.0,553,19.073002,121
-15.5,487,19.836001,90
-84.0,64,20.327999,3
50.5,650,21.212001,2
-39.0,400,21.909999,90
33.5,583,23.722999,133
133.0,782,24.648001,169
-82.0,65,25.142002,4
-83.5,66,25.630998,3
-82.5,76,26.134999,3
-88.5,62,26.628998,4
29.5,312,27.269001,44
-76.5,59,27.755999,3
-77.0,68,28.247999,4
-74.5,54,28.743999,2
63.0,420,30.409002,69
-77.0,54,30.916999,1
-20.5,158,31.464999,21
-20.5,137,32.001,11
-76.5,70,32.505001,4
8.5,196,33.083999,30
212.0,612,33.896999,159
-1.0,286,34.527998,3
88.5,415,35.226999,95
6.5,208,36.818001,3
0.5,142,37.376999,16
-36.5,102,37.894,9
-73.0,56,38.390998,2
-75.0,59,38.896999,3
6.0,223,39.486999,1
-65.5,54,39.974998,1
347.5,771,40.890999,179
149.5,506,42.626999,22
12.0,181,43.207999,20
-66.5,55,43.701,2
26.0,175,44.253999,23
-23.0,125,44.784998,12
52.0,256,45.393999,52
14.0,162,45.935,19
-66.0,55,46.429999,1
150.0,416,47.124998,48
-18.5,128,47.667,11
-61.5,55,48.157002,1
-0.5,155,48.708999,19
189.0,428,50.410001,55
-59.5,52,50.910999,1
68.5,218,51.496,30
20.5,160,52.053002,17
-38.0,96,52.570999,8
-34.0,95,53.081001,8
-25.5,95,53.595999,8
109.0,288,54.222998,52
148.5,369,54.893999,40
-60.5,54,55.381999,1
24.0,193,55.956999,34
-27.5,100,56.469001,10
-13.0,106,56.988999,9
-62.0,53,58.468,1
-25.0,104,59.018001,11
366.5,621,59.836999,143
-31.0,97,60.346999,9
24.5,166,60.889001,20
-64.0,59,61.384998,1
15.0,134,61.919999,14
-63.5,55,62.410001,1
-61.5,53,62.893,1
-65.5,47,63.378999,1
-6.5,124,63.903001,10
-58.0,51,64.392999,1
58.5,180,64.950999,22
32.5,164,65.511999,19
2.0,136,66.050999,12
34.5,170,67.625,18
39.5,163,68.199999,20
-28.0,94,68.706999,7
-3.0,104,69.224999,9
26.0,165,69.774998,19
-61.0,52,70.265,1
62.0,216,70.853999,24
-17.0,101,71.375998,10
-14.0,109,71.897999,9
83.5,244,72.502999,38
-20.0,94,73.021998,7
-25.0,102,73.542999,9
-60.5,53,74.031998,1
2.0,125,74.563999,14
104.5,253,75.181998,41
36.5,158,76.737999,17
-8.5,97,77.265999,8
-55.0,51,77.737999,1
-54.0,51,78.217,1
-65.0,53,78.698999,1
-60.5,53,79.191999,2
-60.0,52,79.691001,1
67.0,181,80.258999,24
-62.5,49,80.746,2
-10.0,115,81.274999,11
-18.0,94,81.789002,7
-62.5,56,82.283,2
-50.5,61,82.774001,2
12.5,135,83.313001,13
86.0,217,83.899999,33
30.5,162,84.455999,18
-67.0,48,84.942998,1
117.0,260,85.549001,42
-7.5,104,86.068999,9
-62.0,46,86.555999,2
36.0,156,88.119,17
-21.5,96,88.646999,9
34.0,151,89.199001,16
-56.0,53,89.689002,1
60.5,177,90.245008,23
102.0,229,90.835999,31
-4.0,109,91.358,9
-17.0,93,91.871999,7
-5.5,104,92.398999,9
731.5,1024,94.479001,288
93.0,230,95.084998,36
-15.0,101,95.614001,8
-53.0,52,96.107999,1
