#{"t_start": 1707331244.182993, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-571.104075,508,0.499246,16
-84.061488,172,0.874607,9
-484.430254,458,1.396491,28
-53.657893,164,1.763178,7
-82.849731,291,2.178409,12
-2544.682641,1201,3.929239,24
-67.090875,87,4.250294,6
-318.621022,660,4.805294,41
-769.828351,616,6.326194,9
437.288023,499,6.840146,93
-17.891518,121,7.169117,14
-0.0685,157,7.507451,10
-124.437609,865,8.128433,80
14.329615,671,9.639021,50
74.52545,451,10.108079,34
-363.362614,605,10.646034,17
294.266357,405,11.134749,42
144.171524,267,12.529677,35
-30.541749,517,13.025389,20
-19.377394,149,13.358599,10
904.60904,946,14.017015,147
-86.972139,64,14.416288,2
210.56344,342,14.83753,30
21.6473,276,16.22211,17
-78.745141,70,16.541794,4
-36.945197,103,16.876469,11
-90.682138,59,17.174198,2
340.316215,428,17.626175,74
-40.600077,132,17.96275,12
723.476697,854,18.589799,70
742.86811,781,20.116342,135
-58.362306,92,20.429436,7
164.977621,284,20.812083,45
148.728391,272,21.218891,36
638.746234,688,21.794289,129
851.058787,1036,23.439584,155
547.475776,599,23.970263,119
74.308757,345,24.395704,44
62.895382,404,25.775745,43
241.372705,351,26.231844,48
289.420542,415,26.72657,47
593.043611,673,27.290612,83
-1.682544,141,27.622599,17
365.965483,435,28.99786,96
408.072024,478,29.471363,79
179.426275,296,29.873362,39
446.094388,515,30.364222,95
195.519825,320,30.781045,44
460.676859,549,32.259469,96
288.461896,391,32.702189,63
-55.682202,97,33.022922,9
863.572045,894,33.67211,139
687.378668,737,35.192678,112
85.302179,225,35.571833,30
508.027327,561,36.190651,96
350.237619,431,36.676696,83
90.340951,222,37.059524,28
365.623087,469,38.46961,58
280.967768,380,38.912467,61
664.869619,720,39.497903,106
160.673179,282,39.8869,46
282.169392,378,40.32568,53
249.347143,361,41.692335,52
764.6611,768,42.32155,171
-19.810201,118,42.649827,10
156.90335,306,43.045434,30
34.806017,175,43.391786,26
76.257336,380,44.76637,26
474.024998,533,45.261598,100
792.748834,819,45.88893,135
462.658111,519,46.394857,101
375.037501,427,47.814437,102
602.447416,632,48.392904,122
463.386525,527,48.921019,105
170.581421,269,49.30217,60
143.032515,270,49.690872,34
19.027241,169,50.980398,12
403.539556,485,51.465555,78
363.766328,439,51.967909,85
318.175047,389,52.41605,84
-67.983794,83,52.72837,6
349.691912,437,53.205806,79
234.284714,322,54.563711,68
610.66632,662,55.127324,107
187.558504,284,55.514987,68
47.83582,199,55.879989,17
350.294299,424,56.362899,82
202.641995,304,57.739391,61
238.760556,334,58.153642,59
397.927807,474,58.627602,80
592.81224,614,59.17207,135
268.54597,349,59.610096,83
346.698478,431,60.993855,74
806.642833,779,61.614968,177
456.50638,504,62.134179,139
471.520953,538,62.633368,95
720.288147,742,64.147948,134
608.785055,629,64.682293,134
530.827821,596,65.21028,87
-50.141351,96,65.52624,6
356.379654,451,66.993078,95
910.236717,852,67.632835,209
486.927769,595,68.160249,105
359.900967,435,69.58083,96
395.881238,444,70.046597,101
633.228121,673,70.601367,112
406.615354,467,71.105276,104
397.109022,462,72.604036,99
1082.294901,1039,73.30716,195
433.28676,501,73.79769,124
259.641786,381,75.166052,66
321.530664,416,75.639046,70
896.142374,871,76.298126,179
-35.772531,106,76.624097,8
514.711342,536,78.114144,133
-86.70732,66,78.43024,3
526.154281,563,78.947268,132
822.530982,930,79.600466,167
294.455754,384,80.046407,91
47.57341,179,81.319315,20
590.516514,622,81.883578,124
-30.412996,111,82.227551,10
-30.893122,156,82.574686,6
1092.500123,1036,83.297333,212
-78.05062,71,84.556326,5
343.46572,413,85.030167,82
787.243599,781,85.626442,158
511.053336,541,86.13092,124
531.535933,578,87.635909,109
643.171636,671,88.231931,132
574.439236,601,88.756482,146
483.28869,546,90.213975,93
574.514737,609,90.735801,121
983.031262,961,91.406288,191
931.44919,884,93.091501,201
750.913233,714,93.664186,191
931.927797,869,95.247636,219
1370.408359,1272,96.062755,256
-38.469946,103,96.387215,8
-85.506796,73,96.688291,4
-75.565752,74,97.005079,4
382.925267,463,97.483174,76
884.446743,825,99.042216,219
927.559208,884,99.700866,199
-58.953334,89,100.015045,6
1200.51774,1101,101.690622,251
844.669808,810,102.32922,190
1220.383603,1102,103.993718,268
1337.3422,1246,104.788006,251
1615.656474,1487,106.662605,295
1076.047474,993,108.324637,269
819.545591,787,108.947498,201
784.609752,780,109.558695,154
362.203776,450,110.964572,89
177.849707,289,111.360291,41
-70.342123,78,111.673521,5
1164.20108,1041,112.414833,275
1506.411259,1320,114.211904,334
529.027753,575,114.73658,104
747.652734,722,116.243438,181
592.520491,816,116.910505,161
1278.593477,1202,118.678494,232
789.63035,752,119.288576,206
1302.91209,1173,120.984447,278
1192.17689,1078,121.715606,268
539.957795,561,122.239906,132
1342.15927,1483,124.122497,316
588.236173,606,124.642494,160
1417.978849,1290,126.398413,278
-80.492383,72,126.721015,3
1394.655337,1242,128.525389,316
1824.314773,1648,129.505267,346
1510.188858,1327,131.284304,334
2136.897216,1897,133.368271,392
-76.434876,75,133.679566,4
2375.75747,2142,135.799701,402
1871.117288,1681,137.75619,343
1079.766365,983,138.469487,277
806.436528,767,140.015748,193
1768.054472,1559,141.910305,373
1431.59084,1256,142.83814,332
1600.313567,1444,144.728969,333
816.235833,769,145.32679,212
1529.084611,1354,147.138834,346
1983.298178,1766,149.199902,386
250.757885,334,149.6282,73
1319.950341,1187,150.406331,289
566.181344,583,151.858607,149
1532.284113,1349,152.714162,343
1308.122297,1171,154.475295,293
1372.692817,1236,156.211346,301
1830.269589,2080,158.35849,433
428.36276,474,158.840784,121
1820.14129,1611,160.747773,365
1921.755949,1714,161.731529,368
1756.608106,1560,163.667571,350
1781.768033,1587,165.540868,373
1414.984429,1270,167.273245,317
1646.927966,1448,168.208337,354
1516.003872,1372,169.999882,317
1546.725945,1370,171.807402,333
1280.429442,1147,172.570477,295
2037.94041,2028,174.730831,377
1959.537567,1789,176.700987,334
3351.15504,3000,180.153131,517
1612.401854,1462,181.061402,323
1909.839554,1686,183.043112,391
2666.876096,2326,185.26657,502
2225.373387,2213,187.440972,465
2774.728245,2444,189.742868,499
232.421136,324,191.092258,60
2942.229116,3238,193.727561,568
454.374856,493,194.216935,113
1513.598295,1352,195.991523,325
2912.292906,2538,198.319793,527
206.394545,315,199.677383,58
224.074699,329,200.084066,68
591.052332,613,200.630651,153
275.928991,367,201.071687,71
1677.552924,1485,202.958111,352
2275.365389,2007,205.141554,432
1979.306325,1746,207.130705,389
2944.089355,2570,209.572855,532
488.477212,525,210.056701,121
1408.877844,1248,211.784975,338
817.80599,776,212.391447,208
3142.146321,2724,215.769397,582
241.377175,341,216.186984,72
2596.418148,2226,218.36035,543
2502.382639,2602,220.69372,495
2340.452144,2070,222.800106,448
1004.719905,915,224.460465,250
1052.758392,984,225.168853,248
437.260285,484,225.651864,103
1262.735557,1126,227.348475,301
1782.277967,1552,229.296598,396
709.011429,703,229.868647,166
341.406348,413,230.323163,90
733.221528,726,230.896501,175
236.707632,325,232.246,77
1201.645406,1077,232.974097,290
2197.707138,1899,235.045357,462
2587.514404,2253,237.300709,496
1491.732313,1324,239.140124,342
290.346454,369,239.577177,81
1131.027749,1040,241.21943,259
1989.46659,1726,242.22809,429
878.246757,823,243.837615,211
2659.6477,2290,246.054612,532
1208.453941,1087,246.798145,283
348.253281,431,248.20114,89
479.750782,522,248.719427,124
2238.763864,1973,250.80049,440
1722.508193,1503,252.669277,384
785.874625,766,253.270855,206
1402.396624,1251,255.08757,319
2096.588835,1820,256.12589,439
878.673937,839,257.682697,206
368.766063,435,258.156405,99
1823.48114,1798,260.190482,381
1409.913409,1253,261.933996,323
880.883047,833,262.559702,206
1591.045514,1395,264.437506,362
748.333951,729,265.04859,181
1031.057113,950,265.724647,239
3082.235841,2787,269.073776,573
2858.680187,3820,272.843587,643
2229.665738,1911,274.903549,481
979.873841,900,275.566645,248
1376.180343,1216,277.275676,324
1749.021339,1511,278.176898,398
515.345363,536,279.694352,145
371.257219,439,280.158362,100
714.864521,699,280.732359,181
2816.136095,2497,282.987025,481
2213.205565,2522,286.276936,490
519.841257,561,286.792389,137
2721.483751,2467,289.058325,531
1961.162304,1754,291.059741,365
1159.526817,1051,292.705819,264
220.392068,326,293.134112,60
855.763946,821,293.761636,199
1639.696004,1469,295.632085,341
1078.509311,992,296.338722,259
790.956456,774,297.880397,177
1904.633519,1682,298.948679,389
412.561413,464,300.404632,109
2225.837193,2055,302.489604,439
384.294178,450,302.950454,98
2637.896915,2313,305.205048,493
1695.132262,1479,307.072302,375
488.067888,516,307.605005,134
629.899729,651,308.174961,147
2963.016439,2584,311.468078,541
734.212458,701,312.03983,196
383.234273,453,312.505201,96
1704.205881,1507,314.386997,363
335.632391,408,314.869911,91
2435.815284,2152,317.054696,452
1701.001375,1539,318.930459,328
515.674824,540,319.460899,138
1156.140277,1042,321.173714,276
2099.922163,1800,323.147239,460
1302.209426,1169,323.922669,293
2442.201734,2209,326.197425,426
489.614991,539,326.695215,125
2371.406201,2067,328.804924,473
