#{"t_start": 1707321611.1843085, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-537.448359,820,0.646904,15
-1351.450636,479,1.157016,8
-67.004899,130,1.488023,7
-97.498838,182,1.835072,2
-127.957202,342,2.2663,14
-346.302297,480,3.847668,25
-1339.281884,475,4.337958,3
301.710107,500,4.837931,61
117.447559,341,5.260649,15
-4569.441321,1034,7.14863,27
-24.107411,126,7.4846,13
-85.409626,97,7.818608,3
422.04756,849,8.502155,91
-1160.723201,570,10.247847,10
-73.487028,75,10.632428,5
243.494511,366,11.105448,32
217.323232,346,11.545412,36
-141.728411,218,11.946455,12
815.107397,853,13.819673,117
-49.842008,659,14.396776,24
-42.872626,104,14.732489,10
597.993214,650,15.317154,99
-368.470055,204,15.771175,3
485.223209,591,17.475729,58
151.249806,273,17.908781,41
769.004158,853,18.632049,110
-93.53008,59,18.946829,3
-179.686384,371,19.420861,11
134.458493,281,21.217303,19
-64.499623,160,21.667301,6
661.209311,1268,23.039921,180
-62.739892,184,23.615126,15
-71.041806,85,24.112746,8
103.854944,232,24.627667,24
-194.284266,1128,27.366918,87
457.672476,540,28.179314,67
616.960445,841,30.509628,87
974.888591,1430,31.783216,165
96.642681,728,34.150574,73
-73.795395,78,34.651571,4
447.058114,512,35.430564,88
-75.888351,243,36.045525,7
-98.727278,113,36.494483,5
-79.747589,68,36.839483,3
1207.713663,1209,39.553488,170
617.014309,679,40.385807,103
2.409325,142,40.884924,16
1805.823813,1692,43.749068,281
942.150749,963,46.178451,121
209.208539,461,46.827449,74
1104.920555,1084,47.907434,189
-28.356124,121,48.363034,12
2408.502836,3198,54.532868,392
404.774862,511,55.382803,70
76.385814,217,55.920046,25
-52.019167,97,56.330171,6
1562.297832,1512,59.323658,217
16.1708,160,59.742656,15
1349.589071,1374,62.371266,237
2043.874054,1880,65.501285,327
-75.801955,79,65.869133,6
1194.598138,1193,67.042273,169
863.556261,859,69.205867,162
468.452523,558,69.963664,78
-82.388797,69,70.368799,3
1393.030858,1328,73.049055,246
1111.732604,1063,74.094407,213
361.18573,449,74.790178,87
-2.462416,148,76.733366,10
88.334833,379,77.327317,27
2516.891306,2479,80.882657,343
1115.976874,1071,81.940265,204
1396.711867,1306,84.488522,252
-31.418241,115,84.959703,11
298.545971,432,85.66644,36
1175.433105,1139,88.323712,195
2209.246348,1999,91.949975,373
-89.209404,62,92.426891,2
-40.83713,111,95.288085,12
-84.956546,65,95.667418,4
1589.800197,1600,98.275923,312
2249.275215,2803,100.708283,377
2217.370528,2228,102.944886,384
1104.368453,1093,104.910642,177
-28.453722,129,105.271198,13
2619.074254,2379,107.571339,407
1303.284791,2004,109.824357,298
2460.040842,2202,112.087355,417
2237.186629,2482,114.519761,386
2667.437345,2412,116.85583,423
2175.199594,1993,119.009727,336
2510.79873,2403,122.45126,417
1489.426874,1380,123.321616,277
2046.930728,1812,125.317114,404
17.155142,166,125.67739,22
-18.321317,122,126.019995,15
-2.596679,151,126.370697,14
5.226859,152,126.722811,20
2105.995285,1874,128.652395,405
522.302836,1110,130.263067,189
2062.503159,1826,132.174545,418
919.833774,879,132.828328,202
-53.331211,97,133.156296,9
-82.860793,70,133.461781,4
41.908655,180,133.82342,26
1966.568348,1761,135.840518,366
2209.229592,1997,137.878853,375
1730.084164,1554,139.756483,340
2109.277795,2053,141.775169,329
