#{"t_start": 1709145340.2426658, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-3148.582627,975,1.063996,3
86.148821,212,1.640996,35
-1801.893171,817,2.570996,3
25.298181,211,4.126998,6
-1051.886552,673,5.012997,1
-348.378704,213,5.599997,5
36.341353,247,6.193997,18
-57.189651,277,6.806998,4
-47.747872,125,7.335997,1
-485.815443,254,7.957997,0
-109.08437,121,9.458999,3
4.05542,159,10.037995,6
-435.623195,462,10.769998,7
117.525771,242,11.356996,18
-211.351364,253,11.965997,2
-4.920521,158,12.513997,2
-2660.464811,1098,14.651997,10
161.989215,263,15.261997,24
-63.689431,92,15.770999,6
-4.925058,141,16.298998,18
33.393398,292,16.920996,16
-5.719246,132,17.454996,13
-1526.214546,552,18.239996,17
-64.078971,86,18.748996,5
-671.899923,335,20.4,0
-37.04464,210,20.994997,14
309.978719,392,21.673999,68
424.104063,727,22.559999,65
-85.813521,65,23.054998,3
-96.913681,95,23.564998,5
-30.771048,481,25.292997,47
-106.930826,1234,26.496997,54
2.44851,325,27.137999,25
-76.777958,76,27.635999,4
-31.188244,121,28.156999,7
-1.949123,126,28.682996,15
-66.748903,82,30.110999,5
-91.587518,150,30.676996,7
242.689358,336,31.327997,56
215.315324,384,32.019996,32
12.583544,163,32.568997,15
-526.161974,237,33.217996,2
-68.451587,77,33.719996,6
105.553063,681,35.540997,59
8.655882,171,36.116999,10
-30.257035,114,36.632996,13
107.457875,228,37.226998,29
318.247869,416,37.923996,60
-467.578098,726,38.821996,90
-93.002322,95,39.321996,3
411.37231,486,41.049997,77
-70.511797,78,41.551999,7
298.978395,396,42.241996,53
-90.96614,60,42.732996,2
-92.758782,55,43.214997,2
-96.770121,53,43.695998,2
191.637109,310,44.323997,62
-88.009544,66,44.817998,4
-0.049698,389,45.491997,17
-337.170868,233,46.076998,4
-53.341003,96,46.584999,10
-79.150017,400,48.241997,39
-54.046075,98,48.760997,9
-53.749472,104,49.279996,11
-59.165302,84,49.775997,6
-85.707098,66,50.261997,4
-68.495345,87,50.765998,8
-64.001292,91,51.372998,5
462.214415,545,52.153997,72
272.759924,396,52.839996,38
-10.390629,137,53.371996,6
106.293021,232,54.975999,34
351.617767,471,55.739999,54
-78.863966,68,56.238996,3
-353.764733,541,57.013998,17
585.614592,805,57.949998,84
130.426979,247,59.555996,39
-78.795362,79,60.078998,6
37.169402,176,60.631996,15
42.628929,182,61.192996,12
481.634772,574,61.984997,76
497.531833,561,62.778996,94
-79.005888,74,63.269996,5
290.78325,387,64.906996,65
-75.603788,81,65.426996,5
-89.577157,60,65.913996,2
246.108272,350,66.578999,56
225.459358,325,67.225999,57
-78.072312,65,67.710996,3
-78.11635,73,68.205996,4
-91.091161,59,68.683996,2
294.199248,380,69.363998,81
427.394626,502,70.110999,113
502.652493,551,71.913996,108
-64.137111,88,72.418999,8
175.393525,295,73.047997,38
84.168729,249,73.643998,22
-76.470557,81,74.142999,6
46.257008,173,74.695997,23
-79.191642,70,75.193996,4
-81.176304,71,75.689996,4
124.136929,258,76.296997,32
39.803552,215,77.860996,20
-85.923078,65,78.369997,3
-28.944817,133,78.892996,8
-64.239634,85,79.395996,6
-76.511014,73,79.899996,5
72.602026,209,80.471997,36
641.572164,665,81.318999,136
-37.199028,112,81.837998,15
-25.564128,113,82.359996,11
298.783743,390,83.042996,76
236.813203,324,84.657999,66
557.832588,593,85.488996,143
247.48832,339,86.140996,69
285.259382,379,86.825997,66
-72.414117,71,87.321997,4
-70.050643,83,87.823996,5
-94.316072,57,88.297996,2
102.54905,368,88.970999,33
14.291205,141,90.490999,19
504.673535,536,91.277996,128
