#{"t_start": 1706381899.7734237, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
9.0,1201,1.371142,4
-141.0,313,2.085711,35
-71.5,107,2.657712,0
-120.0,105,3.217714,0
-81.0,136,3.798749,6
139.0,897,6.216366,64
-24.0,207,6.855403,15
7.5,187,7.486922,27
213.0,941,8.62009,63
105.5,374,10.667133,52
-43.0,93,11.230692,8
43.0,260,11.891208,22
-55.0,96,12.450254,8
-50.0,66,12.988367,3
-74.0,107,13.610886,9
-52.0,74,14.157404,6
315.5,925,15.302957,127
-49.0,72,17.084998,4
-32.0,119,17.676519,15
193.0,407,18.449588,84
33.0,172,19.058588,21
29.0,165,19.671202,15
-14.5,153,20.265719,10
-54.0,71,20.801275,2
-53.0,82,21.346914,5
-53.0,60,21.870119,3
28.5,235,22.507683,30
-50.0,57,23.051684,2
-48.5,72,23.599684,4
-14.0,136,24.180682,12
-27.0,122,24.757682,13
182.0,400,26.765728,86
-54.0,62,27.297727,2
-58.0,69,27.831767,3
-50.0,71,28.368868,4
-44.5,98,28.924867,9
23.0,161,29.519905,10
-51.0,58,30.0439,2
-49.0,63,30.566901,2
-53.5,59,31.098902,3
-55.5,58,31.6379,2
-52.0,56,32.164901,2
-57.0,61,32.6949,4
-55.0,57,33.225419,2
62.0,192,33.854934,31
-55.0,57,34.389038,2
81.0,234,35.039037,33
27.5,161,35.641036,13
-52.0,53,36.164598,1
77.0,238,36.809117,7
236.5,461,38.864726,87
-54.0,52,39.381723,2
30.0,184,39.996317,3
-53.0,85,40.535839,6
-51.0,51,41.062838,1
253.0,487,41.882882,94
-48.0,84,42.428923,5
69.0,208,43.057961,29
8.0,128,43.643063,14
-54.0,61,44.180102,3
-52.0,65,44.717659,3
-9.0,107,45.27766,10
-53.5,62,45.805661,3
-45.0,75,47.55466,5
206.0,373,48.319184,66
-51.0,62,48.849705,3
-60.0,67,49.384703,4
23.0,142,49.972336,16
-50.5,56,50.503337,2
-3.5,129,51.089855,15
-53.0,51,51.617856,2
22.0,141,52.206962,12
-52.0,51,52.726963,2
-53.0,53,53.253479,2
27.0,149,53.837479,16
63.5,197,54.47048,11
-53.0,62,54.998479,3
94.0,244,55.644998,35
-53.5,62,56.176514,2
-54.0,58,56.702595,2
204.5,376,58.656203,20
-4.0,105,59.213837,9
186.0,342,59.946362,56
-51.0,55,60.485362,2
-59.0,68,61.032362,4
-51.0,52,61.558362,1
-48.0,61,62.088917,3
22.0,134,62.663917,12
132.0,299,63.346434,42
-49.0,53,63.871529,2
54.0,192,64.485527,25
20.5,132,65.063046,15
26.0,165,65.658712,24
-47.0,65,66.191746,3
159.0,312,68.454829,60
-56.5,70,68.996827,4
42.5,153,69.59483,17
-53.5,52,70.123827,2
-49.5,76,70.672347,3
-14.0,101,71.235386,9
233.0,374,71.984426,65
-55.0,60,72.519424,3
-60.0,59,73.041463,4
-52.0,54,73.564466,3
171.0,318,74.264464,52
15.5,140,74.849988,15
-46.0,72,75.386507,4
-53.0,56,75.91959,3
221.0,364,77.943588,72
-3.5,114,78.529589,12
66.5,179,79.141589,23
-50.0,55,79.680592,2
-38.0,71,80.217591,3
-55.0,56,80.75159,2
151.0,283,81.428589,46
-55.0,57,81.95259,3
25.0,139,82.539592,12
-10.5,105,83.116591,11
-50.0,51,83.648591,1
-53.0,58,84.172589,2
44.0,161,84.789734,23
335.0,523,85.639731,101
-54.5,52,87.36458,2
-53.5,54,87.91958,1
-51.5,56,88.447613,2
-53.0,57,88.977612,2
-48.0,57,89.510613,2
220.0,356,90.246248,63
-53.0,54,90.766248,1
-53.0,55,91.287248,2
-55.0,53,91.810334,1
-51.0,54,92.335862,1
-51.5,59,92.865382,1
-53.0,57,93.390901,3
4.0,117,93.953939,11
78.0,205,94.582454,23
-16.0,99,95.13649,9
-50.0,53,95.662009,2
-53.0,52,96.189093,1
169.5,290,96.874609,52
-39.5,78,97.413608,4
187.0,319,99.341646,61
-50.0,53,99.881166,2
91.0,209,100.511687,27
56.0,167,101.113839,17
-51.0,50,101.629359,2
0.0,108,102.185449,8
12.0,117,102.753973,10
-51.0,52,103.277083,1
-55.0,53,103.798597,2
0.0,109,104.35612,10
47.0,165,104.965636,20
-56.0,57,105.496157,3
15.0,127,106.07668,12
29.5,145,106.667248,16
-52.0,57,107.196246,3
223.0,358,107.938248,39
172.0,313,109.894245,50
14.0,124,110.473766,12
20.0,127,111.052286,12
26.0,140,111.637854,17
-50.0,53,112.165901,1
-55.0,61,112.696419,3
-7.5,103,113.269418,8
-48.0,55,113.808934,2
-51.5,56,114.353453,2
26.0,132,114.943455,11
236.5,378,115.711455,68
-21.0,101,116.291453,8
33.0,146,116.904559,14
-50.0,61,117.446076,3
-53.5,51,117.981596,2
-54.0,55,118.505694,2
198.0,336,120.4389,44
-12.0,95,121.021903,8
132.0,252,121.692008,34
16.0,118,122.263008,10
-51.0,66,122.803523,4
-49.5,58,123.326262,2
-56.0,63,123.862262,4
-50.0,58,124.384263,2
-55.5,52,124.914832,2
-6.5,106,125.474351,10
-49.0,55,126.002353,2
100.5,227,126.655351,33
-45.0,57,127.177916,2
