#{"t_start": 1709188619.2058036, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-21.0,920,1.029996,1
-195.5,369,1.714999,2
-69.0,306,2.356,11
-100.0,111,2.882996,1
-23.0,642,4.728,39
117.0,583,5.527998,58
271.5,1162,6.670997,115
45.0,308,8.345998,32
29.5,280,8.976997,43
82.0,280,9.598998,13
-54.0,83,10.096998,5
283.0,787,11.019996,127
268.5,655,12.846999,137
13.0,176,13.406999,21
-41.0,76,13.907061,3
-60.0,64,14.395061,3
-7.5,170,14.951061,14
-55.0,63,15.440063,3
-58.0,59,15.928114,3
-52.0,62,16.420116,3
-53.0,73,16.913114,4
157.0,373,17.592118,51
-49.0,65,18.085114,3
338.5,637,19.861184,153
195.0,384,20.564185,71
-37.0,85,21.067184,5
55.0,184,21.633187,22
-46.0,80,22.137184,6
540.0,835,23.098184,164
-55.0,57,23.583185,3
17.0,146,24.125184,16
82.5,263,25.706261,3
-56.0,67,26.209261,3
-54.0,56,26.693259,2
43.5,212,27.276261,27
96.0,240,27.872258,38
31.5,183,28.430259,29
-63.0,61,28.923261,2
50.0,185,29.491258,24
70.0,265,30.111262,48
-49.0,53,30.599258,2
-49.0,67,31.088259,3
171.0,412,31.79026,111
-53.0,68,32.277258,4
-54.0,59,32.761259,3
-54.5,57,34.221262,3
-49.5,62,34.729258,3
-31.0,101,35.246258,9
-53.0,61,35.742258,2
299.5,504,36.502259,80
828.0,1230,37.696258,278
-56.5,61,39.153259,4
-12.5,116,39.696259,12
-41.5,103,40.215258,7
-54.0,58,40.705259,3
314.0,586,41.509259,155
-47.0,72,42.008258,5
-53.0,64,42.500261,3
-51.0,71,42.999258,3
644.0,1043,45.068259,222
414.0,657,45.931258,162
152.0,350,46.597259,64
101.0,271,47.208258,46
100.0,294,47.839258,8
-31.0,94,48.355258,8
520.5,757,50.264258,188
25.0,153,50.828358,17
52.0,186,51.411358,24
-46.0,64,51.912361,2
-55.0,55,52.406358,2
-18.0,107,52.92836,10
109.0,270,53.549358,2
-16.5,110,54.077359,12
20.0,160,54.632361,3
-53.0,59,55.127359,2
-51.0,71,55.641361,4
35.0,184,56.209362,32
-45.0,65,56.704418,2
-50.5,67,57.200418,4
-32.0,90,58.67142,3
-53.0,61,59.188416,3
-49.0,69,59.683419,4
-55.0,75,60.181416,6
-55.0,62,60.673416,3
-11.0,113,61.199418,11
-4.0,114,61.725419,10
-58.5,56,62.212416,2
-50.0,73,62.712418,6
63.0,223,63.302418,6
-54.5,61,63.793416,3
-50.0,66,64.291416,3
110.0,259,64.897417,49
20.0,151,65.440418,17
-52.0,71,66.851416,4
83.0,234,67.443416,43
99.0,240,68.043418,44
85.0,242,69.636417,38
-60.0,69,70.152416,3
-57.0,54,70.640416,2
-52.0,60,71.128416,3
-37.5,80,71.625417,3
-53.0,59,72.114416,2
-57.0,57,72.601416,3
213.0,421,73.308419,31
-0.5,118,73.829419,13
-6.0,123,74.353416,9
299.0,491,75.100418,37
-41.0,82,75.597418,5
571.0,843,77.587417,147
239.5,446,78.320416,15
-52.0,59,78.811417,3
-57.0,60,79.307417,4
-59.0,60,79.799417,3
128.5,291,80.423418,56
-54.0,63,80.910419,2
-58.0,75,81.415416,3
288.5,539,83.215416,23
239.0,414,83.927416,34
-41.0,89,84.434418,8
-63.0,62,84.922418,4
230.0,415,85.622416,86
29.0,206,86.200416,6
-55.0,62,86.692417,4
95.0,258,87.302418,41
-2.0,127,87.834418,13
110.0,269,88.442419,51
-54.0,64,89.924417,3
-56.0,62,90.444416,3
-57.0,59,90.937418,2
90.0,288,91.563418,3
-9.0,130,92.099417,15
28.0,206,92.671418,11
202.5,405,93.367419,65
-56.0,58,93.851416,3
15.0,166,94.413416,18
-62.0,71,94.908419,4
-57.5,77,95.412418,5
-57.0,68,95.910417,3
-57.0,59,96.401419,2
237.0,441,98.081418,96
5.0,147,98.643416,21
24.0,165,99.197416,22
-61.0,60,99.688419,2
