#{"t_start": 1707330057.904012, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-517.087207,663,0.592134,22
-25.623411,346,1.019421,11
-60.689134,379,1.466409,19
-1721.110886,1201,3.383403,2
-2453.780382,574,3.897366,6
-1553.840593,613,4.474947,3
-230.369728,106,4.834798,0
-1935.725967,733,6.389985,2
-62.307319,95,6.729973,2
-310.137571,557,7.265322,20
-601.213432,382,7.783174,7
-210.251887,476,8.289239,9
-56.988381,297,9.676812,14
-135.149511,315,10.098826,20
285.756184,986,10.801825,99
-46.628185,102,11.135168,10
182.998103,323,11.572863,22
262.234419,364,12.963274,54
164.375367,290,13.377652,25
556.088164,622,13.915647,94
227.537893,397,14.381622,70
193.88312,332,14.816354,27
-71.492181,79,15.135276,5
-58.311784,86,16.41232,7
302.612828,399,16.850176,46
77.564258,215,17.226703,20
117.174195,253,17.62955,20
-1214.754416,819,18.252065,18
113.20258,723,19.885052,75
268.523317,367,20.347559,65
250.153093,386,20.811918,37
306.273062,735,21.416806,88
29.320043,296,22.786175,20
-84.859057,67,23.107447,3
14.803356,151,23.460992,20
86.299534,225,23.853258,23
194.741546,296,24.261707,56
193.054161,482,24.77285,47
-9.051809,279,25.20238,28
-87.393929,66,25.527922,4
-61.040499,91,25.861101,6
-74.191638,80,26.179447,7
-72.674626,77,26.505017,5
-173.293198,148,27.845785,7
304.879984,386,28.287672,68
274.473195,385,28.722218,59
448.753778,569,29.257502,91
18.516056,169,29.625775,14
-93.450896,60,29.937684,3
1185.873937,1124,31.612675,219
209.80985,317,32.029566,41
199.672516,300,32.426306,51
-95.343298,58,32.725848,3
141.60303,257,33.113815,49
-61.205733,99,33.423579,10
-64.620323,78,33.726356,5
279.239071,358,35.111893,75
371.649964,585,35.638517,46
-81.917818,69,35.952817,2
-80.429055,73,36.267224,4
-75.017815,72,36.572236,5
198.744679,300,36.970895,59
79.731638,207,37.336684,26
4.657063,141,37.673605,19
-95.887655,59,37.973613,2
-87.470928,68,38.278563,4
-81.042929,72,38.58457,5
160.64635,268,39.971035,46
-57.336689,91,40.305916,5
570.866858,596,40.830545,125
313.862514,430,41.289695,52
273.193414,377,41.734051,61
410.274163,486,42.236669,79
-94.13282,55,43.501607,2
-83.507056,67,43.822642,3
526.435493,711,44.426416,125
210.658119,373,44.873833,33
-90.104433,61,45.182832,3
98.698263,224,45.569128,28
-65.089482,90,45.882092,6
-80.339216,68,46.186359,3
-22.632982,115,46.507529,12
399.861357,453,47.910964,96
-82.717771,69,48.220361,4
66.893497,190,48.58816,27
-68.202187,81,48.908359,5
-84.195198,64,49.230671,3
158.863904,273,49.628453,49
-76.339628,72,49.93813,5
51.394578,321,50.36459,11
-12.252537,126,50.693591,13
-84.24147,66,50.991553,3
-78.965335,65,51.290983,4
66.808979,186,51.668347,28
-94.634901,60,51.969342,3
-90.156365,62,52.273095,3
-89.32508,63,52.57622,3
-83.123522,69,52.881371,4
-68.932479,128,53.221948,9
136.170961,258,54.551877,42
420.490105,494,55.057536,89
-80.460626,68,55.367191,5
675.143776,700,55.938475,129
-12.928247,247,56.323894,30
471.845417,504,57.779285,118
-74.065055,80,58.091156,8
115.601199,227,58.474047,40
-91.99053,58,58.788852,3
97.4047,229,59.183856,24
137.10812,253,59.567542,41
243.539446,360,60.025565,43
-41.962744,179,60.395678,8
-35.771668,109,60.713641,10
171.177334,307,61.12168,51
-75.226529,71,62.385502,4
254.826326,371,62.82125,48
-73.577356,77,63.136251,5
537.345458,604,63.658518,105
388.409475,451,64.133691,89
-82.919608,66,64.44395,3
96.938196,220,64.818684,42
124.325172,255,66.21514,25
434.861666,497,66.712102,107
564.131308,554,67.224267,156
401.076843,488,67.698437,79
483.11617,578,69.155771,78
598.655506,643,69.706346,114
-81.403207,80,70.029418,4
679.849317,741,70.644184,134
245.120301,361,71.083233,54
66.386652,215,72.405113,30
563.903839,621,72.937851,95
745.904894,743,73.554767,164
-77.609184,71,73.862475,5
-86.35924,67,74.172007,5
47.689398,187,74.535127,25
-57.450244,81,74.846748,7
410.327541,492,76.378678,71
162.186993,307,76.780633,54
628.472641,695,77.341258,127
237.351191,329,77.762953,72
93.218715,236,78.144,27
557.636057,581,79.634962,122
782.356135,790,80.272326,161
62.705221,241,80.671654,19
-89.773976,61,80.976785,2
409.504553,587,82.451837,87
96.955004,221,82.836378,38
483.475704,561,83.335114,74
-63.356201,85,83.652342,5
453.439296,530,84.18997,82
186.075686,297,84.595966,46
214.38758,317,85.042932,57
-42.810177,103,86.358714,7
374.222967,436,86.841721,100
391.864848,436,87.290494,106
589.098197,637,87.840598,114
33.210469,176,88.192612,13
788.514809,1020,89.862648,172
55.014695,177,90.222981,26
447.09797,525,90.756111,109
543.215453,570,91.280528,141
1204.474728,1149,92.992838,213
690.715507,836,93.604181,132
1133.06718,1107,95.353338,188
365.871391,419,95.823334,95
386.325587,480,96.301363,76
208.224025,309,97.684452,49
-147.964873,139,98.022353,6
999.958786,962,98.717518,192
1253.029344,1165,100.482552,241
937.24834,893,101.170912,200
1221.987281,1155,102.870604,231
1327.638598,1238,103.671821,245
-81.894847,67,103.980702,4
1317.712584,1244,105.798258,245
28.544168,176,106.154233,13
757.461532,845,106.813963,174
659.265793,675,108.33356,146
1023.612711,960,109.019293,228
1139.648475,1244,110.809619,232
605.57961,621,111.369136,142
1005.501239,930,112.98297,235
-78.657318,76,113.290849,5
881.426406,816,113.928214,240
890.019091,849,114.55136,215
973.432771,915,116.240368,222
-62.937442,88,116.56726,4
1115.954647,1035,117.308022,256
1141.793294,1182,119.06986,242
682.904735,672,119.654742,173
606.129853,612,121.243809,150
1402.537968,1293,122.127311,271
883.494908,859,123.758993,186
359.25022,420,124.217004,93
1256.004431,1144,124.99253,271
-82.433571,68,125.379817,3
691.21037,702,127.008703,151
286.377785,374,127.442018,78
1134.368253,1035,129.096341,270
974.972914,927,129.803172,208
1217.270438,1137,131.564989,248
-31.238283,120,131.913996,13
-72.390342,71,132.234834,5
-70.587747,78,132.553273,5
907.822442,869,133.195709,196
906.040051,873,134.790291,199
1263.072698,1146,135.5622,282
347.320235,443,136.042212,90
410.034083,464,137.485621,120
1142.893062,1056,138.23486,245
1064.237353,1000,139.852851,244
1555.256907,1551,140.835455,299
809.452666,765,142.434898,200
744.917011,735,143.018909,176
1039.674022,984,143.725866,226
534.838949,557,145.230252,143
1632.292771,1492,146.210377,303
1137.03533,1049,147.893195,252
1129.554157,1052,149.554009,241
822.978225,806,150.19701,193
742.135866,710,150.779402,203
414.542103,471,151.283254,107
939.532081,903,152.931896,204
845.348203,809,153.547199,192
1195.589528,1310,155.343746,265
1359.638649,1244,157.16508,271
995.213636,929,157.83199,228
1104.084479,996,159.501788,272
1191.624311,1103,160.241162,254
43.757961,187,160.603721,16
1041.850191,984,162.306746,214
-75.49132,75,162.624021,7
1207.255569,1098,163.36477,263
-58.160008,92,163.680673,8
-80.729546,66,163.982877,5
576.036334,585,165.47398,153
921.262163,917,166.167954,209
442.995997,497,166.689432,106
477.783463,547,168.135646,91
666.88968,672,168.714119,155
-55.562463,126,169.047092,10
999.989484,923,169.719002,235
544.970651,579,171.267085,123
437.543714,480,171.767887,118
673.650151,660,172.336602,171
-43.045145,102,172.655462,9
898.302235,860,174.233194,206
453.226608,492,174.72746,119
999.167689,960,175.42063,210
688.094556,672,176.996542,174
615.951949,625,177.547404,166
1037.053959,954,178.209234,251
667.299614,677,179.7525,163
327.490855,396,180.2097,87
1302.043981,1204,182.02788,248
887.478471,835,182.680566,208
399.730999,454,183.165138,101
637.846921,615,184.639917,184
1263.760317,1211,185.433549,240
920.724318,870,187.096185,208
1015.014941,949,187.762161,232
1058.200638,1002,188.454212,228
911.395,856,190.041051,219
1427.524672,1304,191.872149,283
1317.131407,1226,192.66586,257
1025.243955,941,194.283477,248
1190.885441,1093,195.034312,253
1086.40514,989,196.697668,255
687.646304,709,197.306309,164
455.323089,500,197.832724,126
1205.329611,1115,199.533646,250
656.922545,648,200.089593,165
823.731498,800,200.704464,190
872.116388,805,202.322189,224
888.410303,846,202.954866,226
1228.307387,1108,204.656806,274
1385.409563,1305,205.504626,244
1295.768343,1372,207.404155,248
708.358208,732,207.997216,155
