#{"t_start": 1706288122.4943826, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-158.648359,820,1.422027,15
-1102.250636,479,2.189027,8
-31.404899,130,2.736027,7
-27.098838,182,3.311026,2
0.442798,342,3.982027,14
-152.324669,391,5.741999,24
109.904888,338,6.408999,12
-68.186478,63,6.918,3
-581.178334,690,7.79,18
286.299786,563,8.602,53
-112.913124,147,10.148,5
36.60147,151,10.718999,21
-326.350765,408,11.424999,8
10.291734,133,11.976999,13
503.925116,979,13.024538,90
45.571913,165,13.582538,18
-138.857983,240,15.130538,11
484.526251,537,15.927538,83
72.949274,436,16.646538,35
18.776106,139,17.185539,15
701.286161,925,19.166538,109
541.400002,629,20.021538,71
433.889798,519,20.790832,51
451.538519,657,21.645832,66
259.90871,350,23.273835,57
390.686587,500,24.039832,64
481.532332,510,24.799831,104
278.30113,379,25.484831,42
489.745871,527,27.209831,100
439.73596,485,27.969831,96
637.32807,768,28.885831,99
489.23658,521,29.656832,106
499.408364,534,31.428833,105
5.245083,127,31.997835,16
739.06156,784,32.923832,94
-2.314098,121,33.453833,9
70.713686,181,34.014831,19
420.690662,473,34.741831,83
0.587265,118,36.231831,14
33.884576,149,36.796831,25
-34.816405,91,37.308831,7
202.198508,286,37.932831,55
-48.01517,77,38.436831,7
206.974302,326,39.085831,22
754.324019,768,39.993831,136
112.323313,218,40.585831,26
-54.9016,75,41.089831,5
65.544307,190,42.628831,13
-61.981186,68,43.145831,3
-3.573807,150,43.685831,5
-69.647675,61,44.178831,3
-71.081191,59,44.671832,3
-41.801698,92,45.176831,6
-44.536466,86,45.676831,7
-19.089662,114,46.202833,8
-77.869618,52,46.700833,2
-65.622317,68,47.198834,4
649.468819,663,48.035831,133
-89.619886,118,48.559832,4
309.767825,386,50.212831,56
998.304998,1004,51.275831,138
559.141492,606,52.094831,87
44.84768,160,52.641831,21
-63.736857,63,53.128831,4
-63.293808,67,53.622831,2
-18.090638,105,55.088832,11
34.532528,153,55.654832,18
-40.544996,89,56.159831,7
430.834849,491,56.905831,85
460.197863,524,57.669832,77
564.375257,620,58.491832,83
283.211487,364,60.102832,52
517.119703,566,60.903831,88
56.198568,180,61.469831,19
376.555337,438,62.193831,79
47.248909,162,62.745831,22
511.234999,532,64.459831,111
580.584128,600,65.282831,122
602.996515,604,66.108833,137
-58.491004,70,66.614832,4
537.877296,590,67.422832,88
642.279512,651,69.219831,140
554.229033,588,70.024832,104
124.99784,312,70.680831,31
1308.461967,1633,73.088832,166
476.537307,509,73.850832,103
748.03919,757,75.736831,145
637.523805,652,76.596831,123
736.515861,896,77.586831,146
879.761304,879,79.541831,153
464.323903,506,80.298831,94
447.71034,501,81.054832,86
881.137735,851,82.994832,168
301.942593,389,83.689832,56
815.64057,813,84.631831,136
799.54648,763,86.506831,173
583.8619,641,87.348832,108
584.025377,613,88.224831,112
760.648326,793,90.193834,110
657.680368,754,91.092831,104
901.484889,857,92.058831,187
228.452928,344,93.679831,37
623.45629,667,94.540832,108
289.526893,389,95.218832,43
597.400054,621,96.043831,114
789.422276,818,97.966832,109
506.055218,560,98.742831,96
953.357291,968,100.728832,140
701.932148,782,101.663831,140
570.84548,621,102.481831,97
566.910871,587,104.222831,121
581.898686,674,105.097831,104
849.065759,828,106.044832,157
795.820833,754,107.923832,181
867.881368,845,108.885832,158
1029.951562,985,110.858832,181
527.068061,543,111.638832,115
767.183938,749,112.520831,157
412.596179,489,113.263833,64
701.208913,708,115.109832,128
273.300637,345,115.761831,65
819.343451,776,116.650832,184
721.921622,712,118.535831,143
369.917988,410,119.235831,97
825.308759,792,120.157831,173
884.116217,845,122.149833,184
983.086604,927,123.144831,195
1016.043521,962,125.100835,193
936.449469,912,126.104832,165
817.079672,787,127.022831,167
857.126001,823,128.930832,173
796.509414,778,129.852831,159
990.082108,912,131.792831,217
725.117424,724,132.689832,142
960.161503,946,133.698831,154
892.576266,870,135.678832,159
884.021938,857,136.648831,167
1000.774903,958,138.615832,179
851.875167,823,139.570831,170
836.875375,806,141.488832,169
1300.841007,1207,142.667831,237
667.002117,667,143.503831,141
