#{"t_start": 1706370651.8504634, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
105.4,820,1.556,15
-4.7,479,2.308,8
-61.5,130,2.847002,7
-61.1,182,3.431,2
-26.0,342,4.099,14
87.3,753,6.107,18
-73.0,69,6.619001,4
39.5,489,7.381002,16
38.2,469,8.121,27
-18.9,267,8.760002,33
127.1,662,10.655001,102
-4.2,266,11.276,30
-54.3,99,11.794,10
6.7,314,12.450001,24
-66.8,73,12.945,4
43.0,409,13.638,30
54.3,421,15.340999,14
212.6,726,16.282001,70
-15.9,172,16.843,13
96.1,468,17.604587,29
-20.9,197,18.214109,33
-23.7,165,18.791108,9
-62.1,78,19.310107,6
-21.8,157,20.913107,17
-30.4,168,21.502107,7
241.4,700,22.398108,93
-70.1,73,22.904108,3
-65.2,73,23.411107,4
-21.3,218,24.008108,38
-54.7,87,24.519108,8
325.2,851,26.540109,151
-20.3,157,27.123111,10
74.3,330,27.778107,53
-45.7,103,28.293108,9
259.8,695,29.162109,118
247.7,698,31.044106,126
-12.2,217,31.653107,24
-25.4,148,32.198108,15
-67.7,68,32.697108,4
216.2,604,33.51211,138
115.3,441,34.244108,62
-7.7,188,34.812108,8
77.1,318,36.479107,42
114.1,397,37.225107,70
-24.4,184,37.803109,22
564.3,1153,38.958109,212
46.0,275,39.587108,37
402.9,872,41.598108,121
197.2,513,42.369107,94
269.4,648,43.224108,111
180.4,447,44.996108,71
-68.9,61,45.484108,3
-55.6,90,45.996108,8
-55.8,106,46.518107,10
312.1,640,47.378109,122
97.8,299,48.020109,60
155.0,458,49.715106,65
98.8,338,50.418109,66
134.9,384,51.101107,98
482.1,970,52.131108,195
137.8,412,53.852107,91
304.0,663,54.722108,152
-66.5,73,55.220107,6
109.8,349,55.886108,78
304.1,636,56.726108,160
105.5,324,58.40611,69
187.6,460,59.165109,93
206.9,592,59.976107,105
192.1,450,60.727109,90
113.1,386,61.440109,60
176.9,459,63.280109,91
335.1,826,64.252109,153
242.7,547,65.054108,140
464.2,830,67.092108,197
276.7,602,67.92011,126
9.4,168,68.480108,26
9.2,190,69.060108,30
-2.2,207,69.64411,24
187.8,435,71.414107,79
18.3,195,72.019108,34
113.5,310,72.669107,46
12.7,222,73.265107,25
551.5,1075,74.384109,218
416.2,841,76.432108,183
229.2,475,77.18611,121
352.2,601,78.015108,156
366.4,701,79.996108,156
335.0,723,80.891108,183
180.6,424,81.609108,107
158.8,391,82.305108,86
273.7,551,84.152108,122
91.8,327,84.808108,75
252.7,509,85.573107,121
479.4,883,87.607107,203
395.1,728,88.519108,193
288.4,627,89.355107,173
250.6,543,90.142107,136
299.5,642,92.056108,173
328.1,603,92.894108,160
745.6,1261,95.21811,289
449.9,907,96.250109,196
426.4,811,98.29611,226
189.8,448,99.066109,103
603.4,1087,100.198108,284
567.3,1134,102.437108,229
433.0,712,103.336108,184
630.4,941,105.394108,231
380.7,702,106.291107,197
586.8,1067,108.460107,225
