#{"t_start": 1706293899.5548217, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1298.509883,1201,1.181,19
-5102.595927,1201,3.307,7
-46.671393,140,3.852,9
-715.736184,340,4.516,4
-222.357061,474,5.253,11
10.995993,705,6.131,29
-47.602443,112,7.579999,4
-834.37304,755,8.513,24
22.054517,215,9.098,6
134.153633,306,9.728,27
-407.477507,762,11.595,2
-729.823206,1201,12.816,25
116.717558,274,13.432,16
58.54199,187,14.0,14
290.727349,469,15.693,28
208.156781,310,16.346999,35
1625.669286,1567,17.718999,191
312.516134,418,19.389,45
339.970155,538,20.161999,56
1605.810177,1518,22.478,229
354.158623,433,23.189001,58
1364.560356,1287,25.348001,216
824.885142,795,26.279,160
-22.154788,104,26.797,6
443.347497,639,27.627,75
494.453779,567,29.347,110
583.777163,603,30.164999,120
142.499166,674,31.014999,44
574.878025,601,31.822,116
1230.193521,1180,33.933,193
-30.015278,100,34.451,7
-121.731228,316,35.09,6
361.885811,450,35.811,50
1177.141976,1196,37.951,149
415.845365,483,38.694,63
22.406773,234,39.284,18
967.262106,1359,41.498,151
-11.777295,113,42.015,14
188.958724,283,42.638,39
-32.8577,94,43.149,8
-8.455177,118,43.674,11
301.67234,386,45.373,53
354.005876,425,46.089,68
252.976862,366,46.765,42
701.580197,775,47.774002,135
313.508847,395,49.396999,49
793.820428,817,50.369,120
377.356251,440,51.089,70
33.129567,151,51.636,22
216.808024,447,52.365999,17
-3.940096,124,52.895,10
-62.49221,67,54.34,5
669.104559,737,55.244999,104
315.17067,385,55.925,67
211.348981,295,56.541999,56
407.734437,476,57.27,70
511.1658,552,59.065,103
1077.384927,984,60.107,228
406.825874,453,60.825,89
706.890202,692,62.662,151
-30.324178,126,63.195999,9
-69.271786,63,63.695999,3
1175.261765,1169,64.834,178
-55.722385,76,65.329,6
1037.890022,1036,67.358,157
1408.123636,1346,69.547004,204
-47.676089,81,70.060999,5
-59.698005,69,70.560999,5
96.816436,323,71.202,22
49.217987,173,71.755999,9
-38.674134,86,72.265,8
-70.167254,60,72.755,3
444.284895,495,73.498,91
917.562594,902,75.458,153
257.659402,365,76.134,28
-59.284596,71,76.628999,5
-63.891967,66,77.126,4
-19.305583,108,77.642,9
-9.839841,112,78.161002,12
-55.89666,74,78.669,4
-70.076272,60,79.157,3
-66.845356,63,79.651999,3
498.608649,529,80.421,107
-56.771392,74,80.929,5
236.379575,337,82.544,37
5.063447,335,83.214,16
9.691446,134,83.754001,13
215.920667,323,84.404,35
16.57805,142,84.945,9
115.575717,225,85.536,29
52.175981,171,86.094001,18
-47.096471,85,86.604,6
-60.750966,71,87.110002,3
719.759652,807,89.043,155
1270.94233,1222,90.213,182
260.267504,350,90.878,46
1161.95312,1130,92.977001,182
-28.280715,97,93.490999,9
-60.90368,69,93.993001,4
-32.909132,90,94.505,9
178.91977,289,95.13,26
-56.500554,74,95.629003,5
4.140822,127,96.167,14
-64.876325,67,96.658,3
-54.406438,77,97.153999,5
632.076164,644,98.97,126
232.54412,327,99.622,44
1008.294998,993,100.669,154
821.483418,815,102.576999,144
693.29406,745,103.478,86
943.930817,939,105.487,137
226.340103,307,106.13,58
-3731.399145,1970,108.703001,178
698.211866,708,109.575,128
92.27846,205,110.154,27
79.453214,200,110.733,15
944.397711,910,112.69,172
926.574938,893,113.666,167
-46.928236,83,114.175999,6
1583.589591,1530,116.505999,189
822.655242,807,117.436,153
551.592878,572,119.205,113
-41.034187,99,119.724,4
107.276341,218,120.305,28
842.216433,833,121.254,149
775.073956,755,123.111,162
-31.185714,96,123.645,7
834.890463,847,124.599,129
-43.972989,86,125.099,5
1034.448112,997,127.084004,178
456.465587,506,127.862999,88
1364.390924,1405,129.135,191
497.712409,541,130.918,97
-40.751463,85,131.432,7
-50.21722,78,131.935,6
797.088873,797,132.854,133
511.440219,586,134.596001,64
643.555353,653,135.459,122
583.788323,614,136.280999,112
1024.205927,994,138.289,169
1332.674143,1262,139.481,222
-33.227253,95,139.997,10
1093.324238,1033,142.054,200
1275.203819,1192,143.218,218
1136.84927,1078,145.286999,199
1208.609718,1130,146.405,217
1502.920497,1353,148.636,294
-8.880104,117,149.166,10
1099.553937,1031,151.202,208
1062.833235,1002,152.248,197
989.996159,957,154.204,173
950.520544,914,155.208,175
1039.317491,999,157.207,204
1477.707548,1350,158.457,268
1481.687068,1357,160.669,258
55.369766,179,161.23,17
1111.424402,1043,162.291,206
1315.567885,1220,164.425,234
520.763545,557,165.208,102
829.915009,802,167.132,179
289.995655,361,167.798,70
1264.451534,1175,168.938,227
1697.461835,1539,171.298,292
1334.626977,1213,173.439,258
1210.064693,1120,174.555,226
710.106324,694,176.406,157
1325.173523,1206,177.57,261
843.152973,829,179.491,153
308.061012,382,180.175,65
219.969508,315,180.814,39
1919.857637,1764,183.26,296
1380.563319,1254,185.403,267
1213.500197,1129,186.554,225
1234.136578,1154,188.666,220
1075.966584,1002,189.715999,213
1615.400478,1437,192.001999,311
1146.748983,1086,193.100001,211
1252.991998,1160,195.21,227
731.75809,723,196.091999,147
1463.486216,1366,198.332,236
873.51921,839,199.283999,174
1179.311935,1098,201.365,219
1544.107611,1414,203.598,259
1283.832905,1207,204.783,217
1502.993735,1372,207.007002,269
811.418899,852,207.965,145
837.219895,830,209.871,144
1913.546517,1729,212.305,326
1549.731382,1444,213.638,247
1520.23762,1368,215.84,288
1492.735576,1343,218.023,289
941.36338,860,219.011999,220
243.713175,322,219.656,56
2033.526565,1857,222.19,314
1078.652601,1007,224.185,214
890.181389,862,225.18,168
2057.447441,1854,227.715999,342
1327.323519,1205,228.878,261
1355.061443,1245,231.131,250
1572.580302,1420,233.373,291
155.24718,269,233.990999,22
1709.540613,1568,236.356,281
1538.742469,1413,237.654999,263
2373.514277,2142,240.336,374
2287.141142,2060,242.979,384
2106.928793,1912,245.509,333
2089.272507,1881,248.058,346
232.624327,329,248.709,41
2084.969549,1869,251.241999,354
1882.801429,1676,253.66,343
1726.744137,1529,255.998,338
1321.732184,1221,257.172002,236
1446.61274,1307,259.332001,280
1687.952244,1530,261.648,303
1354.514375,1207,262.811999,288
1607.122533,1416,265.089,330
1668.306158,1729,267.589,307
1411.951682,1288,269.782,262
1809.093262,1591,271.184,357
1325.937705,1186,273.319,279
1770.415187,1593,275.689,327
1032.379041,982,276.728,189
1495.046934,1327,278.913999,308
1986.210983,1753,281.375,374
1717.835857,1567,282.749001,295
1802.34693,1642,285.152999,299
1655.864123,1495,287.462999,299
731.310173,717,288.340999,150
1977.939893,1811,290.804,306
2399.477378,2124,293.481,412
1903.498353,1661,295.88,383
800.782948,811,296.816,127
1680.771964,1485,299.141,336
1114.322469,1042,301.178,215
1060.757144,1012,302.224,186
1366.466076,1264,304.386,243
1769.667153,1597,306.76,310
2609.057476,2336,309.582,413
2512.254698,2231,312.366,421
1649.928332,1466,314.680004,324
1788.249555,1593,316.087002,334
1941.145336,1729,318.508,351
1441.410776,1343,320.729,236
1869.17596,1706,323.152002,302
1692.931916,1531,324.508,297
1536.737095,1388,326.789,293
660.244163,666,327.638,134
1632.948216,1447,329.907999,327
1785.687301,1605,332.289,321
1290.570082,1178,333.446,249
1372.349163,1241,335.61,272
1830.954252,1641,338.007,331
1670.127298,1495,340.283,323
1977.377733,1762,341.793,352
1020.730152,944,343.777,213
1775.159818,1613,346.157,306
1502.357992,1342,347.404,301
1439.682583,1325,349.624999,251
1373.342285,1226,351.765,285
1541.529062,1375,353.023999,304
1254.448927,1143,355.132999,253
878.794046,848,356.098002,167
1404.733687,1271,358.279999,274
1349.819978,1213,359.458,275
1620.707681,1452,361.724,307
1485.322347,1321,363.951,300
1323.52347,1216,365.118,245
1855.096384,1660,367.535,334
1005.459153,945,369.504002,198
1008.557846,948,370.527999,199
2748.473038,2479,373.423,410
1795.676111,1588,375.801,345
1740.07438,1556,378.142999,323
1394.858433,1250,380.284999,284
885.478489,822,381.247999,200
730.543775,720,382.134001,147
1943.438883,1742,384.596,338
2844.804415,2575,387.534,411
1107.458123,1046,389.560001,196
283.100581,369,390.242,53
1211.699184,1103,392.315,244
2097.354293,1943,394.856,374
1952.169454,1746,396.364,344
693.568849,692,398.243999,141
2122.193872,1901,400.768,363
70.133198,184,401.337,20
1744.824665,1518,403.624,364
1356.566512,1191,404.802,305
1350.063952,1196,406.955,293
1431.930895,1307,408.174,263
1613.961593,1409,410.442,342
1406.736948,1266,412.614001,276
2119.660387,1907,415.188,350
605.756141,619,416.025999,123
2053.853261,1804,418.507,394
-6793.517837,1201,420.754,4
1819.566809,1616,423.157,341
717.820149,723,424.04,133
1891.320553,1694,426.46,336
1807.719031,1635,428.821999,311
1672.039977,1511,431.166002,304
1819.64388,1713,433.595,314
1284.2812,1166,434.752999,255
1685.073593,1507,437.072,320
1938.66997,1724,439.524,354
1263.36034,1155,440.672,246
2477.736813,2161,443.4,454
840.596183,801,445.302,178
1895.731355,1656,447.678,376
2140.108782,1822,450.154,456
2145.811312,2156,452.841004,371
2625.419665,2367,455.671999,396
1765.572937,1592,458.033,310
989.95039,926,459.06,199
1415.451884,1303,461.251,250
1624.249495,1426,462.554,335
2405.40757,2261,465.356,427
2301.490712,2031,467.983,406
1910.880579,1689,470.398,360
1367.203013,1256,472.594,250
1219.730373,1115,473.699,243
1771.902134,1597,476.033999,310
1939.509335,1727,478.463,350
1844.125759,1677,480.857,303
546.781915,576,481.654001,110
574.423709,608,482.471,106
854.193553,821,484.373,171
2059.782568,1831,486.857,369
1840.042094,1611,488.261999,366
1381.674173,1245,490.451,272
2042.759398,1796,492.926,385
362.175891,1472,495.231,235
1963.960692,1915,497.792,346
1195.542558,1088,498.904,243
1354.576216,1231,501.044001,264
686.97242,705,501.921999,120
1055.634987,985,503.921,207
986.471312,955,504.962001,169
1314.607251,1182,507.062,272
1320.837761,1227,508.249999,230
1155.586472,1094,510.326999,200
1871.696235,1651,512.717002,366
1740.127804,1598,514.131999,280
1257.662208,1147,516.256002,246
1311.165679,1191,517.407002,256
-9.664607,117,518.882,10
1897.890812,1707,520.367999,326
1548.115427,1392,522.617,294
1161.600536,1078,524.666,220
