#{"t_start": 1706469511.8084843, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
330.6,1201,1.367841,4
-32.2,313,2.082842,35
-50.3,107,2.659842,0
-80.0,105,3.231842,0
-46.6,136,3.826842,6
81.6,441,5.869861,47
245.8,680,6.83786,72
10.2,180,7.463383,31
237.4,699,8.451474,19
-54.1,82,9.010475,7
-0.1,189,10.836475,20
646.9,1261,12.218475,144
-45.6,109,12.800475,6
764.6,1354,15.545487,215
-50.2,65,16.092487,3
-43.2,67,16.643486,2
-2.0,153,17.247458,17
-55.1,52,17.787544,2
-47.6,81,18.336546,6
-10.0,121,18.921374,14
-43.0,78,19.477374,4
-42.4,86,20.052374,8
-45.2,87,20.716374,5
-50.0,57,21.270374,2
-50.4,64,21.829375,3
1.6,150,22.440372,15
-58.2,63,22.998374,2
452.0,770,25.282374,139
-47.8,69,25.836374,3
-60.7,59,26.382374,3
-56.8,59,26.937375,4
-55.0,59,27.498373,2
-49.8,69,28.062897,4
-45.7,82,28.628898,5
-57.4,65,29.187896,3
-46.6,72,29.742896,3
-45.8,72,30.304627,4
-54.0,52,30.857309,2
-49.0,66,31.404308,4
-55.0,63,31.949308,4
-47.1,66,32.494308,1
45.9,204,33.14683,30
-56.0,60,33.68783,2
263.2,489,35.75483,93
446.9,789,36.79883,129
-57.4,65,37.34983,3
737.2,1180,39.918377,184
-52.8,64,40.486378,3
-52.0,75,41.034379,4
-44.9,80,41.592681,5
-59.0,67,42.13668,2
280.2,517,42.995681,52
-50.8,67,43.547201,3
1143.2,1631,46.420203,304
-46.0,80,46.990201,5
97.8,278,47.678201,31
-52.2,70,48.240201,3
-51.9,70,48.785728,4
67.8,249,49.461726,34
22.7,185,50.075726,24
180.2,419,50.856726,54
-32.8,106,51.441728,9
121.7,359,53.360727,55
64.0,228,54.013726,3
287.6,514,54.847727,103
-61.2,73,55.397728,5
226.4,461,56.199727,68
487.2,791,58.428726,142
-54.2,61,58.984725,3
479.4,767,60.001247,148
-43.6,77,60.587247,5
189.5,381,61.348286,39
411.9,665,63.602282,161
83.4,265,64.292284,40
224.8,427,65.087285,76
160.8,343,65.830284,72
439.9,668,66.846431,130
-50.7,87,67.452432,4
-49.4,78,69.169431,4
238.4,451,69.987432,41
209.0,373,70.738432,64
491.2,698,71.693432,145
401.2,634,73.827431,94
119.4,270,74.511433,37
-56.2,56,75.063432,2
-59.1,59,75.607432,2
234.5,433,76.412432,56
-26.4,122,76.995432,12
