#{"t_start": 1706467798.1249518, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
201.2,820,1.639999,15
-15.5,479,2.435001,8
-54.2,130,3.014999,7
-42.4,182,3.611999,2
2.6,342,4.347,14
394.6,1053,7.210002,42
88.5,350,8.043,14
96.0,364,8.847002,51
36.6,323,9.594001,19
461.8,956,11.891001,153
242.0,562,12.735003,73
-9.6,126,13.302999,12
-21.2,148,13.881001,3
702.1,1252,16.232473,209
-52.0,55,16.746472,2
7.2,154,17.328472,6
370.2,652,18.235471,110
-47.2,70,18.759472,3
-47.6,70,19.283471,4
-51.0,60,19.805472,2
-50.2,71,21.410472,4
185.5,405,22.180472,95
70.9,233,22.808473,23
114.5,280,23.475475,4
-14.1,109,24.054471,11
-54.2,59,24.579472,2
47.6,232,25.212473,17
-52.1,74,25.748474,5
-57.8,61,26.277472,4
-54.1,58,26.804472,2
58.1,221,27.429474,21
-55.0,67,27.960472,4
62.4,219,28.597472,24
-25.6,105,30.376028,6
220.3,419,31.170028,69
60.2,201,31.806028,28
166.3,368,32.555028,61
-60.2,70,33.123646,3
-56.7,62,33.660762,3
-53.5,60,34.185828,3
-44.7,81,34.727862,5
-7.8,108,35.313861,9
24.0,194,35.951897,13
-45.7,94,36.526895,9
-27.7,111,37.132895,13
273.3,492,39.372895,55
44.8,213,40.015895,23
-43.2,76,40.572896,5
-47.5,71,41.122895,5
-56.5,58,41.684895,3
253.4,535,42.528895,70
14.6,152,43.116895,15
7.6,162,43.710895,17
82.2,238,44.353895,25
-47.2,83,44.894895,7
54.8,204,46.712893,13
-47.9,72,47.297897,4
-48.2,85,47.848933,5
353.9,682,48.78787,67
-43.8,82,49.349873,7
-58.0,62,49.87687,4
370.9,678,50.798395,100
184.0,492,52.854465,3
46.4,221,53.507466,5
-56.2,69,54.056528,5
117.6,359,54.794527,39
243.4,467,55.59834,59
49.8,241,56.24734,10
-49.8,70,56.79934,4
360.4,681,58.944474,119
385.0,664,59.861475,90
-44.4,77,60.386474,3
-16.4,154,60.976991,19
245.0,539,61.806989,78
492.8,880,63.935992,158
45.0,215,64.552991,23
-43.0,90,65.085992,6
481.2,845,66.091991,151
53.8,235,66.719991,31
-52.0,66,67.240989,3
137.4,353,68.98999,43
86.0,255,69.630992,3
39.3,197,70.232992,25
-56.0,60,70.747993,3
-56.3,65,71.264992,3
739.4,1161,72.474994,216
73.1,247,74.203989,34
-55.2,61,74.740992,2
145.8,343,75.444992,54
404.6,644,76.338991,136
-56.8,67,76.866992,4
219.5,441,77.627991,52
34.4,201,78.235991,15
164.4,346,79.990989,50
238.3,426,80.743992,77
680.7,990,81.850992,236
-47.8,70,82.378992,4
620.4,844,84.456041,175
179.8,346,85.161041,51
-43.7,71,85.726042,4
-49.0,66,86.299044,5
-49.5,62,86.876566,2
329.1,520,87.796568,75
-36.7,76,88.414567,3
207.7,389,90.58812,58
451.6,681,91.849123,108
124.0,297,92.67312,13
278.2,457,93.68612,76
211.1,362,94.522638,54
185.0,356,97.027635,55
-43.6,75,97.640638,5
130.2,294,98.372744,28
-41.0,74,98.953742,5
-53.5,65,99.541743,2
218.8,401,100.34175,50
-51.6,65,100.90875,4
-35.7,83,101.495752,6
674.4,902,103.912355,180
276.0,470,104.786355,69
409.2,632,105.741357,99
361.0,554,106.622355,118
300.4,509,108.718353,76
88.3,265,109.423572,30
427.3,642,110.354169,111
772.5,1040,112.779768,215
599.4,843,113.997494,149
325.1,530,114.880018,79
770.2,1109,117.461631,177
388.0,573,118.374633,104
219.0,399,119.161212,45
551.9,768,121.480741,139
503.4,711,122.472986,112
831.2,1085,123.716985,180
584.6,825,126.063985,83
-37.4,68,126.616985,3
1034.9,1321,129.26456,236
297.0,479,130.122562,83
1410.8,1739,133.097647,300
677.4,861,134.20165,134
67.7,226,134.857649,18
1356.9,1681,137.728651,288
1391.6,1777,140.695398,356
518.9,694,141.678399,120
810.3,1036,144.155399,134
273.8,505,145.017538,6
-35.1,74,145.611455,4
611.2,765,146.638455,107
2158.9,2655,151.432454,391
899.1,1174,152.769936,157
826.5,1032,155.234312,176
1207.5,1453,156.75293,221
960.0,1141,159.251959,197
1099.7,1309,161.87296,227
737.0,973,163.07183,99
480.9,626,164.02615,106
426.2,603,166.186167,84
907.0,1084,167.466915,208
1484.9,1780,170.837914,274
1341.7,1614,173.988915,265
658.3,831,175.150915,90
129.8,302,175.933913,3
1124.0,1349,178.783913,220
1384.9,1669,181.797706,245
2337.1,2717,185.555233,384
2342.8,2718,190.548389,376
1706.9,1966,193.61315,232
1191.2,1357,195.058152,206
3343.4,3891,200.870133,429
694.9,825,202.135132,104
1599.8,1835,206.31113,283
1439.0,1647,209.86013,274
1267.1,1402,212.796818,218
1035.8,1183,214.308815,175
1536.7,1708,219.123815,287
2532.4,2750,226.270333,388
4960.1,5236,233.290015,628
-33.3,74,233.890062,3
-24.7,86,234.497063,4
1554.3,1700,237.563562,250
2102.3,2290,240.879422,363
1643.5,1778,243.87997,263
437.9,562,244.7635,79
528.3,643,246.9345,109
1701.4,1870,249.986315,300
1091.9,1216,251.324967,211
620.3,737,253.58476,108
555.3,670,254.576383,95
2850.2,3101,258.433921,450
5066.6,6135,266.64199,561
523.3,633,268.747548,85
1938.7,2224,271.910068,332
4302.1,4893,278.090018,545
-13.0,94,278.65454,5
-14.7,96,279.219056,6
4970.2,5356,286.898838,643
467.7,571,287.775838,100
2958.3,3138,292.810935,419
140.7,258,293.47354,14
792.5,909,294.57759,121
1815.8,1963,297.571256,332
3220.6,3713,303.003821,407
242.9,367,303.747855,17
385.7,535,304.593704,7
358.9,477,306.643747,45
2083.9,2260,309.890794,357
4469.2,4696,315.939805,588
2171.3,2294,319.191495,305
827.4,954,321.554682,133
488.1,608,322.474188,93
1318.6,1436,325.158952,218
4528.5,4824,331.254867,605
