#{"t_start": 1709206332.3842914, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
231.9,975,1.101999,3
-12.4,212,1.684998,35
171.4,817,2.635,3
655.2,1558,5.024584,62
-22.2,147,5.579586,18
-61.1,70,6.078583,5
399.6,799,8.032584,110
436.4,861,9.010584,180
560.6,1066,11.103585,205
-30.3,101,11.618586,8
-46.4,78,12.120584,4
480.4,800,13.059586,188
112.6,305,13.692584,11
-21.0,109,14.209586,10
270.4,491,15.899586,89
-49.4,70,16.418586,5
-32.4,87,16.927586,8
-17.2,110,17.444584,12
-42.0,67,17.938585,3
-51.8,65,18.432584,4
397.0,675,19.292584,127
-44.8,69,19.777584,3
-51.2,72,20.272583,3
157.8,333,20.926586,59
-50.4,61,21.420584,3
100.4,256,23.024584,4
-38.4,83,23.545587,4
-56.8,61,24.043585,4
404.8,631,24.873588,147
229.2,439,25.590585,17
-51.3,67,26.085583,3
-13.8,128,26.607584,7
33.6,179,27.163584,12
-52.8,66,27.645584,5
13.8,125,28.169584,11
92.6,242,28.763583,39
-4.0,137,30.277587,17
-47.7,64,30.785583,3
239.6,440,31.506586,66
932.8,1296,32.750587,318
-56.4,57,33.238585,3
-47.6,72,34.725586,4
-19.0,116,35.270583,12
241.2,455,35.993587,37
288.6,510,36.753587,129
420.2,659,37.608587,143
-44.2,64,38.098585,3
179.7,369,39.739585,44
213.1,404,40.448585,11
-47.3,67,40.941586,3
45.6,185,41.507583,25
-51.0,56,41.984586,2
107.4,265,42.603584,32
490.4,750,43.503584,204
6.2,140,44.038584,14
113.0,278,45.658587,4
-55.2,61,46.163584,3
-55.0,62,46.660583,3
-53.8,62,47.156583,3
-45.1,77,47.657583,5
23.4,152,48.203586,16
-39.5,76,48.696586,4
-22.0,95,49.203584,9
-47.5,68,49.702586,3
-54.8,67,50.199586,2
-43.0,86,50.706583,5
-50.1,63,51.195583,2
-48.8,66,51.694583,3
-51.2,60,52.190583,3
-47.2,66,52.686587,3
-44.2,76,53.186586,4
-9.8,122,53.712584,14
-15.8,108,54.234584,13
-36.0,78,54.748584,4
-52.0,66,55.244584,4
-33.0,82,55.753583,6
-1.8,132,56.296584,12
-42.8,72,56.785583,3
34.3,173,58.352586,10
-61.2,58,58.863586,3
177.6,358,59.535587,2
-44.2,63,60.029585,2
-37.4,98,60.542586,6
-32.4,102,61.054584,9
-46.8,76,61.550583,6
-47.0,68,62.053584,3
-51.2,64,62.547583,3
-21.8,111,63.069583,11
-52.1,67,63.564583,4
-52.6,66,64.061586,3
580.6,873,66.000584,177
-41.8,90,66.520584,8
195.8,400,67.216583,61
132.8,340,67.873584,4
-18.4,118,68.393584,11
41.8,204,68.963584,26
-11.7,117,69.495586,12
35.6,211,70.069586,20
-50.6,62,70.556588,3
-6.2,153,71.098586,19
-33.4,101,71.605583,6
542.8,773,73.536584,179
-25.6,112,74.059586,10
-46.4,66,74.564584,3
429.8,665,75.421584,166
517.4,734,77.256585,193
