#{"t_start": 1706389303.4181087, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
26.5,1201,1.412999,19
50.0,1201,4.077,24
153.0,671,5.057999,25
21.0,282,5.754999,17
65.0,504,6.614999,30
15.5,254,8.558999,27
33.0,187,9.215998,27
-54.0,61,9.774998,4
56.0,391,10.547999,62
244.5,745,11.572999,85
-40.5,131,12.174999,13
-48.0,90,12.730999,7
-53.0,85,13.289998,7
223.5,602,15.466,65
-53.0,56,15.999999,2
80.0,282,16.696003,24
-52.5,65,17.239999,4
-59.0,61,17.776998,4
-59.0,65,18.326001,2
310.0,649,19.296,99
84.0,298,19.994999,51
-55.0,60,20.54,3
-55.0,58,21.084998,3
132.0,360,23.323131,51
-57.0,59,24.042131,3
115.0,290,24.810188,6
-46.0,69,25.39619,4
-58.5,63,25.952187,3
-43.5,78,26.511188,6
-51.5,78,27.081188,5
376.0,737,28.09919,161
-51.0,60,28.636189,2
-50.0,63,29.180189,3
39.5,176,29.792189,3
-7.5,113,30.37219,11
-52.0,67,30.914189,4
-9.0,114,32.817191,12
-56.0,56,33.385189,2
289.0,518,34.289188,40
-54.0,57,34.836187,2
-55.0,57,35.382189,2
-44.5,85,35.941189,6
-55.0,65,36.491188,4
1.5,122,37.082188,11
273.5,561,37.980188,82
-54.0,57,38.511188,3
-55.0,52,39.04819,2
-55.0,51,39.58119,2
-55.0,52,40.12419,2
21.0,159,40.748236,18
331.0,593,42.921233,62
-56.0,62,43.462233,2
72.0,227,44.117233,30
34.0,184,44.739232,18
-52.0,72,45.326759,4
45.0,219,45.982275,31
-52.5,60,46.529279,3
-53.0,65,47.084278,4
-50.5,69,47.636276,4
-46.5,65,48.178276,2
-46.0,68,48.728275,3
-50.0,73,49.269275,4
-54.0,63,49.809276,3
10.0,139,50.391279,16
71.0,247,52.290277,2
-61.0,63,52.859277,4
-58.0,65,53.416277,3
-55.5,56,53.957276,3
49.0,199,54.592277,4
106.5,312,55.319276,45
-54.0,57,55.852277,3
-47.0,94,56.414275,8
235.0,541,57.271276,86
-57.0,51,57.800277,2
29.0,208,58.442277,23
92.0,275,59.125276,12
-55.0,57,60.909274,2
-63.0,60,61.463275,3
-49.0,81,62.018275,5
66.0,220,62.660276,5
-53.0,58,63.191276,3
-54.5,54,63.722277,2
294.5,492,64.551276,15
451.0,884,65.658274,148
148.0,334,67.648278,61
55.0,182,68.280277,22
196.0,398,69.035277,63
-55.5,55,69.574274,3
5.5,121,70.149277,13
72.0,236,70.814277,10
79.0,215,71.472275,30
-51.0,64,72.047276,3
17.0,144,72.654277,17
-51.0,52,73.201276,2
-52.0,61,73.734276,3
32.0,185,74.353277,19
-59.5,55,74.891275,2
110.0,269,76.879284,36
15.0,145,77.493277,15
0.5,112,78.070275,11
-48.0,66,78.610275,3
196.0,368,79.352276,3
106.0,245,80.021277,30
-39.0,83,80.562276,7
-55.0,57,81.091275,2
18.5,155,81.689275,15
-15.0,95,82.248276,7
320.0,586,84.405275,111
-53.0,53,84.973276,2
-55.0,59,85.502276,2
-36.0,90,86.063276,4
-54.0,52,86.588277,2
-50.0,60,87.130276,2
-38.5,79,87.680277,4
-29.5,101,88.241277,10
61.0,204,88.871876,29
70.0,225,89.522876,30
92.0,253,90.188875,24
-58.5,73,90.732445,4
57.0,192,91.364447,15
272.0,503,92.199447,86
-41.0,79,92.770446,6
252.0,470,94.889447,74
271.0,523,95.755447,100
-49.0,58,96.302447,2
120.5,256,96.989446,29
-55.0,79,97.546445,6
57.5,192,98.192448,30
-53.0,82,98.754447,6
-57.0,54,99.294448,2
-51.0,61,99.838447,2
99.5,224,100.502448,22
-50.0,58,101.05645,2
272.0,455,103.204448,66
-18.0,100,103.788449,8
-53.0,59,104.334447,3
54.0,176,104.956447,21
-46.5,61,105.494447,1
-9.0,102,106.066449,9
21.5,141,106.655963,13
-55.0,75,107.201963,5
-54.0,60,107.736962,2
347.0,542,108.625964,89
2.0,122,109.223963,12
-48.0,65,109.756965,4
35.0,150,111.586961,17
70.0,196,112.269962,26
-58.0,50,112.810962,2
-50.0,57,113.364964,2
26.5,163,113.987964,25
719.0,1019,115.197964,214
261.0,402,115.990963,4
-55.0,56,116.532963,2
-2.0,101,118.374961,9
-52.0,53,118.948961,2
-2.0,110,119.527964,12
-15.5,107,120.113962,10
-54.0,60,120.667962,3
138.5,277,121.362964,37
-45.0,73,121.924962,5
-49.5,59,122.471963,2
9.0,123,123.059964,12
78.5,196,123.690967,25
-51.0,57,124.224963,2
-54.0,55,124.784961,1
-11.0,101,125.337964,8
-53.0,54,125.925963,3
-48.0,59,126.474963,3
119.0,245,127.135965,22
-45.0,61,127.677964,2
-52.0,52,128.207964,1
-3.0,107,128.785962,10
-2.0,110,129.358962,10
57.0,174,131.211961,17
29.5,148,131.821964,19
-52.0,59,132.357963,3
32.0,148,132.946963,18
96.0,217,133.587962,32
36.0,156,134.190962,11
-52.5,54,134.712964,2
-55.0,58,135.255963,3
24.0,137,135.835966,11
-53.0,64,136.366963,3
16.0,134,136.957964,13
191.0,321,137.675962,54
-54.5,57,138.210963,3
