#{"t_start": 1706474910.568187, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
341.3,1201,1.387939,19
242.2,971,3.887035,8
46.4,271,4.60213,16
369.2,962,5.80381,36
383.1,920,8.26384,105
-54.8,62,8.819403,3
-50.8,64,9.374052,2
-51.4,92,9.942076,7
222.8,547,10.838038,94
-51.9,73,11.401947,5
-50.4,67,11.955373,4
705.4,1321,14.699588,73
34.6,210,15.354778,14
-46.6,73,15.913778,5
-52.8,65,16.461389,3
72.2,240,17.146945,19
-46.9,75,17.714214,4
-34.8,108,18.288253,9
-27.2,111,18.868773,8
105.6,319,19.617944,43
22.8,185,20.265982,31
481.2,865,22.795761,106
-50.7,92,23.368412,8
-42.4,121,23.964014,11
169.9,426,24.793117,53
191.8,463,25.628199,57
69.7,237,26.307287,32
359.7,656,28.558897,139
259.6,527,29.438202,72
-16.0,125,30.053766,7
-52.2,70,30.618984,4
54.9,254,31.31822,25
-43.5,81,31.888611,5
-47.1,82,32.462169,5
424.0,680,34.780557,139
193.7,400,35.600698,78
-53.2,65,36.164745,4
-52.0,58,36.722062,2
167.1,388,37.496816,55
17.1,171,38.143905,20
162.6,344,38.900577,41
118.0,276,39.603726,42
259.4,481,41.778928,67
35.3,227,42.468967,27
473.0,789,43.534967,97
-48.4,66,44.114131,3
354.2,625,46.422505,91
50.4,213,47.122176,38
-50.2,63,47.684271,3
298.8,501,48.546601,103
-52.4,60,49.10251,2
25.6,189,49.750905,15
83.7,286,50.469041,12
25.5,195,51.118386,15
201.6,452,53.254659,45
-40.5,82,53.858912,3
501.3,793,54.934913,119
952.2,1382,57.752849,208
83.2,249,58.460907,34
324.2,559,59.372535,54
-31.3,91,59.951586,5
578.6,950,62.423923,76
-21.2,108,63.024924,9
-6.0,123,63.608,12
402.7,644,64.563941,98
-51.6,67,65.124027,3
-42.6,75,65.693597,5
-37.0,90,66.250596,6
-47.7,70,66.794597,3
58.8,222,67.437711,22
-50.1,63,67.979709,2
41.5,199,68.635755,10
543.0,771,70.979959,94
333.4,539,71.869537,94
112.0,261,72.572569,23
-49.8,68,73.13657,3
314.4,505,74.012786,95
-47.6,61,74.568422,3
293.4,482,76.71465,60
-48.5,66,77.271649,4
1069.3,1348,78.729272,218
-43.5,68,79.294395,4
-51.2,59,79.864961,2
232.7,395,81.94065,63
72.3,221,82.616788,27
-32.3,95,83.202786,7
68.0,226,83.884875,4
-48.3,72,84.458576,3
-27.9,92,85.037625,5
94.7,259,85.736149,29
223.8,432,86.56105,33
96.8,245,87.242569,41
745.3,1054,89.793972,73
192.2,339,90.5416,66
-24.6,109,91.121599,8
11.5,148,91.726651,11
-32.2,91,92.308694,6
404.2,622,94.466479,62
567.0,775,95.529058,163
-43.6,70,96.087613,3
-35.2,71,96.646612,3
104.2,280,97.349134,6
-53.2,61,97.897228,3
84.4,221,98.561846,28
149.9,319,99.304519,9
-41.7,75,99.873566,4
-47.0,62,100.424709,2
-46.7,77,102.257962,4
255.4,430,103.08413,70
395.6,599,104.003278,106
106.4,306,104.749908,29
616.4,835,107.142646,165
-33.8,90,107.741698,6
391.7,591,108.671396,106
-39.8,78,109.235964,4
-33.8,84,109.809491,5
173.8,348,110.57155,44
82.0,251,111.261598,15
701.4,959,113.777547,171
-30.2,88,114.344546,6
-0.6,141,114.961601,11
149.5,325,115.698603,40
706.9,926,117.08848,192
148.9,328,119.184051,52
349.8,529,120.08539,79
209.5,371,120.857784,71
374.3,531,121.758461,105
258.2,416,123.922459,66
339.0,492,124.808607,88
-17.2,109,125.403179,7
336.7,506,126.275856,94
321.7,473,127.122002,62
677.5,863,129.606058,163
153.4,298,130.337364,35
358.9,527,131.238522,109
185.6,339,131.99958,52
267.5,434,134.081303,66
187.5,336,134.855383,48
329.3,575,135.749383,8
211.8,381,136.513417,56
193.6,335,137.247454,61
390.4,556,139.362493,104
302.0,467,140.200931,74
-17.5,105,140.788932,7
314.5,499,141.622613,77
472.6,651,142.564744,112
435.7,612,144.708341,128
487.2,687,145.667418,108
302.1,461,146.502546,91
1233.4,1549,149.300359,80
205.2,408,150.120405,8
176.3,343,150.853579,44
288.8,452,152.921333,56
510.7,659,153.901451,123
277.6,457,154.730072,77
321.4,476,155.588743,71
346.7,495,157.743381,93
433.0,576,158.659906,91
250.0,426,159.55101,49
399.4,565,160.451377,106
536.4,692,162.765126,126
663.9,829,163.832301,125
575.4,735,166.124509,129
956.4,1102,167.426663,240
236.8,451,168.253258,8
371.9,506,170.407911,81
526.2,694,171.473319,115
471.6,628,172.442453,121
726.2,917,174.974024,83
563.9,712,175.97984,104
556.0,753,177.018626,55
366.9,511,179.168388,78
377.6,520,180.063277,68
801.9,1001,181.265373,57
325.3,456,183.425355,62
353.1,490,184.291074,77
626.7,772,185.349782,116
471.3,604,186.290028,100
764.0,901,188.746469,157
529.3,652,189.699696,105
376.4,501,190.561407,75
564.6,700,192.97827,111
