#{"t_start": 1707515147.7149868, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-249.5,1130,0.965002,8
-266.5,1201,4.215728,20
-121.0,667,4.839293,62
-111.0,240,5.108104,6
-101.0,912,7.565158,83
-67.0,155,7.801159,18
-34.0,573,8.31216,32
-78.0,105,8.473158,10
-100.0,82,8.61316,6
-94.0,101,8.754025,7
-82.5,304,9.038368,55
-74.5,254,9.273951,29
-87.0,355,9.596951,36
16.0,506,12.182951,72
-77.0,53,12.311949,2
-83.0,58,12.445951,3
-60.0,147,12.61995,21
-64.0,204,12.841949,28
-81.0,80,12.982949,3
-83.5,77,13.128949,4
-84.0,95,13.272951,8
-79.0,166,13.48095,9
-81.5,69,13.602949,3
-89.0,60,13.72195,3
33.0,487,14.12295,70
-55.0,198,16.143949,19
-75.0,59,16.27495,3
45.0,352,16.632949,54
-85.0,55,16.76095,2
-80.0,61,16.87695,3
-85.0,65,16.98595,4
-77.5,58,17.100951,2
13.0,342,17.441024,29
-65.5,103,17.586022,11
-70.5,55,17.705023,2
-48.5,163,17.892024,15
-75.5,65,18.011022,5
-64.0,80,18.143023,8
-82.5,69,18.274102,5
-74.0,66,18.407658,3
-76.0,65,18.545659,4
-76.5,54,18.674659,2
-55.5,113,18.833657,11
-74.5,56,18.946659,2
63.5,404,21.104657,65
-75.5,75,21.225657,6
22.5,258,21.475726,36
-75.5,53,21.580724,2
-77.0,58,21.690724,3
-85.5,65,21.808724,5
-75.0,60,21.927727,2
-71.0,57,22.039724,2
-47.0,130,22.214724,14
21.0,330,22.536724,51
-74.0,54,22.655726,2
-79.0,62,22.774724,2
-67.5,60,22.892724,3
-19.0,155,23.093726,16
-55.0,104,23.239726,11
-79.5,67,23.367724,3
-73.5,63,23.488726,3
-19.5,155,25.298724,19
-72.0,60,25.439724,3
-49.0,99,25.609723,9
-66.5,62,25.726723,2
-69.0,62,25.851724,3
-74.0,51,25.968725,2
-49.5,97,26.101723,8
-71.5,65,26.224725,3
119.0,375,26.581723,48
-18.0,144,26.769724,12
-70.5,61,26.883723,3
-78.0,61,27.006726,3
28.0,260,27.262724,4
35.5,262,27.534723,37
-29.5,118,27.686724,11
-17.5,144,27.862725,17
60.5,257,29.490726,33
-29.0,123,29.681724,9
-62.5,58,29.797724,2
-65.0,56,29.919724,1
4.5,203,30.174724,30
81.0,320,30.514563,44
-28.5,122,30.673743,11
-59.0,64,30.793815,4
-63.5,66,30.91192,4
-32.5,100,31.045686,10
-35.5,104,31.205685,10
89.0,304,31.517684,40
-68.5,51,31.645685,2
62.0,271,33.423731,51
-63.0,55,33.558729,1
-67.0,59,33.687729,3
284.0,630,34.215243,133
-68.5,61,34.339241,2
-72.0,58,34.449243,3
-65.0,60,34.576264,2
41.0,223,34.798682,33
68.0,303,35.106685,48
99.5,312,35.422685,42
-47.0,97,35.585682,8
7.0,181,35.777682,26
-59.0,52,37.371684,1
-29.0,94,37.538684,8
71.0,261,37.788683,36
-57.0,57,37.907684,2
-56.0,76,38.038685,7
109.5,285,38.361767,33
212.5,462,38.765339,108
-33.5,108,38.930342,11
-24.0,94,39.072341,8
-60.5,60,39.18534,4
-13.0,103,39.33534,9
-20.0,113,39.493339,9
-65.5,56,39.598339,2
-64.0,56,39.708339,3
67.0,231,41.636852,39
17.0,159,41.851853,18
-64.5,54,41.973852,2
-16.5,113,42.141853,10
-5.5,131,42.314854,11
-61.0,63,42.436852,2
-31.0,100,42.573852,10
-69.5,58,42.686852,2
-68.0,55,42.806853,1
-67.0,55,42.934854,2
-59.0,54,43.057853,1
-59.5,51,43.164853,1
36.0,200,43.377854,23
186.0,382,43.708853,74
20.5,194,43.913854,26
-31.5,95,44.058856,8
15.5,161,44.261853,20
25.0,155,46.086852,19
-60.5,53,46.215852,2
-58.5,54,46.334852,1
92.5,279,46.592852,28
-27.5,100,46.729853,9
182.0,405,47.081559,84
-71.5,54,47.202559,2
-63.5,54,47.331633,2
-42.5,96,47.469634,7
94.5,280,47.739633,47
68.5,261,48.009634,27
-61.5,55,48.125635,2
-65.0,51,48.245635,2
-61.5,52,48.360632,1
74.5,234,50.086633,41
36.0,179,50.326636,23
-13.5,113,50.481633,10
-13.5,122,50.659634,13
-18.0,96,50.807634,9
-63.0,52,50.911634,1
19.0,153,51.091632,15
-60.0,53,51.201632,1
6.5,173,51.398636,4
-23.5,96,51.549632,9
-56.5,51,51.659632,1
-67.0,57,51.768632,1
243.5,484,52.160632,77
87.0,254,52.390632,40
-61.0,52,52.492632,1
-61.5,53,53.831632,1
83.5,251,54.106634,35
135.0,318,54.398708,47
-57.0,51,54.505708,1
-61.0,51,54.607706,1
-68.0,53,54.716708,2
-7.5,121,54.871707,12
-30.5,97,55.004705,9
-27.5,95,55.142704,8
230.5,453,55.552705,79
21.0,162,55.762705,15
-21.5,101,55.920706,9
-57.0,51,56.027705,1
-26.0,94,56.164706,7
228.5,454,57.787706,72
2.0,137,57.942705,11
-62.5,53,58.079707,2
-60.5,51,58.196705,2
66.0,218,58.425764,23
151.0,313,58.721763,55
-61.5,53,58.838764,1
335.0,569,59.279764,98
32.0,158,59.470763,19
-15.0,103,59.612764,9
-14.5,93,61.303766,7
37.5,163,61.535764,19
-20.5,94,61.677763,8
-60.0,53,61.780763,1
123.5,276,62.048506,49
31.0,153,62.214506,15
-16.0,100,62.365522,9
-21.5,99,62.531521,8
-21.0,94,62.683522,8
178.0,332,62.985521,51
-23.0,98,63.119521,9
-62.5,51,63.232578,1
-58.0,51,63.343593,1
284.0,467,63.747473,73
81.5,212,65.218475,30
-26.0,102,65.382526,10
294.0,469,65.818696,81
38.0,153,66.032694,15
-58.0,51,66.159694,1
42.0,173,66.380694,21
-57.5,52,66.500694,1
-57.5,52,66.631843,1
-11.5,93,66.789788,8
-17.0,100,66.961788,9
-15.5,99,67.105159,8
209.0,364,67.436249,45
292.5,461,69.122496,59
-24.0,96,69.271497,9
-12.5,101,69.435497,8
-9.0,108,69.588511,9
-54.5,52,69.705497,1
71.5,204,69.926498,30
-55.0,51,70.038497,1
-50.5,59,70.149497,1
-65.0,52,70.268499,1
-25.5,94,70.434499,8
-15.0,93,70.582496,8
-6.0,101,70.736497,8
-56.0,52,70.863498,1
-52.5,52,70.989501,1
-63.5,51,71.094497,2
-57.0,57,71.226501,2
33.0,157,71.411576,17
-55.5,52,71.522578,1
-55.0,51,71.637576,1
168.5,304,73.602208,26
133.0,252,73.89621,33
40.0,152,74.103209,15
-4.5,107,74.27621,10
-58.0,59,74.415208,2
-22.0,97,74.55321,9
4.0,116,74.712208,10
53.0,165,74.925212,22
-57.5,54,75.049211,1
22.0,134,75.206208,15
-27.5,99,75.36321,9
42.0,157,75.580209,17
-12.0,105,75.744209,11
-10.5,106,75.914208,9
134.0,258,76.193729,35
-19.5,93,76.341726,7
42.0,157,77.839781,16
44.5,163,78.038781,19
-58.5,51,78.142783,1
-13.5,99,78.280781,8
49.5,179,78.484781,20
-4.0,112,78.655784,10
-54.5,52,78.785781,1
310.0,509,79.243812,109
32.5,155,79.416812,18
147.0,280,79.679812,32
-7.5,106,79.823812,9
-60.0,55,79.930812,1
6.5,129,80.132812,14
73.5,199,81.829813,32
-24.5,94,81.975815,7
40.5,157,82.152812,15
-5.0,99,82.301814,8
32.5,151,82.489812,16
208.0,344,82.799812,54
-54.5,53,82.905813,2
-58.0,52,83.024813,2
528.0,743,83.613812,112
-59.0,51,83.739813,1
-8.0,99,83.904813,8
-58.5,52,86.180439,1
-53.0,51,86.31244,1
-52.0,51,86.42444,1
-57.5,51,86.53144,2
-5.5,106,86.694517,9
-9.0,98,86.833517,8
273.0,433,87.215395,96
58.5,178,87.427364,21
-14.5,99,87.568886,9
39.0,167,87.758886,17
-5.5,103,87.900885,9
-55.5,52,88.003885,2
-0.5,104,88.149886,9
-6.0,98,88.286885,8
253.5,377,88.615887,44
1.5,107,90.635886,9
-9.0,100,90.809885,8
248.5,374,91.191885,50
473.0,648,91.742886,117
46.5,162,91.951887,17
-1.0,113,92.130887,10
278.0,421,92.527887,62
-59.5,52,92.647886,1
436.5,620,95.150397,133
-6.0,98,95.293396,8
255.5,386,95.706398,57
-56.5,51,95.832397,2
-2.5,104,95.9974,9
-53.0,51,96.127397,1
-60.5,50,96.238398,1
-1.0,100,96.394398,8
677.5,882,98.525399,112
-3.5,103,98.682398,9
-60.0,46,98.790396,1
-58.0,45,98.897396,2
-15.5,94,99.040397,8
148.0,259,99.285432,31
-7.5,107,99.429532,9
-19.0,93,99.569532,7
0.5,103,99.716532,9
127.0,240,99.966531,37
-15.5,93,100.110531,7
-2.5,100,100.262532,8
-55.0,51,100.368531,1
174.0,299,100.663532,43
19.5,126,100.847531,12
-10.5,98,100.993531,10
52.0,160,102.554652,17
-3.0,101,102.721652,8
0.0,103,102.857653,9
-14.0,94,102.993652,9
-3.0,98,103.142653,8
-53.5,51,103.252653,1
2.5,108,103.420653,9
45.0,156,103.610652,17
-5.5,97,103.751652,8
-1.5,103,103.905653,9
3.5,106,104.070651,9
44.0,153,104.271652,16
-1.5,103,104.448653,9
-5.0,98,104.593653,8
-3.5,99,104.738652,8
