#{"t_start": 1707502144.1972985, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-451.861091,263,0.285,0
-3499.432631,1118,1.161,3
-118.184797,170,1.341001,6
-420.463063,592,3.139004,3
-184.824364,300,3.463001,12
-5386.944178,1201,4.336001,5
-2066.517451,1088,6.261001,2
-1188.072292,1201,7.15,25
-104.965088,117,7.31,3
457.624753,1526,9.629001,112
-72.741698,105,9.771,4
-54.002058,973,11.689,76
-24.505476,264,11.932,21
62.108636,1259,12.831001,86
-75.490647,78,14.238,4
-93.36445,60,14.371,2
90.423344,1371,15.361001,100
394.265504,477,15.741001,68
639.585638,797,17.514001,109
631.25142,688,18.114071,97
225.55066,328,18.438072,59
-6.870099,147,18.608071,14
-79.094942,77,18.727071,5
-139.151259,486,20.271183,48
-82.098091,71,20.397183,5
-13.646077,144,20.569183,9
-89.414162,65,20.678183,3
-47.147306,99,20.818185,8
-69.768188,77,20.944183,6
550.101154,609,21.429184,105
19.600604,156,21.600183,20
-18.148157,130,21.757183,12
805.028604,833,23.642184,125
-40.121712,111,23.786183,11
-907.37727,396,24.102184,4
320.799108,416,24.435184,60
635.681386,698,26.147187,86
540.769325,603,26.639184,107
607.626249,667,27.200186,100
-88.355109,64,27.307185,3
40.366562,176,27.491184,18
21.067378,167,27.680185,12
-484.042199,255,27.912184,2
-6.727652,140,29.370183,19
-79.647376,72,29.511184,4
561.541618,958,30.198184,127
2116.907454,2034,32.769184,243
1108.850471,1948,35.389184,215
16.360608,146,35.549183,19
372.533662,491,35.994185,38
888.323542,898,37.796183,154
-49.014628,105,37.947184,9
-99.088379,286,38.229183,14
31.341665,306,38.537186,32
-84.833811,68,38.673184,3
-41.764915,177,38.869183,8
42.222798,179,39.053185,29
74.738584,213,39.261185,24
182.95212,303,40.745184,32
1038.097762,1058,41.519184,146
338.154481,422,41.861184,80
-45.37757,100,41.992183,10
-87.585804,64,42.109183,4
736.867564,789,44.006185,109
286.356703,401,44.345183,47
724.991242,742,44.931185,138
40.860485,237,45.157183,28
30.381104,172,45.333184,16
-85.222481,65,46.582184,3
309.033725,397,46.941185,73
472.12332,569,47.391183,73
-77.764711,153,47.588183,10
825.605397,2395,50.594183,222
906.115814,1603,52.900184,131
748.436896,797,53.536185,121
946.159348,981,55.540184,129
834.066503,824,56.274185,166
-1926.740021,2197,59.371185,166
1012.368459,1315,61.638237,130
731.771905,800,62.237236,96
674.954363,732,64.028236,105
1547.630358,2164,66.714309,219
1834.687117,2431,69.750308,241
68.280565,252,69.993308,18
340.131919,453,70.352307,42
568.35677,983,72.240308,117
1545.525677,1542,74.592307,220
534.090092,600,75.068308,90
2389.848103,2825,78.176308,261
-1625.91743,1736,80.711307,155
663.082259,1386,82.857308,163
31.673647,580,83.342309,64
1017.476901,1058,85.457308,129
11.388397,610,85.951309,45
-74.639178,82,86.071307,5
123.460987,258,86.311307,24
699.727023,727,86.863307,133
-47.385788,117,87.012307,10
-88.095337,60,87.118307,3
-72.277843,78,88.393307,3
1219.152865,2763,91.702309,292
-6.45641,140,91.859311,13
2635.542917,2547,94.908309,294
-91.717922,57,95.027308,2
117.901252,241,95.266307,28
510.34102,786,97.031308,118
731.897618,757,97.584307,141
1629.455942,1572,100.185308,244
2429.449145,2393,103.240307,266
1331.763129,2498,106.179307,281
145.038096,2847,110.606372,220
1092.958079,1100,111.412369,178
1685.449452,1619,113.702369,238
-55.060558,96,113.849369,7
1208.744848,1718,116.477427,182
541.06168,612,116.965428,93
1347.820801,1556,119.314426,206
1570.27975,1499,121.580427,240
178.689831,390,121.914426,47
1701.451486,1598,124.216427,265
1004.419107,988,124.994427,176
2676.917699,3222,129.652539,301
-92.41195,60,129.779539,3
229.959523,321,130.052542,62
567.909442,1971,132.594539,252
848.08901,900,133.24354,118
796.156994,795,135.124584,163
1226.131997,1690,136.310583,236
841.580966,867,138.124583,149
2120.082102,1883,140.755585,301
2419.473928,2196,143.513583,301
2243.726456,2501,146.553729,301
-430.472612,364,146.865728,7
