#{"t_start": 1707517423.4710515, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-98.0,293,0.308001,31
-27.0,372,0.661001,4
-183.0,668,1.229001,4
13.0,1201,3.413002,7
268.0,1201,4.363001,40
-73.0,110,4.515001,5
367.0,1102,6.544001,88
-66.5,63,6.667001,3
24.5,270,6.934001,22
-55.5,75,7.069001,5
-49.0,85,7.200001,6
-51.0,82,7.343001,5
-49.5,80,7.477,6
-41.0,94,7.607001,6
213.0,632,9.404,51
379.0,811,10.081001,118
-47.0,84,10.233003,7
0.0,165,10.437001,18
-47.0,71,10.562001,4
-6.5,154,10.734001,20
-52.0,62,10.857001,3
29.0,213,11.088001,23
11.0,163,11.282001,16
-52.0,75,11.417001,5
104.5,341,12.893001,36
-41.0,123,13.054001,12
-47.5,73,13.196001,4
106.0,316,13.509001,48
-57.0,62,13.632001,3
203.0,478,14.052001,5
56.0,247,14.298001,23
132.5,380,14.640001,50
-55.0,73,14.771001,4
351.0,712,16.535001,111
-54.5,54,16.656001,3
-54.0,82,16.804001,4
-52.0,69,16.943004,3
206.5,495,17.380002,59
-54.5,70,17.518001,4
331.0,711,19.382,105
-39.0,92,19.539001,8
-41.0,75,19.667001,4
-46.0,77,19.791001,3
287.0,532,20.248001,82
72.5,270,20.513001,35
-54.5,68,20.651001,4
-51.0,65,20.781002,3
-51.0,69,20.903005,4
140.0,362,21.237004,20
-53.0,66,21.363001,3
-45.5,77,21.498001,5
8.5,165,21.681001,23
-50.0,64,22.938,2
-53.5,57,23.067,3
-60.0,67,23.199005,5
216.0,436,23.612001,53
557.0,870,24.335001,113
-42.0,100,24.497001,8
-47.0,84,24.641002,7
-48.0,86,24.785001,6
251.5,508,26.377,48
20.0,168,26.577001,18
141.0,334,26.914001,45
217.0,438,27.327004,83
-56.0,76,27.453001,6
-20.0,125,27.621001,11
128.0,340,27.948001,58
-50.0,69,28.087001,3
-52.0,63,28.214001,3
136.0,345,29.730003,54
54.0,264,30.012,10
631.0,1201,31.194001,3
174.0,390,31.544001,57
-8.0,164,32.896,11
445.5,803,33.590001,130
127.0,325,33.924001,43
-22.0,116,34.103001,10
288.0,558,34.612001,49
-56.0,73,34.755002,4
-40.0,93,36.025,6
232.0,451,36.444,67
98.0,278,36.729001,12
-2.0,172,36.921001,10
-36.0,97,37.066001,9
102.5,308,37.373002,5
-38.5,102,37.527001,8
-50.0,66,37.666001,3
211.0,422,38.035002,63
188.0,398,39.690001,73
438.0,769,40.334005,164
115.0,321,40.651001,4
170.0,413,41.040001,65
308.0,567,42.680001,112
121.0,323,42.986001,29
98.0,306,43.281001,56
-37.0,103,43.420001,10
143.0,355,43.768004,46
-40.0,99,43.917001,6
-49.0,81,44.047001,6
-45.5,79,44.173001,4
-55.0,60,44.282001,2
139.0,326,44.600001,49
-32.5,92,45.913001,7
-52.0,60,46.042,2
-43.0,80,46.164001,5
25.0,172,46.372001,22
271.0,485,46.787002,103
108.0,284,47.082001,6
-48.0,67,47.212001,3
475.0,768,47.845001,106
-51.0,62,47.951001,3
85.0,300,49.493001,25
147.5,337,49.831001,51
-32.0,114,49.982001,12
49.5,252,50.248002,39
-44.0,89,50.397001,7
176.0,367,50.740122,52
240.0,443,51.159122,65
-1.5,153,51.358123,17
-36.0,84,52.652124,5
-38.0,81,52.806122,6
454.5,702,53.372122,123
-50.0,75,53.513123,5
240.0,431,53.929126,64
-49.0,83,54.078122,4
-43.0,84,54.218123,5
128.0,327,54.514122,12
223.0,428,56.063122,38
198.0,395,56.435123,75
284.0,545,56.936121,54
42.0,210,57.164122,6
235.0,458,57.590122,86
-47.5,66,57.719122,3
-53.0,74,57.856124,4
162.0,359,59.659122,51
-40.0,85,59.795122,6
403.0,607,60.300122,92
-57.5,73,60.440123,5
-40.0,77,60.580122,4
27.0,195,60.807122,23
-39.5,93,60.951123,8
103.0,271,61.231122,35
175.0,338,61.574122,51
-38.0,76,62.866121,3
-58.0,93,63.029122,7
336.0,529,63.465122,77
400.0,587,63.972122,89
191.0,351,64.316122,57
162.0,315,64.609122,48
340.0,526,66.247185,102
189.0,350,66.606185,53
448.0,639,67.178185,106
206.0,358,67.498185,63
206.0,371,69.051184,57
485.0,681,69.645185,96
388.0,578,70.141185,102
-10.0,130,70.322185,13
524.5,747,72.070187,130
338.0,525,72.521185,92
437.0,613,73.037185,95
147.0,293,73.305185,38
467.0,659,75.161184,82
350.0,505,75.609184,80
602.0,791,76.252314,123
251.5,408,76.631314,60
693.0,890,78.528315,126
461.0,658,79.125315,57
266.0,417,79.537315,56
435.5,593,81.203315,96
240.0,376,81.556315,51
252.0,375,81.901314,60
410.5,565,82.426317,92
379.0,555,84.148314,84
674.5,835,84.840315,140
211.0,408,85.237315,6
352.0,506,85.699315,71
261.5,395,87.217314,45
349.0,506,87.641315,79
372.0,522,88.097378,74
34.0,177,88.294378,12
-0.5,111,88.459378,6
461.5,616,90.388377,113
96.0,253,90.659378,24
168.0,343,90.994382,5
143.0,273,91.281378,37
454.0,615,91.775378,56
443.0,601,93.417423,94
207.0,358,93.771424,46
190.0,328,94.095423,43
571.0,723,94.716425,92
339.0,485,96.559423,79
293.5,431,96.968424,63
338.5,500,97.383427,79
-7.5,125,97.564424,9
413.0,558,98.013423,79
360.0,489,99.812423,69
212.5,349,100.156427,48
313.0,460,100.552461,56
483.0,624,101.080424,92
261.0,384,101.423424,52
341.0,495,103.017423,82
366.5,503,103.434424,61
255.5,400,103.79453,60
726.0,938,105.739529,132
263.0,406,106.12053,55
367.0,535,106.58253,70
134.5,275,106.87353,3
353.0,498,107.32653,62
256.5,403,108.835529,70
481.5,633,109.36753,86
687.5,858,110.07853,134
202.0,339,111.588589,50
249.5,392,111.971589,54
397.0,557,112.44359,91
737.0,918,113.179589,149
180.5,333,114.847658,49
-31.5,84,114.985659,3
176.0,290,115.285659,42
309.0,471,115.681662,63
590.0,752,116.293659,104
489.5,635,117.985659,111
415.0,560,118.427659,68
302.5,452,118.822659,68
379.0,534,119.312659,64
340.5,482,120.997659,54
517.5,646,121.560659,99
357.0,506,122.017659,52
282.0,420,122.404659,73
417.5,558,124.046659,92
456.0,604,124.593659,110
396.5,521,125.047661,76
886.0,1059,127.10866,144
299.5,416,127.46966,48
173.0,292,127.772659,39
502.0,645,128.313659,79
355.5,491,130.026659,73
684.5,820,130.681718,157
176.0,312,130.998719,30
459.0,601,132.64472,117
529.0,679,133.230718,113
456.5,602,133.717718,78
802.0,957,135.762717,151
282.0,416,136.136718,49
559.0,708,136.759776,116
355.5,484,137.185776,54
542.0,672,138.886776,107
742.0,887,139.643775,148
551.0,688,141.510775,106
506.0,629,142.072777,78
439.5,574,142.578776,67
1315.5,1481,144.933862,182
146.0,272,145.223861,40
453.5,581,145.727921,93
607.5,742,147.52792,116
339.0,457,147.965921,68
169.0,281,148.258921,41
847.0,979,149.055921,118
520.5,646,150.905921,99
766.0,896,151.623921,159
240.0,357,151.967921,9
221.0,333,153.41592,9
217.0,331,153.741921,36
528.0,654,154.299921,103
416.0,526,154.775921,78
498.5,615,158.341269,104
266.0,394,158.919268,51
548.0,655,159.586268,99
609.5,721,160.477316,104
301.0,410,163.939538,59
514.0,619,164.506874,98
359.0,471,164.917578,59
664.0,808,167.420674,22
495.0,605,167.964671,90
501.0,629,168.524671,96
526.0,650,169.072671,110
430.0,545,171.00973,81
613.5,746,171.65273,79
351.0,471,172.087785,56
585.0,706,173.832785,59
511.5,623,174.400785,93
695.5,819,175.079786,126
632.5,755,176.906831,103
483.0,603,177.424831,89
687.5,802,178.070893,139
409.0,518,179.673891,68
378.5,512,180.118949,69
472.0,600,180.662948,81
510.0,644,182.369011,85
529.0,658,182.952012,113
755.5,871,183.691012,117
476.5,602,185.467011,91
488.0,610,186.008013,88
360.0,462,186.425012,72
362.0,490,186.859012,67
471.5,578,188.547189,79
445.5,559,189.04819,79
595.5,712,189.64319,96
702.0,813,191.622189,113
301.0,424,192.01619,57
241.5,356,192.35619,46
434.5,556,192.81319,70
503.0,620,194.515189,68
551.5,659,195.07019,69
849.0,967,195.88419,143
646.5,757,197.707189,118
662.0,780,198.382361,135
901.5,1028,200.352357,138
207.0,309,200.674358,11
948.0,1063,201.507357,215
711.0,823,203.326358,125
387.0,497,203.755362,66
535.0,638,204.308358,99
310.0,416,204.70436,64
261.5,379,206.314358,44
217.0,329,206.624358,6
658.0,764,207.274358,132
637.0,745,209.056357,119
721.0,833,209.751358,103
451.0,570,210.252357,87
801.5,912,212.273357,136
366.5,492,212.718358,71
622.0,737,213.333362,97
608.0,717,215.103357,110
366.0,482,215.539358,61
554.0,658,216.103358,106
304.0,414,216.513358,9
338.5,449,218.123357,38
586.0,708,218.694358,108
489.0,596,219.196422,81
793.0,901,221.219421,127
733.5,841,221.918422,141
435.5,552,222.413422,76
358.0,492,224.066421,64
406.5,516,224.530383,54
10.5,117,224.698384,8
319.0,443,225.108661,59
549.0,656,225.70121,98
245.0,351,228.294257,48
628.0,736,228.92527,97
199.5,305,229.253507,42
302.5,411,229.628507,53
501.0,611,231.562507,74
160.0,267,231.864507,32
500.0,606,232.406507,100
514.5,631,232.951507,102
381.0,491,234.601557,64
709.5,824,235.308557,136
560.5,667,235.963558,73
235.5,347,237.652557,19
540.5,647,238.227557,94
892.0,1005,239.106689,142
634.5,755,241.48869,104
-28.0,78,241.630483,3
1113.5,1232,242.701484,190
242.0,358,245.561485,9
360.0,465,246.066483,65
331.0,440,246.524485,58
362.5,471,246.996483,90
379.0,484,247.481485,71
343.0,452,249.167484,63
364.0,469,249.62596,63
209.0,311,249.960032,36
540.5,644,250.544032,85
343.5,450,252.391548,56
-6.0,101,252.56055,7
671.0,796,253.266629,69
297.5,405,253.674628,56
522.0,628,254.219629,86
749.0,860,256.440629,134
-26.0,76,256.57663,3
421.0,524,257.052646,75
499.0,613,257.616646,88
415.0,544,259.564204,76
479.0,582,260.090266,75
158.0,266,260.374266,31
604.0,734,262.920265,97
414.0,517,263.396267,66
750.0,853,264.134266,115
503.0,612,265.918265,92
526.5,632,266.506266,89
475.5,583,267.014266,68
422.5,531,267.505881,65
870.0,977,269.551003,165
291.0,393,269.938004,51
939.5,1049,272.231002,142
662.0,795,272.926004,113
344.5,466,273.369003,66
527.0,631,273.925003,98
529.0,637,275.717006,77
713.0,818,276.415003,135
1045.5,1157,278.635035,163
