#{"t_start": 1707521879.4298506, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-13.0,529,0.559181,12
-94.0,287,0.876182,22
-89.0,300,1.240181,5
-106.0,998,3.627179,27
-45.0,131,3.818179,11
-58.0,74,3.94418,6
203.0,696,4.584179,57
-61.0,72,4.709179,5
-47.0,86,4.837179,5
258.0,1154,7.533493,85
-57.5,66,7.662493,4
1.0,186,7.891493,6
-57.0,67,8.058493,3
-42.5,95,8.216491,8
-55.0,66,8.359492,3
62.0,287,8.685545,21
-70.5,86,8.863545,6
34.0,293,9.223549,32
15.0,218,9.467546,41
-49.5,81,9.595545,6
-58.5,78,9.735544,7
-16.0,181,9.934546,11
50.5,249,11.846545,29
-57.0,84,12.010546,6
-26.5,103,12.188545,9
130.0,363,12.56466,46
-52.5,65,12.69366,3
-54.0,56,12.844659,2
-56.0,67,12.97966,4
-53.0,64,13.103662,2
172.5,511,13.603727,27
-60.0,64,13.723728,3
-55.5,62,13.848727,4
-63.0,86,13.993729,8
-48.0,77,14.122727,7
-53.0,51,14.234727,1
237.5,500,16.083796,36
-54.0,60,16.212794,3
451.5,1009,16.961867,128
48.0,286,17.250867,29
-50.0,67,17.380866,3
11.5,263,17.647933,36
-33.0,138,19.269932,15
145.0,332,19.611931,45
-53.0,69,19.750931,4
-18.5,122,19.942933,2
-56.0,65,20.063931,3
-12.0,95,20.229932,7
132.0,348,20.602934,27
-54.0,60,20.733932,3
-46.0,81,20.875932,7
-53.0,106,21.042933,8
450.0,790,22.857932,104
68.0,257,23.152932,30
-59.0,61,23.305933,2
422.0,808,23.959,147
-56.0,126,24.125568,12
-45.0,81,24.269569,4
16.5,174,24.498646,10
-6.5,153,24.686646,11
-54.0,60,24.804647,3
-52.0,69,24.938646,5
412.0,794,27.196691,82
-56.5,60,27.334692,3
-57.5,92,27.509692,5
-60.0,61,27.617692,2
1.0,145,27.828692,5
-57.5,70,27.963691,4
15.0,186,28.166692,23
-39.0,93,28.307693,8
52.0,227,28.543693,11
-1.0,187,28.747693,17
-51.0,70,28.874691,4
217.5,452,30.580745,44
-55.0,66,30.726742,3
-57.0,69,30.872744,4
-54.0,61,30.998744,3
-52.0,57,31.141742,1
-57.0,55,31.273743,2
-52.0,57,31.408742,3
130.0,336,31.744809,31
193.0,408,32.174808,26
-50.0,57,32.31581,2
24.0,149,32.52545,14
-52.0,58,32.64845,1
71.0,230,32.885454,2
-17.0,120,33.040451,13
-55.0,62,33.177451,4
-53.0,75,33.312451,5
-49.5,67,34.637508,3
-49.5,56,34.780507,2
93.0,261,35.041505,14
-39.0,75,35.160504,3
-38.5,80,35.287505,4
-47.5,66,35.437573,3
-49.0,54,35.555574,1
-52.0,71,35.693573,3
138.0,315,36.024574,30
25.0,156,36.230625,12
-55.5,65,36.356623,4
-1.0,152,36.521696,13
161.0,315,36.800696,41
-36.5,80,36.922695,4
172.5,351,39.363709,63
-48.0,71,39.523759,5
592.5,942,40.263762,154
-41.0,72,40.378761,2
-43.0,72,40.501832,2
-41.0,81,40.633831,4
-45.5,70,40.763831,4
-59.5,59,40.897831,2
-38.0,76,41.03983,4
115.0,280,41.322831,45
-52.0,85,41.447906,7
238.0,500,43.042906,103
31.5,196,43.252907,8
148.0,346,43.551906,65
109.0,312,43.831906,35
-53.0,58,43.945906,3
135.5,328,44.251906,34
-41.5,104,44.402907,7
-26.5,120,44.556907,14
-7.0,150,44.728908,10
-54.0,71,44.849906,4
252.0,519,46.680907,79
-50.0,109,46.830906,12
98.0,313,47.108907,6
-2.5,154,47.278906,10
133.0,318,47.555906,26
84.0,275,47.811906,26
541.0,942,49.707953,126
142.0,348,50.012953,41
-53.5,72,50.127953,3
-55.0,58,50.232955,1
4.0,157,50.401953,14
87.0,342,50.696953,39
-2.0,202,50.938955,20
269.0,496,52.685953,70
251.0,481,53.116954,54
83.0,270,53.360953,11
178.0,372,53.676956,66
375.5,642,54.158954,81
418.0,633,55.839009,108
149.0,296,56.142008,44
302.5,499,56.576008,71
107.0,304,56.85401,36
173.0,365,57.197008,60
-37.5,80,58.555008,4
3.0,136,58.747008,15
114.5,258,58.983008,19
-41.5,72,59.108008,3
-36.5,69,59.226008,2
-53.0,59,59.333008,3
318.0,530,59.763009,71
147.0,314,60.064009,14
205.5,368,60.399009,60
206.0,431,62.121071,26
102.0,274,62.38907,28
-49.5,57,62.49513,3
418.0,660,62.985131,97
73.0,240,63.218135,36
192.0,358,63.521206,51
391.0,633,65.214263,75
90.5,258,65.452323,9
64.5,223,65.662323,15
175.0,379,65.990324,7
247.5,438,66.433325,72
-38.0,91,66.588324,6
700.0,1010,68.448324,121
-42.0,82,68.574324,5
96.5,244,68.826324,27
119.0,278,69.086324,44
321.5,562,69.541324,104
-14.0,122,69.694323,9
232.5,420,71.263324,74
210.5,368,71.629324,57
292.5,465,72.012325,77
195.0,413,72.387323,81
381.5,638,74.184431,76
303.0,484,74.585498,79
157.0,321,74.864498,52
-31.5,88,74.998499,4
269.0,439,75.359498,65
303.0,477,77.255554,78
197.5,390,77.635555,35
349.5,546,78.074554,90
280.0,438,78.464554,69
340.5,533,78.876553,80
553.5,755,80.686554,100
164.5,312,80.952554,47
402.0,602,81.514554,76
668.0,894,83.476607,121
141.0,266,83.727606,33
245.5,400,84.069609,60
401.5,573,84.611219,90
432.0,596,87.436768,93
421.0,629,88.003767,125
